Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,genres_list,genre_embedding,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,similarity_score,fit_probability,ridge_fitness_score,fitness_score_normalized,is_playlist_song,fit_probability_glm,fitness_score_glm,new_cluster_label
5mKiwDDrwG22qKKVL6JZqF,Rhyme Dust,Other,Other,Other,-0.7403050673725027,1.6952586272954189,,2024-12-13T05:00:15Z,"house,piano house,tech house",Other,0.925,0.561,3,-8.675,1,0.176,0.0659,0.0271,0.152,0.721,128.034,4,"['house', 'piano house', 'tech house']","[ 0.11969379  0.83232206  0.30678255  1.92804058  0.93935126 -0.15898023
 -0.65749687 -2.26807618  0.11825745 -0.28818087 -0.89334961  0.58506944
 -0.29652213 -0.2078067  -0.15586151 -0.45337379]",0.11969379,0.83232206,0.30678255,1.92804058,0.93935126,-0.15898023,-0.65749687,-2.26807618,0.11825745,-0.28818087,-0.89334961,0.58506944,-0.29652213,-0.2078067,-0.15586151,-0.45337379,0.682987987,0.7243443,0.8855273631106599,100.0,0,0.0092030479894591,10.114853287936064,E
59QDyqLww2pxyg9ijOPO7f,Rhyme Dust,Other,Other,Other,-0.7403050673725027,1.9869549036659997,groovebassment,2023-02-23T20:46:07Z,"house,piano house,tech house",Other,0.925,0.561,3,-8.675,1,0.176,0.0659,0.0271,0.152,0.721,128.034,4,"['house', 'piano house', 'tech house']","[ 0.11969379  0.83232206  0.30678255  1.92804058  0.93935126 -0.15898023
 -0.65749687 -2.26807618  0.11825745 -0.28818087 -0.89334961  0.58506944
 -0.29652213 -0.2078067  -0.15586151 -0.45337379]",0.11969379,0.83232206,0.30678255,1.92804058,0.93935126,-0.15898023,-0.65749687,-2.26807618,0.11825745,-0.28818087,-0.89334961,0.58506944,-0.29652213,-0.2078067,-0.15586151,-0.45337379,0.682987987,0.7243443,0.8855273631106599,100.0,0,0.0091186148682216,10.083243066926524,E
1nGgmuLkiyLpOjQXLe668e,Feeling Awake - Sammy Virji Remix,Other,Other,Other,0.0628478795260641,0.2367772454425178,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:13:27Z,"bass house,bassline,g-house,house,uk garage",Night Bass Records,0.905,0.769,9,-6.718,0,0.234,0.0213,0.395,0.0542,0.717,131.962,4,"['bass house', 'bassline', 'g-house', 'house', 'uk garage']","[ 0.2569955   0.0271678   0.24992408  1.70017502  1.07644503 -0.12254561
 -0.60901705 -1.7175231  -0.18981064  0.31709869 -0.88263625  0.70003255
 -0.12369043  0.2943023  -0.24287877 -0.4425765 ]",0.2569955,0.0271678,0.24992408,1.70017502,1.07644503,-0.12254561,-0.60901705,-1.7175231,-0.18981064,0.31709869,-0.88263625,0.70003255,-0.12369043,0.2943023,-0.24287877,-0.4425765,0.65713035,0.6348436,0.8703520174412026,99.16810653096388,0,0.0207134610624976,14.424142057760424,G
3E0Fcls8R8nWjxqwtgJq8j,DRENCH,DRENCH,"AYYBO,Preme",Other,-0.573605144482272,1.5007944430483653,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house",FUNKSHWAY,0.919,0.673,4,-6.18,0,0.214,0.0283,0.141,0.162,0.719,126.996,4,"['tech house', 'house']","[ 0.49916475  0.92228538  0.28674226  2.00269204  1.06220019  0.13760081
 -0.54594237 -2.24965155 -0.06830075  0.12391949 -0.89733326  0.34988311
 -0.31869391  0.07420804 -0.24038284  0.02935112]",0.49916475,0.92228538,0.28674226,2.00269204,1.06220019,0.13760081,-0.54594237,-2.24965155,-0.06830075,0.12391949,-0.89733326,0.34988311,-0.31869391,0.07420804,-0.24038284,0.02935112,0.853810789,0.83313805,0.8683631652029009,99.05908013881712,0,0.2335857025763476,94.1196276969061,B
0dxawNvqmu3slY2V0qaECm,Shake & Pop - Radio Edit,Shake & Pop,"Green Velvet,Walter Phillips",Other,-0.3177108288253161,0.1395451533189911,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,techno,house",Relief,0.899,0.687,6,-6.749,1,0.182,0.000215,0.00978,0.0911,0.608,129.086,4,"['tech house', 'techno', 'house']","[ 0.2584758   0.75303075  0.3751219   1.9052192   0.96638892 -0.03758453
 -0.41042576 -2.3424135   0.20513024 -0.37694701 -0.94746745  0.33219565
 -0.52267726 -0.16203091 -0.00631083 -0.23719742]",0.2584758,0.75303075,0.3751219,1.9052192,0.96638892,-0.03758453,-0.41042576,-2.3424135,0.20513024,-0.37694701,-0.94746745,0.33219565,-0.52267726,-0.16203091,-0.00631083,-0.23719742,0.793717606,0.8019075,0.8592924513125777,98.56183494854494,0,0.2420372361885219,97.28372777321393,E
2UdCQIDwFvGhslUYZH5tRR,Smack Yo',Other,Other,Other,-0.0917698540228575,2.0355709497277625,,2025-02-28T05:00:37Z,tech house,Other,0.884,0.745,7,-7.892,1,0.135,0.00321,0.357,0.0921,0.735,126.992,4,['tech house'],"[ 1.11845446  0.50686002  0.65878516  2.37954903  0.87712443  0.52247435
 -0.18354392 -2.41784859  0.05428933  0.87575912 -0.50878775 -0.4803254
 -1.19310343  0.35281581 -0.03673114  1.52202606]",1.11845446,0.50686002,0.65878516,2.37954903,0.87712443,0.52247435,-0.18354392,-2.41784859,0.05428933,0.87575912,-0.50878775,-0.4803254,-1.19310343,0.35281581,-0.03673114,1.52202606,0.768325036,0.7791364,0.8541650236673503,98.28075577816368,0,0.0091303435246254,10.087634062019852,C
5Wr6bUQZoQYxXonKQCoQAt,Mezcal Bounce,Other,Other,Other,-0.4423348803199365,0.917401890307205,12179883790,2025-01-28T20:27:54Z,"tech house,house",Other,0.92,0.663,5,-10.826,0,0.185,0.00101,0.0604,0.0981,0.745,132.028,4,"['tech house', 'house']","[ 0.49916475  0.92228538  0.28674226  2.00269204  1.06220019  0.13760081
 -0.54594237 -2.24965155 -0.06830075  0.12391949 -0.89733326  0.34988311
 -0.31869391  0.07420804 -0.24038284  0.02935112]",0.49916475,0.92228538,0.28674226,2.00269204,1.06220019,0.13760081,-0.54594237,-2.24965155,-0.06830075,0.12391949,-0.89733326,0.34988311,-0.31869391,0.07420804,-0.24038284,0.02935112,0.811595774,0.8125468,0.8295997988408739,96.93412087813104,0,0.0094442398274047,10.205151114090254,E
2QBv02UFtcFIwiTjJbWBtf,Still Flexin',Still Flexin',Jamie Coins,Other,-0.2437956654843699,-0.0549190309280623,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,latin house",Revival New York,0.885,0.734,11,-8.388,0,0.191,0.000112,0.00591,0.0908,0.743,128.018,4,"['tech house', 'latin house']","[ 1.41795582  0.19403835  0.38280379  2.3450582   0.67032355  0.53310269
 -0.64570755 -1.80226076 -0.16206301  0.92360485 -0.78617543 -0.68913367
 -0.94585219  0.34686351 -0.53908021  0.61068031]",1.41795582,0.19403835,0.38280379,2.3450582,0.67032355,0.53310269,-0.64570755,-1.80226076,-0.16206301,0.92360485,-0.78617543,-0.68913367,-0.94585219,0.34686351,-0.53908021,0.61068031,0.702999793,0.75389355,0.8268504700594934,96.78340611305876,0,0.24186001749566,97.21738032607132,C
6Wo1JXT5HBSDwbuMwXboh1,Ur Soul,Other,Other,Other,-0.4561618265527701,-0.8813918139780396,12179883790,2025-01-28T20:28:40Z,"g-house,tech house,bass house,latin house",Other,0.872,0.746,11,-8.644,1,0.259,0.0388,0.00224,0.13,0.77,130.032,4,"['g-house', 'tech house', 'bass house', 'latin house']","[ 0.68970236  0.22421978  0.2776278   2.01371753  1.00389409  0.26833082
 -0.48531237 -1.77886519 -0.21420745  0.38805115 -1.16411576 -0.23280389
 -0.52225149  0.49042263 -0.61843187  0.10905235]",0.68970236,0.22421978,0.2776278,2.01371753,1.00389409,0.26833082,-0.48531237,-1.77886519,-0.21420745,0.38805115,-1.16411576,-0.23280389,-0.52225149,0.49042263,-0.61843187,0.10905235,0.74154946,0.7938458,0.8199980855552764,96.40776696515746,0,0.0099956501253611,10.41158907504535,E
5xRKvc3MJfOYh9M1E9Fnid,La Pasion,Other,Other,Other,-0.6820322042555717,0.917401890307205,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"bass house,tech house,g-house,house,electro house,latin house",Other,0.851,0.812,8,-7.984,0,0.123,0.0435,0.442,0.12,0.497,125.969,4,"['bass house', 'tech house', 'g-house', 'house', 'electro house', 'latin house']","[ 0.64034561  0.31481989  0.05627436  1.94646744  1.01917626  0.11738753
 -0.53184591 -1.65871603 -0.26764826  0.51020519 -1.01447799  0.2782584
 -0.39036204  0.04938675 -0.45389636 -0.21387842]",0.64034561,0.31481989,0.05627436,1.94646744,1.01917626,0.11738753,-0.53184591,-1.65871603,-0.26764826,0.51020519,-1.01447799,0.2782584,-0.39036204,0.04938675,-0.45389636,-0.21387842,0.84558674,0.7420428,0.8092707990576897,95.8197105365133,0,0.0094343990942828,10.20146692304866,G
