Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,genres_list,genre_embedding,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,similarity_score,fit_probability,fit_score,ridge_fitness_score,fitness_score_normalized
74nEGIzIefJhJ5qX7NeIAz,Beggin',Beggin',"Chris Lake,Aluna",2023-04-20,183397,69,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:22Z,"tech house,house,bass house",Black Book Records/Astralwerks,0.801,0.691,8,-5.971,0,0.051,0.161,0.298,0.119,0.715,125.976,4,"['tech house', 'house', 'bass house']","[ 0.495184    1.11273146  0.22856916  1.9289492   1.10610433  0.03987399
 -0.74077527 -2.19237947  0.00610565  0.0215472  -0.95104901  0.3314314
 -0.21682913  0.08243947 -0.54417463 -0.34633744]",0.495184,1.11273146,0.22856916,1.9289492,1.10610433,0.03987399,-0.74077527,-2.19237947,0.00610565,0.0215472,-0.95104901,0.3314314,-0.21682913,0.08243947,-0.54417463,-0.34633744,0.83948409,0.82635385,0,0.09347098894624298,62.05282496129843
6JdPAzD9rtka9aF84WkQsY,Boyz N Da Club,Boyz N Da Club,Shermanology,2021-04-30,377000,38,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house",D'EAUPE,0.861,0.78,7,-5.994,1,0.0944,0.00205,0.464,0.0824,0.683,128.956,4,"['tech house', 'house']","[ 0.49916475  0.92228538  0.28674226  2.00269204  1.06220019  0.13760081
 -0.54594237 -2.24965155 -0.06830075  0.12391949 -0.89733326  0.34988311
 -0.31869391  0.07420804 -0.24038284  0.02935112]",0.49916475,0.92228538,0.28674226,2.00269204,1.06220019,0.13760081,-0.54594237,-2.24965155,-0.06830075,0.12391949,-0.89733326,0.34988311,-0.31869391,0.07420804,-0.24038284,0.02935112,0.954509128,0.85473305,0,0.11790844223395293,71.11282977082118
4Nm8xafLTXLLS1MtRJKxQo,Do It To It,Do It To It (Tiësto Remix),"ACRAZE,Cherish",2022-02-25,157890,23,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,tech house,Thrive Music,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4,['tech house'],"[ 1.11845446  0.50686002  0.65878516  2.37954903  0.87712443  0.52247435
 -0.18354392 -2.41784859  0.05428933  0.87575912 -0.50878775 -0.4803254
 -1.19310343  0.35281581 -0.03673114  1.52202606]",1.11845446,0.50686002,0.65878516,2.37954903,0.87712443,0.52247435,-0.18354392,-2.41784859,0.05428933,0.87575912,-0.50878775,-0.4803254,-1.19310343,0.35281581,-0.03673114,1.52202606,0.743032865,0.77060854,0,0.10879953813525495,67.7357710416618
6vrWEAPEkVibDYNY14RbGe,Feel You - Mixed,Detroit Love Vol. 5,"Chuck Daniels,Shaun J. Wright",2021-04-16,247594,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,funky house,Planet E Communications,0.803,0.919,1,-6.227,1,0.0554,4.71e-06,0.953,0.0743,0.301,126.973,4,['funky house'],"[ 1.22303736  0.41359165  0.60736465  2.08604169  0.99713778  0.52249855
 -0.11784814 -2.74397945  0.55904412 -0.02605217 -0.78687954 -0.64791733
 -1.29707825  0.25790662  0.0863369   0.89678997]",1.22303736,0.41359165,0.60736465,2.08604169,0.99713778,0.52249855,-0.11784814,-2.74397945,0.55904412,-0.02605217,-0.78687954,-0.64791733,-1.29707825,0.25790662,0.0863369,0.89678997,0.786357002,0.7824691,0,0.06569871220756193,51.75645905682058
3NPfKJqusohaQ64qPBHSKy,Speaker Burner,The Dream,Raito,2017-02-10,360504,10,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"acid techno,techno,hard techno",Boysnoize Records,0.757,0.989,7,-4.003,1,0.164,0.000146,0.863,0.0535,0.222,128.003,4,"['acid techno', 'techno', 'hard techno']","[ 0.08297341  0.3444991   0.45923357  1.84567201  0.71474564 -0.19749458
 -0.09445128 -1.98332798  0.44497174 -0.57060858 -1.02687993  0.20094665
 -0.74830641 -0.32247188  0.36270029 -0.10934752]",0.08297341,0.3444991,0.45923357,1.84567201,0.71474564,-0.19749458,-0.09445128,-1.98332798,0.44497174,-0.57060858,-1.02687993,0.20094665,-0.74830641,-0.32247188,0.36270029,-0.10934752,0.578290359,0.6468126,0,0.06876011164601556,52.89145022425984
7zeLde3gh0DqBUcEGmnAEh,Genesis,9 Moor Drive,"Yousef,Harry Romero",2019-09-20,257006,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house",Modern Sky UK,0.731,0.904,11,-6.952,0,0.0766,0.00316,0.0171,0.0473,0.504,126.984,4,"['tech house', 'house']","[ 0.49916475  0.92228538  0.28674226  2.00269204  1.06220019  0.13760081
 -0.54594237 -2.24965155 -0.06830075  0.12391949 -0.89733326  0.34988311
 -0.31869391  0.07420804 -0.24038284  0.02935112]",0.49916475,0.92228538,0.28674226,2.00269204,1.06220019,0.13760081,-0.54594237,-2.24965155,-0.06830075,0.12391949,-0.89733326,0.34988311,-0.31869391,0.07420804,-0.24038284,0.02935112,0.866838198,0.81266195,0,0.059710203885398404,49.53626395048539
52KoX8r4YfoObhLamYBz68,Paloma,Paloma,Will Taylor (UK),2021-05-28,211000,19,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,tech house,Saved Records,0.791,0.861,5,-7.965,0,0.0563,0.0105,0.59,0.0837,0.365,128.011,4,['tech house'],"[ 1.11845446  0.50686002  0.65878516  2.37954903  0.87712443  0.52247435
 -0.18354392 -2.41784859  0.05428933  0.87575912 -0.50878775 -0.4803254
 -1.19310343  0.35281581 -0.03673114  1.52202606]",1.11845446,0.50686002,0.65878516,2.37954903,0.87712443,0.52247435,-0.18354392,-2.41784859,0.05428933,0.87575912,-0.50878775,-0.4803254,-1.19310343,0.35281581,-0.03673114,1.52202606,0.74348926,0.76985216,0,0.07812729176051912,56.364262873348316
6GDfe6clOqjn2GIGrV8hS2,Pop It,Pop It,Cloonee,2021-03-12,214865,33,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house,latin house,techno",CLNE,0.841,0.602,11,-7.87,1,0.0602,0.0107,0.152,0.141,0.904,129.984,4,"['tech house', 'house', 'latin house', 'techno']","[ 0.62322114  0.53507723  0.30804703  2.00655624  0.84067236  0.10774436
 -0.58478711 -2.05347836  0.05924384 -0.03984761 -0.97649136  0.02466125
 -0.56665818 -0.03629538 -0.26509045 -0.25306442]",0.62322114,0.53507723,0.30804703,2.00655624,0.84067236,0.10774436,-0.58478711,-2.05347836,0.05924384,-0.03984761,-0.97649136,0.02466125,-0.56665818,-0.03629538,-0.26509045,-0.25306442,0.825717757,0.80224735,0,0.12197715708228986,72.62127566575606
0dxawNvqmu3slY2V0qaECm,Shake & Pop - Radio Edit,Shake & Pop,"Green Velvet,Walter Phillips",2006-05-06,223266,29,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,techno,house",Relief,0.899,0.687,6,-6.749,1,0.182,0.000215,0.00978,0.0911,0.608,129.086,4,"['tech house', 'techno', 'house']","[ 0.2584758   0.75303075  0.3751219   1.9052192   0.96638892 -0.03758453
 -0.41042576 -2.3424135   0.20513024 -0.37694701 -0.94746745  0.33219565
 -0.52267726 -0.16203091 -0.00631083 -0.23719742]",0.2584758,0.75303075,0.3751219,1.9052192,0.96638892,-0.03758453,-0.41042576,-2.3424135,0.20513024,-0.37694701,-0.94746745,0.33219565,-0.52267726,-0.16203091,-0.00631083,-0.23719742,0.793717606,0.8019075,0,0.15905885265771313,86.3690396534034
2z0oQAn7oK1nBxzk9XmKf9,Sheeple,Sheeple,"Prok & Fitch,Green Velvet",2017-03-04,421948,24,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,techno,house",Relief,0.809,0.936,4,-5.327,0,0.0474,0.000111,0.522,0.096,0.657,124.005,4,"['tech house', 'techno', 'house']","[ 0.2584758   0.75303075  0.3751219   1.9052192   0.96638892 -0.03758453
 -0.41042576 -2.3424135   0.20513024 -0.37694701 -0.94746745  0.33219565
 -0.52267726 -0.16203091 -0.00631083 -0.23719742]",0.2584758,0.75303075,0.3751219,1.9052192,0.96638892,-0.03758453,-0.41042576,-2.3424135,0.20513024,-0.37694701,-0.94746745,0.33219565,-0.52267726,-0.16203091,-0.00631083,-0.23719742,0.862822551,0.8235139,0,0.05880611797899168,49.20108079683058
