Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3bNv3VuUOKgrf5hu3YcuRo,Someone Like You,21,Adele,2011-01-24,285240,81,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:58:00Z,soft pop,XL Recordings,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4
2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,81,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:58:50Z,"pop, indie pop, seen live, electropop, indie",Darkroom/Interscope Records,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
3hsmbFKT5Cujb5GQjqEU39,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),F.A.M.E. (Expanded Edition),"Chris Brown,Lil Wayne,Busta Rhymes",2011-03-22,222586,70,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:00Z,"r&b,rap,hip hop,east coast hip hop",Jive,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,4
6kf7ZCJjEbjZXikivKOsvJ,Clair de lune,Träumerei - Liebestraum - Für Elise - Clair de lune - Gymnopédie - Sony Classical Masters,"Claude Debussy,Alexis Weissenberg",2010-10-08,347426,60,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:13Z,"classical piano,classical",RCA Red Seal,0.365,0.01,1,-25.268,1,0.0519,0.995,0.924,0.0584,0.0364,135.048,3
29I9dv9Nq704w0Oc5yFGsR,"She’s Gone, Dance On","She’s Gone, Dance On",Disclosure,2024-05-29,226773,72,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:23Z,house,Disorder,0.534,0.943,1,-4.812,0,0.0496,0.000215,0.794,0.0929,0.375,134.004,4
6or1bKJiZ06IlK0vFvY75k,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,363521,75,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:32Z,"rap,hip hop",Aftermath,0.709,0.843,7,-2.66,1,0.314,0.395,0.0,0.799,0.625,148.134,4
5BKp7nLEzAtazOxYla2sBr,Abandon Window - Remaster 2023,Immunity,Jon Hopkins,2013-06-03,297493,43,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:46Z,"idm,ambient",Domino Recording Co,0.063,0.173,6,-26.199,1,0.053,0.804,0.836,0.0863,0.112,68.963,3
61SkRhKUIDaUG3CiP0XQU3,JOY (By My Side),JOY (By My Side),"Joy Anonymous,Sammy Virji",2024-09-17,222675,51,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:01Z,"uk garage,bassline,bass house,house",Universal-Island Records Ltd.,0.617,0.814,5,-6.063,0,0.104,0.00286,5.57e-05,0.439,0.515,131.937,4
0L7zm6afBEtrNKo6C6Gj08,Painkiller,Painkiller,Judas Priest,1990-09-26,365826,65,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:10Z,"heavy metal,metal,hard rock,glam metal",Columbia,0.435,0.987,1,-4.667,0,0.16,0.000195,0.0879,0.268,0.1,103.162,4
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,What A Wonderful World,Louis Armstrong,1968-01-01,139226,75,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:23Z,"jazz,swing music,big band,vocal jazz,jazz blues",GRP,0.271,0.165,5,-20.652,1,0.0351,0.726,1.54e-06,0.118,0.202,77.082,4
