Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,genres_list,genre_embedding
3bNv3VuUOKgrf5hu3YcuRo,Someone Like You,21,Adele,2011-01-24,285240,81,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:58:00Z,soft pop,XL Recordings,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4,['soft pop'],"[-0.4488773   0.4978565  -0.58226711  1.76707506  1.12818849  1.25882363
 -0.73865902 -2.00015068 -0.74168509 -0.05020186 -1.03590226  0.15641384
 -0.95374477  1.06673503 -0.25242102  0.2657364 ]"
2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,81,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:58:50Z,"pop, indie pop, seen live, electropop, indie",Darkroom/Interscope Records,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,"['pop', 'indie pop', 'seen live', 'electropop', 'indie']","[ 0.42627225  0.02131525  0.28765709  1.24245388 -0.14599645  0.49274249
 -1.05511635 -0.60343571 -0.56953269  0.72610708 -1.84935601  0.04927163
 -0.21462969 -1.12644097 -0.19194338  0.0049838 ]"
3hsmbFKT5Cujb5GQjqEU39,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),F.A.M.E. (Expanded Edition),"Chris Brown,Lil Wayne,Busta Rhymes",2011-03-22,222586,70,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:00Z,"r&b,rap,hip hop,east coast hip hop",Jive,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,4,"['r&b', 'rap', 'hip hop', 'east coast hip hop']","[ 0.40007235 -0.39747322  1.04105852  0.56869083  0.31986403  0.6033009
 -1.20019673 -1.66892415 -0.23549959  0.1068011  -1.03617305  0.45168932
  0.58600092 -0.61535286  0.04027065 -0.42266954]"
6kf7ZCJjEbjZXikivKOsvJ,Clair de lune,Träumerei - Liebestraum - Für Elise - Clair de lune - Gymnopédie - Sony Classical Masters,"Claude Debussy,Alexis Weissenberg",2010-10-08,347426,60,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:13Z,"classical piano,classical",RCA Red Seal,0.365,0.01,1,-25.268,1,0.0519,0.995,0.924,0.0584,0.0364,135.048,3,"['classical piano', 'classical']","[ 0.31024462 -0.81347466  0.44258978  1.33406909  0.18310887 -0.08495151
 -1.03455657 -1.82304901  0.59927673  0.02949985 -0.90356965  0.37784171
  1.49084711 -0.40547032 -0.3191675   1.34031382]"
29I9dv9Nq704w0Oc5yFGsR,"She’s Gone, Dance On","She’s Gone, Dance On",Disclosure,2024-05-29,226773,72,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:23Z,house,Disorder,0.534,0.943,1,-4.812,0,0.0496,0.000215,0.794,0.0929,0.375,134.004,4,['house'],"[-0.12012495  1.33771074 -0.08530065  1.62583506  1.24727595 -0.24727273
 -0.90834081 -2.08145452 -0.19089083 -0.62792015 -1.28587878  1.18009162
  0.55571562 -0.20439973 -0.44403455 -1.46332383]"
6or1bKJiZ06IlK0vFvY75k,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,363521,75,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:32Z,"rap,hip hop",Aftermath,0.709,0.843,7,-2.66,1,0.314,0.395,0.0,0.799,0.625,148.134,4,"['rap', 'hip hop']","[ 0.39865271 -0.55042136  0.47939714  0.53992994  0.09946881  1.57742405
 -0.82297668 -1.98824644 -0.21628813 -0.09764116 -0.61449499  1.1130648
  1.47071227 -0.93218505 -0.16127893 -0.13944362]"
5BKp7nLEzAtazOxYla2sBr,Abandon Window - Remaster 2023,Immunity,Jon Hopkins,2013-06-03,297493,43,21focq27ocnh36hhvz3btzlwy,2025-03-12T02:59:46Z,"idm,ambient",Domino Recording Co,0.063,0.173,6,-26.199,1,0.053,0.804,0.836,0.0863,0.112,68.963,3,"['idm', 'ambient']","[ 0.6641615  -1.26333881 -0.5319555   0.69840571  0.74119252 -0.06113551
 -1.2722715  -1.47833709 -0.1429791   0.42975659 -1.22174196 -0.13004517
 -0.40485516 -0.63103343 -0.05114996  0.23970605]"
61SkRhKUIDaUG3CiP0XQU3,JOY (By My Side),JOY (By My Side),"Joy Anonymous,Sammy Virji",2024-09-17,222675,51,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:01Z,"uk garage,bassline,bass house,house",Universal-Island Records Ltd.,0.617,0.814,5,-6.063,0,0.104,0.00286,5.57e-05,0.439,0.515,131.937,4,"['uk garage', 'bassline', 'bass house', 'house']","[ 0.46232554  0.28016505  0.25423494  1.72939622  0.97530213 -0.1938564
 -0.88142298 -1.78862789 -0.06535773  0.42432529 -0.5968874   0.83690973
 -0.10856254  0.07561258 -0.24264625 -0.63136145]"
0L7zm6afBEtrNKo6C6Gj08,Painkiller,Painkiller,Judas Priest,1990-09-26,365826,65,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:10Z,"heavy metal,metal,hard rock,glam metal",Columbia,0.435,0.987,1,-4.667,0,0.16,0.000195,0.0879,0.268,0.1,103.162,4,"['heavy metal', 'metal', 'hard rock', 'glam metal']","[ 0.46147069  0.34046459  0.53192173  1.47060934  0.49989013  0.43089996
 -0.99785607 -0.74163902  0.89768163  0.46679387 -1.05847234  0.9356868
 -0.39276713 -1.04474754  0.10792359  0.18702122]"
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,What A Wonderful World,Louis Armstrong,1968-01-01,139226,75,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:23Z,"jazz,swing music,big band,vocal jazz,jazz blues",GRP,0.271,0.165,5,-20.652,1,0.0351,0.726,1.54e-06,0.118,0.202,77.082,4,"['jazz', 'swing music', 'big band', 'vocal jazz', 'jazz blues']","[-0.36785553 -0.51054538  0.37291453  0.60826876  1.3941247   0.99508724
  0.15844191 -1.79373839 -0.73924975  1.6605482  -1.24403691  0.47318394
 -0.35882978 -0.71152207 -0.31793521  0.24762804]"
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Uptown Special,"Mark Ronson,Bruno Mars",2015-01-12,269666,85,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:31Z,"funk, pop, british, hip-hop, dj",Columbia,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4,"['funk', 'pop', 'british', 'hip-hop', 'dj']","[ 0.31199554 -0.50168753  0.65883843  1.04484386  0.03956541  0.75766499
 -0.56069665 -1.28161466  0.14048228  0.27156126 -1.33226377  0.73191141
  0.04113229 -0.78144984 -0.31834885  0.15267089]"
2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster,Bad 25th Anniversary,Michael Jackson,2012-09-18,257760,72,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:46Z,"pop, 80s, dance, soul, funk",Epic/Legacy,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4,"['pop', '80s', 'dance', 'soul', 'funk']","[ 0.60651074  0.35432476  0.5907801   0.89958048  0.28278634  0.67090086
 -0.73621093 -0.92313912 -0.32669446  0.49671103 -1.78865666  0.3777245
  0.31267813 -0.76747868 -0.25792603  0.04831419]"
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Speakerboxxx/The Love Below,Outkast,2003,235213,81,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:00:55Z,"southern hip hop,hip hop",Arista,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4,"['southern hip hop', 'hip hop']","[ 0.04294448 -0.39859557  1.28429407  0.59998737 -0.34669659  1.00268906
 -0.86448666 -1.95782298  0.14288198  0.62279854 -0.89195205  1.3642506
  0.8806304  -0.62101555  0.25276493 -0.57250993]"
60nZcImufyMA1MKQY3dcCH,Happy - From Despicable Me 2,G I R L,Pharrell Williams,2014-03-03,232720,80,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:01:08Z,"hip-hop, rnb, rap, hip hop, seen live",Columbia,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,4,"['hip-hop', 'rnb', 'rap', 'hip hop', 'seen live']","[ 0.58712588 -0.23576984  0.50896538  0.87162718 -0.18871729  1.31982617
 -0.83800899 -1.37134685  0.13585312  0.33055302 -0.81311853  0.9622179
  0.75695968 -1.0582775  -0.17133888  0.2625489 ]"
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Wish You Were Here,Pink Floyd,1975-09-12,334743,79,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:01:21Z,"progressive rock,psychedelic rock,classic rock,symphonic rock,art rock,rock",Pink Floyd Records,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,4,"['progressive rock', 'psychedelic rock', 'classic rock', 'symphonic rock', 'art rock', 'rock']","[-1.0363779  -0.36686525 -0.61705702  1.8052386   0.72140534  0.46103524
 -0.15657389 -1.15272199  0.07430882 -0.24501002 -1.00487794  0.43535669
 -0.06359673 -1.09733457  0.11977608  0.44094256]"
5pDsLciWKVoFt2bUBTLp4n,XLR8,DISRUPTOR LP,REAPER,2022-05-06,224137,45,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:01:33Z,"drum and bass,drumstep,dubstep",Bassrush Records,0.412,0.955,2,-1.582,1,0.385,0.0141,0.000806,0.211,0.31,173.847,4,"['drum and bass', 'drumstep', 'dubstep']","[ 1.92068903 -0.64112575 -0.42087132  0.70389822  1.04144549  0.05032643
 -0.8725694  -0.77586782  0.43246124  0.82298084 -1.56334176  0.54182106
  0.35375329 -0.26299606  0.21265907  0.48070214]"
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,In The Lonely Hour,Sam Smith,2014-05-26,172723,81,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:01:44Z,soft pop,PLG - Capitol,0.413,0.42,0,-6.444,1,0.0416,0.588,6.39e-05,0.11,0.185,84.126,4,['soft pop'],"[-0.4488773   0.4978565  -0.58226711  1.76707506  1.12818849  1.25882363
 -0.73865902 -2.00015068 -0.74168509 -0.05020186 -1.03590226  0.15641384
 -0.95374477  1.06673503 -0.25242102  0.2657364 ]"
5CaUUACiQFEf4zR5WoeIrp,If U Need It,If U Need It,Sammy Virji,2023-11-03,179999,71,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:01:54Z,"uk garage,bassline,bass house,house",Positiva,0.842,0.705,10,-5.713,0,0.26,0.113,0.000324,0.0891,0.233,132.155,4,"['uk garage', 'bassline', 'bass house', 'house']","[ 0.46232554  0.28016505  0.25423494  1.72939622  0.97530213 -0.1938564
 -0.88142298 -1.78862789 -0.06535773  0.42432529 -0.5968874   0.83690973
 -0.10856254  0.07561258 -0.24264625 -0.63136145]"
5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,"Wednesday Morning, 3 A.M.",Simon & Garfunkel,1964-10-19,185413,72,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:02:11Z,"folk rock,folk",Columbia,0.525,0.216,6,-13.551,1,0.0301,0.837,0.0,0.107,0.328,106.761,4,"['folk rock', 'folk']","[ 0.07653955 -0.0796797   0.17899559  0.34643236  0.79599938  1.02569999
 -1.35998845 -0.89868295 -0.91132151  0.58515617 -2.49211121  0.12044874
 -0.29586323 -0.60900617  0.75173789 -0.83072603]"
6NRvZuFXn2ixp8YdzUvG5n,Leave Me Like This,Quest For Fire,"Skrillex,Bobby Raps",2023-02-17,188571,53,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:02:34Z,"dubstep,edm,electro,electronic,emo rap,bass house",OWSLA/Atlantic,0.679,0.959,10,-2.323,0,0.0428,0.00169,0.604,0.238,0.337,124.997,4,"['dubstep', 'edm', 'electro', 'electronic', 'emo rap', 'bass house']","[ 0.72363749 -0.27282141  0.24417255  1.4347907   0.87648809  0.14486325
 -0.38199963 -1.55544535 -0.35373234  0.10991044 -1.26760876  0.46169454
 -0.07263672 -0.04693343 -0.28180123  0.07050778]"
4cCfprh4NrvyLGKN2rOCO7,Inhale Exhale,Quest For Fire,"Skrillex,Aluna,Kito",2023-02-17,205241,48,21focq27ocnh36hhvz3btzlwy,2025-03-12T03:02:38Z,"dubstep,edm,electro,electronic",OWSLA/Atlantic,0.737,0.809,5,-5.847,0,0.0364,0.0521,0.0102,0.0964,0.741,145.003,4,"['dubstep', 'edm', 'electro', 'electronic']","[ 0.9121145  -0.39961922  0.03929455  1.342378    1.02334418  0.01295632
 -0.36010172 -1.2038986  -0.30972897  0.46889364 -1.55224998  0.54958524
 -0.13072994  0.09458379 -0.30130339  0.44243835]"
