Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,genres_list,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,similarity_score,fit_probability,Release Year,year_distance,year_penalty,year_score,year_penalty_bin,fit_score,ridge_fitness_score,fitness_score_normalized,cosine_similarity,cosine_score_normalized,is_playlist_song,glm_probability,glm_score_normalized,cluster,cluster_score,has_metadata_match,cluster_F,cluster_A,cluster_G,cluster_J,cluster_E,cluster_C,cluster_I,cluster_D,cluster_B,cluster_H,cosine_score_normalized_2,cosine_score_normalized_3,cosine_score_normalized_4,cosine_score_normalized_5,cosine_score_normalized_6,cosine_score_normalized_7,fitness_score_normalized_2,nn_score,base_score
1nGgmuLkiyLpOjQXLe668e,Feeling Awake - Sammy Virji Remix,Hi8 Remixed,"AC Slater,Sammy Virji",2020,0.020899595860278408,0.2574046006464413,"bass house,bassline,g-house,house,uk garage",Night Bass Records,0.905,0.769,-6.718,0.234,0.0213,0.395,0.0542,0.717,131.962,"['bass house', 'bassline', 'g-house', 'house', 'uk garage']",0.2569954991340637,0.027167797088623047,0.24992408156394957,1.7001750230789185,1.0764450274407864,-0.12254560887813568,-0.6090170472860337,-1.7175230979919434,-0.18981063701212406,0.31709869056940077,-0.8826362535357475,0.7000325471162796,-0.12369042970240116,0.29430229812860487,-0.2428787738084793,-0.44257649779319763,0.6684371555511289,0.6166266,2020,0,0.0,100.0,0-5%,0,0.22029419185828025,96.57910279117009,0.8829415044871435,100.0,0,,0.0,G,23.52941176470588,0,0,0,1,0,0,0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,96.57910279117009,23.246325,86.46940810402727
5mKiwDDrwG22qKKVL6JZqF,Rhyme Dust,Rhyme Dust,"MK,Dom Dolla",2023,-0.7589812311874204,1.7084326950032696,"house,piano house,tech house",????,0.925,0.561,-8.675,0.176,0.0659,0.0271,0.152,0.721,128.034,"['house', 'piano house', 'tech house']",0.11969379087289174,0.8323220610618591,0.3067825461427371,1.928040583928426,0.9393512606620789,-0.1589802304903666,-0.6574968695640564,-2.268076181411743,0.11825745428601901,-0.2881808678309123,-0.8933496077855428,0.5850694378217062,-0.2965221305688222,-0.20780669649442038,-0.15586150561769804,-0.4533737897872925,0.6993766061592708,0.7413701,2023,3,3.0,90.3225806451613,0-5%,0,0.2091454786217259,92.91908288488085,0.8805853693551825,99.86992271921129,0,,0.0,G,23.52941176470588,0,0,0,1,0,0,0,0,0,0,0,99.86992271921129,99.86992271921129,99.86992271921129,99.86992271921129,99.86992271921129,99.86992271921129,92.91908288488085,19.491184,82.54781756230243
5Wr6bUQZoQYxXonKQCoQAt,Mezcal Bounce,Mezcal Bounce,"SOSA,Kidoo",2024,-0.46964501345769694,0.9345510446796279,"tech house,house",????,0.92,0.663,-10.826,0.185,0.00101,0.0604,0.0981,0.745,132.028,"['tech house', 'house']",0.49916475266218185,0.9222853779792786,0.2867422588169575,2.0026920437812805,1.0622001886367798,0.13760080933570862,-0.5459423661231995,-2.249651551246643,-0.06830075196921825,0.12391948699951172,-0.8973332643508911,0.349883109331131,-0.3186939060688019,0.07420803606510162,-0.24038284085690975,0.029351115226745605,0.8236482168304822,0.8027951,2024,4,4.0,87.09677419354838,0-5%,0,0.23071451824159794,100.0,0.8284406018900894,96.99111943360623,0,,0.0,G,23.52941176470588,0,0,0,1,0,0,0,0,0,0,0,96.99111943360623,96.99111943360623,96.99111943360623,96.99111943360623,96.99111943360623,96.99111943360623,100.0,21.6374,81.94407511663316
6HgxYfBRmvVsMI6Fu7LJUr,Everyday,Mafia,Mike Epsse,2021,-0.4444082751571555,-1.1936234937103871,"bass house,g-house,tech house,latin house",????,0.875,0.845,-5.329,0.232,0.0117,0.00196,0.0578,0.54,135.041,"['bass house', 'g-house', 'tech house', 'latin house']",0.6897023618221283,0.2242197785526514,0.2776277977973223,2.013717532157898,1.0038940906524658,0.26833082363009453,-0.4853123724460602,-1.7788651883602142,-0.21420745085924864,0.38805115409195423,-1.1641157567501068,-0.23280388861894608,-0.5222514872439206,0.4904226344078779,-0.6184318652376533,0.10905234515666962,0.7789238608641195,0.8092424,2021,1,1.0,96.7741935483871,0-5%,0,0.21470109143610344,94.74293941978458,0.7960248044983238,95.20151122220912,0,,0.0,G,23.52941176470588,0,0,0,1,0,0,0,0,0,0,0,95.20151122220912,95.20151122220912,95.20151122220912,95.20151122220912,95.20151122220912,95.20151122220912,94.74293941978458,18.350224,81.81524727937018
7o9HjrMOzDtQjHHBQcKadz,Don't Wanna Be,Don't Wanna Be,Lanard,2021,-0.6663877656726283,-0.03280101822492443,"bass house,g-house",????,0.918,0.719,-6.594,0.178,0.0416,0.306,0.0777,0.451,122.005,"['bass house', 'g-house']",-0.03855109214782715,0.25440120697021484,0.17245180532336235,1.6823768615722656,1.3374646306037903,0.0035589560866355896,-0.324917197227478,-1.7554696202278137,-0.2663518935441971,-0.14750253781676292,-1.5420560836791992,0.22352589666843414,-0.09865078423172235,0.6339817605912685,-0.6977835223078728,-0.39257562160491943,0.6943261395515481,0.6655094,2021,1,1.0,96.7741935483871,0-5%,0,0.15593386185290548,75.45019903367962,0.7522226209127508,92.78328450162329,0,0.00873739342338562,0.6583050519520559,H,10.294117647058822,1,0,0,0,0,0,0,0,0,0,1,92.78328450162329,92.78328450162329,92.78328450162329,92.78328450162329,92.78328450162329,92.78328450162329,75.45019903367962,74.38485,81.18388164898472
3ntViwrdY9Gc7aKTEceTfJ,Jump Around,Jump Around,"Dillon Nathaniel,Kevin McKay",2021,-1.080164508658456,0.015566584920303186,"g-house,tech house,bass house,latin house,disco house,funky house",????,0.899,0.802,-5.102,0.204,0.0911,4.23e-05,0.141,0.595,126.032,"['g-house', 'tech house', 'bass house', 'latin house', 'disco house', 'funky house']",0.5649188260237376,0.28130247816443443,0.3683830214043458,1.9882999857266743,0.9416436851024628,0.14881794402996698,-0.4098333728810151,-2.0423935453097024,0.07289620550970237,0.02780542088051637,-1.0531588792800903,-0.12078474462032318,-0.6606768472120166,0.20041446760296822,-0.3181951151539882,0.032606422901153564,0.8519474555420868,0.7994702,2021,1,1.0,96.7741935483871,0-5%,0,0.18001114096630844,83.35454808047356,0.8335243799579315,97.27178416213893,0,,0.0,G,23.52941176470588,0,0,0,1,0,0,0,0,0,0,0,97.27178416213893,97.27178416213893,97.27178416213893,97.27178416213893,97.27178416213893,97.27178416213893,83.35454808047356,13.993171,79.79501441612184
6Wo1JXT5HBSDwbuMwXboh1,Ur Soul,Ur Soul,Dillon Nathaniel,2024,-0.48307131078406185,-0.8550502716937939,"g-house,tech house,bass house,latin house",????,0.872,0.746,-8.644,0.259,0.0388,0.00224,0.13,0.77,130.032,"['g-house', 'tech house', 'bass house', 'latin house']",0.6897023618221283,0.2242197785526514,0.2776277977973223,2.013717532157898,1.0038940906524658,0.26833082363009453,-0.4853123724460602,-1.7788651883602142,-0.21420745085924864,0.38805115409195423,-1.1641157567501068,-0.23280388861894608,-0.5222514872439206,0.4904226344078779,-0.6184318652376533,0.10905234515666962,0.749517972358528,0.8005507,2024,4,4.0,87.09677419354838,0-5%,0,0.21922569901404942,96.22832642831685,0.8352759984710448,97.3684873478239,0,,0.0,A,1.4705882352941175,0,0,1,0,0,0,0,0,0,0,0,97.3684873478239,97.3684873478239,97.3684873478239,97.3684873478239,97.3684873478239,97.3684873478239,96.22832642831685,4.053723,79.56820445527383
3qCChsdUfTZhH3mpdC0Syq,Cuatrocats,NO CATS,Phlegmatic Dogs,2018,-0.04177604446702674,0.2574046006464413,"bass house,g-house,bassline",Night Bass Records,0.967,0.806,-5.671,0.297,0.13,0.459,0.283,0.575,123.987,"['bass house', 'g-house', 'bassline']",0.521159291267395,-0.18402711550394693,0.19643807162841162,1.8302240371704102,0.8949404495457808,0.08119251827398936,-0.6655604839324951,-1.5223530133565266,-0.2613280912240346,0.3709398532907168,-1.0800588230292003,0.20602103571097055,-0.31807019375264645,0.5064451272288958,-0.6507060279448827,-0.3338019847869873,0.6033297021865593,0.6321369,2018,2,2.0,93.54838709677419,0-5%,0,0.22137451325106755,96.93376235760573,0.7266844924938785,91.37337797457491,0,,0.0,J,5.88235294117647,0,0,0,0,1,0,0,0,0,0,0,91.37337797457491,91.37337797457491,91.37337797457491,91.37337797457491,91.37337797457491,91.37337797457491,96.93376235760573,16.294437,79.0731729160563
69bukaKiqhRHuPVA06WlMG,AH LORD,AH LORD,"Marten Hørger,Donkong",2021,-0.8992571486949703,-0.5164770496772005,"bass house,g-house,tech house,future house",????,0.879,0.792,-5.572,0.173,0.0234,0.493,0.128,0.37,124.951,"['bass house', 'g-house', 'tech house', 'future house']",0.28790820576250553,0.15552520751953125,0.22718171402812004,1.9412137269973755,1.2456111013889313,-0.0032407231628894806,-0.20416072942316532,-1.8032110333442688,-0.36413307022303343,0.5590426344424486,-0.8823841102421284,0.44080450385808945,-0.5406749402172863,0.17875604145228863,-0.279105088673532,0.11565558612346649,0.7979779808253046,0.7718951,2021,1,1.0,96.7741935483871,0-5%,0,0.13594026635654557,68.8864857187618,0.6780106549521284,88.68619745292435,0,0.014076229602569627,5.520428878875549,H,10.294117647058822,1,0,0,0,0,0,0,0,0,0,1,88.68619745292435,88.68619745292435,88.68619745292435,88.68619745292435,88.68619745292435,88.68619745292435,68.8864857187618,80.832985,78.00473342826979
0cWGWGVduEGJn26oDylLLz,Cramik,Cramik,Honey & Badger,2020,-0.21078482583712552,-1.1452558905651595,"bass house,g-house,tech house",????,0.965,0.951,-5.924,0.299,0.0453,0.0668,0.357,0.38,126.055,"['bass house', 'g-house', 'tech house']",0.34711742401123047,0.33855414390563965,0.33456292500098544,1.914767583211263,1.1840178966522217,0.1765307535727819,-0.2777927716573079,-1.9762626091639202,-0.15947148576378822,0.19358468304077783,-1.1976333061854045,-0.0110912024974823,-0.4634683337062597,0.5402597760160764,-0.4774327265719573,0.24562493960062662,0.7032223601201281,0.7292018,2020,0,0.0,100.0,0-5%,0,0.21482561567700775,94.7838195815445,0.650893941349784,87.18914054754072,0,,0.0,J,5.88235294117647,0,0,0,0,1,0,0,0,0,0,0,87.18914054754072,87.18914054754072,87.18914054754072,87.18914054754072,87.18914054754072,87.18914054754072,94.7838195815445,15.321642,77.54160343995213
