Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,genre_dim_0,genre_dim_1,genre_dim_2,genre_dim_3,genre_dim_4,genre_dim_5,genre_dim_6,genre_dim_7,genre_dim_8,genre_dim_9,genre_dim_10,genre_dim_11,genre_dim_12,genre_dim_13,genre_dim_14,genre_dim_15,Release Year,fit_score,is_playlist_song,cluster,has_metadata_match,cluster_A,cluster_D,cluster_E,cluster_B,cluster_C,cosine_score_normalized,cosine_score_normalized_2,cosine_score_normalized_3,cosine_score_normalized_4,cosine_score_normalized_5,cosine_score_normalized_6,cosine_score_normalized_7,fitness_score_normalized,fitness_score_normalized_2,glm_score_normalized,cluster_score
0jGmBA9jESBGNHE9FK6mST,I Wish You Were Dead,Sleepless Empire,Lacuna Coil,2025,-1.0114410905680535,0.4692261305408043,"gothic metal,symphonic metal,metal,symphonic rock,melodic metal",Century Media,0.475,0.78,-4.325,0.0286,0.000151,2.26e-05,0.376,0.347,99.035,-0.41700224578380585,-0.28465886116027833,0.2563072919845581,1.5425946712493896,0.5737201623618603,0.25873326808214187,-0.8997363686561585,-1.0758158147335053,0.6800769001245499,0.704869219660759,-0.75793861374259,0.5364798173308373,-1.2037102937698365,-0.6879924297332763,0.43162102699279786,0.37444792985916137,2025,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
2zSb2Db4kNYH5qIs5V3BgG,Screaming Suicide,72 Seasons,Metallica,2023,1.171169677067729,0.2149439618775114,"metal,thrash metal,rock,heavy metal,hard rock",Blackened Recordings,0.425,0.972,-3.448,0.045,2.42e-05,0.0202,0.239,0.282,101.125,-0.16251314133405687,0.45519343130290507,0.08433156125247479,1.7370473861694335,0.39441415360197424,0.13958132187835873,-1.1267805248498917,-0.46812650160863994,0.30043599286000244,0.5083354249596596,-1.1572006242349744,0.8958695823326707,-0.05959950312972069,-1.1823402244597674,0.54682886172086,0.26576626040041446,2023,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
08IpZZZPvzDMED3oq9F8Or,Floods of Triton,Floods of Triton,"Mastodon,Lamb of God",2024,0.33123165081805234,0.5327966727066276,"progressive metal,sludge metal,metal,stoner rock,groove metal,heavy metal,nu metal,death metal",Loma Vista Recordings,0.466,0.989,-2.752,0.113,6.9e-05,0.000919,0.301,0.137,102.521,0.3265789574943483,-0.33591970917768776,0.3601165874861181,1.793872520327568,0.8084347023977898,0.33243911850149743,-0.9712496297433972,-0.5725128467311151,0.3427734657707333,0.6233162647113204,-0.8108075159834698,0.49797873722855,-0.3121688566170633,-0.8852917079348117,0.24466164933983237,0.5032929296139628,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
6V65rowmWJM1QeAM4Nk4BG,Residue,Residue,Kerry King,2024,0.45204087407771915,-0.1029087489516047,"thrash metal,metal",Reigning Phoenix Music,0.255,0.956,-2.907,0.225,0.000323,3.57e-05,0.074,0.102,158.771,-0.024106919765472412,0.36290375888347626,0.6694267885759473,1.7138655185699463,0.15071160346269608,-0.2714027017354965,-1.0307876765727997,-0.4582976698875427,0.8629576954990625,0.2925267145037651,-1.4825698137283325,1.2527634799480438,-0.50478695333004,-0.9232432544231415,1.0098989009857178,0.3138219714164734,2024,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
4AFjPeecGnS3999PV5iOSK,Mea Culpa (Ah! Ça ira!),Mea Culpa (Ah! Ça ira!),"Gojira,Marina Viotti,Victor Le Masne",2024,-0.9992980732672533,1.1049315521990366,"metal,progressive metal,groove metal,death metal,djent",BMG Rights Management (UK) Ltd.,0.206,0.89,-5.277,0.0468,0.00144,0.0975,0.356,0.249,90.349,0.6234215438365937,0.0526128351688385,0.5800594210624694,1.7781276941299438,0.6847465455532074,0.0363874807197135,-0.652278833091259,-0.6715743362903595,0.39427432864904405,0.47892853915691375,-0.8472321331501007,0.6510705947875977,-0.818907505273819,-1.330946433544159,-0.036480121314525604,0.47698872089385985,2024,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
6lF3rwnMFBlbZeCWwZTWoS,The Gallows,The Gallows,Black Label Society,2024,-0.20979496546578724,-0.1029087489516047,"groove metal,metal,heavy metal",MNRK Music,0.378,0.942,-4.777,0.0891,0.000259,6.74e-06,0.341,0.431,158.063,0.5324610012272993,-0.0031611702094475427,0.896402924011151,1.541258732477824,0.7197098035054902,0.6897244489906976,-0.9069346437851588,-0.7008188399486244,0.9674384081251143,0.6436580593387285,-0.9506356148049235,0.663362710736692,-0.8715023634334406,-0.9228074681013823,0.0031781336292624474,0.5128902451445659,2024,1,1,C,1,0,0,0,0,1,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
2XXXvrIkEBtR3LlbfJExpJ,Perfume Of The Timeless,Perfume Of The Timeless,Nightwish,2024,3.401800558574858,0.024232335380041745,"symphonic metal,gothic metal,power metal,symphonic rock,melodic metal,metal,folk metal",Nuclear Blast,0.479,0.682,-10.11,0.0326,0.00354,0.018,0.109,0.23,128.026,-0.1958486863545009,-0.07938603843961443,0.1443542880671365,1.4996149029050554,0.7189379371702671,0.2183035875537566,-1.1405120832579476,-0.9075708261557988,0.54507634469441,0.8660541581256049,-0.6423951807831015,0.9273287813578334,-1.0929117841379983,-0.7957509415490287,0.5229798555374146,0.5587195158004761,2024,1,1,B,1,0,0,0,1,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
69rXxY0Vbo9Z2BCYfKlWdF,Night Terror - Radio Edit,Night Terror,Dream Theater,2024,1.5944780199502873,-0.16647929111742793,"progressive metal,progressive rock,metal",InsideOutMusic,0.279,0.951,-5.832,0.065,0.000638,0.0105,0.0862,0.35,107.205,0.16653170188268027,-0.11398358643054962,0.6786055862903595,1.837541937828064,0.6871991753578186,0.17915301521619162,0.13801128913958868,-0.9086203475793203,0.7132832383116087,0.07853906850020091,-1.0297122597694397,0.3623903691768646,-0.6678220729033152,-1.2920743028322856,0.5845892801880836,0.6886318922042847,2024,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
2wwxE7Ww8UfcDtXCiLlnsB,"No Loss, No Love",Tsunami Sea,Spiritbox,2025,-0.9536789650894739,0.7235082992040972,"metalcore,djent,metal",Rise Records,0.594,0.942,-5.56,0.192,0.000194,0.135,0.107,0.249,137.035,0.8249970575173696,-0.49386052290598553,0.16759537160396576,2.112483541170756,0.8435576359430949,-0.0036458846201033643,-0.9509133696556091,-0.31318087379137677,0.5726931691169739,0.16143853962421417,-0.7044953405857086,0.8416370035459598,-0.08527997136116028,-1.2532679835955303,0.7063830221692721,0.174697607755661,2025,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
3LmcjJ7e4tlRqwYs2VNRq0,While We Serve,The Forgotten,Orbit Culture,2023,1.6133824900663059,0.27851450404333467,"melodic death metal,metal,groove metal,deathcore,death metal",Seek & Strike,0.451,0.992,-2.651,0.131,0.000413,0.00238,0.107,0.0398,104.531,0.37304983735084535,0.1250995695590973,0.6578111112117767,1.4213759541511535,0.3324945330619812,0.14661481976509094,-0.9795114636421204,-1.1617847859859467,0.28465075194835665,0.745180544257164,-0.8199088186025619,0.29732754826545715,-0.9783270068466663,-0.969205641746521,0.09428439140319825,0.8262322008609772,2023,1,1,E,1,0,0,1,0,0,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,48.978235879299504,73.02028965800909,73.02028965800909,0.0,27.401477832512317
