Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
46aZJc0z1HHHSFxaIRxYSP,"Breakin' Dishes","Good Girl Gone Bad: Reloaded","Rihanna",2008-06-02,200573,86,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-29T12:32:55Z,"","Def Jam Recordings",0.801,0.674,8,-4.185,0,0.031,0.000282,0.000139,0.0914,0.875,125.009,4
5Ssv6DaKrW0HczVqx6zXdl,"Diva","I AM...SASHA FIERCE","Beyoncé",2008-11-14,200613,76,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"","Music World Music/Columbia",0.875,0.551,6,-6.744,0,0.317,0.0488,0.00728,0.0537,0.861,146.092,4
6ic8OlLUNEATToEFU3xmaH,"Gimme More","Blackout","Britney Spears",2007-10-25,251240,83,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"pop","Jive",0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4
3dFwpxh2yH7C7p9BGEKLVB,"Goodies (feat. Petey Pablo)","Goodies","Ciara,Petey Pablo",2004-09-27,223000,68,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"crunk,southern hip hop","So So Def",0.826,0.647,5,-6.306,0,0.0491,0.0277,0.00000152,0.298,0.872,102.017,4
0BxfFnk0YzONqvmrkO0QrB,"Don't Cha","PCD","The Pussycat Dolls,Busta Rhymes",2005-01-01,272080,73,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"east coast hip hop","Pussycat Dolls",0.875,0.63,1,-3.475,1,0.0994,0.00546,0.00000247,0.127,0.548,120.016,4
6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,83,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
0eqH0ALoDQevq59YcQ53KE,"Hollaback Girl","Love. Angel. Music. Baby.","Gwen Stefani",2004-11-12,199853,71,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"","Interscope",0.926,0.916,10,-2.221,0,0.0929,0.35,0.00000601,0.0234,0.904,110.009,4
3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,82,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
7k6IzwMGpxnRghE7YosnXT,"Me & U","Cassie (U.S. Version)","Cassie",2006-08-07,192213,77,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"","Bad Boy Records",0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,4
4TsmezEQVSZNNPv5RJ65Ov,"Pon de Replay","Music Of The Sun","Rihanna",2005-08-29,246960,79,31yvaf3sjgqdyxhglwl5rqrp3oxe,2024-12-20T11:35:57Z,"","Def Jam Recordings",0.779,0.64,7,-8.415,1,0.159,0.000155,0.000766,0.101,0.499,99.017,4
