Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4RY96Asd9IefaL3X4LOLZ8,"In Da Club","Get Rich Or Die Tryin'","50 Cent",2003-02-06,193466,74,,2024-12-06T05:00:00Z,"east coast hip hop","Shady Records",0.904,0.72,6,-2.776,0,0.348,0.259,0,0.0749,0.805,90.062,4
7m97yKVzPpXV9Z4ezEziOD,"Big Pimpin'","Vol. 3... Life And Times Of S. Carter","JAY-Z,UGK",1999-12-28,283066,67,,2024-12-06T05:00:00Z,"hip hop,east coast hip hop,rap,southern hip hop","Roc-A-Fella",0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,4
1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West,Jamie Foxx",2005-08-30,207626,80,,2024-12-06T05:00:00Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
5wfllwdjglyQislkskYLBv,"Day 'N' Nite (nightmare)","Man On The Moon: The End Of Day (Deluxe)","Kid Cudi",2009-01-01,221240,71,,2024-12-06T05:00:00Z,"","Kid Cudi/Universal Records",0.881,0.442,11,-6.278,0,0.0651,0.48,0.00000908,0.12,0.803,138.014,4
0JPntF36B28bSTUkjplyNd,"Walk It Out","Beat'n Down Yo Block","Unk",2006-10-03,173040,62,,2025-01-25T01:36:50Z,"crunk,southern hip hop","eOne Music",0.793,0.777,1,-3.696,0,0.0816,0.0982,0,0.202,0.705,160.018,4
05Sgj1Hx03ZXc57gsV1kfX,"It's Goin' Down (feat. Nitti)","New Joc City","Yung Joc,NITTI",2006-06-06,241840,65,,2024-12-06T05:00:00Z,"crunk,southern hip hop,east coast hip hop","Bad Boy Records",0.888,0.577,1,-7.702,0,0.0612,0.0986,0,0.131,0.609,84.003,4
0CAJdthKDdRjB2h8YOguN6,"What You Know","King","T.I.",2006-03-26,274333,65,,2024-12-06T05:00:00Z,"southern hip hop","Grand Hustle, LLC",0.551,0.81,11,-4.365,1,0.0344,0.0155,0,0.169,0.332,73.464,4
5mEwhCsqadBZIE7SSrv1gC,"Down And Out","Purple Haze","Cam'ron,Kanye West,Syleena Johnson",2004-01-01,248626,55,,2024-12-06T05:00:00Z,"east coast hip hop,rap,neo soul","Roc-A-Fella",0.74,0.841,6,-2.891,0,0.237,0.0232,0,0.111,0.673,83.007,4
3wMUvT6eIw2L5cZFG1yH9j,"Country Grammar (Hot Shit)","Country Grammar","Nelly",2000-06-27,287000,69,,2024-12-06T05:00:00Z,"","Motown",0.881,0.663,2,-6.822,1,0.0827,0.00683,0,0.142,0.586,81.374,4
6ScJMrlpiLfZUGtWp4QIVt,"A Milli","Tha Carter III","Lil Wayne",2008-06-10,221840,69,,2024-12-06T05:00:00Z,"rap,hip hop","CM/Republic",0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486,4
1dHJETCn2X1R1YwVlMvSza,"Wanna Get To Know You","Beg For Mercy","G-Unit,Joe",2003-01-01,265026,63,,2024-12-06T05:00:00Z,"gangster rap,r&b,quiet storm,smooth r&b","G-Unit Records",0.513,0.826,10,-3.651,0,0.132,0.106,0,0.0675,0.889,76.91,1
5NiUrZVKyLpsyj62Roq5FW,"The Light","Like Water For Chocolate","Common",2000-01-01,261693,55,,2024-12-06T05:00:00Z,"hip hop,jazz rap","Geffen*",0.939,0.727,4,-4.349,0,0.235,0.0343,0,0.0855,0.66,96.968,4
5z7mYFfhw6N6f23VwrokJD,"The Way You Move (feat. Sleepy Brown)","Speakerboxxx/The Love Below","Outkast,Sleepy Brown",2003,234000,71,,2024-12-06T05:00:00Z,"southern hip hop,hip hop","Arista",0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,4
4ToZV7r72wSbVrljaLSp13,"Livin' It Up","Pain Is Love","Ja Rule,Case",2001-10-02,257133,47,,2024-12-06T05:00:00Z,"east coast hip hop,r&b,quiet storm,smooth r&b","Universal Records",0.875,0.774,6,-4.087,1,0.309,0.0547,0,0.0414,0.606,106.027,4
6nz35DNIzbtj5ztpDEcW1j,"Kick, Push","Lupe Fiasco's Food & Liquor","Lupe Fiasco",2006-06-27,254466,61,,2024-12-06T05:00:00Z,"","Atlantic Records",0.652,0.809,5,-5.276,1,0.17,0.164,0,0.175,0.512,94.786,4
7FrJV8tydWEv1Mxu2mIQrm,"Beautiful","Paid Tha Cost To Be Da Bo$$","Snoop Dogg,Pharrell Williams,Charlie Wilson",2002-01-01,298306,70,,2024-12-06T05:00:00Z,"g-funk,west coast hip hop,gangster rap,hip hop,rap,sexy drill","Parlophone",0.907,0.695,11,-6.268,0,0.135,0.246,0,0.0808,0.961,101.007,4
4ns1XFP3W5JPyzvnAjMdHD,"Int'l Players Anthem (I Choose You) (feat. Outkast)","UGK (Underground Kingz)","UGK,Outkast",2007-08-07,259040,63,,2024-12-06T05:00:00Z,"southern hip hop,hip hop","Jive",0.675,0.68,4,-5.01,0,0.256,0.0655,0,0.354,0.845,155.698,4
2HoDr1yVksl19omOhc1zWy,"Hip-Hop","Let's Get Free","Dead Prez",2000-02-08,214066,59,,2024-12-06T05:00:00Z,"east coast hip hop,hardcore hip hop,hip hop","LOUD Records",0.725,0.737,4,-7.453,1,0.324,0.000633,0.00417,0.109,0.219,77.162,4
2wGSgTmgSF3xjRrHkTc25R,"Hate It Or Love It","The Documentary","The Game,50 Cent",2005,206400,79,,2024-12-06T05:00:00Z,"west coast hip hop,gangster rap,hip hop,east coast hip hop","Geffen",0.802,0.785,9,-4.781,1,0.207,0.14,0,0.123,0.435,99.998,4
2tOZtdbkAMQASWokLvSlzj,"Overnight Celebrity (feat. Miri Ben-Ari)","Kamikaze","Twista,Miri Ben-Ari",2004-01-27,233360,66,,2024-12-06T05:00:00Z,"bachata,bachata pop","Atlantic Records",0.828,0.792,10,-5.435,0,0.179,0.182,0,0.281,0.777,134.199,4
2fE1hcjUxlLxXrZusTEJlq,"Hey Ma","Come Home With Me","Cam'ron,Juelz Santana,Freekey Zeekey,Toya",2002-01-01,220960,63,,2024-12-06T05:00:00Z,"east coast hip hop","Roc-A-Fella",0.771,0.673,8,-5.045,1,0.366,0.0293,0.00000297,0.364,0.947,90.361,4
0s46SltT4On0Z6kglK1I5c,"I Just Wanna Love U (Give It 2 Me)","The Dynasty: Roc La Familia","JAY-Z",2000-10-31,227866,58,,2024-12-06T05:00:00Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.8,0.922,4,-5.125,0,0.24,0.301,0.00000931,0.0352,0.801,98.631,4
7sZCAHP2duHwr5M5K7lHsb,"Selfish","Detroit Deli (A Taste Of Detroit)","Slum Village,John Legend,Kanye West",2004-01-01,225400,62,,2024-12-06T05:00:00Z,"jazz rap,soft pop,neo soul,rap","Priority Records",0.71,0.597,7,-6.468,1,0.239,0.221,0,0.432,0.49,95.769,4
73Ijn0pKw1YJVP4OO4jUl7,"Can I Have It Like That","In My Mind","Pharrell Williams,Gwen Stefani",2006-01-01,235360,46,,2024-12-06T05:00:00Z,"","Virgin Records",0.745,0.525,7,-7.532,1,0.239,0.129,0,0.0811,0.376,100.99,4
6SmPPtaMnfxgz5duA6t9Cu,"Throw Some D's","Rich Boy","Rich Boy,Polow Da Don",2007-01-01,263920,60,,2024-12-06T05:00:00Z,"southern hip hop,crunk","Zone 4 / Rich Boy / IGA",0.697,0.86,11,-5.181,1,0.43,0.0368,0,0.0721,0.433,160.895,4
0UaMYEvWZi0ZqiDOoHU3YI,"Lose Control (feat. Ciara & Fat Man Scoop)","The Cookbook","Missy Elliott,Ciara,Fatman Scoop",2005-07-04,226863,67,,2024-12-06T05:00:00Z,"hip hop","Atlantic Records/ATG",0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,4
4X1odWLrLSSahaK6Hi15AA,"Oh Boy","Come Home With Me","Cam'ron,Juelz Santana",2002-01-01,204706,63,,2024-12-06T05:00:00Z,"east coast hip hop","Roc-A-Fella",0.758,0.768,6,-5.603,1,0.174,0.0237,0,0.141,0.824,83.033,4
0Uc706myy6Th7I6KQ9xA1x,"So What","Light Poles And Pine Trees","Field Mob,Ciara",2006-01-01,216000,57,,2024-12-06T05:00:00Z,"southern hip hop","DTP/Geffen",0.931,0.486,6,-10.558,1,0.139,0.0579,0,0.161,0.896,120.026,4
6cAldqwmbUwpM8D17FWtPL,"Mr. Me Too","Hell Hath No Fury","Clipse",2006-11-27,221906,46,,2024-12-06T05:00:00Z,"southern hip hop","Arista",0.683,0.581,7,-7.077,1,0.316,0.337,0,0.208,0.708,90.984,4
6rUcS9i07F6okIe8wujs5J,"Lemonade","The State vs. Radric Davis (Deluxe)","Gucci Mane",2009-12-04,246013,63,,2024-12-06T05:00:00Z,"southern hip hop,rap,trap","Asylum/Warner Records",0.741,0.658,7,-7.758,1,0.0853,0.643,0.00000343,0.307,0.746,142.057,4
5TRPicyLGbAF2LGBFbHGvO,"Flashing Lights","Graduation","Kanye West,Dwele",2007-09-11,237506,84,,2024-12-06T05:00:00Z,"rap,neo soul,smooth r&b","Roc-A-Fella",0.639,0.628,6,-7.578,0,0.0398,0.0381,0,0.386,0.43,90.482,4
