Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2BHj31ufdEqVK5CkYDp9mA,"Mayonaka no Door / Stay With Me","Miki Matsubara Best Collection","Miki Matsubara",2008,312293,75,mertoloji50,2021-02-12T11:55:13Z,"city pop,j-pop","PONY CANYON INC.",0.658,0.747,5,-6.615,1,0.0431,0.176,0.00000849,0.0789,0.792,108.259,4
5N6lcz1UZJVaX2gFjREz5c,"Flyday Chinatown by Yasuha","Flyday Chinatown by Yasuha","MesmoLate",2020-12-05,205139,0,mertoloji50,2021-02-12T11:57:29Z,"","2159870 Records DK",0.642,0.603,1,-12.461,1,0.0469,0.21,0.0000208,0.184,0.744,123.34,4
2lV8YY0GQYXgtUWXM4NJ4X,"4:00A.M.","Mignonne","Taeko Onuki",1978,336960,0,mertoloji50,2021-02-12T11:57:20Z,"city pop,shibuya-kei,j-pop","Sony Music Direct (Japan) Inc.",0.631,0.769,1,-6.918,1,0.0372,0.276,0.000375,0.0789,0.834,103.395,4
7rU6Iebxzlvqy5t857bKFq,"Plastic Love","Expressions","Mariya Takeuchi",2008-05-21,294493,65,mertoloji50,2021-02-12T11:57:24Z,"city pop,kayokyoku,j-pop","WM Japan",0.648,0.875,2,-5.141,0,0.034,0.0747,0.0000964,0.196,0.857,102.517,4
4xu0gZ96zx1G7UdajUGDqD,"私達を信じていて","Angel Touch","Cindy",1990,352560,56,mertoloji50,2021-02-12T11:57:59Z,"city pop","Sony Music Direct (Japan) Inc.",0.692,0.754,0,-5.954,1,0.0313,0.605,0.00001,0.0687,0.653,116.722,4
0rMCyuZ1Ltsb5yi7ls0s14,"Must Be Lucky　〜愛の国へ〜","Angel Touch","Cindy",1990,292666,51,mertoloji50,2021-02-12T11:58:21Z,"city pop","Sony Music Direct (Japan) Inc.",0.739,0.754,5,-5.385,0,0.0501,0.211,0.00000589,0.122,0.834,115.465,4
3nByGKtrUugm8bfsNGazAV,"Telephone Number","TOKYO - CITY POP -","Junko Ohashi",2020-11-01,239013,0,mertoloji50,2021-02-12T11:58:40Z,"city pop,kayokyoku,j-pop","UMG Recordings, Inc.",0.604,0.632,7,-6.408,1,0.0492,0.365,0.00013,0.0633,0.857,94.657,4
0VGSlDthFLbr5Lp1P6DFuK,"F・L・Y","オプティカル・サンライズ／スペクトラム２","Spectrum",1991-01-21,210389,61,mertoloji50,2021-02-12T12:01:40Z,"city pop","Victor",0.624,0.845,7,-6.974,1,0.075,0.0988,0.000587,0.275,0.948,89.606,4
0JUWF44gfMszGNhjCF7Ufs,"Midnight Pretenders","浮遊空間","Tomoko Aran",1983,345266,62,mertoloji50,2021-02-12T12:04:18Z,"city pop","WM Japan",0.757,0.337,0,-14.937,0,0.0313,0.2,0,0.0677,0.559,92.864,4
1DWfjSM4lKBjg7hQLwYkr2,"ひと夏のタペストリー","浮遊空間","Tomoko Aran",1983,269933,50,mertoloji50,2021-02-12T12:05:21Z,"city pop","WM Japan",0.879,0.573,10,-11.974,1,0.129,0.154,0.000153,0.119,0.808,127.613,4
5LZja1KAke25BqjsidAcsq,"Good Bye Boogie Dance","Bi・Ki・Ni","Anri",1983-06-05,272093,56,mertoloji50,2021-02-12T12:05:38Z,"city pop,kayokyoku,j-pop","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.775,0.842,1,-5.126,0,0.033,0.113,0.00767,0.0598,0.961,122.788,4
