Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0E3HnGJSMplqBSYGsh2exH,"Running in the Night","Atlas","FM-84,Ollie Wride",2016-04-25,270000,57,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,vaporwave,synthpop,chillwave","FM-84",0.527,0.714,2,-8.929,0,0.0371,0.00664,0.00000116,0.0672,0.375,133.015,4
5caIlq2BbPS6aTEVsobSZA,"Purification","Purification","Daniel Deluxe",2016-03-12,190902,44,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,darkwave,vaporwave","Daniel Deluxe",0.491,0.698,11,-8.353,1,0.0437,0.654,0.656,0.0827,0.323,179.794,4
4kmVLM6YIGZBuZqlaShJA1,"Tokyo Burnout","The Chase: Last Run","TOKYO ROSE",2017-12-22,253592,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,darkwave","NRW Records, under exclusive license to NewRetroWave. LLC",0.55,0.76,6,-6.177,1,0.0492,0.0158,0.297,0.254,0.178,115.029,4
5jAC1CFdCLUJdcsovf49TR,"Southbound","Endless Echoes","Lucy In Disguise",2016-01-01,300695,42,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,chillwave,vaporwave","Innerworks Records",0.641,0.845,7,-9.287,1,0.0365,0.0359,0.909,0.0842,0.192,95,4
6lERLuroPxJR48zsUfNqlD,"Street Race","The Chase: Last Run","TOKYO ROSE",2017-12-22,229102,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,darkwave","NRW Records, under exclusive license to NewRetroWave. LLC",0.63,0.839,2,-9.204,1,0.102,0.00177,0.895,0.121,0.185,110.027,4
1E8XakG7zdkUmfQXL8emVh,"Hot Pursuit","The Chase: Last Run","TOKYO ROSE",2017-12-22,205429,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,darkwave","NRW Records, under exclusive license to NewRetroWave. LLC",0.642,0.756,7,-8.933,1,0.0459,0.0814,0.82,0.25,0.0502,117.983,4
55ACS6JsMV0OXSaLswoIEw,"'85 Again (feat. Miss K)","Crystal City","Robert Parker,Miss K",2016-03-25,209280,45,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,vaporwave,hi-nrg,spoken word","NRW Records, under exclusive license to NewRetroWave, LLC",0.708,0.863,0,-5.954,1,0.03,0.00255,0.0103,0.179,0.961,125.012,4
5jbk5tE4Zmvixc9wXCJ8FG,"River of Darkness","Nocturnal","The Midnight,Timecop1983",2017-10-14,365778,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,synthpop,vaporwave,chillwave","The Midnight",0.516,0.798,3,-4.979,0,0.0334,0.00509,0.158,0.157,0.134,130.01,4
4jEy6jXHWcOKXsVfIV5lR2,"Jason (feat. Nikki Flores)","Endless Summer","The Midnight,Nikki Flores",2016-08-05,331743,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,synthpop,vaporwave,chillwave","The Midnight",0.527,0.768,0,-8.28,1,0.0297,0.00634,0.00154,0.153,0.649,161.935,4
7LUIDrW2Q01WUTjNiCipHA,"Vampires","Endless Summer","The Midnight",2016-08-05,317228,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,synthpop,vaporwave,chillwave","The Midnight",0.535,0.823,1,-7.021,1,0.0353,0.00297,0.14,0.103,0.32,114.942,4
4E0SwMbCpOG8KvPQzsw1o8,"Days of Thunder","Days of Thunder","The Midnight",2014-07-15,324018,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,synthpop,vaporwave,chillwave","Independent",0.47,0.834,0,-9.156,0,0.0368,0.0000654,0.00095,0.372,0.184,162.91,4
5KDVubXIvjwQjAGVlk2DnD,"Sunset","Endless Summer","The Midnight",2016-08-05,326520,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,synthpop,vaporwave,chillwave","The Midnight",0.626,0.706,0,-7.333,1,0.0269,0.00114,0.00255,0.222,0.378,113.994,4
18QnuOfBATMFLDxfYwSqbX,"Lost & Found","Lost & Found","The Midnight",2015-11-28,350886,43,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,synthpop,vaporwave,chillwave","The Midnight",0.552,0.647,10,-9.247,0,0.035,0.0581,0.000539,0.0949,0.381,157.945,4
6TjXFcSIIOofr3sREFezmg,"Shadows","Nocturnal","The Midnight",2017-10-14,387857,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,synthpop,vaporwave,chillwave","The Midnight",0.458,0.742,6,-6.633,0,0.0677,0.0362,0.00000222,0.101,0.186,161.711,4
1QGJYmhA8t4aPP94U9sf1I,"Sunset","Sunset","The Midnight",2016-05-13,326520,0,maximilianmcqueen,2021-01-14T18:52:06Z,"synthwave,synthpop,vaporwave,chillwave","The Midnight",0.626,0.706,0,-7.333,1,0.0269,0.00114,0.00255,0.222,0.378,113.994,4
