Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6LjEAMtB3INMAeUqyHnE2F,"It's Good to See You Again!!","Take Care of Yourself","Adrianwave",2016-06-09,234240,39,hiperio,2025-03-11T23:30:00Z,"city pop,vaporwave","SECTOR 7",0.707,0.757,1,-9.052,1,0.316,0.00345,0.000294,0.108,0.905,124.986,4
4Csx4Aei3Kd4qHRj3DSjAv,"Ever Dreamer","Ever Dreamer","Kouek",2025-03-12,295846,15,hiperio,2025-03-11T23:30:00Z,"vaporwave,city pop,french house","kouek",0.563,0.575,10,-7.629,0,0.0578,0.00262,0.427,0.131,0.407,130.111,4
21JcSs9Zkdc2kuNzoLBcbz,"Bbrown","Pleasure","BarbWalters",2019-03-09,218947,23,hiperio,2025-03-11T23:30:00Z,"vaporwave,french house,city pop,nu disco","709344 Records DK",0.757,0.677,7,-8.886,1,0.125,0.00855,0.00649,0.304,0.564,114.11,4
7EVcWn01jYBTgrP21Q2Obl,"Without You","Satisfaction","Jingoro",2025-02-22,182862,16,hiperio,2025-03-11T23:30:00Z,"vaporwave,city pop","4314720 Records DK",0.648,0.798,0,-7.52,1,0.331,0.00173,0.000737,0.379,0.704,126.033,4
4FZvNgmq2SlS5mnZJ2RVfY,"KYOTO K-HOLE 通りが赤くなる","KYOTO K-HOLE 通りが赤くなる","QB9",2025-03-01,214285,7,hiperio,2025-03-11T23:30:00Z,"french house,nu disco,vaporwave","qb9music",0.662,0.796,3,-10.852,1,0.104,0.0073,0.00669,0.105,0.491,140.04,4
24SSDi6mOj9aIYLdE8KPvv,"Sweet Spot - Instrumental","Sweet Spot (Extended)","Vantage",2022-08-12,336190,3,hiperio,2025-03-11T23:30:00Z,"city pop,vaporwave","FFRR",0.81,0.707,6,-8.441,0,0.0621,0.204,0.528,0.284,0.357,126.044,4
4TFe1ipjnY4bvn3FpdQaBF,"Mirage","Mirage","blip_,Daniel Fowler",2025-02-14,269538,6,hiperio,2025-03-11T23:30:00Z,"nu disco,vaporwave,city pop,french house","Pacific Collective",0.716,0.877,10,-7.125,0,0.044,0.000468,0.508,0.656,0.598,130.034,4
6ZfE9HUqFtARAdy0U0W01N,"personagroove4","personagroove4","Corrout",2025-03-07,177782,10,hiperio,2025-03-11T23:30:00Z,"city pop,nu disco","Pacific Collective",0.865,0.867,5,-9.221,0,0.334,0.000962,0.354,0.175,0.621,135.003,4
0ooxYq7e25Hc9n3pvZR4F4,"Vignette","Creux La Nuit: Volume 2","CitrikkAcid",2024-09-28,200400,3,hiperio,2025-03-11T23:30:00Z,"french house,nu disco","Creux La Nuit",0.75,0.466,10,-12.953,0,0.273,0.0332,0.000312,0.0907,0.504,124.993,4
7mAaLUQE4ogRFkDfYeeE41,"Lazy With Love","Caramel","Hot Singles",2024-07-28,182857,3,hiperio,2025-03-11T23:30:00Z,"vaporwave,nu disco,city pop","Hot Singles",0.795,0.878,10,-6.134,0,0.419,0.00631,0.42,0.147,0.577,126.003,4
