Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6JdPAzD9rtka9aF84WkQsY,"Boyz N Da Club","Boyz N Da Club","Shermanology",2021-04-30,377000,38,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house","D'EAUPE",0.861,0.78,7,-5.994,1,0.0944,0.00205,0.464,0.0824,0.683,128.956,4
4Nm8xafLTXLLS1MtRJKxQo,"Do It To It","Do It To It (Tiësto Remix)","ACRAZE,Cherish",2022-02-25,157890,23,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house","Thrive Music",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4
6vrWEAPEkVibDYNY14RbGe,"Feel You - Mixed","Detroit Love Vol. 5","Chuck Daniels,Shaun J. Wright",2021-04-16,247594,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"funky house","Planet E Communications",0.803,0.919,1,-6.227,1,0.0554,0.00000471,0.953,0.0743,0.301,126.973,4
3NPfKJqusohaQ64qPBHSKy,"Speaker Burner","The Dream","Raito",2017-02-10,360504,10,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"acid techno,techno,hard techno","Boysnoize Records",0.757,0.989,7,-4.003,1,0.164,0.000146,0.863,0.0535,0.222,128.003,4
7zeLde3gh0DqBUcEGmnAEh,"Genesis","9 Moor Drive","Yousef,Harry Romero",2019-09-20,257006,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house","Modern Sky UK",0.731,0.904,11,-6.952,0,0.0766,0.00316,0.0171,0.0473,0.504,126.984,4
6PhzrPtrqWKIbcEotd0h31,"In Hypnose - Acid Mix","In Hypnose","Deborah de Luca,Marika Rossa",2018-04-30,425625,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"techno,acid techno,hard techno,tekno,minimal techno","Fresh Cut",0.746,0.955,1,-7.411,1,0.0426,0.00173,0.85,0.0903,0.0899,128.001,4
6E1VvKBTi0FtLhE8b6GxbE,"Insomnia 2021 - Epic Edit","Insomnia 2021","Maceo Plex,Faithless",2021-06-11,288238,46,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"melodic techno,techno,minimal techno,tech house,trip hop","Ministry of Sound Recordings",0.643,0.968,4,-5.323,0,0.0589,0.029,0.0426,0.0994,0.23,126.028,4
52KoX8r4YfoObhLamYBz68,"Paloma","Paloma","Will Taylor (UK)",2021-05-28,211000,19,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house","Saved Records",0.791,0.861,5,-7.965,0,0.0563,0.0105,0.59,0.0837,0.365,128.011,4
6GDfe6clOqjn2GIGrV8hS2,"Pop It","Pop It","Cloonee",2021-03-12,214865,33,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house,latin house,techno","CLNE",0.841,0.602,11,-7.87,1,0.0602,0.0107,0.152,0.141,0.904,129.984,4
0dxawNvqmu3slY2V0qaECm,"Shake & Pop - Radio Edit","Shake & Pop","Green Velvet,Walter Phillips",2006-05-06,223266,29,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,techno,house","Relief",0.899,0.687,6,-6.749,1,0.182,0.000215,0.00978,0.0911,0.608,129.086,4
2z0oQAn7oK1nBxzk9XmKf9,"Sheeple","Sheeple","Prok & Fitch,Green Velvet",2017-03-04,421948,24,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,techno,house","Relief",0.809,0.936,4,-5.327,0,0.0474,0.000111,0.522,0.096,0.657,124.005,4
3YbIgPR5SnjwGdtfiyPtHX,"Take Control","Take Control","Melé,Bontan,Clementine Douglas",2021-07-16,201099,17,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tribal house,latin house,tech house,disco house,afro house","Defected Records",0.696,0.802,0,-8.32,1,0.079,0.044,0.085,0.285,0.627,126.011,4
2FTSamS6mhAe4zqlAM1TsU,"Like This","Essential","Truth x Lies",2021-08-10,232984,15,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house","IN / ROTATION (Insomniac Records)",0.793,0.844,9,-6.822,0,0.0752,0.0184,0.383,0.0808,0.687,125.986,4
7FJyt98IKrAiwPTNwH8LKb,"Amertune","Amertune","Bellecour",2020-04-30,291886,4,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"bass house,g-house","SANS MERCI",0.753,0.842,2,-6.597,1,0.0509,0.186,0.89,0.107,0.488,125.004,4
4RpwmYdAtoAJVGZnPvhh3s,"Anybody","Anybody","Deeft,Tim Baresko",2021-09-17,310153,1,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,g-house","Rawthentic",0.852,0.781,8,-7.6,0,0.0751,0.000419,0.789,0.0677,0.781,129.991,4
0Vnb85r33WLWw83eVuK6jm,"Life Of Sin (feat. Ranger Trucco)","Life Of Sin (feat. Ranger Trucco)","Westend,Ranger Trucco",2021-09-24,204761,37,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,latin house,house,bass house","Insomniac Records",0.784,0.809,7,-5.679,1,0.159,0.157,0.141,0.497,0.598,125.964,4
632paTWO6lWhhkpSPvlKiG,"Backfire","Backfire","Shermanology,Jay Colin",2022-01-14,199384,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house","D'EAUPE",0.829,0.631,11,-9.682,0,0.1,0.00316,0.0329,0.0884,0.539,129.979,4
0LNUEmN7JT3jowa3Kmw2k3,"Gibberish","Bam Bam","Shermanology",2021-10-08,362933,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:09:16Z,"tech house,house","Cuttin' Headz",0.796,0.517,1,-11.064,1,0.111,0.00141,0.882,0.112,0.185,123.974,4
