Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4tcauy2xyIv1q0ckvQmc4H,"Material Girl - 2024 Remaster","Material Girl (2024 Remaster)","Madonna",1985-01-23,242337,65,,2025-03-02T05:19:13Z,"","Warner Records",0.741,0.892,0,-2.567,1,0.031,0.166,0.00189,0.0783,0.979,136.403,4
3EvpaRZkKWxsgDIO2zMH7g,"Heaven Is A Place On Earth - Promo 7 Edit","Heaven On Earth (Deluxe Edition)","Belinda Carlisle",1987,233666,65,,2025-03-02T05:19:13Z,"","Geffen",0.605,0.902,4,-5.804,1,0.0385,0.0171,0.00000131,0.124,0.692,122.866,4
5tdKaKLnC4SgtDZ6RlWeal,"How Will I Know","Whitney Houston","Whitney Houston",1985-02-14,269696,71,,2025-03-02T05:19:13Z,"","Arista",0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.928,119.49,4
7wuJGgpTNzbUyn26IOY6rj,"Total Eclipse of the Heart","The Very Best of Bonnie Tyler","Bonnie Tyler",2009-03-26,267360,80,,2025-03-02T05:19:13Z,"","Sony Music UK",0.431,0.723,8,-5.887,1,0.0568,0.145,0,0.374,0.19,130.141,4
6mYrhCAGWzTdF8QnKuchXM,"If I Could Turn Back Time","Heart Of Stone","Cher",1989-01-01,239826,71,,2025-03-02T05:19:13Z,"","Geffen",0.658,0.575,11,-10.365,1,0.0267,0.243,0,0.122,0.504,108.329,4
3SnGymj6ijE2iuUfWxLo1q,"I'm Coming Out","Diana","Diana Ross",1980-05-22,323346,70,,2025-03-02T05:19:13Z,"motown,disco","UNI/MOTOWN",0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,4
4w3tQBXhn5345eUXDGBWZG,"9 to 5","9 To 5 And Odd Jobs","Dolly Parton",1980,162466,76,,2025-03-02T05:19:13Z,"country","RCA Records Label",0.554,0.783,6,-5.852,1,0.0457,0.416,0.00000154,0.631,0.813,105.39,4
18DfMhEx4ddoreHrvZDF6Q,"The Power of Love","The Power Of Love: The Best Of Jennifer Rush","Jennifer Rush",1995-07-24,268200,62,,2025-03-02T05:19:13Z,"","Columbia",0.521,0.654,8,-6.993,1,0.0401,0.452,0.0000612,0.0984,0.125,139.071,4
0odIT9B9BvOCnXfS0e4lB5,"Bette Davis Eyes","Mistaken Identity","Kim Carnes",1981-01-01,228000,78,,2025-03-02T05:19:13Z,"","Capitol Records",0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.62,4
2EGaDf0cPX789H3LNeB03D,"Cruel Summer","Bananarama (Collector's Edition)","Bananarama",1984-01-01,215326,66,,2025-03-02T05:19:13Z,"hi-nrg","London Records (Because Ltd)",0.666,0.871,1,-6.017,0,0.0272,0.27,0.0213,0.263,0.936,108.501,4
2Cdvbe2G4hZsnhNMKyGrie,"I Love Rock 'N Roll","I Love Rock 'N' Roll (Expanded Edition)","Joan Jett & the Blackhearts",1981-11-18,175173,76,,2025-03-02T05:19:13Z,"rock","Legacy Recordings",0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,4
5sJiLlgQKBL81QCTOkoLB5,"Good Life","Paradise","Inner City",1989,244773,58,,2025-03-02T05:19:13Z,"acid house,chicago house,piano house","Virgin Catalogue",0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306,4
7FMAe3x132zl7n1M0U0THP,"Teardrops","Teardrops (Sped Up)","Womack & Womack",2023-11-03,228893,60,,2025-03-02T05:19:13Z,"","Mercury Records",0.882,0.675,11,-11.239,1,0.0445,0.0324,0.117,0.129,0.966,133.221,4
5vmRQ3zELMLUQPo2FLQ76x,"Smalltown Boy","The Age of Consent","Bronski Beat",1984-10-15,302413,78,,2025-03-02T05:19:13Z,"synthpop,hi-nrg","London Records (Because Ltd)",0.685,0.584,5,-10.616,0,0.0276,0.29,0.01,0.124,0.94,134.546,4
21qnJAMtzC6S5SESuqQLEK,"Pump Up The Jam","Pump Up The Jam","Technotronic",1989-11-28,320306,70,,2025-03-02T05:19:13Z,"eurodance,hip house,dance","Universal Music S.A.",0.885,0.844,10,-9.225,0,0.0733,0.0147,0.00000449,0.0494,0.715,124.602,4
31MOjWj3CT3dCQsMV2b8Wu,"Blue Monday '88","The Best of New Order","New Order",1994-01-01,244720,64,,2025-03-02T05:19:13Z,"new wave,synthpop,post-punk,madchester","London Records",0.681,0.893,7,-8.485,1,0.0378,0.0000647,0.383,0.0626,0.951,130.475,4
3nFJbZCHP4d9vduKjJLdBL,"Never Too Much","Never Too Much","Luther Vandross",1981-07-23,230466,72,,2025-03-02T05:19:13Z,"quiet storm,soul","Epic/Legacy",0.734,0.586,2,-11.866,1,0.129,0.125,0,0.0367,0.762,109.933,4
6r8k1vznHrzlEKYxL4dZEe,"La Isla Bonita","True Blue","Madonna",1986-06-30,242733,72,,2025-03-02T05:19:13Z,"","Warner Records",0.724,0.822,1,-4.374,0,0.0333,0.304,0.0000138,0.0553,0.964,99.9,4
7vvRkLPIvfjjmCIqNxBuEZ,"Back To Life","Keep On Movin'","Soul II Soul,Caron Wheeler",1989-01-01,228266,65,,2025-03-02T05:19:13Z,"new jack swing","Virgin",0.817,0.484,7,-11.659,1,0.143,0.0515,0.000213,0.0391,0.671,100.978,4
7ohR0qPH6f2Vuj2pUNanJG,"Got To Give It Up - Pt. 1","Every Great Motown Hit Of Marvin Gaye","Marvin Gaye",1983-08-22,255133,66,,2025-03-02T05:19:13Z,"motown,soul,northern soul,quiet storm","UNI/MOTOWN",0.854,0.847,2,-9.019,1,0.042,0.232,0.000569,0.345,0.89,122.644,4
41dDygR3r7e926oGUXfrLt,"I Can't Go for That (No Can Do)","Private Eyes (Expanded Edition)","Daryl Hall & John Oates",1981,307306,66,,2025-03-02T05:19:13Z,"soft rock","RCA/BMG Heritage",0.889,0.441,0,-9.506,0,0.0379,0.0405,0.000788,0.038,0.963,110.565,4
2NVpYQqdraEcQwqT7GhUkh,"Ain't Nobody","Epiphany: The Best of Chaka Khan, Vol. 1","Chaka Khan",1996-11-08,280853,65,,2025-03-02T05:19:13Z,"","Reprise",0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,4
2QkjnJ6Q8w9zYln1io4S0C,"Into the Groove","Celebration","Madonna",2009-09-18,285093,49,,2025-03-02T05:19:13Z,"","Warner Records",0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,4
19Ym5Sg0YyOCa6ao21bdoG,"Gypsy","Greatest Hits","Fleetwood Mac",1988-11-21,264906,74,,2025-03-02T05:19:13Z,"classic rock,soft rock","Warner Records",0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879,4
2Di0qFNb7ATroCGB3q0Ka7,"West End Girls - 2018 Remaster","Please: Further Listening 1984 - 1986 (2018 Remaster)","Pet Shop Boys",1986-03-24,285906,71,,2025-03-02T05:19:13Z,"synthpop,new wave","Rhino",0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,4
6tASfEUyB7lE2r6DLzURji,"Club Tropicana","Fantastic","Wham!",1983-07-09,265600,62,,2025-03-02T05:19:13Z,"christmas","Epic",0.658,0.714,11,-9.247,1,0.0519,0.0294,0.000057,0.651,0.806,117.283,4
3pbtBomO4Zt5gGiqsYeiBH,"Upside Down","Diana","Diana Ross",1980-05-22,245600,69,,2025-03-02T05:19:13Z,"motown,disco","UNI/MOTOWN",0.873,0.855,5,-8.559,0,0.0615,0.179,0.0285,0.0377,0.884,107.868,4
4JEylZNW8SbO4zUyfVrpb7,"Caribbean Queen (No More Love On the Run)","The Very Best of Billy Ocean","Billy Ocean",2010-04-26,244426,71,,2025-03-02T05:19:13Z,"","Sony Music UK",0.79,0.649,5,-7.507,1,0.0265,0.166,0.0000887,0.092,0.954,113.798,4
56KqaFSGTb7ifpt16t5Y1N,"Rock the Casbah - Remastered","Combat Rock (Remastered)","The Clash",1982,222426,74,,2025-03-02T05:19:13Z,"punk","Sony Music UK",0.797,0.872,9,-6.727,0,0.0575,0.291,0,0.284,0.866,129.885,4
60nAGisfgCfnggF6PxKMej,"Me Myself and I","3 Feet High and Rising","De La Soul",1989-03-03,229312,39,,2025-03-02T05:19:13Z,"jazz rap,east coast hip hop,hip hop","AOI Records",0.889,0.966,2,-4.702,0,0.113,0.165,0.00000228,0.649,0.811,114.61,4
254bXAqt3zP6P50BdQvEsq,"Everywhere - 2017 Remaster","Tango In the Night (Deluxe Edition)","Fleetwood Mac",1987-04-13,226653,80,,2025-03-02T05:19:13Z,"classic rock,soft rock","Rhino/Warner Records",0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,4
