Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3scW7pt0vlhkCCgCNv5YR9,"La Noche Mas Linda","Sex Symbol","Adalberto Santiago",1989-01-01,343353,72,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:45Z,"salsa,salsa romantica","Humacao Music",0.886,0.748,5,-9.584,1,0.0399,0.775,0.0635,0.0656,0.969,152.07,4
6ln6oIclsUHWYH25qC99r6,"Too Late to Lie","Too Late to Lie","Lila Iké",2025-02-28,219622,46,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"reggae,lovers rock,dancehall","Ineffable Records",0.671,0.795,0,-3.729,1,0.247,0.0542,0,0.0502,0.603,140.006,4
0bkjYsOt7EDEjW1SdUsVx6,"My 45 (with Jean Carter)","My 45 (with Jean Carter)","Cuco,Jean Carter",2025-03-14,178841,54,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"bedroom pop","Walk The Trail, Inc, under exclusive license to Interscope Records",0.49,0.781,3,-4.017,0,0.0523,0.0605,0,0.283,0.765,162.78,4
0AbXyvKQ8WdVbN7ihqq1ED,"TAMED","NOBODY ELSE","DACEY",2025-03-18,252943,1,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"indie r&b","DACEY",0.286,0.745,4,-6.374,0,0.0789,0.0735,0.00000213,0.228,0.465,149.365,3
4xTShGyv9MDwYus9geEA7s,"WALK ON BY","NOBODY ELSE","DACEY",2025-03-18,251113,1,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"indie r&b","DACEY",0.555,0.861,9,-5.93,1,0.0608,0.0116,0.00000481,0.285,0.812,162.1,4
1Zn2jBgAxnNOjtOcIn6PB8,"NOBODY ELSE","NOBODY ELSE","DACEY",2025-03-18,98510,2,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"indie r&b","DACEY",0.863,0.64,1,-3.541,1,0.0635,0.136,0.0000114,0.0607,0.974,108.995,4
7K9DMSR7ZlN1aAzJas8220,"a FEW songs (feat. Love Mansuy, Ogi, and Smino)","From The Private Collection of Saba and No ID","Saba,No ID,Love Mansuy,Ogi,Smino",2025-03-18,187613,0,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"retro soul","From The Private Collection, LLP",0.666,0.716,7,-8.329,1,0.232,0.551,0,0.142,0.471,81.549,4
2biprCCFQ448SrLUcj10ZC,"She Called It (feat. Frsh Waters and Tru)","From The Private Collection of Saba and No ID","Saba,No ID,Frsh Waters,Tru",2025-03-18,192493,0,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"","From The Private Collection, LLP",0.755,0.674,1,-7.172,1,0.13,0.147,0,0.108,0.592,106.029,4
7wflBf6P8TFqpPkkxK5UXE,"30secchop (feat. Joseph Chilliams and Jean Deaux)","From The Private Collection of Saba and No ID","Saba,No ID,Joseph Chilliams,Jean Deaux",2025-03-18,147626,0,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"alternative r&b","From The Private Collection, LLP",0.503,0.724,9,-9.628,1,0.396,0.355,0.0000368,0.101,0.884,173.562,4
6Ei3v0BOJbXTST1Z5orpll,"BIG PICTURE (feat. Ogi)","From The Private Collection of Saba and No ID","Saba,No ID,Ogi",2025-03-18,160800,0,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-19T19:56:57Z,"retro soul","From The Private Collection, LLP",0.616,0.618,7,-7.852,0,0.466,0.379,0,0.265,0.62,180.211,4
