Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
02NKMA9cIkq6VuBNu9q9Wf,"The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999","Christmas With The Chipmunks (2010)","Alvin & The Chipmunks,David Seville",2010-01-01,141466,46,frantastic213,2016-10-20T19:02:20Z,"christmas,children's music","Capitol Records",0.611,0.37,3,-11.548,1,0.0345,0.707,0.00000298,0.23,0.778,152.559,3
2lQVU5JTZrgsXkL7mf1mdR,"Oogum Boogum Song","Brenton Wood's 18 Best","Brenton Wood",1992-01-01,186567,42,frantastic213,2016-10-20T19:03:18Z,"","The Bicycle Music Company",0.836,0.696,7,-6.37,1,0.0401,0.8,0,0.0949,0.954,112.692,4
6Cdd38Y9v3hl2INqBXWCUQ,"America","America: The Simon & Garfunkel Collection","Simon & Garfunkel",1980-01-01,214453,0,frantastic213,2016-10-20T19:02:20Z,"folk rock,folk","Columbia/Legacy",0.26,0.251,2,-15.02,1,0.0402,0.593,0.00000762,0.0801,0.3,177.943,3
2fZtwQHfvbuNycHaENyy9g,"Sparks","Tommy (Remastered 2013 Super Deluxe Edition)","The Who",1969-05-23,125087,0,frantastic213,2016-10-20T19:02:20Z,"classic rock,rock","Universal Music Group",0.513,0.455,11,-13.004,1,0.0427,0.461,0.905,0.121,0.0366,140.41,4
00sydAz6PeOxYzwG1dRIPi,"Search and Destroy [2023 Remaster] - Iggy Mix","Raw Power (Iggy Mix - 2023 Remaster)","The Stooges",1973-02-06,210056,45,frantastic213,2016-10-20T19:02:20Z,"proto-punk,punk,garage rock","Columbia/Legacy",0.265,0.845,1,-8.397,0,0.0851,0.0627,0.0794,0.173,0.307,152.888,4
00f5cJ88kjiyCLJebRHgAY,"It Wouldn't Have Made Any Difference","Something / Anything?","Todd Rundgren",1972,233800,37,frantastic213,2016-10-20T19:02:20Z,"power pop,philly soul","Rhino",0.56,0.392,9,-13.1,1,0.0296,0.284,0,0.074,0.652,172.327,4
3L8WgDYS5TtwbyxOPSAiFf,"Paranoid","Paranoid","Black Sabbath",1970-09-18,167933,8,frantastic213,2016-10-20T19:02:20Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Universal Music Ltd.",0.418,0.668,6,-11.297,0,0.082,0.000143,0.00113,0.173,0.379,162.663,4
1e75rLMvgoIGX5wnwUA7q0,"Teacher","The Anniversary Collection","Jethro Tull",1990-07-01,229160,33,frantastic213,2016-10-20T19:02:20Z,"progressive rock,symphonic rock,art rock,classic rock","Parlophone UK",0.633,0.748,9,-9.879,1,0.069,0.16,0.000122,0.0795,0.765,122.485,4
0YveezON7jpiaHA8fnUHxN,"Roundabout - 2003 Remaster","Fragile (Deluxe Edition)","Yes",1971-11-26,510573,18,frantastic213,2016-10-20T19:02:20Z,"progressive rock,symphonic rock,art rock,album rock","Rhino/Elektra",0.41,0.761,4,-9.453,0,0.0687,0.0685,0.00772,0.0758,0.392,132.923,4
3skk6UIXV4kepq2bdYy97g,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster","The Yes Album (Deluxe Edition)","Yes",1971-02-19,413346,13,frantastic213,2016-10-20T19:02:20Z,"progressive rock,symphonic rock,art rock,album rock","Rhino/Elektra",0.417,0.425,4,-11.689,1,0.062,0.0418,0.0000131,0.0897,0.498,134.917,4
