Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
37pKTyMwalomKCZjxTc2QZ,"Cherry-coloured Funk","Heaven or Las Vegas","Cocteau Twins",1990-09-17,192466,68,,2024-03-18T22:29:53Z,"shoegaze,dream pop,post-punk","4AD",0.49,0.652,2,-5.813,1,0.0274,0.00196,0.0000624,0.0991,0.339,90.085,4
0gEyKnHvgkrkBM6fbeHdwK,"Linger","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,274706,83,,2024-03-18T22:29:53Z,"","Island Records",0.439,0.434,7,-14.918,1,0.0265,0.0783,0.0000518,0.14,0.204,94.843,4
7xQYVjs4wZNdCwO0EeAWMC,"Born Slippy (Nuxx)","1992 - 2012","Underworld",2014-01-01,456480,67,,2024-03-18T22:29:53Z,"big beat,electronica","Smith Hyde Productions",0.576,0.953,10,-8.968,1,0.0362,0.00106,0.49,0.474,0.303,140.042,4
0j5FJJOmmnXPd0XajFWkMF,"Unfinished Sympathy - 2012 Mix/Master","Blue Lines (2012 Mix/Master)","Massive Attack,Shara Nelson",1991-06-10,308426,66,,2024-03-18T22:29:53Z,"trip hop,downtempo","Virgin Catalogue",0.592,0.835,7,-8.475,1,0.032,0.0393,0.209,0.665,0.703,114.436,4
2l2JonC9Mmrqs5sC7G0SlD,"Only Love Can Break Your Heart","Foxbase Alpha","Saint Etienne",1992-01-10,269240,50,,2024-03-18T22:29:53Z,"britpop,madchester,alternative dance","WM Japan",0.587,0.805,7,-9.137,1,0.036,0.0000341,0.391,0.17,0.744,102.401,4
6T10XPeC9X5xEaD6tMcK6M,"All I Need (feat. Beth Hirsch)","Moon Safari","Air,Beth Hirsch",1998-01-16,268306,65,,2024-03-18T22:29:53Z,"trip hop,downtempo,french house","Parlophone (France)",0.372,0.43,7,-11.643,0,0.0305,0.859,0.00255,0.169,0.211,189.742,4
7KvSuH86lIT2aTl9PBCAfd,"6 Underground","Becoming X","Sneaker Pimps",1996-08-18,228840,55,,2024-03-18T22:29:53Z,"trip hop","One Little Independent",0.587,0.687,1,-8.635,0,0.0509,0.0281,0.14,0.121,0.402,169.938,4
37m2khXl5lnBzicq1mGoZG,"Out of Space","Experience","The Prodigy",1992-09-21,302106,61,,2024-03-18T22:29:53Z,"big beat,breakbeat,rave,hardcore techno","XL Recordings",0.652,0.944,9,-4.804,1,0.0515,0.00225,0.276,0.103,0.454,147.078,4
7kXmJwrZGIhDaLT9sNo3ut,"Hey Boy Hey Girl","Surrender","The Chemical Brothers",1999-01-01,290493,65,,2024-03-18T22:29:53Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,4
1pKYYY0dkg23sQQXi0Q5zN,"Around the World","Homework","Daft Punk",1997-01-17,429533,72,,2024-03-18T22:29:53Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,4
0X0LTI0MQG9S3FLSUvjrj5,"Big Time Sensuality","Debut","Björk",1993-07-05,236640,51,,2024-03-18T22:29:53Z,"art pop,trip hop","143/Atlantic Entertainment",0.723,0.732,1,-12.251,0,0.0963,0.0000767,0.0135,0.18,0.516,118.582,4
79dD64QT2l64W12VkPGjvZ,"Missing - 2013 Remaster","Amplified Heart (Deluxe Edition)","Everything But The Girl",1994-06-13,247200,61,,2024-03-18T22:29:53Z,"","Chrysalis Records",0.677,0.484,9,-10.506,0,0.0325,0.077,0.0000471,0.134,0.696,123.534,4
67Hna13dNDkZvBpTXRIaOJ,"Teardrop","Mezzanine","Massive Attack,Elizabeth Fraser",1998-01-01,330773,71,,2024-03-18T22:29:53Z,"trip hop,downtempo","Circa",0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,4
0tYEsmdrsv5Fi3UOn58bou,"Overcome","Maxinquaye (Deluxe Edition)","Tricky,Martina Topley-Bird",1995,270093,49,,2024-03-18T22:29:53Z,"trip hop,downtempo","UMC (Universal Music Catalogue)",0.814,0.599,2,-13.007,1,0.232,0.43,0.736,0.0904,0.752,82.278,4
0YZ7Q5i99vt9OEF8AEEaBV,"Getting Away with It","Electronic","Electronic",1991-05-24,314600,42,,2024-03-18T22:29:53Z,"madchester,synthpop,alternative dance,new wave,britpop","Warner Records",0.599,0.609,5,-12.164,1,0.0255,0.00147,0.000746,0.116,0.749,126.011,4
6INLpBxo9F5QMer04VXEnd,"Sexy Boy","Moon Safari","Air",1998-01-16,298466,65,,2024-03-18T22:29:53Z,"trip hop,downtempo,french house","Parlophone (France)",0.43,0.625,0,-6.201,1,0.0295,0.00142,0.66,0.125,0.164,111.88,4
3m1JFLpKLYgMi1jf6Bu16P,"Let Forever Be","Surrender","The Chemical Brothers",1999-01-01,236360,54,,2024-03-18T22:29:53Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.252,0.872,8,-3.752,1,0.0777,0.00912,0.00000879,0.109,0.399,126.938,4
0Ja4hLKiUSw01E01pJ1yGr,"Breathe","The Fat of the Land","The Prodigy",1997-06-30,336280,66,,2024-03-18T22:29:53Z,"big beat,breakbeat,rave,hardcore techno","XL Recordings",0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,4
6gbdLLUhocAjThL3GvV6Lx,"Brimful Of Asha - Norman Cook Remix Single Version","The Greatest Hits: Why Try Harder","Cornershop",2006-01-01,240933,47,,2024-03-18T22:29:53Z,"britpop","Astralwerks",0.662,0.948,11,-3.007,1,0.0586,0.181,0,0.118,0.934,125.663,4
2oHmRO0X4gW4VlCJRcZzez,"Erase / Rewind","Gran Turismo","The Cardigans",1998-10-01,215760,49,,2024-03-18T22:29:53Z,"","Universal Music AB",0.732,0.681,11,-7.103,0,0.0317,0.00145,0.00112,0.11,0.699,103.72,4
4z1fNs2B7KndCsvyPgrhq5,"Hyperballad","Post","Björk",1995-06-13,321360,47,,2024-03-18T22:29:53Z,"art pop,trip hop","143/Lava/Atlantic",0.519,0.437,7,-12.97,0,0.0325,0.0216,0.000974,0.375,0.0356,134.933,4
5VRkJsYcf9z4Wni19FxICi,"Gorecki","Lamb","Lamb",1996-01-01,390426,45,,2024-03-18T22:29:53Z,"trip hop,downtempo","EMI",0.524,0.853,4,-7.609,0,0.0647,0.118,0.212,0.0914,0.138,105.982,4
3Ty7OTBNSigGEpeW2PqcsC,"Glory Box","Dummy","Portishead",1994-01-01,308626,74,,2024-03-18T22:29:53Z,"trip hop,downtempo","Polydor Associated Labels",0.51,0.434,1,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,4
0mpKGswMW2MypC6kryHQmL,"Echo's Answer","The Noise Made By People","Broadcast",2000-03-20,191893,43,,2024-03-18T22:29:53Z,"dream pop,shoegaze","Warp Records",0.313,0.241,0,-16.474,1,0.0382,0.948,0.859,0.102,0.0859,119.796,3
5lSOVaPDk7x9Ey6c9DqGZx,"Sweet Harmony","Conscience","The Beloved",1993,301466,62,,2024-03-18T22:29:53Z,"madchester","New State Music",0.573,0.837,10,-8.352,0,0.0337,0.0144,0.0889,0.0544,0.796,101.59,4
