Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2P0Tv43gKIU04NCMFoKIY1,"2022 Zodiac","1000 EP","Ben Khan",2015-05-11,112066,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"","Blessed Vice",0.752,0.459,1,-10.374,1,0.178,0.64,0.012,0.128,0.663,95.035,4
2208Pkqr9zSappQMfKfJKk,"III","Sacred Hearts Club","Foster The People",2017-07-21,249493,36,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"","Columbia",0.442,0.64,6,-8.622,1,0.0471,0.14,0.000931,0.109,0.16,75.015,4
5EeZuhVQdnUkpCiknMTeoP,"Pay the Man","Sacred Hearts Club","Foster The People",2017-07-21,233720,46,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"","Columbia",0.688,0.769,6,-5.52,0,0.0376,0.00148,0.0000108,0.262,0.505,99.969,4
7la5q4ctkM189lO3GdzRty,"Zero","It's Blitz!","Yeah Yeah Yeahs",2009-03-06,265786,31,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"indie rock","Interscope",0.504,0.946,11,-4.111,1,0.105,0.00112,0.314,0.383,0.156,124.011,4
55O2krAAa87BgTuuASCU1m,"Klapp Klapp","Nabuma Rubberband","Little Dragon",2014-01-01,217120,31,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"trip hop","Loma Vista",0.654,0.87,2,-4.998,0,0.0826,0.0884,0.000107,0.493,0.816,150.018,4
5Y6HJ9hXmjwk3b6Xc1rl18,"Sweet","Season High","Little Dragon",2017-04-14,211200,23,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"trip hop","Loma Vista",0.754,0.616,6,-7.385,1,0.0328,0.000224,0.0000467,0.0538,0.824,106.998,4
5bBrbeCtAntjU0SOUXnIC8,"Crystalfilm","Ritual Union","Little Dragon",2011-07-25,289400,40,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"trip hop","Peacefrog Records",0.837,0.516,7,-7.735,1,0.0574,0.00812,0.507,0.11,0.213,138.976,4
25R6SEPhnKbGEnkTo3ZhTr,"Silver Screen","Surf Noir","Beat Connection",2011-04-10,271026,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"chillwave,indie electronic","Tender Age/Classic Ills",0.535,0.716,7,-7.394,0,0.0389,0.0957,0.0000246,0.0903,0.336,104.891,4
4oCRbf77NCj4Ss8nhUp1i4,"Hallucinating","Elohim","Elohim",2018-04-27,218134,39,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"","BMG Rights Management (US) LLC",0.773,0.766,9,-6.281,1,0.0452,0.114,0.00692,0.0997,0.662,107.012,4
2MpZratWHtEtJB0qVdJSPN,"Kill V. Maim","Art Angels","Grimes",2015-11-06,246013,41,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:12Z,"art pop","Eerie Organization/Crystal Math Music",0.583,0.944,11,-2.448,0,0.0371,0.00636,0.121,0.1,0.465,134.025,4
