Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2rOUaQ1TGj7wZdHdn9UgTL,"ReawakeR (feat. Felix of Stray Kids)","ReawakeR (feat. Felix of Stray Kids)","LiSA,Felix of Stray Kids",2025-01-05,184993,79,,2025-03-18T15:00:37Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.697,0.817,2,-6.195,1,0.127,0.00956,0.0000049,0.198,0.445,129.048,4
7sMRDjjwsB7wQEBOkdfg0i,"Kaiju","Kaiju","sakanaction",2025-02-20,252722,66,,2025-03-18T15:00:37Z,"j-pop,j-rock,japanese indie","NF Records",0.591,0.818,4,-2.825,1,0.05,0.0998,0.00000173,0.15,0.634,90.014,4
79zgdvnTPyWSuTrd48Ik5O,"百花繚乱","百花繚乱","Lilas",2025-01-10,179238,74,,2025-03-18T15:00:37Z,"j-pop","幾田りら",0.678,0.883,11,-3.178,0,0.106,0.0965,0.00000119,0.29,0.606,149.967,4
0NHu2Lo9MWkvhOggEy1bYg,"BOW AND ARROW","BOW AND ARROW","Kenshi Yonezu",2025-01-27,175727,76,,2025-03-18T15:00:37Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.604,0.884,11,-5.457,0,0.171,0.029,0.00000286,0.364,0.693,179.954,4
0jmMSb8fGqcn7gKQ7vfdNj,"UN-APEX","UN-APEX","TK from Ling tosite sigure",2025-01-05,260099,65,,2025-03-18T15:00:37Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.487,0.983,7,-3.181,0,0.189,0.000204,0,0.534,0.336,135.921,4
26Lip4WX1oWceF9tb8m2qw,"CASANOVA POSSE","CASANOVA POSSE","ALI",2025-01-10,240653,63,,2025-03-18T15:00:37Z,"anime,j-pop","Sony Music Labels Inc.",0.503,0.944,11,-1.787,0,0.126,0.0361,0.00000134,0.303,0.492,96.498,4
4XObDlhGp6sREJoZj2lFv2,"走れSAKAMOTO - RUN SAKAMOTO RUN - Opening theme to SAKAMOTO DAYS","走れSAKAMOTO - RUN SAKAMOTO RUN - Opening theme to SAKAMOTO DAYS","Vaundy",2025-01-12,205984,74,,2025-03-18T15:00:37Z,"j-pop,japanese indie,j-rock","SDR Inc.",0.452,0.869,9,-1.993,1,0.0417,0.000523,0.0000108,0.0777,0.567,152.941,4
02f1kLS0yKhvEHI7Lt7NWD,"No one","No one","TOGENASHI TOGEARI",2025-03-12,186608,44,,2025-03-18T15:00:37Z,"j-rock,anime,j-pop","Universal Music LLC",0.499,0.942,5,-1.86,0,0.0531,0.000759,0.00565,0.198,0.267,92.516,4
0ZnvQc8Ql8foFq4aprS3ke,"明日の私に幸あれ","明日の私に幸あれ","NANAOAKARI",2025-01-18,214627,58,,2025-03-18T15:00:37Z,"vocaloid,j-pop,anime,j-rock","Sony Music Labels Inc.",0.761,0.933,0,-3.118,1,0.0564,0.153,0.000831,0.331,0.745,132.01,4
5wDeR4q2dm5UAOFSWDEiaR,"Frontiers","Frontiers","Awich",2025-01-05,156111,64,,2025-03-18T15:00:37Z,"j-rap,j-r&b","Sony Music Labels Inc.",0.628,0.764,2,-5.35,1,0.252,0.201,0.00000273,0.183,0.395,92.004,4
