Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1DzRtXXDddTl5JQTHSLSn4,"Demon Time","Demon Time","AYYBO",2025-01-17,201377,54,12179883790,2025-01-17T05:05:57Z,"tech house,house","GDB RECORDS",0.881,0.9,9,-6.475,1,0.0785,0.000552,0.748,0.241,0.808,127.01,4
02BJBrqgszE4ZXdJMfFhRK,"FMF","FMF","Viot,Vinter",2023-08-25,266880,20,12179883790,2025-01-28T20:21:37Z,"tech house,latin house","Hot Creations",0.825,0.87,7,-8.051,1,0.0619,0.00476,0.174,0.0862,0.806,130.016,4
5namgn4HvmrT5OI1aJ1u6u,"Sun - Rafael Remix","Sun (Rafael Remix)","Mita Gami,Rafael",2025-01-24,207840,21,12179883790,2025-01-28T20:40:52Z,"indie dance,melodic house,melodic techno,tech house","Maccabi house",0.76,0.977,11,-6.251,1,0.0459,0.0699,0.864,0.109,0.718,125.002,4
1szyE9LEYgNFTmHxCQUzZj,"Dance All Night (Don't Wanna Fight)","Dance All Night","OMRI.",2024-10-25,196601,22,12179883790,2025-01-28T20:21:46Z,"indie dance","Hot Creations",0.847,0.77,1,-6.316,1,0.0505,0.000502,0.0053,0.106,0.686,125.009,4
27kMqpMaYmVMjJ6BWNSg2E,"She Wants Bass","Red Alert","Kolter",2024-12-13,211732,14,12179883790,2025-01-28T20:22:10Z,"house,lo-fi house,tech house","Hot Creations",0.803,0.966,7,-6.785,1,0.0675,0.00271,0.188,0.18,0.936,127.986,4
3nJTAqHRn2rr6hIdetxMJ5,"On & On","Marian Moods","Marian (BR),Mood Child",2025-01-24,219841,23,12179883790,2025-01-28T20:21:27Z,"tech house,latin house","Mood Child",0.799,0.877,11,-6.372,0,0.0487,0.000284,0.818,0.073,0.662,131.033,4
18J16c7MMsxZ5HbPb2ojPV,"Like This","Like This","Moontalk,SEÏTOU",2024-11-21,254409,31,12179883790,2025-01-28T20:21:39Z,"indie dance","MDLBEAST Records",0.826,0.855,10,-5.045,0,0.0495,0.00252,0.881,0.346,0.889,127.017,4
7GvsPqKcmRhGNXCDRClSI5,"Deep Pockets","Zig Zag","LuSiD",2025-02-14,209032,24,12179883790,2025-02-18T02:16:36Z,"","1943",0.807,0.824,2,-4.306,1,0.0331,0.000457,0.852,0.113,0.237,123.997,4
5BopcaE9qKiH9u0B3BnVEg,"Dance With You","Dance With You","InntRaw",2024-05-10,342346,24,12179883790,2025-01-28T20:40:15Z,"tech house","SLPLSS",0.836,0.703,7,-7.089,1,0.0455,0.0638,0.413,0.1,0.638,129.998,4
73nV7hvE8TSxfwPDAQf79h,"Puppy Love","Puppy Love","BLOC",2021-05-07,450491,4,12179883790,2025-01-28T20:22:06Z,"tech house","Issues",0.814,0.497,7,-6.619,1,0.0653,0.000182,0.72,0.06,0.605,123.974,4
67zJ8KMaxsh2ggGxIYE8S2,"Mon Amour","All Stars 06","Raz Alon",2024-11-15,293661,34,12179883790,2025-01-28T20:21:58Z,"indie dance","Maccabi house",0.808,0.818,11,-9.008,0,0.0458,0.00127,0.878,0.0621,0.354,122.987,4
4Zh6THvSPUwHd5jMUPJPqh,"Cosmic Control","Cosmic Control","SLAMM,Dan Molinari",2024-11-15,341471,23,12179883790,2025-01-28T20:21:42Z,"tech house","Pink Bag Records",0.794,0.957,9,-6.048,1,0.0641,0.00269,0.762,0.0554,0.54,130.014,4
