Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1OPoD5Q8S4iiQAFrmJeLz6,"Taste (feat. VanJess)","BUBBA","KAYTRANADA,VanJess",2019-12-13,217320,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"alternative r&b","KAYTRANADA/RCA Records",0.782,0.771,11,-9.17,0,0.371,0.00983,0.000255,0.0747,0.368,114.988,4
1DunhgeZSEgWiIYbHqXl0c,"Latch","Settle (Deluxe)","Disclosure,Sam Smith",2013-06-03,255866,67,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"house,soft pop","Universal-Island Records Ltd.",0.73,0.735,1,-5.451,1,0.0923,0.0176,0.000189,0.089,0.541,121.985,4
50J3n2Xi624snV5VmAGfLL,"All Over You","All Over You","Majid Jordan",2018-09-07,215327,40,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"","OVO Sound",0.797,0.5,0,-6.964,0,0.0355,0.0579,0,0.122,0.49,106.958,4
3ChD5n68KchCUcmrjPwvkX,"Something About You","Majid Jordan","Majid Jordan",2016-02-05,261792,41,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"","OVO Sound",0.575,0.679,1,-8.151,0,0.126,0.091,0,0.219,0.251,110.091,4
3nNzYFaIO7TzPpzLx7zCQm,"Small Talk","Majid Jordan","Majid Jordan",2016-02-05,259173,40,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"","OVO Sound",0.803,0.451,0,-9.106,1,0.0383,0.0023,0,0.0743,0.199,99.993,4
2AvFleZf3nZWhgfBqnSSfd,"Forever","A Place Like This","Majid Jordan",2014-07-17,256319,36,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"","OVO Sound",0.753,0.709,6,-7.217,0,0.224,0.0507,0.0124,0.0872,0.437,115.004,4
4Wfe2jloKo95eFVnJEr5N1,"Her","A Place Like This","Majid Jordan",2014-07-17,300728,53,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"","OVO Sound",0.676,0.5,1,-6.603,1,0.0513,0.00371,0.00278,0.114,0.0742,90.03,4
2a7kFbxMwmmZWDvH0JbZFU,"Touch","You Do You","Dillon Francis,BabyJake",2020-04-15,177658,49,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"moombahton,edm,electro house","Mad Decent",0.742,0.644,0,-7.284,1,0.0577,0.221,0.0391,0.105,0.614,104.027,4
3uG4DR1pJU1fkO6LAJ7dpr,"Don't Want Ur Luv","SWIM","Mild Minds",2018-10-03,255272,34,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"stutter house","Foreign Family Collective",0.76,0.735,9,-8.155,0,0.0616,0.38,0.917,0.0747,0.531,110.004,4
04ToULF2xWTbVtfAUk6K7P,"Pressure (with SG Lewis)","Pressure (with SG Lewis)","James Vickery,SG Lewis",2019-10-16,169411,51,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"","TH3RD BRAIN",0.682,0.574,4,-5.241,0,0.0519,0.0355,0.000131,0.254,0.731,93.481,4
4WochDEizmmPZk0aQXfKHo,"Roll (Burbank Funk)","Roll (Burbank Funk)","The Internet",2018-04-27,189600,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:12:49Z,"alternative r&b,neo soul","Columbia",0.788,0.674,1,-8.652,1,0.109,0.175,0.00000362,0.201,0.969,112.512,4
