Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6tQT9FZVdjw2EwAZDbxdCp,"Malfunction","Malfunction","Charles Pierre",2020-08-28,403204,0,bfotri6xxqsu065vsarlivepn,2023-11-07T23:25:58Z,"tech house","SK Recordings",0.805,0.998,11,-2.706,1,0.052,0.00107,0.903,0.0226,0.662,125.009,4
66KQtW6bWfVXJcvsB5RakW,"Ranura","Malfunction","Charles Pierre",2020-08-28,373343,2,bfotri6xxqsu065vsarlivepn,2023-11-07T23:33:18Z,"tech house","SK Recordings",0.802,0.956,10,-3.95,0,0.0518,0.000538,0.246,0.0193,0.356,126,4
4u0GytwaRQQbd3GrDBgIvj,"Money","Modurap","Chinonegro",2023-11-03,225117,29,bfotri6xxqsu065vsarlivepn,2023-11-07T23:57:09Z,"tech house","BANDIDOS",0.801,0.784,1,-8.642,1,0.0482,0.00093,0.861,0.107,0.541,128.02,4
4EMLCdqC0BXgpr42Op96a0,"Ulalala","Modurap","Chinonegro",2023-11-03,226889,21,bfotri6xxqsu065vsarlivepn,2023-11-07T23:59:12Z,"tech house","BANDIDOS",0.807,0.629,0,-8.128,1,0.0546,0.00221,0.894,0.0576,0.591,127.006,4
2agYwJP31gdCJaRACD37te,"Flashi - Original Mix","Manaos EP","Lexont",2022-07-25,387096,11,bfotri6xxqsu065vsarlivepn,2023-11-08T00:05:06Z,"latin house,tech house","Duff Music",0.808,0.951,4,-5.318,0,0.0584,0.0112,0.875,0.0951,0.596,123.988,4
7aMkAnVq1vqdXYzdVeIrof,"Manaos - Original Mix","Manaos EP","Lexont,Nico Jara",2022-07-25,371612,5,bfotri6xxqsu065vsarlivepn,2023-11-08T00:11:14Z,"latin house,tech house","Duff Music",0.55,0.918,6,-5.631,1,0.163,0.0494,0.771,0.0807,0.805,122.775,4
3ejjgtBWuMRj9yFoEzVV9q,"12 - Extended Mix","12 (Extended Mix)","Lexont",2023-08-12,337920,0,bfotri6xxqsu065vsarlivepn,2023-11-08T00:18:52Z,"latin house,tech house","Música de Lexont",0.775,0.877,8,-6.994,0,0.0604,0.0278,0.624,0.0823,0.735,125.009,4
7oGSgTiEBRNNUpvEySf5hc,"Vacilar","Vacilar","Exotic,Lexont",2023-10-15,365714,9,bfotri6xxqsu065vsarlivepn,2023-11-08T00:24:51Z,"guaracha,tribal house,latin house,electronica,tech house","Exotic Music SAS",0.806,0.866,1,-5.394,1,0.0536,0.0186,0.899,0.0785,0.298,126.012,4
2DSxFmzAw3OjBM4CWzTWj1,"Farrea","Farrea EP","Lexont",2023-08-28,399360,1,bfotri6xxqsu065vsarlivepn,2023-11-08T01:36:45Z,"latin house,tech house","Duff Music",0.791,0.991,1,-6.279,1,0.0535,0.0144,0.896,0.067,0.434,125.029,4
6xL1I1Igw9aJEEsZKyjbZO,"Cosmic","Farrea EP","Lexont",2023-08-28,335238,1,bfotri6xxqsu065vsarlivepn,2023-11-08T01:36:52Z,"latin house,tech house","Duff Music",0.808,0.956,4,-9.689,0,0.0612,0.114,0.878,0.0731,0.519,126.008,4
4rbPksL7bHFse3xpuF9J4D,"You Know How We Do It - Extended Mix","You Know How We Do It (Extended Mix)","PINAMUSIC,Nico Jara,Morris",2023-09-26,284651,0,bfotri6xxqsu065vsarlivepn,2023-11-08T22:26:30Z,"latin house","Pinasounds",0.788,0.645,11,-11.277,1,0.148,0.00271,0.13,0.0886,0.891,128.977,4
5PIpCujm1pXKS5oWGMDRYg,"Ta Too Gucci - Original Mix","Ta Too Gucci (Original Mix)","PINAMUSIC",2022-09-08,342857,0,bfotri6xxqsu065vsarlivepn,2023-11-08T22:33:19Z,"latin house","Pinasounds",0.804,0.82,6,-9.273,1,0.047,0.000586,0.869,0.087,0.439,125.999,4
3vm8DNtZ9hWiXIiM0fJYLJ,"Dance","Strong EP","PINAMUSIC",2023-06-09,396512,0,bfotri6xxqsu065vsarlivepn,2023-11-08T22:50:08Z,"latin house","After Room Records",0.804,0.848,8,-7.136,0,0.0555,0.0515,0.926,0.0741,0.463,126.004,4
50ZvRW9MGwKYnkmi0DLXQn,"Shake It - Original Mix","Shake It","Levi Petite",2022-03-25,308571,2,bfotri6xxqsu065vsarlivepn,2023-11-11T21:28:28Z,"tech house,minimal techno","Kryked LTD",0.805,0.977,0,-6.596,0,0.0899,0.000271,0.895,0.0359,0.723,126.007,4
