Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3Sl62Dyoh3wI3gLIJSypnb,"Johnny Quest Thinks We're Sellouts","Losing Streak","Less Than Jake",1996-01-01,169106,49,12156865730,2018-02-09T21:14:11Z,"ska punk,ska,punk,skate punk,pop punk","Capitol Records",0.42,0.921,1,-4.165,1,0.049,0.00105,0.000726,0.147,0.76,140.521,4
7qEm8Z4KFLdCMlv96KykVd,"Beer","Turn The Radio Off","Reel Big Fish",1996,210533,56,12156865730,2018-02-09T21:15:05Z,"ska,ska punk,punk","Mojo Records",0.591,0.869,0,-6.205,1,0.106,0.000772,0.00000406,0.085,0.859,104.43,4
7MH63filSWHfjwMlQrlQQG,"Here In Your Bedroom","Goldfinger","Goldfinger",1996,190800,49,12156865730,2018-02-09T21:16:05Z,"ska punk,ska,skate punk,punk,pop punk","Jive",0.489,0.767,5,-8.99,1,0.0398,0.00187,0.00572,0.0786,0.945,171.655,4
0TZ1MAPCWb2jpaKzS5Muyz,"Everything Went Numb","Everything Goes Numb","Streetlight Manifesto",2003-08-26,209973,50,12156865730,2018-02-09T21:16:34Z,"ska,ska punk,punk","Pentimento Music Co.",0.652,0.897,8,-5.165,1,0.0562,0.0131,0.015,0.0447,0.913,134.923,4
0J3QpWtCLtUOPA3Sw8DN2D,"Noise Complaint","Strictly Rude","Big D and the Kids Table",2007-03-20,192640,0,12156865730,2018-02-09T21:17:02Z,"ska,ska punk,punk,skate punk","SideOneDummy Records",0.557,0.947,9,-3.624,1,0.0965,0.00143,0.00000117,0.096,0.69,100.415,4
1kmESaPyjcGn95XzgxjBSZ,"Shotgun","Pezcore","Less Than Jake",2008-03-18,176800,29,12156865730,2018-02-09T21:17:51Z,"ska punk,ska,punk,skate punk,pop punk","Sleep It Off Records",0.437,0.987,10,-2.421,1,0.0662,0.00365,0.000227,0.127,0.636,117.349,4
1udmwKNf4rSh1djrRNaG11,"This Gigantic Robot Kills (feat. the MC Bat Commander & Suburban Legends)","This Gigantic Robot Kills","MC Lars,Suburban Legends,The Mc Bat Commander",2009,169346,38,12156865730,2018-02-09T21:18:13Z,"nerdcore,ska,ska punk","Horris Records",0.743,0.837,0,-4.665,1,0.122,0.0202,0,0.0502,0.953,152.128,4
7vPLB09s3XNhIM5S5wF1Si,"Everyone Else Is An Asshole","Candy Coated Fury","Reel Big Fish",2012-07-30,251093,1,12156865730,2018-02-09T21:18:48Z,"ska,ska punk,punk","Rock Ridge Music",0.62,0.975,4,-2.507,1,0.0868,0.0278,0,0.109,0.751,123.476,4
1EJnKmAeovWlsT078slSel,"High Fives","Rump Shaker","Suburban Legends",2003-01-01,264600,30,12156865730,2018-02-09T21:19:27Z,"ska,ska punk","Suburban Legends",0.394,0.975,4,-4.192,1,0.21,0.0522,0.0000012,0.146,0.42,183.773,4
0HMYZNbHHwv82FQreiUbUV,"Mendoza","Masterpieces: 1991-2002","Mustard Plug",2005-09-06,168880,0,12156865730,2018-02-09T21:20:21Z,"ska,ska punk,punk,skate punk","Hopeless Records",0.562,0.935,2,-5.573,1,0.0683,0.0673,0.0159,0.0619,0.857,89.689,4
