Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
66wO3p3MofGc4yHSogrqqi,"Resonance","Odyssey","Home",2014-07-01,212938,61,313da3ws4f22eg7af5swfjr6wimu,2025-03-11T23:43:00Z,"vaporwave,synthwave,chillwave","Unjaps AB",0.564,0.754,8,-8.849,1,0.0646,0.0424,0.84,0.224,0.457,170.084,5
0WnwKZKV7czXIfw2zQwKY8,"Interlinked - Slowed","Interlinked (Slowed)","Lonely Lies,GOLDKID$",2023-10-05,230000,20,nr3sbdyxmw4eys9191x88s95i,2023-10-09T21:59:47Z,"synthwave,drift phonk,phonk","Lonely Lies",0.477,0.825,8,-6.223,1,0.0294,0.00489,0.646,0.115,0.239,160.358,4
0qqRNnwh86N1XBV94GVgQN,"SimpsonWave1995","FrankJavCee Collection, Vol. 1, Pt. II","FrankJavCee",2016-06-05,142602,65,nr3sbdyxmw4eys9191x88s95i,2023-02-05T05:17:09Z,"vaporwave,synthwave","FrankJavCee",0.661,0.375,3,-10.134,0,0.0432,0.0566,0.555,0.105,0.645,169.951,3
1A7qPfbcyRVEdcZiwTFhZI,"Memory Reboot","Memory Reboot","VØJ,Narvent",2023-01-13,209416,71,nr3sbdyxmw4eys9191x88s95i,2023-06-24T02:04:58Z,"phonk,drift phonk,synthwave","VØJ",0.469,0.894,8,-6.341,1,0.0428,0.00024,0.000194,0.125,0.456,81.377,4
6GNdm4kpMs3YHHaGyOaqik,"Not Perfect","Not Perfect","zaichkou888,VØJ,IVOXYGEN,HXPETRAIN",2024-07-26,180593,51,313da3ws4f22eg7af5swfjr6wimu,2024-07-25T19:55:44Z,"phonk,drift phonk,synthwave","Void Creative Group CC",0.454,0.972,0,-3.674,0,0.035,0.0427,0.671,0.096,0.556,140.511,4
0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,79,nr3sbdyxmw4eys9191x88s95i,2023-08-19T05:35:51Z,"","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
4xF4ZBGPZKxECeDFrqSAG4,"snowfall","snowfall","Øneheart,reidenshi",2022-01-14,124065,83,nr3sbdyxmw4eys9191x88s95i,2022-12-20T22:01:03Z,"dark ambient,ambient","Øneheart & reidenshi",0.466,0.0918,10,-26.813,1,0.0269,0.929,0.803,0.439,0.0841,95.014,4
7J5zxJKpWqkHBrQOdVkFpl,"Interlinked","Interlinked","Lonely Lies,GOLDKID$",2023-10-06,206666,19,nr3sbdyxmw4eys9191x88s95i,2023-10-09T21:59:40Z,"synthwave,drift phonk,phonk","Lonely Lies",0.419,0.826,10,-6.034,1,0.0324,0.00107,0.0591,0.129,0.246,180.002,4
5gYN5OyLG9dEnlNkfBGDen,"ambient resonance - slowed","ambient resonance","Lonely Lies",2024-01-19,128000,13,313da3ws4f22eg7af5swfjr6wimu,2024-01-18T16:55:24Z,"synthwave","Intertone Records",0.2,0.0507,5,-32.056,0,0.0421,0.819,0.96,0.102,0.0394,64.602,4
2K7xn816oNHJZ0aVqdQsha,"Softcore","Hard To Imagine The Neighbourhood Ever Changing","The Neighbourhood",2018-11-02,206280,85,nr3sbdyxmw4eys9191x88s95i,2023-02-26T20:06:43Z,"","Columbia",0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4
2TDCKvSIj5qQp7UsVS8pf4,"Resonance - Version","Resonance","Casa Noir",2023-12-21,166588,5,313da3ws4f22eg7af5swfjr6wimu,2023-12-23T18:29:04Z,"midwest emo,synthwave","Casa Noir",0.588,0.397,8,-15.217,1,0.0405,0.827,0.764,0.108,0.137,84.956,4
2gdE3uY6CeRkzIKbQHiIYd,"Never See - Slowed","Never See","SPYRAL",2023-10-13,193879,42,313da3ws4f22eg7af5swfjr6wimu,2025-01-31T19:08:44Z,"electroclash,phonk,witch house","Intertone Records",0.569,0.525,1,-6.665,1,0.0386,0.00869,0.0255,0.122,0.392,108.088,4
5MEkZ1euL2fizJmhZWUVs6,"Nightcall","Drive (Original Motion Picture Soundtrack)","Lovefoxxx,Kavinsky",2011-09-06,259799,0,nr3sbdyxmw4eys9191x88s95i,2023-08-18T14:58:22Z,"synthwave,french house","Lakeshore Records",0.53,0.816,9,-5.829,0,0.0543,0.0051,0.00985,0.222,0.516,91.025,4
4oiGJo1uVYzOIcNOo6xnBW,"Interlinked - Ultra Slowed","Interlinked (Ultra Slowed)","Lonely Lies",2024-09-27,256750,8,313da3ws4f22eg7af5swfjr6wimu,2024-09-28T12:49:30Z,"synthwave","Intertone Records",0.521,0.788,10,-6.389,0,0.0252,0.0249,0.912,0.115,0.365,142.858,4
59qV04Snd7YyVEYpRpxYeo,"Sapphire","CURSED","Perpetualll,Goo Munday",2024-09-06,152379,38,313da3ws4f22eg7af5swfjr6wimu,2024-09-06T08:53:08Z,"witch house,electroclash,darkwave","VOID Creative Group",0.493,0.916,4,-6.245,0,0.0716,0.18,0.000804,0.165,0.252,126.055,4
5tRnzF4v2KL72QQdCjopyt,"Black Out Days - Future Islands Remix (Slowed)","Black Out Days [Future Islands Remix (Slowed)]","Phantogram,xxtristanxo,Slowed Radio,Future Islands",2021-09-10,214394,58,nr3sbdyxmw4eys9191x88s95i,2022-12-04T16:23:02Z,"","Republic Records",0.535,0.402,9,-10.884,1,0.031,0.000748,0.734,0.0812,0.0862,142.847,4
1WLxg0luWS1uLNCsHSQ7Dg,"Neon Nights","Neon Nights","lucidmusic,daydreams!",2023-11-17,138214,9,313da3ws4f22eg7af5swfjr6wimu,2023-11-16T12:45:37Z,"synthwave","Intertone Records",0.464,0.45,1,-11.14,1,0.038,0.555,0.0548,0.326,0.107,168.024,4
3z88Y6ticuCAemtoyDu4av,"Resonance - Slowed","Resonance","Casa Noir",2023-12-21,196000,2,313da3ws4f22eg7af5swfjr6wimu,2023-12-23T18:29:31Z,"midwest emo,synthwave","Casa Noir",0.579,0.275,7,-16.605,0,0.0443,0.814,0.865,0.106,0.153,71.46,5
0zYhhEnVPmb1cTwPYeCO44,"Aura","The Priests Of Hiroshima","Wojciech Golczewski",2019-08-30,161607,36,nr3sbdyxmw4eys9191x88s95i,2022-10-20T19:10:12Z,"synthwave,space music","Data Airlines",0.459,0.489,1,-10.091,1,0.0333,0.0364,0.886,0.101,0.0263,111.825,4
0aHBhbzRLKl6M7P0rlk3To,"Celestial","Celestial","GOLDKID$",2024-06-21,106987,6,313da3ws4f22eg7af5swfjr6wimu,2024-06-21T16:34:15Z,"drift phonk,phonk,synthwave","Intertone Records",0.383,0.879,9,-6.657,0,0.0303,0.0769,0.0363,0.26,0.497,165.942,4
5tAkQarl1IyBs7I1iWeEQH,"Essence","Essence","Navjaxx,GOLDKID$",2024-06-14,148000,5,313da3ws4f22eg7af5swfjr6wimu,2024-06-13T19:06:41Z,"synthwave,electroclash,phonk,drift phonk","Intertone Records",0.677,0.728,8,-8.008,1,0.0319,0.0895,0.945,0.141,0.463,120.048,4
3Bj2mrlp3tALHO5U3mK8zM,"Blade Runner 2049","Blade Runner 2049","Synthwave Goose",2018-05-25,228019,50,nr3sbdyxmw4eys9191x88s95i,2022-10-20T19:08:56Z,"synthwave,vaporwave","Synthwave Goose",0.573,0.458,0,-16.739,0,0.0369,0.896,0.902,0.125,0.0364,116.029,4
1aayZc3JciIs2GhZcSlCrw,"We're Finally Landing","Before the Night","Home",2014-12-28,272039,57,nr3sbdyxmw4eys9191x88s95i,2022-11-02T05:30:48Z,"vaporwave,synthwave,chillwave","606983 Records DK2",0.481,0.546,2,-13.266,1,0.0723,0.052,0.0263,0.454,0.072,180.047,4
0U0ldCRmgCqhVvD6ksG63j,"Nightcall","Nightcall","Kavinsky",2010,258413,73,nr3sbdyxmw4eys9191x88s95i,2022-11-04T04:13:37Z,"synthwave,french house","Universal Music Division Virgin Music",0.532,0.874,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,4
0K1eMoFjBnnl7s1w69R2og,"DREAMTOPHIA","DREAMTOPHIA","GOLDKID$,Navjaxx,Trihoof",2024-02-09,163764,6,313da3ws4f22eg7af5swfjr6wimu,2024-02-08T22:49:46Z,"drift phonk,phonk,synthwave,electroclash","Intertone Records",0.201,0.657,7,-6.569,0,0.166,0.0201,0.461,0.446,0.0359,81.269,4
1UcyzhmBDfdw07DiuT7DEG,"The Perfect Girl - The Motion Retrowave Remix","The Perfect Girl (The Motion Retrowave Remix)","Mareux,The Motion",2022-05-16,181016,61,nr3sbdyxmw4eys9191x88s95i,2022-11-06T15:41:58Z,"darkwave,synthwave","Revolution Records",0.594,0.759,6,-7.883,0,0.0512,0.000835,0.879,0.077,0.164,118.062,4
