Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Di0qFNb7ATroCGB3q0Ka7,"West End Girls - 2018 Remaster","Please: Further Listening 1984 - 1986 (2018 Remaster)","Pet Shop Boys",1986-03-24,285906,72,,2024-11-28T11:13:50Z,"synthpop,new wave","Rhino",0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,4
6hTcuIQa0sxrrByu9wTD7s,"Born to Run","Born To Run","Bruce Springsteen",1975-08-25,269920,73,,2024-11-28T11:13:50Z,"","Columbia",0.27,0.944,4,-4.199,1,0.0975,0.00501,0.0000205,0.116,0.606,146.347,4
2SiXAy7TuUkycRVbbWDEpo,"You Shook Me All Night Long","Back In Black","AC/DC",1980-07-25,210173,81,,2024-11-28T11:13:50Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
56KqaFSGTb7ifpt16t5Y1N,"Rock the Casbah - Remastered","Combat Rock (Remastered)","The Clash",1982,222426,74,,2024-11-28T11:13:50Z,"punk","Sony Music UK",0.797,0.872,9,-6.727,0,0.0575,0.291,0,0.284,0.866,129.885,4
1YrnDTqvcnUKxAIeXyaEmU,"How Soon Is Now? - 2011 Remaster","Hatful of Hollow","The Smiths",1984,408173,73,,2024-11-28T11:13:50Z,"new wave,madchester,jangle pop","WM UK",0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,4
3qLZ866ZfaK0B0R5FIqXLG,"She Sells Sanctuary","Love","The Cult",1985-10-18,252533,69,,2024-11-28T11:13:50Z,"hard rock,glam metal","Beggars Banquet",0.55,0.765,7,-8.684,1,0.0287,0.00000476,0.873,0.132,0.419,139.46,4
38Ngied9rBORlAbLYNCl4k,"Once in a Lifetime - 2005 Remaster","Remain in Light (Deluxe Version)","Talking Heads",1980-10-08,259906,67,,2024-11-28T11:13:50Z,"new wave,post-punk","Rhino/Warner Records",0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,4
1KSkVwl54ghzE1jSbsVNBr,"Just like Heaven - 2006 Remaster","Kiss Me Kiss Me Kiss Me","The Cure",1987-05-25,212013,46,,2024-11-28T11:13:50Z,"new wave,post-punk,darkwave","Rhino/Elektra",0.442,0.935,9,-6.903,1,0.0424,0.0524,0.000307,0.188,0.514,151.448,4
1r8oPEXqnhUVgkUkJNqEuF,"Love Will Tear Us Apart - 2010 Remaster","Substance","Joy Division",2010,204621,51,,2024-11-28T11:13:50Z,"post-punk,new wave,darkwave,madchester,cold wave","Rhino",0.525,0.902,2,-8.662,1,0.0368,0.000989,0.691,0.137,0.907,146.83,4
5X79VgaOn8pDTpTKu3PixN,"We're Not Gonna Take It","Stay Hungry","Twisted Sister",1984-05-10,219666,71,,2024-11-28T11:13:50Z,"glam metal,glam rock","BMG Rights Management (US) LLC",0.502,0.925,4,-6.298,1,0.0501,0.0129,0,0.162,0.923,149.188,4
3ix6K4wZY29bCujrSznwFZ,"Let's Dance - 2018 Remaster","Let's Dance (2018 Remaster)","David Bowie",1983-04-14,457675,70,,2024-11-28T11:13:50Z,"glam rock,art rock","Parlophone UK",0.654,0.743,10,-7.44,0,0.0605,0.0125,0.0272,0.153,0.632,114.846,4
6ck0CGe9BN9gW5oMmzbhs9,"Don't Change","Shabooh Shoobah","INXS",1982-10-16,266026,56,,2024-11-28T11:13:50Z,"","Rhino Atlantic",0.276,0.883,9,-5.625,1,0.0446,0.000252,0.462,0.0973,0.164,164.052,4
4Q3ERWBrb4lhDvAPyANjY5,"The Boys Of Summer - Remastered 2024","Building The Perfect Beast (Remastered 2024)","Don Henley",2024-10-04,289880,77,,2024-11-28T11:13:50Z,"","Geffen",0.523,0.704,6,-9.778,1,0.0422,0.424,0.00193,0.0873,0.907,177.439,4
5lN1EH25gdiqT1SFALMAq1,"Gold on the Ceiling","El Camino","The Black Keys",2011-12-06,224333,64,,2024-11-28T11:13:50Z,"blues rock,garage rock,modern blues,rock","Nonesuch",0.505,0.833,0,-4.632,1,0.0475,0.00772,0.000079,0.069,0.565,130.121,4
1QaJWSCk3UMKLotnPCIHh1,"Brass in Pocket - 2006 Remaster","Pretenders","Pretenders",1980-01-11,185960,58,,2024-11-28T11:13:50Z,"","Rhino/Warner Records",0.751,0.703,9,-5.687,1,0.0287,0.368,0.00123,0.196,0.907,97.931,4
2K22nUTdyr48JDwI5t906t,"Relax","Welcome To The Pleasuredome","Frankie Goes To Hollywood",1984-10-20,236800,71,,2024-11-28T11:13:50Z,"synthpop,hi-nrg","ZTT Records",0.676,0.693,11,-13.396,0,0.0394,0.327,0.0000108,0.0462,0.688,114.934,4
3H097K41pskob32JipdXzK,"What Do You Want From Me?","Music For Pleasure","Monaco",1997-06-09,248360,51,,2024-11-28T11:13:50Z,"madchester,britpop","Polydor Records",0.478,0.972,9,-5.372,0,0.0397,0.000587,0.00378,0.317,0.682,149.543,4
0cGG2EouYCEEC3xfa0tDFV,"Tainted Love","Non-Stop Erotic Cabaret","Soft Cell",1981,153800,78,,2024-11-28T11:13:50Z,"synthpop,new wave","EMI",0.5,0.501,0,-8.284,0,0.0376,0.462,0,0.26,0.623,144.438,4
15049rGLXHwrWtE4euUb5C,"The Killing Moon","Songs to Learn & Sing","Echo & the Bunnymen",1985-11-11,346280,57,,2024-11-28T11:13:50Z,"new wave,post-punk,darkwave","Rhino/Warner Records",0.522,0.85,7,-4.769,1,0.0361,0.132,0.0329,0.295,0.71,124.216,4
6sby78fghipoXHQLeeZFFH,"When Doves Cry","Purple Rain","Prince",1984-06-25,354133,72,,2024-11-28T11:13:50Z,"funk rock","Warner Records",0.729,0.989,9,-4.613,0,0.049,0.0102,0.0000443,0.443,0.841,126.468,4
1tuwC1Ob5vnYZhvg3zyzJg,"Pictures of You - 2010 Remaster","Disintegration (Deluxe Edition)","The Cure",1989-05-02,448466,58,,2024-11-28T11:13:50Z,"new wave,post-punk,darkwave","Rhino/Elektra",0.484,0.776,9,-6.48,1,0.0312,0.00371,0.109,0.131,0.495,171.935,4
4nFNJmjfgBF7jwv2oBC45b,"Money For Nothing - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,505333,69,,2024-11-28T11:13:50Z,"classic rock","UMC (Universal Music Catalogue)",0.674,0.649,2,-9.321,0,0.0356,0.0456,0.000766,0.0644,0.645,134.212,4
4sscDOZCkbLSlDqcCgUJnX,"Whip It","Freedom of Choice","DEVO",1980,161133,62,,2024-11-28T11:13:50Z,"new wave,post-punk,synthpop","Warner Records",0.78,0.869,9,-7.255,1,0.0517,0.0744,0.004,0.0621,0.957,157.902,4
2DBlfjL5chsdeULzhTp5K8,"Waiting Room","13 Songs","Fugazi",1989-09-01,173266,61,,2024-11-28T11:13:50Z,"post-hardcore,punk,noise rock,hardcore punk","Dischord Records",0.618,0.716,6,-8.224,0,0.0367,0.00473,0.822,0.179,0.545,92.174,4
1ChulFMnwxoD74Me8eX2TU,"You Spin Me Round (Like a Record)","Evolution: The Hits","Dead Or Alive",1983,195146,74,,2024-11-28T11:13:50Z,"hi-nrg,synthpop","Epic",0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,4
03Z0v1NYSk186ajlxqHSx4,"New Sensation - 2017 Remaster","Kick (30th Deluxe Edition)","INXS",1987,220160,33,,2024-11-28T11:13:50Z,"","Rhino Atlantic",0.679,0.946,9,-5.281,1,0.0638,0.00655,0.0000346,0.0524,0.89,115.421,4
3fH4KjXFYMmljxrcGrbPj9,"Don't You (Forget About Me)","Once Upon A Time (Super Deluxe)","Simple Minds",1985,263040,76,,2024-11-28T11:13:50Z,"new wave","UMC (Universal Music Catalogue)",0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,4
33iv3wnGMrrDugd7GBso1z,"My Own Worst Enemy","A Place In The Sun","Lit",1999-02-22,169026,73,,2024-11-28T11:13:50Z,"pop punk","RCA Records Label",0.494,0.946,4,-2.757,1,0.0637,0.00129,0,0.398,0.741,103.408,4
