Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2xNln5r06KzE2ABS4Vq4i2,"Lazy Generation - Edited","The F-Ups","The F-Ups",2004-01-01,145213,46,xmario07,2017-06-15T22:17:07Z,"","Capitol Records",0.478,0.955,6,-2.855,1,0.0454,0.0000907,0.00000159,0.462,0.545,98.833,4
6PKvJyi9tAzBJhRNcYBR69,"Independence Day","Daylight Breaking","No Motiv",2004-07-06,204466,0,xmario07,2017-06-15T22:17:27Z,"skate punk","Vagrant Records",0.335,0.968,5,-5.323,1,0.138,0.00034,0.00000605,0.634,0.357,152.985,4
3CdiDnMY9I6a2mciw8okLq,"Always You","Fading Days","Amber Pacific",2004-05-25,245973,0,xmario07,2017-06-15T22:15:56Z,"pop punk,emo pop","Hopeless Records",0.512,0.8,1,-4.001,1,0.0322,0.00101,0.000158,0.105,0.701,92.003,4
1oUdnFjmId2jWMifZ8V9J2,"Over the Counterculture","Over The Counter Culture","The Ordinary Boys",2004-07-05,195533,35,xmario07,2017-06-15T22:17:54Z,"britpop","B-Unique Records",0.363,0.949,2,-3.066,0,0.0711,0.00639,0.00065,0.0713,0.697,167.862,4
05IWxcvFY5t7fUVJQdK9GA,"Rookie of the Year","Casually Dressed And Deep In Conversation","Funeral For A Friend",2003-10-06,180733,43,xmario07,2017-12-14T08:08:12Z,"post-hardcore,screamo,emocore,emo,emo pop","Atlantic Records UK",0.276,0.872,6,-3.445,1,0.0399,0.0000138,0,0.104,0.477,96.508,3
2mE5V5Um7DoYSnLxZ1UHpS,"Time And Time Again","Lines In My Face","Chronic Future",2004-01-01,210200,40,xmario07,2017-06-15T22:21:26Z,"","Interscope",0.442,0.953,1,-3.133,1,0.326,0.042,0,0.206,0.432,154.157,4
0H9P0dEUCtzAfdW1FUUvvU,"This Fire","Franz Ferdinand","Franz Ferdinand",2004,254693,0,xmario07,2017-06-15T22:21:44Z,"indie rock","Epic",0.543,0.874,7,-9.46,1,0.0529,0.00255,0,0.164,0.673,138.086,4
0YPDp1KIxVLTdh3vnvk6wd,"C'mon C'mon","Pawn Shoppe Heart","The Von Bondies",2004,133546,51,xmario07,2017-06-15T22:21:57Z,"garage rock","Sire/Reprise",0.491,0.966,5,-3.896,1,0.133,0.0787,0,0.281,0.48,147.836,4
6vvmYYUvGXtZLU8msxKvzF,"I Wanna Be Sedated - 1999 Remaster","Road to Ruin (Expanded 2005 Remaster)","Ramones",1978-09-22,149466,55,xmario07,2017-06-15T22:22:06Z,"punk,proto-punk","Rhino/Warner Records",0.597,0.96,11,-3.989,1,0.042,0.169,0.0000289,0.105,0.937,163.017,4
4Mlc6Dw9zAdng0AJF20y0w,"Make A Sound","Make A Sound","Autopilot Off",2004-01-01,224133,45,xmario07,2017-06-15T22:24:56Z,"skate punk","Island Def Jam",0.456,0.965,1,-3.81,0,0.0746,0.000107,0.000066,0.357,0.312,105.518,4
6ponO7WchGoda7rOttnyCu,"Orpheus","Meltdown","Ash",2004-05-17,257733,0,xmario07,2017-06-15T22:16:20Z,"britpop,power pop","Echo",0.461,0.964,11,-4.627,0,0.186,0.000638,0.0275,0.267,0.274,149.1,4
0DxN6Ywom8nnndyQXdSBPy,"Breathing","Ocean Avenue","Yellowcard",2003-01-01,218706,61,xmario07,2017-06-15T22:25:12Z,"pop punk,emo pop,punk,emo","Capitol Records",0.382,0.932,4,-3.726,0,0.0716,0.000035,0,0.243,0.57,179.581,4
2ANnaLVG3acdlp8v1ZPgE2,"Rise Up","From The Ashes","Pennywise",2003-09-09,167400,33,xmario07,2017-06-15T22:25:37Z,"punk,skate punk,ska punk,melodic hardcore,hardcore punk","Epitaph",0.362,0.958,4,-4.086,1,0.091,0.000232,0.0000522,0.0841,0.804,100.066,4
1hU5jroVNKrmeRiAhoOs8k,"Reinventing the Wheel to Run Myself Over","Punk the Clock","Fall Out Boy",2011-05-21,137813,32,xmario07,2017-06-15T22:25:53Z,"emo,pop punk,emo pop","Punk The Clock",0.572,0.939,11,-4.367,1,0.0854,0.0000949,0,0.211,0.704,105.442,4
38W5muraU43ztE3As8X0mc,"Autobrats","Major Fables","The Lot Six",2013-01-01,212960,32,xmario07,2017-06-15T22:26:10Z,"","Tarantulas Records",0.238,0.963,9,-4.4,1,0.0846,0.0622,0.859,0.328,0.686,138.077,4
6oZ7cIZpIMD6EGX86CLm9l,"Hot Night Crash","Kiss & Tell","Sahara Hotnights",2004-05-11,161840,37,xmario07,2017-06-15T22:26:22Z,"","RCA Records Label",0.385,0.932,1,-3.329,1,0.0462,0.000112,0.0000115,0.301,0.784,162.129,4
3SBERYG6n7kYL7KvnImp5k,"I Let Go","Obsession","Eighteen Visions",2004-06-01,202960,36,xmario07,2017-06-15T22:26:36Z,"metalcore","Epic/Trustkill",0.332,0.983,6,-3.621,0,0.124,0.0000202,0,0.178,0.12,158.221,4
6UFThADNeoXMi1JrdGmGIu,"Saccharine Smile","Amplify The Good Times","Donots",2002,197920,0,xmario07,2017-06-15T22:26:50Z,"punk","Supersonic-GUN",0.368,0.941,6,-4.157,1,0.0647,0.000104,0,0.371,0.458,172.197,4
5FpDTpoAnj49aYTKrgL07f,"Populace In Two","Dear Diary, My Teen Angst Has A Body Count","From First To Last",2004-06-29,239601,40,xmario07,2017-06-15T22:27:01Z,"post-hardcore,screamo,emo,emocore,emo pop","Epitaph",0.469,0.919,6,-4.102,0,0.0545,0.00197,0,0.129,0.469,88.686,4
0ChpoNjXfJPjMvCIN6so6J,"Memory","Palm Trees and Power Lines","Sugarcult",2004-04-13,226080,65,xmario07,2017-06-15T22:27:20Z,"pop punk,emo pop,punk,emo","Fearless/Sheridan Square",0.449,0.864,1,-3.892,1,0.0352,0.0000204,0,0.108,0.713,167.154,4
39PdBpq5GtrgNWlgNxPzuw,"Stay In Shadow","Finger Eleven","Finger Eleven",2003-01-01,195306,50,xmario07,2020-01-28T04:26:14Z,"","The Bicycle Music Company",0.46,0.929,6,-3.947,0,0.0731,0.00649,0,0.154,0.569,156.033,4
3FanhbTW474nNzcW1BZ6MJ,"Congratulations Smack + Katy","Under the Tray","Reggie And The Full Effect",2004-07-06,148678,0,xmario07,2017-06-15T22:28:02Z,"emo pop,emo,pop punk","Vagrant Records",0.246,0.973,11,-3.839,0,0.174,0.00392,0,0.81,0.238,172.096,4
3McKxA9T8uSgNwkIV6kCV1,"Everyone Alive (live)","Alive '05","Local H",2006-03-14,262896,31,xmario07,2017-06-15T22:28:21Z,"grunge,post-grunge","Cleopatra",0.238,0.985,10,-2.669,0,0.114,0.00286,0.00000898,0.468,0.312,160.607,4
4hwdisISdsQAZEGveNasbr,"Please","Maxeen","Maxeen",2003-11-18,225893,0,xmario07,2017-06-15T22:29:16Z,"","SideOneDummy Records",0.465,0.934,7,-3.413,0,0.0411,0.00326,0.000198,0.318,0.687,176.009,4
3zrGERbTsrXtO7VMGPU71e,"At Least I'm Known For Something","Catalyst (International Version)","New Found Glory",2004-01-01,210040,0,xmario07,2017-06-15T22:29:28Z,"pop punk,emo pop,punk,emo","Polydor",0.529,0.945,4,-4.591,1,0.15,0.000489,0.0000205,0.0888,0.71,158.997,4
7lRlq939cDG4SzWOF4VAnd,"I'm Not Okay (I Promise)","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,186480,77,xmario07,2017-06-15T22:29:38Z,"emo,pop punk,emo pop","Reprise",0.21,0.94,9,-3.427,1,0.123,0.00602,0,0.269,0.255,179.722,4
1qtsLBaReTZTZSgzVENocA,"C'mon","Worst Enemy","Go Betty Go",2004-04-20,235813,0,xmario07,2017-06-15T22:29:51Z,"","SideOneDummy Records",0.395,0.975,4,-2.048,1,0.0606,0.0528,0.0000371,0.918,0.65,189.989,4
5AnrOYvxOArUnT44VnN7kb,"Broken Promises","Moonlight Survived (U.S. Version)","Moments In Grace",2004-08-17,195920,35,xmario07,2017-06-15T22:30:09Z,"","Salad Days/Atlantic",0.402,0.962,10,-6.517,1,0.177,0.0000901,0.00186,0.0474,0.12,144.971,4
15VojnPQuAQleWQCBkcS5i,"Give It Up","Forget What You Know","Midtown",2004-06-28,219840,42,xmario07,2017-06-15T22:30:22Z,"pop punk,emo pop,emo","Columbia",0.454,0.926,10,-2.171,0,0.0674,0.000445,0,0.107,0.574,159.845,4
40kvtEC5I5VnN9pOOlGw3J,"Fall Apart","Turn Of The Screw","1208",2004,188400,0,xmario07,2017-06-15T22:10:18Z,"skate punk,melodic hardcore,punk","Epitaph",0.542,0.905,2,-3.601,1,0.0457,0.0000154,0.0000182,0.147,0.757,121.426,4
5OU9pkK0wkHJMCOBVYafye,"My Favorite Accident","I Am The Movie","Motion City Soundtrack",2003-06-24,200200,49,xmario07,2017-06-15T22:30:46Z,"pop punk,emo pop,emo","Epitaph",0.533,0.9,1,-5.084,1,0.035,0.00185,0.0000965,0.194,0.656,100.534,4
6Nl8qp2bhHHWGYt3BYmsY1,"Paper Wings","Siren Song Of The Counter-Culture","Rise Against",2004-01-01,223613,49,xmario07,2017-06-15T22:31:03Z,"punk,hardcore punk","Geffen",0.556,0.93,3,-3.62,1,0.0538,0.000921,0.00514,0.108,0.514,100.143,4
5feYKXxg4HL2APTQGCfAav,"Sing Along Forever","Anchors Aweigh","The Bouncing Souls",2003-08-26,95506,40,xmario07,2017-06-15T22:31:19Z,"punk,skate punk,ska punk,ska,melodic hardcore,pop punk","Epitaph",0.592,0.964,0,-3.672,1,0.0816,0.00912,0,0.27,0.585,101.252,4
7dSPX2lE6BYEBVrbBIEDQi,"Audio Blood","E. Von Dahl Killed the Locals","The Matches",2014-02-21,200026,0,xmario07,2017-06-15T22:31:53Z,"pop punk,emo pop","No Pretend Record Label",0.492,0.962,9,-3.181,1,0.0494,0.00208,0,0.184,0.264,128.042,4
13dlst6QnNTDEqEPksp2oC,"4/16","Love Is Worth It","Silent Drive",2004,191360,35,xmario07,2017-06-15T22:32:02Z,"post-hardcore","Equal Vision Records",0.368,0.983,3,-3.612,0,0.0953,0.00822,0,0.308,0.366,188.368,4
37qEewGzwkFGJ8aGhYBXQu,"Here I Am","Black Tape","The Explosion",2004-01-01,167000,41,xmario07,2017-06-15T22:32:17Z,"skate punk,punk","Virgin Records",0.481,0.963,2,-3.591,1,0.0734,0.000662,0.000396,0.324,0.489,117.06,4
0KlpH73xQkHskmBfPkUV4S,"Come On","6Twenty","The D4",2002-10-03,143880,26,xmario07,2020-01-28T04:29:35Z,"garage rock","WM New Zealand",0.39,0.944,4,-4.269,1,0.0384,0.000249,0.0324,0.737,0.966,163.802,4
