Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2q6fxAvSpqXR4jx9Ne7RGz,"Main Title","Game Of Thrones (Music From The HBO Series)","Ramin Djawadi",2011-01-01,106280,61,,2025-03-11T11:06:55Z,"soundtrack","Varese Sarabande",0.197,0.603,5,-16.116,0,0.0454,0.302,0.794,0.106,0.232,169.881,3
22yxHt6UqZpH7tP6W4PooI,"For The Love Of A Princess","Braveheart (Original Motion Picture Soundtrack)","James Horner,London Symphony Orchestra",1995-01-01,247333,60,,2025-03-11T11:06:55Z,"soundtrack,classical,orchestra,opera","Decca Music Group Ltd.",0.155,0.0602,9,-25.766,0,0.045,0.404,0.922,0.122,0.0364,134.622,4
4wlNPczIullwvmwb4x0ltz,"Scarborough Fair (Arr. Parkin for Cello and Guitar)","Elgar","Traditional,Sheku Kanneh-Mason,Plínio Fernandes",2020-01-10,194533,49,,2025-03-11T11:06:55Z,"medieval,traditional music,sufi,bhajan,gregorian chant,qawwali,classical","Decca Music Group Ltd.",0.311,0.0244,2,-30.54,1,0.0399,0.976,0.888,0.118,0.256,116.453,4
7sMvYO5Ewgmsd4f9pX01ig,"Soliloquies on 3 Welsh Folk Songs: No. 2, Suo gân","H. Evans: Soliloquies on 3 Welsh Folk Songs: No. 2, Suo gân","Haldon Evans,Alis Huws",2024-05-24,233994,25,,2025-03-11T11:06:55Z,"","Decca Music Group Ltd.",0.269,0.00704,5,-35.245,1,0.0399,0.987,0.931,0.0511,0.117,87.673,4
7aqx8hsa0qrpkDYfDnQy54,"Simple Gifts (Arr. Knigge Recorder and Ensemble)","Traditional: Simple Gifts (Arr. Knigge Recorder and Ensemble)","Traditional,Lucie Horsch,LUDWIG Orchestra",2022-07-08,167426,35,,2025-03-11T11:06:55Z,"medieval,traditional music,sufi,bhajan,gregorian chant,qawwali","Decca Music Group Ltd.",0.217,0.0411,7,-25.485,1,0.0407,0.975,0.519,0.0644,0.24,94.382,4
6NKrz1n8qHb2a2ZrKnzBCb,"Sinfonia (3-Part Invention) No. 11 in G Minor, BWV 797 (Transcr. for Harp)","J.S. Bach: Sinfonia (3-Part Invention) No. 11 in G Minor, BWV 797 (Transcr. for Harp)","Johann Sebastian Bach,Magdalena Hoffmann",2024-08-16,134266,53,,2025-03-11T11:06:55Z,"classical,classical piano","Deutsche Grammophon (DG)",0.32,0.0379,7,-30.445,0,0.0573,0.993,0.934,0.0904,0.308,104.177,3
3V6Wud4SwiYyVKyD2ewTWS,"Passymeasure Galliard","Dreames & Imaginations - Poeticall Musicke to be sung to the Lyra viol (Music from around 1600)","John Danyel,Evangelina Mascardi,Angélique Mauillon",2024-10-18,253613,36,,2025-03-11T11:06:55Z,"medieval","TYXArt",0.285,0.0743,5,-29.227,0,0.0364,0.989,0.894,0.0812,0.282,95.52,4
7wZhwLyR5zxTvl8Jm5NhZJ,"Recercare 6 - Intabolatura de lauto, Libro primo, Libro secondo","Bright & Early","Francesco Spinacino,Hopkinson Smith",2023-02-03,132986,18,,2025-03-11T11:06:55Z,"medieval","naïve, a label of Believe Group",0.401,0.0826,10,-30.216,0,0.0319,0.98,0.917,0.113,0.393,99.299,4
3tc4PUXLpZ06Ryci7BDWx4,"Tell Me A Tale Of Yourself, So That I Might Know Thee","The Green Knight (Original Motion Picture Soundtrack)","Daniel Hart",2021-07-30,169680,27,,2025-03-11T11:06:55Z,"soundtrack","Milan",0.224,0.0395,9,-22.515,0,0.0449,0.969,0.853,0.09,0.0355,117.523,3
7ewaVft9jaB3eXlcvWPiVI,"Fantasia on Greensleeves","Vaughan Williams: Tallis Fantasia; Fantasia on Greensleeves; The Lark Ascending etc.","Ralph Vaughan Williams,Academy of St. Martin in the Fields,Sir Neville Marriner",1972-10-01,255106,44,,2025-03-11T11:06:55Z,"classical,chamber music,orchestra","Decca Music Group Ltd.",0.21,0.07,0,-26.885,0,0.0406,0.964,0.881,0.403,0.119,94.204,4
