Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6nHlr5mIcSPqUsQj4mpnRk,"Be Shy","Be Shy","FEMME,Nova Newland",2018-09-26,254415,15,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","Wurld Ltd",0.778,0.702,5,-7.291,0,0.0454,0.0323,0.355,0.0608,0.751,118.016,4
6Epbp3MOBM6UnFHyJokEAI,"All Good?","Art Official Intelligence: Mosaic Thump","De La Soul,Chaka Khan",2000-08-08,299008,51,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"jazz rap,east coast hip hop,hip hop","AOI Records",0.875,0.598,2,-5.481,1,0.253,0.0127,0.00000186,0.0207,0.788,96.866,4
1ZqeykOaDmjkldzs7XGR4b,"Where Angels Fear To Tread","Moonlight","Disclosure",2018-08-20,225906,51,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"house","Universal-Island Records Ltd.",0.679,0.735,2,-6.218,0,0.136,0.23,0.602,0.148,0.603,107.998,4
23fEf1PfWtRbVSUEizPNjH,"Inharmonious Slog","Onism","Photay",2017-08-11,260023,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","Astro Nautico",0.793,0.492,1,-11.081,0,0.0526,0.104,0.805,0.337,0.12,115.025,4
7Ayd79TWs9KC80voAfm7gq,"Time","Life's A Beach","Cut Snake",2015-11-06,275410,9,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"bass house","Warner Records",0.756,0.867,7,-7.809,1,0.0516,0.0123,0.694,0.0889,0.805,122.016,4
05cLhA1j0WVOxJVK0V2YXD,"All I Have","Tender Games","Kartell,J-Rican",2015-06-01,226302,32,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"nu disco,french house","Roche Musique",0.852,0.617,0,-9.642,1,0.159,0.085,0.0483,0.192,0.453,111.019,4
3kAZlBDFFa4TXqaI2euN7l,"I Want You","Finding Forever","Common,will.i.am",2007-07-31,270426,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"hip hop,jazz rap","Geffen",0.811,0.645,7,-7.428,1,0.181,0.0821,0.000337,0.575,0.659,101.015,4
2AvFleZf3nZWhgfBqnSSfd,"Forever","A Place Like This","Majid Jordan",2014-07-17,256319,36,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","OVO Sound",0.753,0.709,6,-7.217,0,0.224,0.0507,0.0124,0.0872,0.437,115.004,4
4XXfQ8fBHMIgcygY4hV6RC,"Raingurl","EP2","Yaeji",2017-11-03,237231,60,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","Yaeji",0.929,0.573,6,-6.934,0,0.0511,0.0173,0.00347,0.122,0.305,128.037,4
7H2adPObEX0T4sYTPzm6vK,"Sleep Sound","In Colour","Jamie xx",2015-06-01,232622,43,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","Young",0.74,0.463,5,-13.709,0,0.0414,0.652,0.896,0.416,0.107,118.184,4
6fMipfFtGlw86Bzf5EMGPB,"Noonside","Yaeji","Yaeji",2017-03-31,205677,23,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","Yaeji",0.83,0.494,7,-12.523,1,0.302,0.411,0.0000264,0.117,0.437,115.084,4
2U1xvk9Pq6OnZTuiLeRkgX,"Girl of My Dream","Almeria","Everydayz,Phazz,Bridge",2015-04-20,187118,9,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"future bass","Nowadays Records",0.658,0.804,9,-4.74,0,0.0994,0.0254,0.605,0.0815,0.269,118.061,4
4oUpMbVekidEUpVWOqWgr7,"Hungry Child","A Bath Full of Ecstasy","Hot Chip",2019-06-21,365240,31,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"alternative dance,new rave,indie dance","Domino Recording Co",0.669,0.751,0,-8.08,1,0.0424,0.0802,0.0628,0.343,0.207,119.975,4
1UjyF6okUHhnVxaLV8ojsA,"Am I Wrong (feat. ScHoolboy Q)","Malibu","Anderson .Paak,ScHoolboy Q",2016-01-15,253520,52,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","OBE / Apeshit, Inc / EMPIRE",0.729,0.799,11,-7.378,0,0.0779,0.0588,0.00218,0.0948,0.532,115.04,4
4y794Xfz4IEjKEdpXyMTOq,"I'M DEAD","I'M UUGLY","Duckwrth,Sabrina Claudio",2016-08-26,230632,42,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","Them Hellas/The Blind Youth",0.593,0.753,4,-9.422,0,0.918,0.708,0,0.36,0.483,114.774,4
2yuRPuX2qOUDaBlbZDSZl9,"TRACK UNO","99.9%","KAYTRANADA",2016-05-06,344120,24,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","Ultra Records, LLC",0.843,0.447,0,-10.398,1,0.315,0.0121,0.00106,0.081,0.166,119.564,4
3ChD5n68KchCUcmrjPwvkX,"Something About You","Majid Jordan","Majid Jordan",2016-02-05,261792,41,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","OVO Sound",0.575,0.679,1,-8.151,0,0.126,0.091,0,0.219,0.251,110.091,4
50tgQ8NDNH2SlI3hpyRwtg,"Heavy Elements","Heavy Elements","Synergy Sound",2017-08-16,213368,0,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"future bass","Night Owl Collective",0.666,0.86,6,-4.711,0,0.0408,0.168,0.854,0.0658,0.389,89.974,4
04UsIALCwBDoKIFbJjj8bE,"advent","voyage","Summet",2017-08-31,162925,1,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"future bass,hyperpop","Night Owl Collective",0.725,0.621,10,-10.263,1,0.912,0.663,0.0105,0.107,0.219,140.086,4
43IERoI7NDFaL3BlhTwq6V,"Here - Chris Lorenzo Remix","Here (The Remixes)","Alessia Cara,Chris Lorenzo",2016-04-15,294200,33,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"bassline,bass house,house,tech house,g-house","EP Entertainment, LLC / Def Jam",0.847,0.408,2,-6.161,1,0.058,0.0196,0.00013,0.0629,0.527,121.506,4
1kgHjcE0F72RDkaA8adtXG,"Most Really Pretty Girls Have Pretty Ugly Feet","If This Is House I Want My Money Back 3","HNNY",2014-05-09,285440,54,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"lo-fi house","Permanent Vacation",0.928,0.449,1,-10.425,1,0.0573,0.0862,0.497,0.0889,0.614,119.894,4
3FeVszrXFJCEcmbYWBZtRQ,"Expressing What Matters","Ecstasy","Disclosure",2020-02-28,263213,34,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"house","Universal-Island Records Ltd.",0.781,0.814,11,-8.164,0,0.0916,0.0148,0.838,0.128,0.736,119.993,4
7DMfDJJSyawzkU6fD72e5S,"I'm Honestly Not a Gangster","The Kids Tape","Jerry Folk",2016-07-25,236946,7,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"","Jerry Folk",0.896,0.465,9,-5.984,0,0.0716,0.133,0.00384,0.0942,0.403,116.011,4
55XVu6sTO9XyNEuu3OEijK,"Do You Don't You","Two Fold Pt. 2","Haywyre",2016-02-08,275478,43,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"future bass","Monstercat",0.849,0.723,5,-5.093,0,0.046,0.028,0.12,0.235,0.552,115.031,4
5IpIl6c14WCJhjlIl6poVD,"On Your Mind","On Your Mind","Kaskade",2018-12-07,320280,51,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:14:51Z,"edm","Astralwerks",0.835,0.828,4,-4.512,0,0.0949,0.00235,0.743,0.0602,0.178,107.995,4
