Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3SdTKo2uVsxFblQjpScoHy,"Stand By Me","Don't Play That Song (Mono)","Ben E. King",1962-08-20,180055,76,,2024-07-12T06:11:58Z,"","Rhino Atlantic",0.65,0.306,9,-9.443,1,0.0393,0.57,0.00000707,0.0707,0.605,118.068,4
52HAHV1j93s5B8GoTNI7DJ,"Oh, Pretty Woman","The Essential Roy Orbison","Roy Orbison",2006-03-28,176933,65,,2024-07-12T06:11:58Z,"rockabilly","Monument/Orbison Records/Legacy",0.609,0.584,9,-9.734,1,0.0353,0.725,0,0.0854,0.954,127.306,4
3xsOtNxtBW0oTI1OWKAzTm,"Walk on By","Make Way for Dionne Warwick","Dionne Warwick",1964,178333,65,,2024-07-12T06:11:58Z,"","Rhino",0.7,0.33,5,-9.027,1,0.0303,0.719,0.000086,0.136,0.524,98.605,4
7tqhbajSfrz2F7E1Z75ASX,"Ain't No Mountain High Enough","United","Marvin Gaye,Tammi Terrell",1967-08-29,151666,82,,2024-07-12T06:11:58Z,"motown,soul,northern soul,quiet storm","UNI/MOTOWN",0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.797,129.987,4
6KKcey1w86oP0qxN8frbfD,"Green Onions","Green Onions / Behave Yourself","Booker T. & the M.G.'s",1962,167384,53,,2024-07-12T06:11:58Z,"","Rhino Atlantic",0.788,0.38,10,-15.179,1,0.0346,0.811,0.906,0.102,0.892,138.205,4
7ngRS53kqxLcEt9Pythc5d,"You Don't Own Me","Lesley Gore Sings Of Mixed-Up Hearts","Lesley Gore",1963-11-01,150000,69,,2024-07-12T06:11:58Z,"","Mercury Records",0.473,0.434,2,-10.02,1,0.0257,0.701,0,0.628,0.711,94.814,3
3c2kMiSB86tVq1J4oULmvL,"Groovin'","Groovin' (Mono)","The Young Rascals",1967,151289,61,,2024-07-12T06:11:58Z,"","Rhino Atlantic",0.605,0.455,5,-8.903,0,0.0301,0.595,0,0.0816,0.678,106.825,4
3G0EALIIp5DAeIERxXBHmo,"Waterloo Sunset","Something Else (Deluxe)","The Kinks",1967-09-15,194520,62,,2024-07-12T06:11:58Z,"proto-punk,baroque pop","Castle Communications",0.521,0.691,1,-7.377,0,0.0251,0.0975,0,0.187,0.434,107.707,4
6V9VCm1zOY2lGR80RehJ9i,"Wichita Lineman - Remastered 2001","Wichita Lineman (Remastered)","Glen Campbell",1968,186200,61,,2024-07-12T06:11:58Z,"","Capitol Nashville",0.192,0.392,5,-11.667,1,0.0327,0.326,0.000199,0.248,0.392,172.312,4
1jz8TlrPZR6oXROieCoc2v,"I Only Have Eyes for You","Doo Wop Classics Vol. 1","The Flamingos",2003-12-16,201600,49,,2024-07-12T06:11:58Z,"doo-wop","Rhino",0.546,0.307,5,-12.834,1,0.0293,0.905,0.000939,0.11,0.343,89.229,3
