Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,86,,2021-11-12T16:54:53Z,"classic rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
5E3P9e1hvjyIOlFyqNB5eD,"Rich Girl","The Essential Daryl Hall & John Oates","Daryl Hall & John Oates",2005-04-25,144333,63,,2021-11-12T16:54:53Z,"soft rock","Legacy Recordings",0.598,0.643,5,-6.303,1,0.134,0.5,0,0.0435,0.823,167.971,4
0LiHWulNk5Vws57m9pvo9D,"Green Onions - 2022 Remaster","Green Onions (60th Anniversary Remaster)","Booker T. & the M.G.'s",1962-10-01,174282,46,,2022-10-03T15:51:09Z,"","Rhino Atlantic",0.814,0.481,10,-10.76,1,0.0319,0.798,0.865,0.0961,0.893,134.815,4
3L7RtEcu1Hw3OXrpnthngx,"Don't You Want Me","Dare!","The Human League",1981,236920,77,,2021-11-12T16:54:53Z,"new wave,synthpop","Virgin Records",0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,4
3PzsbWSQdLCKDLxn7YZfkM,"I'm On Fire","Born In The U.S.A.","Bruce Springsteen",1984-06-04,155880,77,,2021-11-12T16:54:53Z,"","Columbia",0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,4
2id8E4WvczfKHB4LHI7Np3,"Edge of Seventeen","Crystal Visions...The Very Best of Stevie Nicks","Stevie Nicks",2007-03-27,329680,66,,2021-11-12T16:54:53Z,"","Reprise",0.59,0.828,0,-6.28,1,0.0439,0.277,0.00000557,0.0868,0.636,111.353,4
0wnJdLDUi9fkDl5nxhDlqO,"Cruel Summer","The Greatest Hits Collection (Collector Edition)","Bananarama",2017-11-24,215326,47,,2021-11-12T16:54:53Z,"hi-nrg","London Records (Because Ltd)",0.666,0.871,1,-6.017,0,0.0272,0.27,0.0213,0.263,0.936,108.501,4
5eU8qMd0TpaLqTGDZJaLDs,"Need You Tonight","Kick","INXS",1987,180517,64,,2021-11-12T16:54:53Z,"","Rhino Atlantic",0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,4
1x1XQqhBViz4opcpwc7FVs,"Reelin' In The Years","Can't Buy A Thrill","Steely Dan",1972-11-01,277467,72,,2021-11-12T16:54:53Z,"classic rock","Geffen",0.494,0.54,2,-17.34,1,0.0348,0.154,0,0.0878,0.723,134.976,4
5jSz894ljfWE0IcHBSM39i,"Raspberry Beret","Around the World in a Day","Prince",1985-04-22,215173,66,,2021-11-12T16:54:53Z,"funk rock","Rhino/Warner Records",0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0685,0.91,120.752,4
7j74lucZ59vqN67Ipe2ZcY,"Maneater","H2O","Daryl Hall & John Oates",1982-10-04,273173,81,,2021-11-12T16:54:53Z,"soft rock","RCA/Legacy",0.724,0.498,11,-13.083,0,0.0423,0.0405,0.0000856,0.0761,0.823,88.825,4
4Q3ERWBrb4lhDvAPyANjY5,"The Boys Of Summer - Remastered 2024","Building The Perfect Beast (Remastered 2024)","Don Henley",2024-10-04,289880,77,,2021-11-12T16:54:53Z,"","Geffen",0.523,0.704,6,-9.778,1,0.0422,0.424,0.00193,0.0873,0.907,177.439,4
4PJEK76V3A1S0XzZJuTWh7,"Love Is A Long Road","Full Moon Fever","Tom Petty",1989-01-01,247600,66,,2023-12-05T17:48:15Z,"classic rock","Tom Petty P&D",0.64,0.622,4,-10.851,1,0.0316,0.0303,0.0000763,0.0866,0.496,116.334,4
