Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6BmzbaB08O0FjHXeS0cR5b,"Dancing In The Moonlight (It's Caught Me In It's Spotlight)","Bad Reputation (Expanded Edition)","Thin Lizzy",1977,204653,59,,2021-03-02T18:13:49Z,"classic rock,hard rock","UMC (Universal Music Catalogue)",0.671,0.461,4,-13.874,0,0.13,0.00755,0,0.103,0.784,145.187,4
7Ar4G7Ci11gpt6sfH9Cgz5,"Listen to the Music","Toulouse Street","The Doobie Brothers",1972,227266,76,,2021-03-02T18:13:49Z,"classic rock,soft rock,southern rock","Warner Records",0.645,0.598,1,-13.18,0,0.0334,0.221,0.00000353,0.0721,0.913,105.929,4
1b7LMtXCXGc2EwOIplI35z,"Stuck In The Middle With You","Reservoir Dogs (Original Motion Picture Soundtrack)","Stealers Wheel",2009-01-01,203893,62,,2021-03-02T18:13:49Z,"","Geffen*",0.795,0.564,7,-10.482,1,0.0392,0.0934,0.000531,0.0631,0.961,124.166,4
77oU2rjC5XbjQfNe3bD6so,"Beast Of Burden - Remastered 1994","Some Girls","The Rolling Stones",1978-06-09,265173,75,,2021-03-02T18:13:49Z,"classic rock,rock","Polydor Associated Labels",0.784,0.879,1,-3.862,0,0.0308,0.39,0.000848,0.0426,0.893,100.622,4
4fUU9WKxEgJXyrZJsUA2iP,"Can't You See","The Marshall Tucker Band","The Marshall Tucker Band",1973,365093,69,,2021-03-02T18:13:49Z,"southern rock,country rock,classic rock","Ramblin' Records",0.406,0.713,7,-5.49,1,0.0348,0.276,0.00354,0.112,0.577,164.444,4
3MODES4TNtygekLl146Dxd,"Ramble On - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,263333,72,,2021-03-02T18:13:49Z,"classic rock,rock,hard rock,rock and roll","Rhino Atlantic",0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,4
6UBjSnyP1O5W5ndJoO9vUk,"Night Moves","Night Moves","Bob Seger",1976-10-22,324422,73,,2021-03-02T18:13:49Z,"classic rock","Bob Seger",0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,4
1J5XEPamp7iQaCU0aFuMnd,"Long Cool Woman (In a Black Dress) - 1999 Remaster","Distant Light (Expanded Edition)","The Hollies",1971-10-01,199200,75,,2021-03-02T18:13:49Z,"","BMG Rights Management (US) LLC",0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.918,4
6FsQrRpBLgsrFeAeiQqytm,"Bang a Gong (Get It On) - 2003 Remaster","Electric Warrior [Expanded & Remastered]","T. Rex",1971-09-24,267000,61,,2021-03-02T18:13:49Z,"glam rock,proto-punk","Rhino/Warner Records",0.729,0.818,2,-9.992,1,0.0732,0.157,0.284,0.195,0.906,125.814,4
4xh7W7tlNMIczFhupCPniY,"Go Your Own Way - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,223613,66,,2021-03-02T18:13:49Z,"classic rock,soft rock","Rhino/Warner Records",0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,4
0GTK6TesV108Jj5D3MHsYb,"Owner of a Lonely Heart","90125 (Deluxe Version)","Yes",1983-06-01,268506,72,,2021-03-02T18:13:49Z,"progressive rock,symphonic rock,art rock,album rock","Rhino Atlantic",0.744,0.798,7,-5.981,1,0.0364,0.176,0.0037,0.26,0.898,125.059,4
0gLEDVr1QbNtqTR00P1D8N,"Run To You (Classic Version)","Classic","Bryan Adams",2022-04-01,257834,47,,2024-05-28T22:24:36Z,"","Badams Music Limited",0.491,0.79,4,-4.623,1,0.0305,0.00751,0.000066,0.384,0.376,126.955,4
37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,83,,2021-03-02T18:13:49Z,"classic rock","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
7kNNylJ1kswWbHeRM6UDuE,"Blinded By The Light","The Roaring Silence","Manfred Mann's Earth Band",1976,428133,63,,2021-03-02T18:13:49Z,"progressive rock,classic rock","East Central One",0.456,0.696,5,-10,1,0.0653,0.291,0.000207,0.0853,0.508,142.156,4
4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,77,,2021-03-02T18:13:49Z,"classic rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
5QTxFnGygVM4jFQiBovmRo,"(Don't Fear) The Reaper","Agents Of Fortune","Blue Öyster Cult",1976,308120,75,,2021-03-02T18:13:49Z,"classic rock,hard rock","Columbia",0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,4
1ZhrREyOOeFV6TxDOyiPwu,"Take The Money And Run","Fly Like An Eagle","Steve Miller Band",1976-01-01,170173,66,,2021-03-02T18:13:49Z,"classic rock","CAPITOL CATALOG MKT (C92)",0.565,0.645,0,-12.923,1,0.0484,0.0552,0.00000284,0.151,0.836,99.3,4
3qiyyUfYe7CRYLucrPmulD,"Baba O'Riley","Who's Next (Deluxe Edition)","The Who",1971-08-14,300400,75,,2021-03-02T18:13:49Z,"classic rock,rock","Polydor Records",0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4
1hHGUdFaiJHw9hVZGJWYO2,"Midnight Rider","Idlewild South (Deluxe Edition Remastered)","Allman Brothers Band",1970-09-18,180066,70,,2021-03-02T18:13:49Z,"southern rock,classic rock,blues rock,country rock","Island Def Jam",0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,4
4c4jJJoaiY21t2TyRZgdWS,"Magic Carpet Ride","The Second","Steppenwolf",1968-10-01,271573,67,,2021-03-02T18:13:49Z,"classic rock,acid rock","Geffen*",0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,4
3fH4KjXFYMmljxrcGrbPj9,"Don't You (Forget About Me)","Once Upon A Time (Super Deluxe)","Simple Minds",1985,263040,76,,2021-03-02T18:13:49Z,"new wave","UMC (Universal Music Catalogue)",0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,4
73TxYZd0lBCVRrHawrAglA,"Sweet Emotion","Toys In The Attic","Aerosmith",1975-04-08,274088,75,,2024-03-26T13:19:07Z,"classic rock,rock","Aerosmith P&D - Sony",0.379,0.76,9,-10.961,1,0.0378,0.00298,0.0296,0.104,0.491,99.436,4
4sUlsy0tPv9n5nqrqeA0lE,"Magic Man","Dreamboat Annie","Heart",1975,328360,61,,2021-03-02T18:13:49Z,"classic rock,album rock,rock","Capitol Records",0.435,0.444,0,-12.816,1,0.0336,0.159,0.000697,0.457,0.734,103.817,4
2kkvB3RNRzwjFdGhaUA0tz,"Layla","Layla And Other Assorted Love Songs (Remastered 2010)","Derek & The Dominos",1970-11-01,423840,73,,2021-03-02T18:13:49Z,"blues rock,classic rock","Universal Music Group International",0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,4
1A3OA6zON5HHueFm4ejrRF,"Because the Night","Outside Society","Patti Smith",2011-08-23,202866,51,,2021-03-02T18:13:49Z,"proto-punk","Arista/Legacy",0.442,0.793,11,-5.378,0,0.0354,0.0557,0,0.0934,0.547,123.67,4
43DeSV93pJPT4lCZaWZ6b1,"The Boys Are Back In Town","Jailbreak (Deluxe Edition)","Thin Lizzy",1976,266720,72,,2021-03-02T18:13:49Z,"classic rock,hard rock","UMC (Universal Music Catalogue)",0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,4
4TIJ7zSBNejpoIPaWpWRKc,"Rebel Yell","Rebel Yell","Billy Idol",1983-11-01,288533,76,,2021-03-02T18:13:49Z,"","CAPITOL CATALOG MKT (C92)",0.531,0.864,4,-4.948,0,0.0611,0.000753,0.00046,0.354,0.485,166.312,4
6hTcuIQa0sxrrByu9wTD7s,"Born to Run","Born To Run","Bruce Springsteen",1975-08-25,269920,73,,2021-03-02T18:13:49Z,"","Columbia",0.27,0.944,4,-4.199,1,0.0975,0.00501,0.0000205,0.116,0.606,146.347,4
