Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1BmSnDPeEgtI9lYp4resjj,"improvisation","improvisation","Ólafur Arnalds",2024-04-03,137775,51,,2025-01-20T14:23:48Z,"neoclassical,minimalism","Decca Music Group Ltd.",0.427,0.0105,3,-35.892,1,0.0387,0.988,0.927,0.103,0.309,97.752,4
3fXvaNpYYG1S1pla7P71oF,"Rose Bay","Rose Bay","Ludovico Einaudi",2024-10-04,259120,62,,2025-01-20T14:23:48Z,"neoclassical,classical","Decca (UMO) (Classics)",0.228,0.0938,3,-27.523,1,0.0594,0.972,0.743,0.0979,0.207,90.738,4
48cEP4ehxkhonJfyfIL4gM,"02:07","02:07","Joep Beving,Maarten Vos",2024-05-31,200762,44,,2025-01-20T14:23:48Z,"neoclassical","LEITER",0.271,0.0315,9,-29.759,0,0.0313,0.987,0.943,0.0969,0.139,113.526,4
0v9LuPahZH8PHN86gxRHTU,"Movement, Before All Flowers - Edit","Movement, Before All Flowers","Max Richter",2024-05-29,219477,51,,2025-01-20T14:23:48Z,"neoclassical,minimalism,classical,ambient","Decca (UMO) (Classics)",0.103,0.164,1,-16.583,1,0.0401,0.863,0.956,0.12,0.0449,84.462,3
6SU67MSkLkHTvQJ9Auvx3w,"Reflections","Baranowski: Reflections","Alex Baranowski,Jess Gillam,Jess Gillam Ensemble",2023-10-13,233593,43,,2025-01-20T14:23:48Z,"classical","Decca Music Group Ltd.",0.172,0.126,4,-11.993,0,0.041,0.966,0.599,0.0735,0.0394,66.67,4
3Xp9Yhba253xNhVHnyQrmN,"Lavender Fields","Lavender Fields","Stephan Moccio",2024-04-26,216920,48,,2025-01-20T14:23:48Z,"","Decca (UMO) (Classics)",0.289,0.0712,6,-24.575,1,0.0407,0.989,0.919,0.105,0.109,91.487,1
5RqKo9P4DLA0bVyY70cWkr,"saman","re:member","Ólafur Arnalds",2018-08-24,131923,60,,2025-01-20T14:23:48Z,"neoclassical,minimalism","Decca Music Group Ltd.",0.583,0.0238,0,-32.244,0,0.0369,0.994,0.847,0.103,0.426,108.74,4
1G2mAZQL8xfy9wRqC6fY6K,"A Sparrow Alighted upon our Shoulder","Orphée","Jóhann Jóhannsson,Air Lyndhurst String Orchestra,Anthony Weeden",2016-09-16,147093,53,,2025-01-20T14:23:48Z,"neoclassical,minimalism","Deutsche Grammophon (DG)",0.237,0.109,6,-21.143,0,0.053,0.938,0.869,0.124,0.0507,61.591,4
3CEk3HUa5Mg8Ryz24qu5LC,"Conception","Conception","Luke Howard",2024-02-23,269393,29,,2025-01-20T14:23:48Z,"neoclassical","Mercury Classics",0.289,0.0748,6,-26.556,0,0.0612,0.993,0.88,0.0655,0.0775,168.272,4
29s05gFh3nl12QRV4pgNbB,"Twilight Meditation","Twilight Meditation","RIOPY",2024-04-12,298468,33,,2025-01-20T14:23:48Z,"neoclassical","Warner Classics",0.17,0.0125,7,-27.087,0,0.0358,0.988,0.769,0.0937,0.0395,67.396,3
6WvRiJeHUddJnkQuZTMdDG,"Chasing Yesterdays","Classical Soul Vol. 1","Alexis Ffrench",2024-09-27,218325,43,,2025-01-20T14:23:48Z,"neoclassical","Sony Classical",0.465,0.122,7,-19.586,0,0.0429,0.99,0.937,0.109,0.0384,115.116,4
1ymzdmQYjO3ThdlToYZnTq,"Adieux","Adieux","Ludovico Einaudi",2024-01-05,175492,71,,2025-01-20T14:23:48Z,"neoclassical,classical","Decca (UMO) (Classics)",0.225,0.00407,3,-37.107,1,0.0464,0.987,0.936,0.112,0.32,73.595,4
1ijwLR1iybtxaUbasUj7kJ,"Saudade (When We Are Born)","Saudade (When We Are Born)","Ólafur Arnalds",2021-06-11,150000,58,,2025-01-20T14:23:48Z,"neoclassical,minimalism","Decca Music Group Ltd.",0.289,0.0253,2,-31.435,1,0.0376,0.994,0.919,0.0837,0.138,99.801,4
55gJzsjaRb0nSv8ZyuUBqC,"Shroud of Night","Shroud of Night","Akira Kosemura",2023-02-10,199136,41,,2025-01-20T14:23:48Z,"japanese classical,neoclassical","Universal Music LLC",0.261,0.00761,2,-31.529,1,0.0423,0.987,0.949,0.105,0.0899,71.174,3
6ma8HDfAK7yjLJxBc5LkE2,"Pax","Pax","Joep Beving",2024-03-22,328512,39,,2025-01-20T14:23:48Z,"neoclassical","Deutsche Grammophon (DG)",0.39,0.00996,0,-31.766,1,0.0456,0.994,0.92,0.121,0.162,107.611,5
4TSGOrfNBKP95TqUHHjOSh,"Gnossiennes: No. 1, Lent - Upright Version","Satie: Gnossiennes: No. 1, Lent (Upright Version)","Erik Satie,Bruce Liu",2024-06-07,227138,49,,2025-01-20T14:23:48Z,"classical piano,classical","Deutsche Grammophon (DG)",0.413,0.00969,5,-29.674,0,0.0555,0.995,0.948,0.0965,0.0765,90.975,4
6S30a788IqUT1ExSTQljLM,"Chordal Drift","Chordal Drift","Scoring Berlin,Roger Eno",2023-09-22,182965,30,,2025-01-20T14:23:48Z,"neoclassical,ambient,minimalism","Deutsche Grammophon (DG)",0.0886,0.0852,3,-17.389,1,0.0401,0.976,0.877,0.0856,0.0325,87.192,1
0Ou52Ie17Xe557e0rCDdgG,"The Way It Was","Classical Soul Vol. 1","Alexis Ffrench",2024-09-27,200297,45,,2025-01-20T14:23:48Z,"neoclassical","Sony Classical",0.442,0.0404,3,-21.945,1,0.0409,0.991,0.922,0.142,0.0789,134.927,3
5fe7xaJWVkljq4QjKixmtN,"Nightingale","Nightingale","Stephan Moccio",2024-02-16,186026,42,,2025-01-20T14:23:48Z,"","Decca (UMO) (Classics)",0.32,0.0592,10,-30.454,0,0.0317,0.986,0.899,0.11,0.207,134.247,4
2wr1i6hHZJhuYCgmsf93is,"Non-eternal - Piano Short Edit","Non-eternal (Piano Short Edit)","Max Richter",2024-02-16,263119,31,,2025-01-20T14:23:48Z,"neoclassical,minimalism,classical,ambient","Deutsche Grammophon (DG)",0.467,0.0151,2,-34.392,0,0.038,0.992,0.898,0.0768,0.156,131.973,3
2eSVQH8lwcrUBs7dpEj7p7,"Préludes / Book 2, L. 123: 5. Bruyères - Home Session","Debussy: Bruyères (Home Session)","Claude Debussy,Víkingur Ólafsson",2020-10-16,216061,59,,2025-01-20T14:23:48Z,"classical piano,classical,minimalism","Deutsche Grammophon (DG)",0.3,0.0405,8,-31.023,1,0.0449,0.992,0.948,0.138,0.233,63.821,3
6IZF8hi9J6EtFDLQqOlSbu,"The Flower Garden","Howl's Moving Castle Soundtrack","Joe Hisaishi",2004-11-19,178506,65,,2025-01-20T14:23:48Z,"japanese classical,anime","Joe Hisaishi",0.0999,0.181,0,-17.599,0,0.0424,0.94,0.888,0.105,0.0922,71.277,4
2VHJH7iizdgRPcM7OafsqE,"Warming (Mvt. 5)","Warming (Mvt. 5)","Erland Cooper",2023-10-13,216573,38,,2025-01-20T14:23:48Z,"neoclassical","Mercury Classics",0.394,0.044,0,-28.287,1,0.034,0.992,0.934,0.0955,0.226,78.998,4
0UpLrGfkWvoJVVAuju5AeV,"Respiro 1","Respiro 1","Olivia Belli",2023-09-29,181983,46,,2025-01-20T14:23:48Z,"neoclassical","XXIM Records",0.105,0.00807,3,-37.557,0,0.0403,0.995,0.84,0.0903,0.113,71.55,4
4TxDN6eKixUNTgs3B2e4DE,"13 Pieces, Op. 76: No. 3 Carillon","Sibelius: Piano Music, Vol. 4","Jean Sibelius,Håvard Gimse",2003-06-11,95226,53,,2025-01-20T14:23:48Z,"classical,orchestra,classical piano","Naxos",0.253,0.0151,5,-31.25,1,0.0373,0.992,0.862,0.071,0.0505,72.412,3
25h6NHq2mLaiupkc0XDuBa,"Kioque","Kioque","Akira Kosemura",2021-07-02,130045,36,,2025-01-20T14:23:48Z,"japanese classical,neoclassical","Moderna Records",0.448,0.107,5,-23.153,1,0.0321,0.951,0.921,0.111,0.2,139.33,4
0AnQvSyfdR5D9XdDQgDWCG,"VIRGO “The Perfectionist”","180°","Tony Ann",2024-08-23,223793,51,,2025-01-20T14:23:48Z,"","Universal Music Division Decca Records France",0.496,0.312,8,-16.546,0,0.0501,0.785,0.883,0.15,0.056,132.006,4
5jyrGs0Cp3Nrue8Q9ZVf2t,"Make-believe","Make-believe","Stephan Moccio",2024-04-05,186706,44,,2025-01-20T14:23:48Z,"","Decca (UMO) (Classics)",0.424,0.0872,10,-24.236,0,0.0456,0.988,0.932,0.11,0.158,118.889,3
54JCIM1JZzTFCFNwiKMiO1,"Parallel","Parallel","A. Blomqvist",2024-04-05,199310,35,,2025-01-20T14:23:48Z,"","XXIM Records",0.382,0.0431,2,-28.856,0,0.0397,0.992,0.894,0.089,0.0743,135.692,4
5Z9BTqR1djwxY0MfJMsHhS,"Children's Song No. 8 The Sky (Arr. for guitar by Forbes Henderson) - Classical Session","Corea: Children's Song No. 8, The Sky","Chick Corea,Sean Shibe",2024-05-31,130031,32,,2025-01-20T14:23:48Z,"jazz fusion,jazz,latin jazz,free jazz","Pentatone",0.46,0.0262,9,-25.557,0,0.0565,0.995,0.895,0.105,0.137,114.527,4
5URNyrQROVFRApBNbVIMpz,"Debussy: Debussy: Rêverie, L. 68: Rêverie","Relaxing Debussy","Claude Debussy,Jean-Yves Thibaudet",2019-12-27,262386,38,,2025-01-20T14:23:48Z,"classical piano,classical","UME - Global Clearing House",0.236,0.0152,7,-28.783,0,0.043,0.994,0.918,0.0867,0.0609,67.12,5
2GnYCy70I8cR4oEA2wsSDx,"The Hours: An Unwelcome Friend (From The Hours)","Philip Glass: Glassworlds, Vol. 4 – On Love","Philip Glass,Nicolas Horvath",2016-06-10,256146,53,,2025-01-20T14:23:48Z,"minimalism,classical,neoclassical,classical piano","Grand Piano",0.253,0.00429,7,-36.172,0,0.0523,0.99,0.912,0.103,0.0368,74.497,3
0jOnZhF75V68VsBObWx2XO,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","Songs from the Arc of Life","Camille Saint-Saëns,Yo-Yo Ma,Kathryn Stott",2015-09-18,174266,66,,2025-01-20T14:23:48Z,"classical,chamber music","Masterworks",0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,3
