Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7hdQyiOV1BGk0A396zZ5xG,The Emptiness Machine,Over Each Other,Linkin Park,2024-10-24,190427,47,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.466,0.872,7,-3.344,1,0.0336,0.0156,0.0,0.121,0.806,184.115,4
2nLtzopw4rPReszdYBJU6h,Numb,Meteora,Linkin Park,2003-03-25,187520,87,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,4
2Uvaa3IEPU7iue2cVXsMxf,What I've Done,Minutes to Midnight (Deluxe Edition),Linkin Park,2007-05-14,205447,36,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.625,0.917,5,-5.576,1,0.0313,0.0135,0.0,0.16,0.305,120.093,4
7M8eZBRTD9QNasEVReEM0H,IGYEIH,From Zero,Linkin Park,2024-11-15,209083,70,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.442,0.968,2,-3.417,1,0.126,0.00227,1.53e-05,0.296,0.308,159.974,4
6aCBjSb87RizdH8lVBIRW7,Good Things Go,From Zero,Linkin Park,2024-11-15,209844,72,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.541,0.757,2,-5.37,0,0.0421,0.00867,0.0,0.136,0.307,127.005,4
6TfBA04WJ3X1d1wXhaCFVT,"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring,2008-06-17,177826,80,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"punk,skate punk",Concord Records,0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,4
0WhSlHpA9T6S8pKyz7DRBx,Hooked On A Feeling,Big-5 : Björn Skifs,"Blue Swede,Björn Skifs",2010-11-19,172866,23,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"classic rock, rock, swedish, 70s, oldies",Parlophone Sweden,0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,4
6nnacTL5on2aVsRhVDNUSo,Through the Fire and Flames,Inhuman Rampage,DragonForce,2006-05-23,441560,61,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"power metal,speed metal,metal,melodic metal,symphonic metal",Roadrunner Records,0.113,0.951,0,-4.743,0,0.129,0.00176,0.00718,0.334,0.139,200.024,4
2374M0fQpWi3dLnB54qaLX,Africa,Toto IV,TOTO,1982-04-08,295893,86,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,soft rock,Columbia,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4
0eZBeB2xFIS65jQHerispi,The Sound of Silence,Immortalized (Deluxe Edition),Disturbed,2015-08-14,248466,66,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"metal,nu metal,alternative metal,rap metal,hard rock,rock,heavy metal",Reprise,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,4
3ppxTWMGWq7f9tofjNPxiI,Mr. Brightside,Direct Hits,The Killers,2013-01-01,223973,41,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,alternative rock,Island Records,0.344,0.931,1,-3.759,1,0.0783,0.00104,0.0,0.0903,0.251,148.104,4
4sJOuZGBuoNhtocxAO9IkC,Breaking All Illusions,A Dramatic Turn of Events,Dream Theater,2011-08-25,745546,39,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"progressive metal,progressive rock,metal",Roadrunner Records,0.297,0.852,2,-7.265,0,0.0505,0.0111,0.0696,0.349,0.342,149.989,4
5rX6C5QVvvZB7XckETNych,All Summer Long,Rock n Roll Jesus,Kid Rock,2007-10-09,297586,71,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"rock, hard rock, alternative rock, rap, alternative",Top Dog/Atlantic,0.7,0.864,7,-3.629,1,0.0283,0.0212,0.0,0.0956,0.887,102.997,4
3enPakKWAUmLhSaWE8I0aT,Heart Demolition,Extreme Power Metal,DragonForce,2019-09-27,339373,31,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"power metal,speed metal,metal,melodic metal,symphonic metal",Metal Blade Records,0.368,0.982,0,-3.443,1,0.143,0.000554,1.09e-05,0.0435,0.272,184.917,4
2B3D38o8GaXnZo6DnTyZ2m,Ego Death (feat. Steve Vai),Remember That You Will Die,"Polyphia,Steve Vai",2022-10-28,350085,57,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"math rock,djent,progressive metal,progressive rock",Rise Records,0.655,0.763,2,-5.202,0,0.0526,0.0374,0.678,0.0703,0.445,128.028,4
0ihvvOdzJBMu3EmT8uNFaV,Three Hammers,Maximum Overload (Deluxe),DragonForce,2014-08-19,350466,16,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"power metal,speed metal,metal,melodic metal,symphonic metal",Electric Generation Recordings,0.243,0.929,1,-4.324,1,0.0732,2.63e-05,2.19e-05,0.162,0.364,124.599,4
4Q1Qfs8g2G5hfyfWJmtQDM,The Killer Queen,Warp Speed Warriors,DragonForce,2024-03-15,349314,34,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"power metal,speed metal,metal,melodic metal,symphonic metal",Napalm Records Handels GmbH,0.3,0.954,7,-4.873,1,0.136,0.00312,3.08e-05,0.313,0.202,200.154,4
3I03aHuPJ98SKcWbEdpHvj,MY HOPE IS GONE,INTO THE PURGATORY,GALNERYUS,2019-10-23,420346,21,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"power metal,anime,j-rock,visual kei,symphonic metal,neoclassical,speed metal",WM Japan,0.14,0.967,11,-2.319,0,0.0863,3.71e-05,0.00109,0.481,0.173,86.677,4
56MEbUIvvfEEkLIl51wxGD,Say It Ain't So,Weezer,Weezer,2004-05-10,258853,57,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,alternative rock,Geffen,0.633,0.565,3,-6.18,1,0.0325,0.00733,2.58e-06,0.0908,0.478,151.693,4
4nkvHdLtNsmqPUu5PachS8,BRUTAL SPIRAL OF EMOTIONS,ULTIMATE SACRIFICE,GALNERYUS,2017-09-27,688760,20,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"power metal,anime,j-rock,visual kei,symphonic metal,neoclassical,speed metal",WM Japan,0.235,0.905,6,-3.086,0,0.0842,0.00334,2.05e-05,0.374,0.189,150.056,4
7piw04hPQZ1OHZ9Fq9JOXR,Time of Dying,One-X,Three Days Grace,2006-06-25,186373,67,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"post-grunge,rock",Jive,0.306,0.873,0,-3.668,0,0.0567,0.00105,0.0,0.52,0.452,198.387,4
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In","So Wrong, It's Right",All Time Low,2007-09-25,182826,78,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,"pop punk,emo,emo pop,punk",Hopeless Records,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,4
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Fallen,Evanescence,2003-03-04,235893,85,21focq27ocnh36hhvz3btzlwy,2025-03-14T16:40:51Z,alternative metal,The Bicycle Music Company,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,4
