Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7hR22TOX3RorxJPcsz5Wbo,"Love Somebody","Love Somebody","Morgan Wallen",2024-10-18,204828,85,,2025-03-06T21:37:25Z,"country","Big Loud Records / Mercury Records / Republic Records",0.619,0.843,5,-5.348,0,0.0284,0.00948,0.000118,0.164,0.746,122.064,4
5iJKGpnFfvbjZJeAtwXfCj,"28","The Great American Bar Scene","Zach Bryan",2024-07-04,233333,79,,2025-03-06T21:37:25Z,"country,red dirt","Warner Records",0.492,0.519,7,-6.886,1,0.0288,0.227,0.0000847,0.0693,0.435,80.868,3
4CcozggmhXmndssEDH6YHR,"High Road","High Road","Zach Bryan",2024-11-07,199893,71,,2025-03-06T21:37:25Z,"country,red dirt","Warner Records",0.47,0.229,4,-11.028,1,0.0406,0.815,0,0.172,0.213,113.404,4
65M92JpTbAdHmTQm4jGaDa,"Think I'm In Love With You","Think I’m In Love With You","Chris Stapleton",2023-09-08,222800,69,,2025-03-06T21:37:25Z,"country","Mercury Nashville",0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,4
27RDQ0TfxzWMlQFuKrPT11,"Too Good to be True","Deeper Well","Kacey Musgraves",2024-03-15,160053,58,,2025-03-06T21:37:25Z,"","Interscope Records/MCA Nashville",0.644,0.487,1,-8.658,1,0.0339,0.695,0.0000702,0.105,0.249,80.045,4
3wdvFJv9nXCmnBNzP2pMTo,"I Wish You Would (ft. Midland)","I Wish You Would (ft. Midland)","Mackenzie Carpenter,Midland",2025-02-07,173499,66,,2025-03-06T21:37:25Z,"country,honky tonk","The Valory Music Co., LLC",0.443,0.743,2,-5.6,1,0.0322,0.0907,0.00000285,0.089,0.694,181.769,4
1t2MQpMDtJT5VL2tAPHrGN,"Cowboys Cry Too (with Noah Kahan)","Cowboys Cry Too (with Noah Kahan)","Kelsea Ballerini,Noah Kahan",2024-06-28,230600,63,,2025-03-06T21:37:25Z,"country","Black River Entertainment",0.442,0.603,11,-5.719,1,0.0304,0.602,0,0.161,0.456,86.494,4
3ai1kBVQF9GusoxIdgBrjz,"Quitter","Quitter","Cameron Whitcomb",2024-09-27,161285,69,,2025-03-06T21:37:25Z,"","Atlantic Records",0.66,0.647,9,-6.937,1,0.0274,0.0126,0,0.149,0.77,105.137,4
7221xIgOnuakPdLqT0F3nP,"I Had Some Help (Feat. Morgan Wallen)","I Had Some Help","Post Malone,Morgan Wallen",2024-05-10,178205,82,,2025-03-06T21:37:25Z,"country","Mercury Records/Republic Records",0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,4
0y5Ex8oQ8zCH5TQxHUy1Eo,"you look like you love me (feat. Riley Green)","you look like you love me (feat. Riley Green)","Ella Langley,Riley Green",2024-06-21,224280,74,,2025-03-06T21:37:25Z,"country","SAWGOD/Columbia",0.663,0.675,11,-5.851,1,0.0321,0.353,0,0.21,0.455,128.942,4
