Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1dyxS3YzBbL0t8rEVwVQ1K,"God's Country","God's Country","Blake Shelton",2019-03-29,205106,67,,2024-12-06T16:37:49Z,"country","Warner Records",0.538,0.752,10,-5.106,1,0.0396,0.0608,0.00000539,0.118,0.217,139.984,4
3fqwjXwUGN6vbzIwvyFMhx,"Tennessee Whiskey","Traveller","Chris Stapleton",2015-05-04,293293,84,,2024-12-06T16:37:49Z,"country","Mercury Nashville",0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,4
0Al3wN3keprGTSgG8NBwjr,"I Hope You’re Happy Now","Carly Pearce","Carly Pearce,Lee Brice",2020-02-14,198688,69,,2024-12-06T16:37:49Z,"country,acoustic country","Big Machine Records, LLC",0.591,0.814,10,-4.725,1,0.0365,0.168,0.00000887,0.142,0.313,118.036,4
3U8dHeggJ8IBe0UCb1gbyB,"Colder Weather","You Get What You Give","Zac Brown Band",2010-09-20,273893,69,,2024-12-06T16:37:49Z,"country,acoustic country","Home Grown Music",0.667,0.381,3,-7.494,1,0.0294,0.455,0,0.116,0.199,135.975,4
1Lo0QY9cvc8sUB2vnIOxDT,"Fast Car","Gettin' Old","Luke Combs",2023-03-24,265493,83,,2024-12-06T16:37:49Z,"country","River House Artists/Columbia Nashville",0.712,0.603,8,-5.52,1,0.0262,0.186,0,0.115,0.67,97.994,4
69AIpwGNLxr4qS1X5ynx60,"Buy Dirt","Buy Dirt","Jordan Davis,Luke Bryan",2021-05-21,167480,78,,2024-12-06T16:37:49Z,"country,acoustic country","MCA Nashville",0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,4
67citk3uzWs5qbaIVKTeg8,"Church Bells","Storyteller","Carrie Underwood",2015-10-23,193333,65,,2024-12-06T16:37:49Z,"country","19 Recordings Limited / Arista Nashville",0.575,0.844,3,-1.772,0,0.0633,0.226,0,0.0538,0.542,87.007,4
5UDqWOgDdixYMAgAyNbpgh,"Merry Go 'Round","Same Trailer Different Park","Kacey Musgraves",2013-01-01,206893,61,,2024-12-06T16:37:49Z,"","Mercury Nashville",0.651,0.466,6,-9.403,1,0.0305,0.541,0.0027,0.116,0.326,86.953,4
0w3Q14i073jLoew1hgJkwD,"Heartache On The Dance Floor","California Sunrise","Jon Pardi",2016-05-13,205200,75,,2024-12-06T16:37:49Z,"country,acoustic country","Capitol Records Nashville",0.596,0.833,9,-4.308,1,0.0474,0.0563,0,0.0866,0.618,115.997,4
698eQRku24PIYPQPHItKlA,"She Got the Best of Me","This One's for You Too (Deluxe Edition)","Luke Combs",2018-06-01,183160,79,,2024-12-06T16:37:49Z,"country","River House Artists/Columbia Nashville",0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,4
05ZACkzW8YbRq3eFgIfSNB,"Springsteen","Chief","Eric Church",2011-01-01,263386,77,,2024-12-06T16:37:49Z,"country,acoustic country","EMI Records Nashville",0.692,0.809,2,-5.935,1,0.0255,0.1,0.0000991,0.186,0.927,104.022,4
5jROdl6MhcmP3O7h2sVgtw,"Parachute","Traveller","Chris Stapleton",2015-05-04,253200,77,,2024-12-06T16:37:49Z,"country","Mercury Nashville",0.642,0.762,6,-7.411,1,0.0296,0.00967,0.0000572,0.182,0.605,113.038,4
3DA4SE262k6rdEtlHteNyq,"Die From A Broken Heart","The Way It Feels","Maddie & Tae",2020-04-10,188320,67,,2024-12-06T16:37:49Z,"country","Mercury Nashville",0.596,0.522,9,-6.633,1,0.0358,0.372,0,0.291,0.443,76.043,4
3oW6SWwGqiZSPTiAp7ZQoH,"It's A Great Day To Be Alive","Down The Road I Go","Travis Tritt",2000-10-01,241533,71,,2024-12-06T16:37:49Z,"country","Columbia Nashville",0.595,0.653,7,-4.935,1,0.0265,0.246,0,0.264,0.542,128.93,4
3xdjjKMcMOFgo1eQrfbogM,"Wagon Wheel","True Believers","Darius Rucker",2013-01-01,298373,78,,2024-12-06T16:37:49Z,"country","Capitol Records Nashville",0.535,0.66,9,-7.174,1,0.0297,0.455,0,0.135,0.577,148.044,4
6IBcOGPsniK3Pso1wHIhew,"Forever After All","What You See Ain't Always What You Get (Deluxe Edition)","Luke Combs",2020-10-23,232533,75,,2024-12-06T16:37:49Z,"country","River House Artists/Columbia Nashville",0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,4
6NhpIdjYoufuNNlBsgOztc,"Suds in the Bucket","Restless","Sara Evans",2003-08-17,227266,64,,2024-12-06T16:37:49Z,"country,christian country","RCA Records Label Nashville",0.511,0.903,10,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992,4
6leiB1fEsTnVCuPiielde5,"Something Like That","A Place In The Sun","Tim McGraw",1999-05-04,183733,69,,2024-12-06T16:37:49Z,"country","Curb Records",0.507,0.85,5,-5.679,1,0.0472,0.378,0,0.0567,0.847,171.8,4
3duP6mBVDsHM8ioN7o7dAK,"Boondocks","The Road To Here","Little Big Town",2005-01-01,272346,65,,2024-12-06T16:37:49Z,"country","Capitol Nashville",0.41,0.78,9,-5.391,1,0.0332,0.211,0,0.48,0.695,88.016,4
3S0sk6DSTgesXsUSAEHNr5,"Things A Man Oughta Know","Sayin’ What I’m Thinkin’","Lainey Wilson",2021-02-19,203373,72,,2024-12-06T16:37:49Z,"country","Broken Bow Records",0.659,0.683,3,-5.623,1,0.0312,0.513,0.00000493,0.133,0.397,139.931,4
0bPnT6i9H1p8Vd85GS6Z7I,"Night Shift","California Sunrise","Jon Pardi",2016-05-13,172253,74,,2024-12-06T16:37:49Z,"country,acoustic country","Capitol Records Nashville",0.631,0.754,2,-3.564,1,0.0284,0.0963,0,0.268,0.729,95.992,4
2WQAknZHrJAEQOFXe0F44P,"Austin","Blake Shelton","Blake Shelton",2001-07-31,230333,64,,2024-12-06T16:37:49Z,"country","Warner Records/Nashville",0.605,0.609,7,-7.063,1,0.0278,0.188,0,0.0982,0.275,119.914,4
1cktZnxiONH0hR6Q3DKy8h,"Drink In My Hand","Chief","Eric Church",2011-01-01,191306,72,,2024-12-06T16:37:49Z,"country,acoustic country","EMI Records Nashville",0.626,0.913,0,-4.452,1,0.0317,0.00635,0,0.293,0.946,113.045,4
57TEkZN3f84tFJFHFrD4pO,"Whiskey Glasses","If I Know Me","Morgan Wallen",2018-04-27,234346,81,,2024-12-06T16:37:49Z,"country","Big Loud",0.616,0.68,6,-4.581,1,0.0288,0.361,0.00000118,0.116,0.687,149.951,4
4xInIiKipU1mtUogJ3ZdYr,"American Honey","Need You Now","Lady A",2010-01-01,224866,63,,2024-12-06T16:37:49Z,"country,pop country","Capitol Nashville",0.588,0.684,1,-5.154,1,0.0288,0.511,0,0.141,0.12,85.993,4
6CkydK3NOAMScIhViRzXoB,"Ain't Nothing 'Bout You","#1s ... and then some","Brooks & Dunn",2009-09-08,199413,57,,2024-12-06T16:37:49Z,"country,acoustic country","Arista Nashville",0.325,0.887,0,-4.199,1,0.0569,0.144,0.00000135,0.431,0.705,202.339,4
1LM5zQv5pBKPyO7rm7Uz6U,"My Church","HERO (Deluxe Edition)","Maren Morris",2017-03-17,197930,63,,2024-12-06T16:37:49Z,"country","Columbia Nashville",0.517,0.743,9,-4.336,1,0.0363,0.243,0.00000336,0.107,0.664,76.979,4
7G6l2FtQyRhQgYgut2I6i8,"As Good As I Once Was","Honkytonk University","Toby Keith",2005-01-01,227840,72,,2024-12-06T16:37:49Z,"country","DreamWorks Nashville",0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.645,119.078,4
0b9djfiuDIMw1zKH6gV74g,"Somebody Like You","Golden Road","Keith Urban",2002-01-01,323040,68,,2024-12-06T16:37:49Z,"country","Capitol Nashville",0.625,0.84,4,-5.768,1,0.0337,0.109,0.000555,0.144,0.656,111.02,4
3z1PqYwMtct2Dm4R9lhWnT,"Gunpowder & Lead","Crazy Ex-Girlfriend","Miranda Lambert",2007-05-01,191693,65,,2024-12-06T16:37:49Z,"country","Columbia Nashville",0.333,0.907,0,-3.191,1,0.0959,0.153,0,0.395,0.353,187.826,4
7MevrbPAGEaw1IgkaBmv82,"Play Something Country","#1s ... and then some","Brooks & Dunn",2009-09-08,195586,56,,2024-12-06T16:37:49Z,"country,acoustic country","Arista Nashville",0.685,0.909,0,-3.797,1,0.032,0.0782,0.00000125,0.369,0.864,115.043,4
5avVDmK9FVJpd3MDO8I3Zl,"Wine, Beer, Whiskey","Nightfall","Little Big Town",2020-01-17,196160,62,,2024-12-06T16:37:49Z,"country","Capitol Records Nashville",0.727,0.914,7,-5.85,1,0.0743,0.617,0,0.596,0.784,106.021,4
5fSPbm5lcwtqwXkeQQswW8,"Record Year","Mr. Misunderstood","Eric Church",2015-11-11,179346,67,,2024-12-06T16:37:49Z,"country,acoustic country","EMI Records Nashville",0.587,0.641,5,-8.12,1,0.0941,0.205,0,0.0864,0.566,160.028,4
1Dm4iAvqwYrZjgSFJNW5TG,"Every Little Thing","Every Little Thing (Big Machine Radio Release Special)","Carly Pearce",2017-10-13,181053,52,,2024-12-06T16:37:49Z,"country","Big Machine Records, LLC",0.639,0.427,0,-6.512,1,0.0368,0.434,0.0000114,0.0903,0.322,139.899,4
7GQjJEwqlp6m5HNWVQd6OR,"Good Directions","Doin' Somethin' Right","Billy Currington",2005-01-01,215853,72,,2024-12-06T16:37:49Z,"country,acoustic country","Mercury Nashville",0.716,0.72,5,-2.183,1,0.031,0.307,0,0.135,0.48,122.441,4
