Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7mDKRYiqejoHzP7dQGxLys,"212","Broke with Expensive Taste","Azealia Banks,Lazy Jay",2014-11-07,204956,70,keem298nmnliabcidie19nbk2,2024-04-07T17:39:23Z,"hip house","Prospect Park",0.846,0.772,11,-5.735,0,0.259,0.0123,0.000106,0.0769,0.622,125.998,4
21pySLskKIKrhDziCX5ojQ,"When I Grow Up","Doll Domination (Deluxe)","The Pussycat Dolls",2008-09-23,245680,72,keem298nmnliabcidie19nbk2,2024-04-07T17:39:39Z,"","Pussycat Dolls LP2 / Timbaland",0.672,0.685,11,-5.762,0,0.0499,0.00165,0,0.398,0.367,118.45,4
5IeTFRymTDiza7DciBD1Gk,"Negative Creep","Bleach","Nirvana",1989-06-01,175744,57,keem298nmnliabcidie19nbk2,2024-05-24T13:45:38Z,"grunge,rock","Sub Pop Records",0.37,0.947,2,-7.213,1,0.0901,0.00000797,0.000175,0.0762,0.418,81.744,4
3pYDZTJM2tVBUhIRifWVzI,"Blow","Cannibal (Expanded Edition)","Kesha",2010-11-19,219973,72,keem298nmnliabcidie19nbk2,2024-04-07T17:39:39Z,"","RCA Records Label",0.753,0.729,11,-3.862,0,0.0392,0.00334,0.0000566,0.073,0.812,120.013,4
7jk7gqyEonmVVYahZN5zhW,"Circus","Circus (Deluxe Version)","Britney Spears",2008-12-02,192360,78,keem298nmnliabcidie19nbk2,2024-04-07T17:39:43Z,"pop","Jive",0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,4
2V4Bc2I962j7acQj1N0PiQ,"Celebrity Skin","Celebrity Skin","Hole",1998-01-01,162666,69,keem298nmnliabcidie19nbk2,2024-04-07T17:41:27Z,"grunge","DGC",0.438,0.905,9,-6.161,1,0.0419,0.00000944,0.000054,0.363,0.723,134.163,4
4FEr6dIdH6EqLKR0jB560J,"Rosemary","Koi No Yokan","Deftones",2012-11-09,413346,74,keem298nmnliabcidie19nbk2,2024-04-07T17:43:43Z,"nu metal,alternative metal,rap metal,shoegaze","Reprise",0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,4
73PYyeg1BaHxPnlGJ4Rymu,"FΛSHION - Slow","FASHION (Slow + Speed Up Edit)","Britney Manson",2023-08-25,160839,65,keem298nmnliabcidie19nbk2,2024-04-07T17:40:55Z,"","Columbia Local",0.717,0.621,8,-6.886,1,0.0286,0.000888,0.000546,0.706,0.0719,109.313,4
6wAdJF85cna96BwQn2Pg8c,"Jennifer's Body","Live Through This","Hole",1994-01-01,220533,57,keem298nmnliabcidie19nbk2,2024-04-07T17:46:29Z,"grunge","DGC",0.401,0.863,11,-7.312,0,0.0447,0.00079,0.00000139,0.174,0.55,81.65,4
27mMvmKRyrsz7i2cfTMgSQ,"They Wanna Fuck","Slut Pop","Kim Petras",2022-02-11,150000,60,keem298nmnliabcidie19nbk2,2024-04-07T17:40:38Z,"","Republic Records",0.963,0.516,7,-4.001,1,0.293,0.117,0.000125,0.127,0.655,127.995,4
5ot500QigZaa1tH5tQoR1C,"I Threw Glass at My Friend's Eyes and Now I'm on Probation","Sorry, Mom","Destroy Boys",2017-02-04,157440,61,keem298nmnliabcidie19nbk2,2024-04-07T17:46:35Z,"","Epitaph",0.462,0.943,1,-5.276,0,0.0739,0.192,0.000256,0.192,0.339,101.834,4
1EryAkZ0VHstC6haIxVBiE,"Sextape","Diamond Eyes","Deftones",2008,241533,79,keem298nmnliabcidie19nbk2,2024-04-07T17:43:50Z,"nu metal,alternative metal,rap metal,shoegaze","Reprise",0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,4
0f7nr5Np1wncQTrePQk6cA,"Let's Be Friends","Fight Or Flight (Bonus Track Version)","Emily Osment",2010-01-01,180933,58,keem298nmnliabcidie19nbk2,2024-04-07T17:46:40Z,"","The Bicycle Music Company",0.596,0.801,4,-6.495,0,0.0522,0.00308,0.0000124,0.188,0.479,123.926,4
2ISUiwj8xXqHeUFcen0AIU,"Grow A Pear","Cannibal (Expanded Edition)","Kesha",2010-11-19,208866,61,keem298nmnliabcidie19nbk2,2024-04-07T17:46:44Z,"","RCA Records Label",0.863,0.667,0,-3.891,1,0.0508,0.0154,0.000341,0.125,0.892,120.011,4
05NpeTQWnzXS1d8ZqL4YFZ,"Twisted Transistor","See You On the Other Side","Korn",2005-12-06,188933,70,keem298nmnliabcidie19nbk2,2024-05-24T14:04:13Z,"nu metal,metal,rap metal,alternative metal","Tempo Music",0.581,0.983,5,-3.291,0,0.0636,0.00043,0.00654,0.0806,0.417,110.038,4
7lWUJpax919G4JdaFEVmCy,"Blah Blah Blah (feat. 3OH!3)","Animal (Expanded Edition)","Kesha,3OH!3",2010-01-01,172053,67,keem298nmnliabcidie19nbk2,2024-04-07T17:39:41Z,"","RCA Records Label",0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,4
3BhTustDGXOU8l9JcFhAoa,"I'll Do It","whore1234","Ayesha Erotica",2017-07-17,213263,0,keem298nmnliabcidie19nbk2,2024-04-07T17:47:16Z,"","Ayesha Auciello",0.874,0.508,1,-11.607,1,0.0307,0.00685,0.00016,0.0658,0.886,113.001,4
3QcWzAQvI41KYheHtvsNoT,"XXX","Slut Pop","Kim Petras",2022-02-11,124285,64,keem298nmnliabcidie19nbk2,2024-04-07T17:40:40Z,"","Republic Records",0.848,0.536,0,-4.415,1,0.105,0.000235,0.015,0.44,0.624,111.964,4
5mJGLBNJM0GULqAoL5mb9C,"Breed","Nevermind (Remastered)","Nirvana",1991-09-26,184040,66,keem298nmnliabcidie19nbk2,2024-04-22T19:14:25Z,"grunge,rock","Geffen",0.262,0.969,4,-4.675,1,0.0894,0.00000369,0.00213,0.133,0.263,158.433,4
2gmwvGC1yOw8NdMcZE8nfo,"Literal Legend","Fresh Meat","Ayesha Erotica",2017-10-25,164728,68,keem298nmnliabcidie19nbk2,2024-04-07T17:49:02Z,"hyperpop","Ayesha Erotica",0.632,0.81,7,-4.289,1,0.246,0.0141,0.0000742,0.0863,0.832,137.031,4
3TFXn86LF4e4bQC6q0SmmP,"Yummy","Fresh Meat","Ayesha Erotica",2017-10-25,160940,70,keem298nmnliabcidie19nbk2,2024-04-07T17:49:14Z,"hyperpop","Ayesha Erotica",0.776,0.659,10,-12.282,0,0.351,0.0127,0.00035,0.0424,0.656,91.067,4
6lDJ0CkQ6LdQv5EUQ39rpg,"NARCISSISTIC PERSONALITY DISORDER","NARCISSISTIC PERSONALITY DISORDER","Odetari",2023-04-01,110416,71,keem298nmnliabcidie19nbk2,2024-04-07T17:41:03Z,"hyperpop,nightcore,jersey club","APG Inc. - Odetari",0.509,0.927,11,-3.721,1,0.333,0.0128,0.00000359,0.169,0.323,151.739,4
6nH7G7zImTcBpqRMIPeHLK,"Hands up!","Sassy Scene","6arelyhuman,kets4eki,Pixel Hood",2023-03-03,135160,70,keem298nmnliabcidie19nbk2,2024-04-07T17:49:35Z,"hyperpop,nightcore","FabFantasy",0.531,0.875,1,-2.766,0,0.126,0.000206,0,0.248,0.752,153.337,4
4D1k6x4MXTaSnljSvAXhaf,"GMFU (w/ 6arelyhuman)","GMFU (w/ 6arelyhuman)","Odetari,6arelyhuman",2023-07-26,127741,73,keem298nmnliabcidie19nbk2,2024-04-07T17:49:39Z,"hyperpop,nightcore,jersey club","APG Inc. - Odetari",0.735,0.778,11,-3.23,1,0.0487,0.00105,0.025,0.0923,0.278,126.091,4
06tNJ27nVxbDwhiQMChWyr,"GOOD LOYAL THOTS","GOOD LOYAL THOTS","Odetari",2023-03-15,102556,73,keem298nmnliabcidie19nbk2,2024-04-07T17:49:43Z,"hyperpop,nightcore,jersey club","APG Inc. - Odetari",0.585,0.86,6,-5.274,1,0.116,0.0566,0.000142,0.18,0.607,146.441,4
0WCiI0ddWiu5F2kSHgfw5S,"Take It Off","Animal (Expanded Edition)","Kesha",2010-01-01,215200,70,keem298nmnliabcidie19nbk2,2024-04-07T17:49:59Z,"","RCA Records Label",0.729,0.675,5,-5.292,0,0.0286,0.0000414,0.00126,0.0867,0.74,125.036,4
6W21LNLz9Sw7sUSNWMSHRu,"Freak On a Leash","Follow The Leader","Korn",1998-08-18,255733,79,keem298nmnliabcidie19nbk2,2024-05-22T17:59:08Z,"nu metal,metal,rap metal,alternative metal","Immortal/Epic",0.353,0.898,2,-5.877,1,0.052,0.0000223,0.105,0.39,0.525,103.299,4
