Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5koBIzuWS86S2IR36yt2LW,"Body Language","Body Language","M.A.N.D.Y.,Booka Shade",2006,438013,32,,2024-07-12T15:40:20Z,"minimal techno,melodic house,melodic techno,electronica","Ultra Records, LLC",0.798,0.675,4,-10.458,0,0.0557,0.0123,0.901,0.0927,0.871,129.997,4
1Hi9I8Qwt1ADYYlzDge3Np,"In White Rooms","Movements","Booka Shade",2006-05-12,326834,48,,2024-07-12T15:40:20Z,"minimal techno,melodic house,melodic techno,electronica","Blaufield Music",0.8,0.64,10,-9.428,0,0.0637,0.000701,0.801,0.277,0.0938,125.008,4
1mv4lh1rW1K6xhxhJmEezy,"Music Sounds Better With You - Radio Edit","Music Sounds Better With You","Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",1998-07-20,260906,73,,2024-07-12T15:40:20Z,"french house","Because Music",0.729,0.662,5,-7.191,0,0.337,0.00128,0.208,0.305,0.359,124.149,4
1i6KuPV0SnkciFR5yJEbty,"Deep Inside","Strictly Hardrive","Hardrive,Barbara Tucker,Louie Vega",2022-08-26,392293,52,,2024-07-12T15:40:20Z,"chicago house,uk garage,house,funky house,latin house,deep house,disco house","Strictly Rhythm Records",0.794,0.884,11,-6.019,0,0.0778,0.0129,0.0241,0.134,0.808,123.615,4
60ZRKTMc94bcjiN4FI0XDm,"Lola's Theme - Radio Edit","Lola's Theme","The Shapeshifters",2004-01-01,207066,65,,2024-07-12T15:40:20Z,"disco house,funky house","Glitterbox Recordings",0.753,0.835,5,-4.631,0,0.0533,0.000842,0.0000874,0.13,0.669,123.943,4
5xcunlfaZvD9BDQsLONI7A,"Halcyon and On and On","Orbital 2","Orbital",1993-01-01,567106,56,,2024-07-12T15:40:20Z,"idm,big beat,acid house,breakbeat,rave","London Music Stream",0.577,0.729,11,-14.376,0,0.0319,0.0953,0.928,0.184,0.177,126.988,4
6oE5yvroDXWNYWpIFz2JJB,"Toca's Miracle - Radio Edit","Toca (20th Anniversary Edition)","Fragma",2022-04-22,200483,59,,2024-07-12T15:40:20Z,"trance,eurodance","Front of House Recordings",0.781,0.851,4,-5.748,0,0.0319,0.0143,0.00458,0.0709,0.865,135.106,4
0e8C9dPERvvARURkNOFrrC,"Go","Moby","Moby",1992-07-27,217240,52,,2024-07-12T15:40:20Z,"downtempo,trip hop","Little Idiot",0.675,0.868,4,-9.118,0,0.0572,0.0000482,0.909,0.0875,0.539,125.843,4
5KOt1QRD9YQQrrzwLCWuTN,"Move For Me","Strobelite Seduction","Kaskade",2008,237386,50,,2024-07-12T15:40:20Z,"edm","Ultra Records, LLC",0.654,0.75,1,-6.068,1,0.0322,0.069,0.000901,0.0987,0.213,128.035,4
5HPchyFdQZT1cDbdOTdFji,"You're Not Alone - Radio Edit","90s 100 Hits","Olive,Black Olive",2014-11-28,250440,46,,2024-07-12T15:40:20Z,"trip hop","Legacy Recordings",0.655,0.706,10,-10.971,1,0.0354,0.0164,0.00156,0.192,0.926,135.203,4
