Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3iHrGCUXfZ4BoOy615Ydbk,"Kimbara","Kimbara","Barry Can't Swim",2024-04-30,189816,62,,2024-12-13T05:00:15Z,"","Ninja Tune",0.62,0.869,4,-5.566,0,0.0486,0.00183,0.488,0.296,0.845,125.031,4
4HB7ECLzrbgapiZyLlFbxz,"Never Walk Alone","Never Walk Alone","BLOND:ISH,Stevie Appleton",2024-08-02,188360,70,,2024-12-13T05:00:15Z,"afro house,latin house","Insomniac Records",0.853,0.594,6,-6.823,0,0.0371,0.052,0.134,0.0469,0.83,129.995,4
3CqaTHbiU2nBy3Ar9RnDHN,"Baddy On The Floor","Baddy On The Floor","Jamie xx,Honey Dijon",2024-04-15,222315,59,,2024-12-13T05:00:15Z,"","Young",0.652,0.877,6,-6.281,0,0.0339,0.00307,0.699,0.186,0.562,124.024,4
0hJfuyUwtEYMlGgvr3nzz9,"Serotonin Moonbeams","Serotonin Moonbeams","The Blessed Madonna",2022-11-11,289471,58,,2024-12-13T05:00:15Z,"","Warner Records",0.817,0.876,8,-7.485,0,0.046,0.0332,0.199,0.412,0.671,131.022,4
6q36Cqt2d3O5jqrQR9uXCp,"Summertime Blues (feat. Nathan Nicholson)","Summertime Blues (feat. Nathan Nicholson)","Chris Lake,Sammy Virji,Nathan Nicholson",2024-04-26,251201,65,,2024-12-13T05:00:15Z,"tech house,house,bass house,uk garage,bassline,melodic techno,melodic house","Black Book Records/Astralwerks",0.723,0.875,1,-5.052,0,0.0605,0.259,0.0283,0.224,0.496,130.015,4
29I9dv9Nq704w0Oc5yFGsR,"She’s Gone, Dance On","She’s Gone, Dance On","Disclosure",2024-05-29,226773,73,,2024-12-13T05:00:15Z,"house","Disorder",0.534,0.943,1,-4.812,0,0.0496,0.000215,0.794,0.0929,0.375,134.004,4
6PpeV9uHMHbY2pYPvMwCDv,"Talk To Me","Talk To Me","Champion,Four Tet,Skrillex,Naisha",2024-11-01,232984,54,,2024-12-13T05:00:15Z,"uk funky,uk garage,bassline,bass house,idm,electronica,dubstep,edm,electro,electronic","Disorder",0.862,0.905,2,-5.608,1,0.0626,0.279,0.233,0.256,0.541,126.996,4
7pPMx57fvpINMYGE0eZFhp,"Tell Me What You Want","Tell Me What You Want","Oden & Fatzo,Poppy Baskcomb",2024-06-14,160314,69,,2024-12-13T05:00:15Z,"house,disco house,stutter house,drum and bass","Defected Records",0.765,0.811,1,-6.586,1,0.0482,0.00422,0,0.0699,0.766,127.925,4
5e3NwBC0E6xjX9c1Uc8RHy,"COLLECT THE COMMAS","COLLECT THE COMMAS","PAWSA",2024-10-04,221339,60,,2024-12-13T05:00:15Z,"tech house,house","CircoLoco Records",0.847,0.576,7,-9.065,1,0.172,0.221,0.0000326,0.339,0.772,131.022,4
561pBFcFL2Pwb9HPO9tU8J,"places to be","places to be","Fred again..,Anderson .Paak,CHIKA",2024-05-31,226677,68,,2024-12-13T05:00:15Z,"stutter house,house,alternative r&b","Atlantic Records UK",0.548,0.878,10,-5.154,1,0.0598,0.0253,0.000934,0.0909,0.826,174.043,4
39glDGcpBhLVMSsQhvtqHR,"I Only Smoke When I Drink","I Only Smoke When I Drink","nimino",2024-08-22,198425,78,,2024-12-13T05:00:15Z,"stutter house,melodic house","Counter Records",0.88,0.729,11,-6.378,0,0.176,0.334,0.0113,0.185,0.246,127.028,4
3Du9k9oZz7DJCMZviju2lD,"HEAT","HEAT","Tove Lo,SG Lewis",2024-06-14,217529,64,,2024-12-13T05:00:15Z,"","Pretty Swede Records",0.702,0.945,2,-3.997,1,0.0394,0.00695,0.613,0.352,0.427,125.001,4
3DqOJ2BoddzZpNdty3okJH,"RIZZ","RIZZ","AYYBO",2023-11-15,200787,68,,2024-12-13T05:00:15Z,"tech house,house","GDB RECORDS",0.855,0.839,7,-5.733,1,0.153,0.0736,0.426,0.32,0.729,127.044,4
2NKwz3gyK8da44pR2ZbiM1,"Tears (with Paige Cavell)","Comfort In Chaos","John Summit,Paige Cavell",2024-07-12,236270,62,,2024-12-13T05:00:15Z,"house,tech house,stutter house,drum and bass","Experts Only/Darkroom Records",0.649,0.911,7,-5.832,1,0.0495,0.00422,0.0835,0.104,0.0563,126.004,4
6KqM3xmPIDonsTjCSGrrr5,"TOO COOL TO BE CARELESS","TOO COOL TO BE CARELESS","PAWSA",2024-07-05,220046,76,,2024-12-13T05:00:15Z,"tech house,house","PAWZ",0.805,0.781,1,-7.225,0,0.0434,0.002,0.302,0.0598,0.818,128.001,4
5u4hhtZ7f4rWkMZEZcTKrH,"Relax My Eyes","Relax My Eyes","ANOTR,Abel Balder",2022-11-04,192150,74,,2024-12-13T05:00:15Z,"house,tech house","NO ART",0.747,0.616,3,-9.76,0,0.0324,0.176,0.116,0.143,0.908,131.975,4
24jPquymYcAxmOUXwjJwLk,"Quezacotl","Quezacotl","deadmau5",2024-07-05,435000,53,,2024-12-13T05:00:15Z,"edm,progressive house,dubstep","EpicWin Ltd",0.745,0.603,2,-7.53,1,0.0352,0.00503,0.89,0.0866,0.0375,128.021,4
787Y2idwCU2Rk60Prv4wpr,"Saving Up","Saving Up","Dom Dolla",2023-10-06,207514,72,,2024-12-13T05:00:15Z,"house,tech house","Three Six Zero Recordings/Columbia Records",0.747,0.822,3,-6.373,0,0.0721,0.00353,0.132,0.165,0.578,129.994,4
2e2yKavdT6WQzzMHwNtPFa,"In The Yuma (feat. Aatig)","In The Yuma (feat. Aatig)","Chris Lake,Aatig",2022-11-11,156215,62,,2024-12-13T05:00:15Z,"tech house,house,bass house","Black Book Records/Astralwerks",0.83,0.897,1,-4.796,0,0.0626,0.000251,0.779,0.132,0.936,126.028,4
1T7fTFxkosqEF8AZzDvm6I,"Can’t Fight The Feeling","Can’t Fight The Feeling","Matroda",2023-02-17,171428,57,,2024-12-13T05:00:15Z,"bass house,tech house,g-house,house,electro house","Terminal Underground",0.781,0.902,8,-4.988,1,0.0818,0.00505,0.0612,0.214,0.726,126.018,4
4zlbKky2yA657Sk5rekZoR,"Baby again..","Baby again..","Fred again..,Skrillex,Four Tet",2023-03-17,319963,60,,2024-12-13T05:00:15Z,"stutter house,house,dubstep,edm,electro,electronic,idm,electronica","Atlantic Records UK",0.847,0.724,2,-7.668,1,0.047,0.00355,0.00339,0.0731,0.326,126.983,4
70kfnr6pptxpV8YXjii68u,"Friendly Pressure - Into The Sunshine Mix","Friendly Pressure (Sunship Remixes)","Jhelisa,Sunship",1998-09-21,334760,59,,2024-12-13T05:00:15Z,"uk garage,acid jazz,house,uk funky","Dorado Records",0.815,0.86,0,-3.755,0,0.168,0.0552,0.00289,0.0249,0.978,126.879,4
3DLWVhaowApIGw1JnJj6GS,"Lose Control","Lose Control","James Hype",2023-05-12,173437,67,,2024-12-13T05:00:15Z,"house,tech house","Insomniac Records",0.714,0.936,9,-3.693,1,0.0426,0.0338,0.0239,0.244,0.243,128.011,4
6xp1u6ZEHXX8DxJIFFrVoP,"Little Things x Gypsy Woman - L BEATS MASHUP","Little Things x Gypsy Woman (L BEATS MASHUP)","Jorja Smith",2023-06-30,131000,68,,2024-12-13T05:00:15Z,"","FAMM",0.644,0.879,6,-5.204,0,0.0761,0.00423,0.00000691,0.286,0.808,126.935,4
0ccoGCaOFCxI6pHixrQpKj,"Neverender","Neverender","Justice,Tame Impala",2024-04-25,266493,61,,2024-12-13T05:00:15Z,"french house,new rave,electronic rock,indie,psychedelic pop","Genesis",0.563,0.44,6,-10.01,0,0.0608,0.0258,0.00000762,0.227,0.417,116.988,4
63HwAAXuSV2tzIUPoHOwZa,"Atmosphere","Atmosphere","FISHER,Kita Alexander",2023-08-11,182857,74,,2024-12-13T05:00:15Z,"tech house,house,techno","Catch & Release",0.762,0.895,8,-4.562,1,0.0734,0.00623,0.142,0.204,0.757,125.985,4
2kZ0cv0J6lRQxep2nA3Ilm,"CAVE (with Tove Lo)","CAVE (with Tove Lo)","Dom Dolla,Tove Lo",2024-10-11,180409,67,,2024-12-13T05:00:15Z,"house,tech house","Three Six Zero Recordings/Columbia Records",0.487,0.674,6,-3.725,0,0.0473,0.387,0.000052,0.475,0.108,87.537,4
1oH6oeK8iKeRL9VTQY5w2r,"Lifetime","Lifetime","Tobiahs",2024-01-12,158822,65,,2024-12-13T05:00:15Z,"stutter house","Mushroom Group – A Mushroom Music Recording",0.818,0.629,10,-9.79,0,0.096,0.139,0.777,0.0877,0.0781,135.135,4
0Ftrkz2waaHcjKb4qYvLmz,"Delilah (pull me out of this)","Delilah (pull me out of this)","Fred again..",2022-10-17,250702,61,,2024-12-13T05:00:15Z,"stutter house,house","Atlantic Records UK",0.685,0.827,10,-7.745,1,0.224,0.138,0.00207,0.374,0.586,133.93,4
3GiORO0zRwRT3g9CCklzkQ,"It's That Time - FISHER Remix","It's That Time (FISHER Remix)","Marlon Hoffstadt,FISHER",2024-06-21,171717,72,,2024-12-13T05:00:15Z,"hard house,eurodance,techno,tech house,house","Method 808, distributed by gamma.",0.865,0.978,0,-4.29,1,0.0471,0.00136,0.381,0.0766,0.936,130.008,4
0dgdDB39uUoC8WICmTE2U8,"No Bad Vibes","No Bad Vibes","Jazzy,KILIMANJARO",2024-10-18,162100,76,,2024-12-13T05:00:15Z,"afro house","Chaos",0.65,0.873,9,-5.078,0,0.0454,0.0125,0.0397,0.104,0.582,120.016,4
7zp9FOU4cjFdGN1zdWTvcB,"TAKE IT OFF","TAKE IT OFF","FISHER,Aatig",2023-06-23,194604,68,,2024-12-13T05:00:15Z,"tech house,house,techno","Big Beat Records/Atlantic",0.884,0.707,1,-6.607,1,0.202,0.000502,0.258,0.363,0.582,127.013,4
4ejCsNXh66YasBUiwfBhDg,"Mercy (feat. Jacob Lusk)","Mercy (feat. Jacob Lusk)","The Blessed Madonna,Jacob Lusk",2023-06-23,178242,57,,2024-12-13T05:00:15Z,"","Warner Records",0.815,0.645,2,-6.046,0,0.0938,0.00589,0.0000296,0.709,0.652,126.994,4
0pjBqAz8GlxGlpaU4W0DxS,"Cruel Summer - LP Giobbi Remix","The Cruelest Summer","Taylor Swift,LP Giobbi",2023-10-19,192900,62,,2024-12-13T05:00:15Z,"piano house,house","Taylor Swift",0.73,0.717,9,-9.095,1,0.0554,0.0922,0.00296,0.112,0.283,122.988,4
5mF7p5mwgaPZyIykUhO3PN,"Last Night","Last Night","Loofy",2023-10-06,169302,67,,2024-12-13T05:00:15Z,"melodic techno","Nervous Records",0.778,0.803,11,-7.05,1,0.069,0.0115,0.129,0.328,0.102,129.014,4
73rh3AJNXQl8iMWgWRrQTR,"Lioness","Lioness","Swedish House Mafia,Niki & The Dove",2024-06-07,172515,71,,2024-12-13T05:00:15Z,"edm","Swedish House Mafia",0.515,0.667,9,-5.188,1,0.199,0.0246,0.0015,0.107,0.192,127.948,4
5dW0cgZ9uV1W3PXtuTS5uP,"Sorry (with Madonna)","Sorry (with Madonna)","BLOND:ISH,Madonna,Eran Hersh,Darmon",2023-02-10,161627,60,,2024-12-13T05:00:15Z,"afro house,latin house,melodic house,organic house,tribal house","Insomniac Records",0.676,0.871,0,-6.289,1,0.0326,0.00227,0.804,0.125,0.482,123.991,3
31B7wLv4yvtjDoTTmbnxeE,"Jungle","Jungle","Fred again..",2022-06-29,198805,62,,2024-12-13T05:00:15Z,"stutter house,house","Atlantic Records UK",0.665,0.727,1,-8.073,0,0.0391,0.00984,0.394,0.172,0.397,133.922,4
0agQ9vIV7NP4dntGKLcCXO,"Somebody (2024)","Somebody (2024)","Gotye,FISHER,Chris Lake,Kimbra,Sante Sansone",2024-02-09,153518,76,,2024-12-13T05:00:15Z,"tech house,house,techno,bass house","Universal-Island Records Ltd.",0.848,0.629,0,-6.198,1,0.0424,0.016,0.18,0.049,0.586,130.017,4
33oyHkoS7H92RWsecOKn6u,"Set My Heart On Fire (I'm Alive x And The Beat Goes On)","Set My Heart On Fire (I'm Alive x And The Beat Goes On)","Majestic,The Jammin Kid,Céline Dion",2024-05-03,179016,66,,2024-12-13T05:00:15Z,"variété française","Columbia",0.551,0.873,0,-5.157,0,0.218,0.0347,0.00000645,0.0997,0.583,119.988,4
5a2Mb0OPY17zkS8FnciQhg,"Finally","Finally","Swedish House Mafia,Alicia Keys",2024-08-29,215583,72,,2024-12-13T05:00:15Z,"edm,r&b,neo soul","Swedish House Mafia",0.593,0.843,10,-5.008,0,0.076,0.0137,0.0447,0.105,0.13,130.994,4
3wo3d0I5H8KjkwGvnz8WbB,"Somedays","Somedays","Sonny Fodera,Jazzy,D.O.D",2024-07-26,207168,80,,2024-12-13T05:00:15Z,"house,piano house,tech house","Solotoko",0.671,0.753,4,-6.045,0,0.0298,0.019,0.0000129,0.177,0.543,127.926,4
