Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
24NwBd5vZ2CK8VOQVnqdxr,"Sweet Emotion","Toys In The Attic","Aerosmith",1975-04-08,274133,5,carybcool,2019-04-13T04:08:32Z,"classic rock,rock","Columbia",0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,4
4gVTozEmzwAUXpwj3jEetX,"Highway Star","Machine Head","Deep Purple",1972-03-25,368506,57,carybcool,2019-04-13T04:14:27Z,"hard rock,classic rock,rock","Rhino/Warner Records",0.298,0.895,9,-7.647,0,0.0547,0.0283,0.00574,0.305,0.544,173.737,4
5Z8EDau8uNcP1E8JvmfkZe,"School's Out","School's Out","Alice Cooper",1972,210106,66,carybcool,2019-04-13T04:17:33Z,"glam rock,hard rock,glam metal,proto-punk,classic rock","Rhino/Warner Records",0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,4
0JFEn4sPozptBShOuqMQVs,"Jim Dandy","High On The Hog","Black Oak Arkansas",1973,161506,41,carybcool,2019-04-13T04:17:57Z,"southern rock,country rock","RT Industries",0.312,0.939,0,-9.074,1,0.0654,0.0395,0.00000823,0.123,0.709,175.2,4
413T0g8pNNXYX6t5RqHvx7,"Why Can't We Be Friends?","Why Can't We Be Friends?","War",1975-01-01,230066,0,carybcool,2019-04-13T04:25:08Z,"","Avenue Records Catalog P&D",0.776,0.714,10,-9.044,1,0.0388,0.19,0,0.506,0.962,92.448,4
2f0P7iELCvAlV8j6Z3rGDE,"Stranglehold","Ted Nugent","Ted Nugent",1975,503066,63,carybcool,2019-04-18T02:51:47Z,"classic rock,southern rock","Epic/Legacy",0.484,0.711,2,-7.784,1,0.0331,0.0183,0.173,0.0941,0.49,148.189,4
4DhbiXEuV7JxSR0wuqetTa,"Free Ride","They Only Come Out At Night","The Edgar Winter Group",1972-11-30,187173,55,carybcool,2019-04-18T02:54:54Z,"classic rock","Epic",0.674,0.686,2,-11.927,1,0.0597,0.29,0.00322,0.189,0.814,124.204,4
1lYrQMOKriB4javZheTFNt,"No More Mr. Nice Guy","Billion Dollar Babies","Alice Cooper",1973,186466,34,carybcool,2019-04-18T02:56:55Z,"glam rock,hard rock,glam metal,proto-punk,classic rock","Rhino/Warner Records",0.54,0.665,11,-7.639,0,0.0408,0.197,0,0.0906,0.575,128.765,4
09bsqnL4l4InaLxbBXT8LX,"Do You Feel Like We Do","Frampton Comes Alive!","Peter Frampton",1976-01-06,857693,0,carybcool,2022-01-15T05:20:33Z,"classic rock","A&M",0.307,0.62,0,-8.377,1,0.0323,0.0719,0.00936,0.959,0.357,103.557,4
2fmMPJb5EzZCx8BcNJvVk4,"Low Rider","Why Can't We Be Friends?","War",1975-01-01,191560,0,carybcool,2019-04-18T03:04:10Z,"","Avenue Records Catalog P&D",0.811,0.647,0,-10.989,1,0.0498,0.0823,0.681,0.0572,0.99,139.787,4
