Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6VRhkROS2SZHGlp0pxndbJ,"Bangarang (feat. Sirah)","Bangarang EP","Skrillex,Sirah",2011-12-27,215253,68,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,electro,electronic","Big Beat Records/Atlantic",0.716,0.972,7,-2.302,1,0.196,0.0145,0.0000322,0.317,0.576,110.026,4
2C2Ie3sVDuCUDglgtSyG5o,"Jump Ya Body - Dub Mix","BLVCK MVGIC EP","Kill The Noise",2012,181714,26,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,melodic bass,edm","OWSLA",0.734,0.969,10,-3.564,0,0.0688,0.0372,0.193,0.0986,0.193,140.024,4
33QQEjgtuOYMzqq7DdHwh4,"Ghosts In The Machine - Kill The Noise Remix","Metropolis Remixed","The M Machine,Kill The Noise",2013,238285,13,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,melodic bass,edm","OWSLA",0.542,0.845,7,-6.254,0,0.0666,0.0476,0.0036,0.201,0.27,139.946,4
33iZr38YCrMCrbDUqO4Jup,"One Click Headshot","Feed Me's Escape from Electric Mountain","Feed Me",2012-02-06,287004,45,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,electro house,dub","mau5trap",0.677,0.911,2,-4.628,1,0.0628,0.000361,0.00805,0.35,0.509,109.991,4
383poPDRUC2oex56WwfAoT,"Eastern Thug","The Adventures of Mr. Fox","KOAN Sound",2012,323986,14,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"glitch,dubstep,drumstep,chillstep,bass music","OWSLA",0.736,0.641,1,-6.108,1,0.183,0.0393,0.872,0.107,0.439,101.041,4
0disPodMuk1QKWXC7iZsL7,"The Edge","Funk Blaster EP","KOAN Sound",2011,237892,13,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"glitch,dubstep,drumstep,chillstep,bass music","OWSLA",0.855,0.783,7,-5.59,1,0.238,0.00412,0.422,0.157,0.813,139.97,4
5BXttBFTkswGTW7jXmD9Er,"Trouble in the West","Max Out","KOAN Sound",2011-05-23,340667,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"glitch,dubstep,drumstep,chillstep,bass music","Shoshin",0.598,0.814,1,-4.57,1,0.0553,0.000885,0.724,0.083,0.317,138.105,4
2HKtpwnO0UeiYN2FRUNESZ,"Max Out","Max Out","KOAN Sound",2011-05-23,262693,4,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"glitch,dubstep,drumstep,chillstep,bass music","Shoshin",0.879,0.717,7,-7.138,1,0.265,0.000411,0.77,0.326,0.727,98.957,4
7ryzRLKpBY2WeIZFKoQlhc,"The Palace (feat. Blake Hazard)","Metropolis Pt. II","The M Machine,Blake Hazard",2013,325714,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"","OWSLA",0.421,0.637,1,-5.308,1,0.0455,0.00305,0.0743,0.109,0.0771,140.046,4
1vp6E69LBoiodXdE6BXBLm,"Dusk To Dawn","Between The Lines","Camo & Krooked",2012-03-19,272914,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"drum and bass,liquid funk,drumstep,dubstep","Hospital Records",0.497,0.849,6,-4.193,0,0.0421,0.0003,0.891,0.0897,0.253,175.002,4
6tqDhw4wNYz5WkzEby5DqN,"Rock Paper Scissors","Zeitgeist","Camo & Krooked",2013-09-30,217923,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"drum and bass,liquid funk,drumstep,dubstep","Hospital Records",0.669,0.8,5,-4.007,0,0.0746,0.00175,0.281,0.951,0.171,87.52,4
6AbVJjzv7thIvmMCuhZrmK,"Make It Bun Dem","Make It Bun Dem","Skrillex,Damian Jr Gong Marley",2012-05-01,213696,66,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,electro,electronic","Big Beat Records/OWSLA",0.556,0.881,7,-2.224,1,0.082,0.00119,0,0.0709,0.337,104.973,1
7zyicrdArhk1b51MjwZowi,"The State","Spitfire EP","Porter Robinson",2011,357143,21,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"edm,electronic","OWSLA",0.594,0.915,5,-6.458,1,0.103,0.00006,0.505,0.55,0.243,140.029,4
60c0wfBSz7erCZy6S8a8De,"Unison - Knife Party Remix","Spitfire EP","Porter Robinson,Knife Party",2011,298401,39,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"edm,electronic,dubstep,moombahton,dub","OWSLA",0.613,0.836,10,-6.067,1,0.0619,0.000211,0.833,0.0338,0.165,109.946,4
1Pz7MQNCbEtK1ucN4vvZ64,"Spitfire - Kill The Noise Remix","Spitfire EP","Porter Robinson,Kill The Noise",2011,251288,35,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"edm,electronic,dubstep,melodic bass","OWSLA",0.495,0.901,4,-4.904,0,0.0407,0.000174,0.926,0.369,0.317,172.143,4
1ZFdXzBLNeAG3VotbwFo7r,"Louder (feat. Sian Evans) - Doctor P & Flux Pavillion Remix","Louder EP","DJ Fresh,Sian Evans,J. Steele AKA Flux Pavillion,S. Brockhurst AKA Doctor P.",2012-10-09,235533,34,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"drum and bass,melodic techno,melodic house","Columbia",0.545,0.948,4,-0.889,0,0.0631,0.00111,0.0657,0.367,0.206,69.961,4
7JjQn4JYdzlPn8cg2R50a9,"Whiskers","Feed Me's Escape from Electric Mountain","Feed Me",2012-02-06,287756,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,electro house,dub","mau5trap",0.626,0.842,1,-6.131,1,0.0792,0.00815,0.0807,0.113,0.553,140.018,4
2J5lHLXZFqUEcow1buleO8,"Deal With It - KOAN Sound Remix","Kill Kill Kill EP","Kill The Noise,KOAN Sound",2011-11-22,267586,14,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,melodic bass,edm,glitch,drumstep,chillstep,bass music","OWSLA",0.624,0.888,11,-3.622,1,0.0845,0.0185,0.0811,0.116,0.316,174.056,4
2ecZ1r81j5676NIbDwNmq2,"Lonely Soul","Monstercat 014 - Discovery","Direct",2013-09-02,340000,4,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"chillstep","Monstercat",0.547,0.721,9,-8.721,0,0.0481,0.0101,0.883,0.399,0.224,140.029,4
63pWHlPl6SJvQW1Q6Lv9u5,"Pressure Cooker","Monstercat 008 - Anniversary","Pegboard Nerds",2012-07-27,194137,8,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,drumstep,electro house,glitch","Monstercat",0.598,0.853,7,-4.254,1,0.155,0.000395,0.0000508,0.21,0.524,174.012,4
1LV5G400jD3Ytvyv6Dlkym,"Right In","Bangarang EP","Skrillex",2011-12-27,180400,48,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,electro,electronic","Big Beat Records/Atlantic",0.636,0.802,2,-2.168,1,0.167,0.00631,0.0000414,0.059,0.335,139.815,4
1ShWHEgisDGPl9G3g85ANu,"Breakn' a Sweat","Bangarang EP","Skrillex,The Doors",2011-12-27,301986,54,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,electro,electronic,psychedelic rock,classic rock,acid rock","Big Beat Records/Atlantic",0.596,0.921,11,-2.5,0,0.074,0.0049,0.00019,0.536,0.232,139.969,4
687RRToOFAtpqZRzmbhGtu,"The Devil's Den","Bangarang EP","Skrillex,Wolfgang Gartner",2011-12-27,292906,48,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,electro,electronic,electro house,house","Big Beat Records/Atlantic",0.616,0.946,1,-2.876,1,0.0687,0.00075,0.0777,0.355,0.322,127.992,4
3FUZpoj9VV0sgc8RqbS3xQ,"Kyoto (feat. Sirah)","Bangarang EP","Skrillex,Sirah",2011-12-27,200786,58,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,electro,electronic","Big Beat Records/Atlantic",0.605,0.92,4,-2.298,0,0.0713,0.0012,0.000596,0.483,0.219,174.974,4
5tGwVrXBhYGUIRQuQ1gvrQ,"Ruffneck - Full Flex","More Monsters and Sprites EP","Skrillex",2011-06-07,226285,49,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,electro,electronic","Big Beat Records/Atlantic",0.646,0.97,5,-1.64,1,0.129,0.000244,0.00483,0.0668,0.325,140.145,4
4rwpZEcnalkuhPyGkEdhu0,"Scary Monsters and Nice Sprites","Scary Monsters and Nice Sprites EP","Skrillex",2010-12-21,243353,59,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm,electro,electronic","Big Beat Records/Atlantic",0.523,0.944,7,-3.581,0,0.0837,0.00336,0.557,0.119,0.324,139.997,4
1BXquw1MtoKOT3lPXcPh0F,"Cowboy","The Living Dead EP","Zeds Dead,Omar LinX",2013-07-23,265306,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,edm","Ultra Records, LLC",0.53,0.723,2,-5.256,1,0.0662,0.0107,0,0.382,0.399,87.579,4
2rzBvHM9h36Tpdj7Jdajka,"Wild for the Night (feat. Skrillex & Birdy Nam Nam)","LONG.LIVE.A$AP (Deluxe Version)","A$AP Rocky,Skrillex,Birdy Nam Nam,Lord Flacko",2013,212640,64,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"rap,dubstep,edm,electro,electronic,french house,cloud rap","A$AP Worldwide/Polo Grounds Music/RCA Records",0.757,0.848,2,-4.234,1,0.335,0.0481,0,0.121,0.686,139.995,4
2EeKQXUZ2Oc3kAlAiRWFva,"Forward","Straight Up Dubstep! Vol. 12","Corporate",2014-09-01,210500,2,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"","Straight Up!",0.699,0.814,9,-5.624,1,0.141,0.0201,0.0159,0.206,0.544,139.998,4
0U5Fm7lUtNWhLnWz1hoZjg,"Outlaw","Nordic","Skope,Seppa",2015-08-24,248184,10,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"drumstep,glitch,dubstep,bass music","Inspected",0.504,0.932,11,-6.112,0,0.289,0.00178,0.734,0.902,0.194,159.995,4
5vsCTgWs4UcqAYtSZtRXdL,"Jurassic","Immortal EP","Eptic",2015-06-29,222383,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:28Z,"dubstep,riddim,bass music,deathstep,bass house,dub","Never Say Die Records",0.748,0.824,9,-4.267,1,0.166,0.00724,0.0269,0.185,0.472,144.948,4
