Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3FBPqjyFHLCTYfByF4zIcx,"Mandala","Mosaik","Camo & Krooked,Mefjus",2017-06-23,263336,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.481,0.862,2,-4.151,0,0.465,0.0144,0.334,0.116,0.134,174.927,4
6SbM95pCKr400t9fbONsex,"Atlas","Atlas [UKF10]","Camo & Krooked",2019-02-08,317105,29,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","UKF",0.429,0.928,5,-1.162,1,0.104,0.0984,0.875,0.119,0.0862,175.019,4
31fA03jXzASm9vRkbysq6n,"Good Times Bad Times - Document One Remix","Mosaik (REMIXED)","Camo & Krooked,Document One",2018-03-23,296228,46,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep,jungle","RAM Records",0.64,0.691,0,-4.995,1,0.0817,0.0085,0.0914,0.12,0.0734,174.949,4
3IOqfD7PNduOuoziFfi4tG,"Ember","Mosaik","Camo & Krooked",2017-06-23,315407,31,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.568,0.89,0,-4.373,0,0.0846,0.0587,0.516,0.163,0.0591,175.034,4
5C14nY4e0d8DhIyPhXZj53,"Slow Down (feat. ROBB)","Mosaik","Camo & Krooked,Robb",2017-06-23,285282,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.744,0.489,8,-6.167,1,0.0576,0.089,0.0000392,0.192,0.388,110.035,4
7yXoXdvePUQcivb3P2UXfm,"If I Could (feat. Joe Killington)","Mosaik","Camo & Krooked,Joe Killington",2017-06-23,231194,36,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep,hardstyle","RAM Records",0.622,0.853,5,-3.669,0,0.0446,0.00594,0.000142,0.101,0.461,87.419,4
438G7RYrJERRx5uXWSDu1m,"Witchdoctor","Mosaik","Camo & Krooked",2017-06-23,270871,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.649,0.632,8,-2.557,1,0.0625,0.0108,0.906,0.0772,0.312,175.047,4
5AnvJu55nxVOPIcakt6Gd3,"Good Times Bad Times","Mosaik","Camo & Krooked",2017-06-23,231772,34,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.517,0.762,2,-4.083,0,0.0455,0.00691,0.224,0.17,0.0816,126.022,4
38ssXDBMIpFImTRAgkdNzc,"Heat of the Moment","Mosaik","Camo & Krooked",2017-06-23,247023,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.595,0.722,9,-3.838,0,0.0675,0.0897,0.211,0.109,0.199,175.115,4
4Rc60LAKcGlwsL15vfmCmm,"Honesty","Mosaik","Camo & Krooked",2017-06-23,242124,22,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.627,0.811,8,-4.521,0,0.0956,0.026,0.513,0.156,0.274,175.03,4
7cV3mAfSkIT4Dy1J2X9tOo,"Tagtraum","Mosaik","Camo & Krooked",2017-06-23,275448,27,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.426,0.671,8,-5.79,0,0.118,0.00222,0.815,0.128,0.162,180.051,4
3tbSeptOgtT2ieD2iUfPdw,"Dissolve Me (feat. klei)","Mosaik","Camo & Krooked,klei",2017-06-23,209516,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.584,0.606,2,-4.787,0,0.0474,0.029,0.429,0.154,0.156,175.044,4
5myb6Z5T1tqv8ldRO9liUB,"Last of the Tribe","Mosaik","Camo & Krooked",2017-06-23,253724,15,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.674,0.734,5,-6.761,1,0.112,0.0444,0.541,0.077,0.159,175.029,4
0MADSzdch2qOOwnfFevPh0,"The Sloth","Mosaik","Camo & Krooked",2017-06-23,148444,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.811,0.636,7,-4.381,0,0.161,0.0166,0.292,0.0735,0.391,87.496,4
7fhqieNT5SmbEjjIzVhmnS,"Like I Do (feat. James Hersey)","Mosaik","Camo & Krooked,James Hersey",2017-06-23,190604,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep,tropical house","RAM Records",0.698,0.532,11,-6.163,0,0.145,0.154,0.000328,0.1,0.284,174.956,4
1kgHoys2ajgeMxiMRlq9Lm,"Introvert","The Adventures of Mr. Fox","KOAN Sound",2012,285946,24,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"glitch,dubstep,drumstep,chillstep,bass music","OWSLA",0.65,0.831,10,-7.595,0,0.0402,0.0401,0.913,0.102,0.513,129.993,4
737eh6d3HDZoCG9LwHHMs0,"Forgotten Myths","Forgotten Myths","KOAN Sound",2015-05-04,270527,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"glitch,dubstep,drumstep,chillstep,bass music","Shoshin",0.557,0.914,7,-7.818,1,0.0952,0.000286,0.822,0.0909,0.315,171.996,4
6GtN5P5IJ166QrJ6VEtMRS,"Hydroplane","Polychrome","KOAN Sound",2018-12-07,434368,15,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"glitch,dubstep,drumstep,chillstep,bass music","Shoshin",0.616,0.678,5,-9.202,0,0.211,0.416,0.8,0.139,0.261,172.081,4
5kZpTUKMN8M9yumaGZvFaS,"Tetsuo's Redemption","Sanctuary","KOAN Sound,Asa",2013-10-22,350109,19,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"glitch,dubstep,drumstep,chillstep,bass music","Inspected",0.693,0.808,7,-7.206,0,0.0586,0.0114,0.676,0.105,0.264,139.979,4
5B5U2J6GpRN7eBE2SUfBcu,"Triangles","Polyphony","Logistics",2014-07-21,275799,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.534,0.829,5,-2.71,0,0.0438,0.0223,0.484,0.0973,0.0649,174.009,4
4iZlFQS7Q7oYzEY6BCDjGz,"Forevergreen","Polyphony","Logistics,Will Robert",2014-07-21,279961,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.469,0.966,5,-3.194,0,0.0864,0.0701,0.0383,0.896,0.173,173.998,4
0sQPtr1Xm9wV1y8s0Fk6sy,"Polyphony","Polyphony","Logistics,Sonic",2014-07-21,317053,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle,breakbeat","Hospital Records",0.474,0.957,5,-3.008,0,0.0352,0.00342,0.832,0.1,0.0922,174.021,4
5loLvi2RO9M0Le3sYyFgKw,"Seasons","Polyphony","Logistics,Lifford",2014-07-21,287241,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle,uk garage,uk funky","Hospital Records",0.561,0.909,5,-4.02,0,0.053,0.016,0.458,0.112,0.604,174.011,4
3ISDVG0BCy9XAiOttV4J7I,"Sparks","Polyphony","Logistics",2014-07-21,310350,13,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.59,0.993,5,-2.452,0,0.0478,0.000262,0.814,0.685,0.429,174.027,4
7frssqayhqucEjy3wILmvp,"Homeward Bound","Polyphony","Logistics",2014-07-21,276087,8,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.768,0.639,9,-10.185,1,0.0449,0.176,0.726,0.361,0.188,126.99,4
5a4pQdJZTuKLTQyzCgCeef,"Somersaults","Polyphony","Logistics",2014-07-21,260689,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.477,0.972,8,-2.791,1,0.0431,0.000477,0.439,0.336,0.493,173.962,4
60fgIJLW23c5DND9wDDvXz,"Stutter","Polyphony","Logistics,Maduk,Nu:Tone",2014-07-21,279438,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle,chillstep,drumstep","Hospital Records",0.568,0.933,8,-3.335,1,0.0411,0.0652,0.816,0.361,0.15,173.987,4
2p1NhDb3021DvI6r7vZGYR,"No Hurry Time","Polyphony","Logistics",2014-07-21,364045,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.485,0.963,10,-3.696,1,0.0549,0.00131,0.826,0.339,0.423,174.047,4
3fNAC3LPJy16em1Dz7ARFu,"Transcending","Polyphony","Logistics",2014-07-21,342068,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.445,0.823,6,-4.162,1,0.0412,0.00148,0.0121,0.124,0.0687,173.926,4
2sQQ5fQT8Zgrt2OMmPFH4J,"Kestral","Polyphony","Logistics",2014-07-21,276206,8,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.532,0.9,1,-2.661,1,0.0399,0.000458,0.863,0.788,0.417,174.002,4
0iLhRFbr7cZ0DrQl8FS3kb,"Wanderlust","Polyphony","Logistics",2014-07-21,322758,34,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"liquid funk,drum and bass,jungle","Hospital Records",0.563,0.826,2,-4.031,1,0.034,0.00128,0.434,0.356,0.0496,86.984,4
33hlVInpTICfzd3YQXSfP1,"Broken Pieces (feat. Nihils)","Mosaik","Camo & Krooked,NIHILS",2017-06-23,202983,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.38,0.4,0,-6.586,0,0.063,0.591,0.0253,0.116,0.0397,174.668,4
2rQVAIoaX1uQwTmFnSiHoR,"Passion","Mosaik","Camo & Krooked",2017-06-23,269492,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.367,0.648,7,-5.152,0,0.0484,0.0355,0.702,0.158,0.123,174.835,4
4WDQj8YklevbjMmt1nRsXX,"Black or White (feat. Tasha Baxter)","Mosaik","Camo & Krooked,Tasha Baxter",2017-06-23,285425,19,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.554,0.642,2,-4.468,0,0.0304,0.225,0.00962,0.21,0.0638,87.527,4
1IkbNEwYgRqFmK70BSOlp0,"Come Together","Mosaik","Camo & Krooked",2017-06-23,248548,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.353,0.817,0,-4.958,0,0.151,0.017,0.819,0.0963,0.0503,175.159,4
7CWuV0Yqv9SybcfYRfczzB,"Ember - Noisia Remix","Mosaik (REMIXED)","Camo & Krooked,Noisia",2018-03-23,308181,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep,breakbeat,bass music,jungle","RAM Records",0.543,0.942,5,-0.947,0,0.0713,0.0113,0.906,0.1,0.0393,174.84,4
2FaHSuxNCqStYTNdONbNjt,"If I Could (feat. Joe Killington) - SpectraSoul Remix","Mosaik (REMIXED)","Camo & Krooked,Joe Killington,SpectraSoul",2018-03-23,299384,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:22:21Z,"drum and bass,liquid funk,drumstep,dubstep,hardstyle,jungle","RAM Records",0.432,0.91,1,-3.835,1,0.0452,0.000733,0.217,0.083,0.0579,129.368,3
