Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ga6RGtGVbsBr7nkQSSrlc,"Geisha","Geisha","Ghastly",2017-08-18,217500,22,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"bass house,dubstep,riddim,edm","Haunted Haus Collective",0.647,0.95,1,-4.858,1,0.0823,0.000182,0.472,0.266,0.202,128.028,4
3Ui9jL2IyUyu2EzffYmqPp,"Dem Fraid","Cartel","Boombox Cartel,Taranchyla",2017-04-21,210461,33,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"future bass,edm trap,edm,dubstep,gqom,dancehall,riddim","Mad Decent",0.773,0.969,2,-3.161,1,0.0692,0.00457,0.00813,0.0929,0.432,130.02,4
0fCYu7T8jKRcJxD33GzRWz,"Arazu","Arazu","DROELOE",2016-10-13,224571,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"future bass","Heroic",0.664,0.814,11,-6.111,0,0.0604,0.0261,0.321,0.202,0.171,139.992,4
0UEUDHGuZ76S9LWUPrBK8S,"Fire Inside feat. RIOT - Ganja White Night Remix","Fire Inside (Ganja White Night Remix)","Apashe,Ganja White Night,RIOT",2017-08-02,193766,30,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"dubstep,riddim,bass music,edm,dub,deathstep","Kannibalen Records",0.749,0.775,1,-5.115,1,0.0336,0.000697,0.861,0.106,0.544,125.984,4
6T7jst1TqcLBJathAlIiIO,"Fly Kicks - Wax Motif Remix","Best of Night Bass 2017","AC Slater,Chris Lorenzo,Wax Motif",2017-12-29,278400,10,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"bass house,bassline,g-house,house,tech house","Night Bass Records",0.897,0.692,11,-4.985,0,0.0492,0.0187,0.725,0.0603,0.607,125.023,4
12nucRRQZznHZx6xlSwfmc,"100% In The Bitch","Spitfire EP","Porter Robinson",2011,250605,26,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"edm,electronic","OWSLA",0.824,0.887,8,-6.773,1,0.129,0.002,0.0796,0.21,0.748,107.979,4
20UdW4qyeOmKa9YaOcv9WX,"Need You","Need You","Dillon Francis,NGHTMRE",2016-05-06,197410,38,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"moombahton,edm,electro house,dubstep,edm trap,future bass","Mad Decent",0.721,0.925,4,-3.218,0,0.196,0.00171,0.0545,0.374,0.37,111.958,4
7vj3nMPwWbwsRWIdw6uhNZ,"Set It Off - TheFatRat Remix","Express Yourself (Remixes)","Diplo,Lazerdisk Party Sex,TheFatRat",2013-03-19,211388,26,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"moombahton","Mad Decent",0.779,0.753,7,-6.102,1,0.0398,0.0379,0.586,0.0682,0.239,108.004,4
3c5Og78p3plOCBbNLg5K9L,"Lone - Slow Hours Remix","Divide & Conquer (Remixes)","What So Not,GANZ,JOY.,Slow Hours",2017-06-16,272999,44,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"future bass","Sweat It Out",0.36,0.679,5,-7.178,0,0.0488,0.000963,0.000296,0.0717,0.138,77.076,4
52FrnxU16vjmJOnfHevXts,"4AM - K?D Remix","4AM (K?D Remix)","Huntar,k?d",2017-01-06,228727,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"future bass","Glassnote Entertainment Group LLC",0.672,0.586,7,-5.711,1,0.0612,0.0111,0.00154,0.644,0.0562,169.991,4
4B66dqeGbZW3iLg3vgPLDP,"Movie","Movie","Habstrakt,josh pan",2018-03-30,227362,27,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"bass house,g-house,dubstep,bassline","Mad Decent",0.841,0.836,2,-3.209,1,0.0974,0.00347,0.191,0.727,0.373,126.029,4
7hU38LHqMSPFrvoqADFJp4,"Chicken Soup","HOWSLA","Skrillex,Habstrakt",2017-05-05,207292,50,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"dubstep,edm,electro,electronic,bass house,g-house,bassline","OWSLA",0.823,0.815,11,-3.947,1,0.134,0.00129,0.0494,0.599,0.474,125.989,4
0MHJ3Obkdl3EN29A8nv6uz,"Feel The Volume - JOYRYDE 'Stick It In Reverse' Mix","Feel The Volume (JOYRYDE 'Stick It In Reverse' Mix)","Jauz,JOYRYDE",2016-12-08,238593,31,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"bass house,edm,future house,dubstep,electro house,bassline,g-house","Mad Decent",0.617,0.945,10,-2.748,0,0.205,0.00646,0.0000211,0.501,0.293,127.986,4
0gcPFlSLjkVqz84RcDhyJk,"HOT DRUM","HOT DRUM","JOYRYDE",2016-11-16,266879,39,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"bass house,g-house","OWSLA",0.625,0.981,7,-3.799,1,0.0597,0.0009,0.329,0.357,0.156,125.008,4
3THbCOOsUboMu83Ubd3sSR,"I WARE HOUSE","I WARE HOUSE","JOYRYDE",2017-03-17,266880,40,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"bass house,g-house","OWSLA",0.658,0.891,6,-3.512,1,0.199,0.0259,0.0332,0.34,0.3,125.033,4
0HY4ton07zj9kSKTVS0lVD,"NEW BREED (feat. Darnell Williams)","HOWSLA","JOYRYDE,Darnell Williams",2017-05-05,226890,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"bass house,g-house","OWSLA",0.791,0.854,11,-5.587,0,0.109,0.0183,0.00000284,0.385,0.183,127.044,4
0lbVRlcKE1JaG4DL3z2IUS,"Diamonds","Diamonds","Malaa",2016-07-13,250618,33,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:21:56Z,"g-house,bass house,future house","Malaa Music LLC CC",0.87,0.783,7,-4.335,1,0.042,0.0714,0.078,0.0904,0.163,123.021,4
