Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7lRlq939cDG4SzWOF4VAnd,"I'm Not Okay (I Promise)","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,186480,76,,2025-01-17T01:36:25Z,"emo,pop punk,emo pop","Reprise",0.21,0.94,9,-3.427,1,0.123,0.00602,0,0.269,0.255,179.722,4
6fTgbkBiMITtHUmik95ClX,"MakeDamnSure","Louder Now (Deluxe Edition)","Taking Back Sunday",2006-04-25,208280,68,,2025-01-17T01:36:25Z,"emo,pop punk,emo pop,screamo","Craft Recordings",0.552,0.836,6,-5.608,1,0.0453,0.00942,0,0.372,0.432,140.496,4
5Xbx9mAWoTiLbMOMQofoE6,"Dance, Dance","From Under The Cork Tree Limited Tour Edition","Fall Out Boy",2006-01-01,180266,53,,2025-01-17T01:36:25Z,"emo,pop punk,emo pop","Island Records",0.622,0.957,11,-3.176,0,0.131,0.00485,0,0.0863,0.517,114.471,4
4G21jWo0Cm6lOIUNnZ2mUI,"Such Great Heights - Remastered","Give Up (Deluxe 10th Anniversary Edition)","The Postal Service",2003-02-19,266506,64,,2025-01-17T01:36:25Z,"","Sub Pop Records",0.644,0.808,5,-7.268,1,0.0513,0.0467,0.187,0.0652,0.175,174.98,4
6SpLc7EXZIPpy0sVko0aoU,"Misery Business","Riot!","Paramore",2007-06-11,211520,75,,2025-01-17T01:36:25Z,"pop punk,emo,emo pop","Fueled By Ramen",0.517,0.906,1,-3.677,1,0.0735,0.00272,0.00000926,0.113,0.731,172.977,4
1IT0WQk5J8NsaeII8ktdlZ,"King For A Day","Collide With The Sky","Pierce The Veil,Kellin Quinn",2012-07-17,236293,76,,2025-01-17T01:36:25Z,"emo,screamo,post-hardcore,pop punk","Fearless Records",0.403,0.965,6,-2.238,1,0.0964,0.0000381,0.000276,0.341,0.431,112.363,4
5ZdzNVOmCSp5HFLk0EgvJS,"Dirty Little Secret","Move Along","The All-American Rejects",2005-01-01,193653,64,,2025-01-17T01:36:25Z,"pop punk,emo,emo pop","Interscope",0.469,0.955,10,-4.253,1,0.0432,0.000343,0.00000135,0.548,0.462,143.853,4
5jZ1Z2GFTf2gwmFc3qiUxs,"The Taste of Ink","The Used","The Used",2002-06-25,208693,65,,2025-01-17T01:36:25Z,"emo,screamo,post-hardcore,emo pop,pop punk,emocore","Reprise",0.541,0.904,7,-3.001,1,0.0435,0.00143,0,0.193,0.541,98.122,4
4948g5UqwZFLGI8UTOXqdi,"I Write Sins Not Tragedies","A Fever You Can't Sweat Out","Panic! At The Disco",2005-09-27,185586,56,,2025-01-17T01:36:25Z,"emo","Fueled By Ramen/ADA",0.566,0.815,9,-4.481,0,0.14,0.0737,0,0.12,0.672,169.961,4
6GG73Jik4jUlQCkKg9JuGO,"The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,80,,2025-01-17T01:36:25Z,"emo,pop punk,emo pop","Interscope",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
6otiaV2fagE3s8IvP6WkwG,"I'm Just a Kid","No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)","Simple Plan",2002-03-19,198333,71,,2025-01-17T01:36:25Z,"pop punk,punk,emo","Rhino Atlantic",0.527,0.834,1,-5.531,1,0.0447,0.00107,0.000102,0.0993,0.422,110.065,4
23DHUWJ7iEieNPMPKvjzBV,"Ohio Is For Lovers","The Silence In Black And White (Re-Issue)","Hawthorne Heights",2004-06-08,244480,65,,2025-01-17T01:36:25Z,"emo,screamo,post-hardcore,emo pop,pop punk,emocore","Victory Records",0.566,0.835,8,-6.87,0,0.0742,0.0356,0,0.241,0.606,170.066,4
0DKNNR9iDjwfCEpMiFXMJq,"Until the Day I Die","Page Avenue","Story Of The Year",2003-09-16,235200,63,,2025-01-17T01:36:25Z,"emo,post-hardcore,screamo,emo pop,pop punk","Maverick",0.597,0.931,11,-4.591,0,0.0984,0.127,0,0.0504,0.534,92.003,4
1flWFiusGKhIaewrTnCYGO,"Pachuca Sunrise","Menos El Oso","Minus the Bear",2005-08-23,215373,47,,2025-01-17T01:36:25Z,"math rock,post-hardcore","Suicide Squeeze Records",0.468,0.877,11,-5.729,0,0.0347,0.0279,0.00165,0.366,0.71,154.983,4
1oTo3ijRbaDAtrjJrGAPSw,"I Miss You","blink-182","blink-182",2003-01-01,227240,76,,2025-01-17T01:36:25Z,"pop punk,punk,emo pop,rock,skate punk,emo","Geffen*",0.655,0.781,11,-6.547,1,0.034,0.00103,0.00000533,0.0867,0.584,110.024,4
6kZqCqD1r08sJAQ1TjuEpM,"Never Meant","American Football","American Football",1999-09-14,268333,62,,2025-01-17T01:36:25Z,"midwest emo,math rock,emo","Polyvinyl Records",0.434,0.808,0,-6.601,1,0.0359,0.0233,0.0111,0.153,0.422,144.292,4
0WSa1sucoNRcEeULlZVQXj,"Can You Feel My Heart","Sempiternal (Expanded Edition)","Bring Me The Horizon",2013-04-01,228146,76,,2025-01-17T01:36:25Z,"metalcore,emo,screamo,rock,post-hardcore,metal","RCA Records Label",0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,5
1Up4RdOBpChNDytatxKDXP,"The Best Of Me","Say It Like You Mean It","The Starting Line",2002-07-16,258266,58,,2025-01-17T01:36:25Z,"pop punk,emo pop,emo,punk","Geffen*",0.533,0.802,4,-4.212,1,0.0384,0.001,0,0.314,0.293,106.969,4
