Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3NbAsIxDL0fVgNuCLD152P,"Dolly Suite, Op. 56: I. Berceuse","Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus","Gabriel Fauré,Katia Labèque,Marielle Labèque",2015-01-01,176518,63,,2025-02-21T17:33:09Z,"classical,requiem,classical piano,minimalism","Decca Music Group Ltd.",0.454,0.0076,4,-33.663,1,0.0408,0.995,0.91,0.0864,0.294,64.645,4
7Btod71e87vQVXjGi6yUbU,"The Nutcracker, Op. 71, Act II: No. 12, Divertissement: e. Dance of the Reed-Pipes","Tchaikovsky: The Nutcracker","Pyotr Ilyich Tchaikovsky,Mariinsky Orchestra,Valery Gergiev",1998-10-05,133800,43,,2025-02-21T17:33:09Z,"classical,opera,orchestra","Decca Music Group Ltd.",0.404,0.123,2,-26.939,1,0.0379,0.927,0.963,0.213,0.344,142.987,4
0c9YITBx27aVPVC7baiOmB,"Petite suite de concert, Op. 77: III. Un sonnet d'amour","African Heritage Symphonic Series, Vol. 1","Samuel Coleridge-Taylor,Chicago Sinfonietta,Paul Freeman",2000-01-01,185400,45,,2025-02-21T17:33:09Z,"classical","Cedille",0.0999,0.00994,9,-34.682,1,0.0437,0.902,0.121,0.13,0.0614,70.667,3
19SN5mb0gs0ze9PYBIVANZ,"Copland: Appalachian Spring: VII. Variations on a Shaker Hymn. Doppio movimento","Road Trip","Aaron Copland,Aurora Orchestra,Nicholas Collon",2014-10-03,181200,45,,2025-02-21T17:33:09Z,"classical,orchestra","Warner Classics",0.207,0.102,1,-17.365,1,0.0384,0.974,0.542,0.104,0.303,82.319,4
6Ye4niSXscwpj4smkb5ioO,"Symphony No. 6 in F Major, Op. 68, Pastorale: I. Allegro ma non troppo, Awakening of cheerful feelings on arriving in the countryside","Beethoven for Three: Symphony No. 6 Pastorale and Op. 1, No. 3","Ludwig van Beethoven,Yo-Yo Ma,Emanuel Ax,Leonidas Kavakos",2022-11-11,711626,51,,2025-02-21T17:33:09Z,"classical,classical piano,chamber music","Sony Classical",0.363,0.0529,5,-24.11,1,0.0398,0.955,0.681,0.13,0.282,114.259,4
6IuHbYWV49tArCbHBgMHl7,"Carmen Suite No. 1 (Arr. E. Guiraud): IV. Séguedille","Bizet: Carmen & L'arlésienne Suites","Georges Bizet,Orquestra Simfònica de Barcelona i Nacional de Catalunya,Pablo González",2017-10-13,121933,52,,2025-02-21T17:33:09Z,"opera,classical,orchestra","Naxos",0.248,0.00674,2,-36.547,1,0.0417,0.952,0.271,0.155,0.185,176.236,3
5bmp5QR3Dwb5r9kgEX8kF3,"GoldBergHain (Quodlibet on Kraut und Rüben haben mich vertrieben) for Violin & String Orchestra","GoldBergHain (Quodlibet on Kraut und Rüben haben mich vertrieben) for Violin & String Orchestra","Stephan Koncz,Niklas Liepe,NDR Radiophilharmonie,Jamie Phillips",2020-09-25,164973,46,,2025-02-21T17:33:09Z,"chamber music,orchestra","Sony Classical/Sony Music",0.394,0.133,7,-19.88,1,0.0513,0.793,0.102,0.166,0.414,116.711,4
6e85fziCk6MwZUxWyG6Ijm,"Boccherini: String Quintet in E Major, Op. 11 No. 5, G. 275: III. Minuetto - Trio (Arr. Woodhouse for String Orchestra)","Mozart: Une petite musique de nuit - Pachelbel: Canon","Luigi Boccherini,Sir Neville Marriner,Academy of St. Martin in the Fields",1997-01-01,237720,50,,2025-02-21T17:33:09Z,"classical,orchestra,chamber music","Warner Classics",0.501,0.0358,9,-26.147,1,0.0293,0.961,0.58,0.142,0.43,85.189,4
2ZVHeQ8vl4BomNPGnSpf6K,"Nutcracker Suite, Op. 71a, TH. 35: IIc. Danse russe Trépak (Tempo di Trépak, molto vivace)","Discoveries","Pyotr Ilyich Tchaikovsky,Simón Bolívar Youth Orchestra of Venezuela,Gustavo Dudamel",2012-01-01,67826,36,,2025-02-21T17:33:09Z,"classical,orchestra","Deutsche Grammophon (DG)",0.523,0.463,7,-18.492,1,0.0414,0.804,0.845,0.239,0.963,80.43,4
2z7iDr3N4NbW4VmwpQWbTS,"Nonet in E-Flat Major, Op. 38: III. Scherzo. Vivace","Farrenc: Nonet - Clarinet Trio","Louise Farrenc,Consortium Classicum",2010-10-26,307893,44,,2025-02-21T17:33:09Z,"chamber music,classical","Divox",0.39,0.0462,0,-24.885,1,0.0429,0.976,0.624,0.0893,0.305,79.268,4
