Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Zx618hMvnGqGnQCSLXVbY,"The Way That I Do","The Way That I Do","Durand Jones & The Indications,Aaron Frazer",2021-07-13,210329,51,,2023-03-28T15:59:00Z,"retro soul","Dead Oceans",0.71,0.537,8,-11.755,1,0.0482,0.244,0.0691,0.0678,0.894,115.046,4
2DccHqTquzubziHAPZRdct,"B-Side","Texas Moon","Khruangbin,Leon Bridges",2022-02-18,274391,63,,2022-02-25T05:01:00Z,"retro soul","Dead Oceans",0.732,0.734,7,-10.574,1,0.0541,0.0777,0.172,0.327,0.687,104.764,4
34VDj911PQh8B1BXYoOMLq,"Running Away","Running Away","Thee Sacred Souls",2023-03-21,195086,63,,2023-03-28T15:59:00Z,"retro soul","Penrose / Daptone Records",0.546,0.646,2,-6.735,1,0.0394,0.309,0.000207,0.274,0.792,139.08,4
0FdvQVBKMN5Vc2SiN7bU0Z,"Illusions","Illusions","Jalen Ngonda",2024-02-22,216573,52,,2024-02-23T05:01:00Z,"retro soul","Daptone Records",0.415,0.829,9,-4.672,1,0.0332,0.0941,0.00082,0.793,0.762,192.033,4
2ffGZTdlRN0lNxA4LOYyTs,"How Long Do I Have to Wait for You?","Naturally","Sharon Jones & The Dap-Kings",2005-01-25,243760,68,,2021-10-19T21:36:21Z,"retro soul,soul,funk","Daptone Records",0.673,0.909,10,-3.369,0,0.0464,0.471,0.013,0.105,0.969,103.941,4
1Q6n0mQqqOCXsUGGKxQmrV,"Adonis - Feat. KIRBY","Lotus Glow","Adi Oasis,KIRBY",2023-03-03,219146,46,,2023-03-28T15:59:00Z,"retro soul,neo soul,alternative r&b","Unity Records",0.491,0.725,6,-4.915,0,0.11,0.0491,0.0000191,0.176,0.761,168.144,4
7DFA3k0QQtvAkItuNAwKh4,"Last One Standing","It's Only Us","Monophonics,Kelly Finnigan",2020-03-13,436840,48,,2021-10-19T21:36:21Z,"retro soul,neo soul","Colemine Records",0.588,0.576,6,-6.945,0,0.0367,0.218,0.0357,0.172,0.66,129.155,4
0OwvrdjaJOypNsNQHyBWE5,"California Soul","The Spice Of Life","Marlena Shaw",1969-01-01,177226,63,,2021-10-19T21:36:21Z,"northern soul,soul","GRP",0.513,0.826,8,-8.407,0,0.0574,0.555,0.0000348,0.366,0.539,94.582,4
6LzjgzpVl0hB3YrBU1b8Z1,"The Boss","Black Caesar","James Brown,The J.B.'s",1973-01-01,194866,63,,2021-10-19T21:36:21Z,"soul,motown,funk","Polydor",0.736,0.354,1,-14.709,1,0.0475,0.579,0.0103,0.0757,0.62,97.924,4
7ohR0qPH6f2Vuj2pUNanJG,"Got To Give It Up - Pt. 1","Every Great Motown Hit Of Marvin Gaye","Marvin Gaye",1983-08-22,255133,67,,2021-10-19T21:36:21Z,"motown,soul,northern soul,quiet storm","UNI/MOTOWN",0.854,0.847,2,-9.019,1,0.042,0.232,0.000569,0.345,0.89,122.644,4
0KNKtfE0jOcGBeu7Y5pL7h,"Just Like You Used To","Come Around and Love Me","Jalen Ngonda",2023-09-08,189706,64,,2022-10-07T04:00:00Z,"retro soul","Daptone Records",0.549,0.573,4,-6.491,1,0.0302,0.615,0.000504,0.122,0.547,87.43,4
6A4M7vPiuL9Kqz5WXCidAo,"Bra","Cymande","Cymande",1972-01-01,306360,46,,2021-10-19T21:36:21Z,"afrobeat","Partisan Records",0.676,0.769,7,-10.142,1,0.0535,0.00545,0.0256,0.131,0.891,117.732,4
6HwVmEL610Sd9QtZ96Ysmr,"Come On In","Piece of Me","Lady Wray",2022-01-28,218408,50,,2021-10-19T21:36:21Z,"retro soul","Big Crown Records",0.61,0.564,5,-6.086,0,0.0258,0.147,0.00109,0.155,0.551,80.734,4
2NVpYQqdraEcQwqT7GhUkh,"Ain't Nobody","Epiphany: The Best of Chaka Khan, Vol. 1","Chaka Khan",1996-11-08,280853,66,,2021-10-19T21:36:21Z,"","Reprise",0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,4
4NTSDu34al733aIuUWVJHo,"Boogie Nights","Too Hot to Handle (Expanded Edition)","Heatwave",1977-06-27,303640,58,,2021-10-19T21:36:21Z,"disco","Sony Music CG",0.629,0.615,11,-10.972,0,0.0433,0.169,0.0000723,0.132,0.673,118.805,4
6KNV6L3b7beomEUnzWgw0X,"Ride or Die","Private Space","Durand Jones & The Indications,Aaron Frazer",2021-07-30,254722,51,,2021-10-19T21:36:21Z,"retro soul","Dead Oceans",0.607,0.629,2,-10.509,1,0.0406,0.375,0.0806,0.0844,0.688,101.974,4
0G3fbPbE1vGeABDEZF0jeG,"Good Times","Risqué","CHIC",1979-07-30,495400,66,,2021-10-19T21:36:21Z,"disco","Atlantic Records",0.87,0.657,2,-7.32,1,0.0522,0.149,0.0102,0.053,0.893,110.596,4
65GbQI9VDTs7vo6MJL2iJA,"Coming Home","Coming Home (Deluxe)","Leon Bridges",2015-06-23,206386,75,,2021-10-19T21:36:21Z,"retro soul","Columbia",0.424,0.465,6,-6.595,1,0.0297,0.461,0.0000552,0.154,0.462,112.418,3
4RUeuE2A9D9AOW4sNJ5av4,"You Are My Heart","Nigeria 70 - Lagos Jump","Rex Williams",2008-05-12,193000,40,,2021-10-19T21:36:21Z,"afrobeat","Strut",0.675,0.681,7,-7.458,1,0.0364,0.481,0.0232,0.225,0.604,97.442,4
44kT6XsCkSGb9wNQ5qGXvg,"Comencemos (Let's Start)","Tropicoso","Jungle Fire",2014-09-30,152600,36,,2021-10-19T21:36:21Z,"latin afrobeat,afrobeat","Nacional Records",0.666,0.903,0,-6.462,1,0.0456,0.23,0.616,0.151,0.913,111.84,4
1l1YTy9nJ0trwhsCGcimly,"It's A Shame","2nd Time Around (Expanded Edition)","The Spinners",1970,190058,66,,2021-10-19T21:36:21Z,"philly soul,motown,soul,northern soul","UNI/MOTOWN",0.372,0.642,11,-11.955,1,0.0594,0.0947,0,0.117,0.705,198.731,4
6MQlNH8e6jG0LZg2mocK1R,"The World (Is Going Up in Flames)","No Time For Dreaming","Charles Bradley,Menahan Street Band",2011-01-25,202492,66,,2021-10-19T21:36:21Z,"retro soul,soul,soul blues","Daptone Records",0.715,0.6,5,-7.728,0,0.0264,0.0714,0.00165,0.0876,0.77,86.998,4
1Wb09hTo6O41UzdOq7Pd2i,"Hard Up","Hard Up (Deluxe Version)","The Bamboos",2021-12-02,255227,44,,2021-10-19T21:36:21Z,"jazz blues,retro soul,jazz funk,acid jazz","BMG Rights Management (Australia) Pty Ltd.",0.782,0.922,11,-4.028,0,0.0497,0.00655,0.0118,0.0728,0.761,104.015,4
7zrPswSV1yxrill5OyCuaU,"Pusherman","Superfly: Deluxe 25th Anniversary Edition","Curtis Mayfield",1972-07-01,300693,59,,2021-10-19T21:36:21Z,"soul,motown","Rhino",0.851,0.669,10,-9.562,1,0.0379,0.239,0.0852,0.108,0.911,126.624,4
6iNHWlOLt4NuDi9iSvtznO,"Ladies","My World","Lee Fields & The Expressions,Lee Fields",2009-06-02,257386,48,,2021-10-19T21:36:21Z,"retro soul,soul","Truth & Soul Records",0.48,0.751,1,-5.702,0,0.0383,0.188,0.0000169,0.163,0.789,177.371,4
00kvKlIvfzQLSi6T2zwXuS,"Strawberry Letter 23","Right On Time","The Brothers Johnson",1977-01-01,299066,61,,2021-10-19T21:36:21Z,"disco","A&M",0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973,4
66ytWEGo1GFennEcymEXN3,"Funky Music (Is A Part Of Me)","Luther","Luther Vandross,Luther",2024-04-19,329346,28,,2024-02-23T05:01:00Z,"quiet storm,soul","Legacy Recordings",0.52,0.745,4,-7.359,0,0.0669,0.0669,0.0000075,0.101,0.684,112.119,4
7b8s4Z0abQQ4x4jpct4GjR,"Cissy Strut","Funkify Your Life: The Meters Anthology","The Meters",1995,185226,47,,2021-10-19T21:36:21Z,"funk,soul,jazz funk","Rhino",0.521,0.799,0,-11.993,1,0.097,0.106,0.732,0.332,0.709,175.921,4
0jecTSpHjOy5CyqEdfod5c,"Don't You Know","American Love Call","Durand Jones & The Indications,Durand Jones,Aaron Frazer",2019-03-01,200686,49,,2021-10-19T21:36:21Z,"retro soul","Dead Oceans",0.676,0.657,4,-4.185,0,0.0333,0.64,0.0000495,0.107,0.727,96.034,4
0bRXwKfigvpKZUurwqAlEh,"Lovely Day","Menagerie","Bill Withers",1977-10-29,254560,81,,2021-10-19T21:36:21Z,"soul,motown","Columbia/Legacy",0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4
2vLaES21zwbX1Rnmj56Bbb,"I'll Be Around","Spinners","The Spinners",1973,188800,65,,2021-10-19T21:36:21Z,"philly soul,motown,soul,northern soul","Rhino Atlantic",0.593,0.791,8,-8.698,0,0.068,0.175,0,0.0976,0.63,112.295,4
39FFlqltctkj6vkIcVgkec,"You And Me","Penny & the Quarters EP","Penny & The Quarters",2011-03-04,160813,57,,2021-10-19T21:36:21Z,"","Numero Group",0.578,0.178,5,-7.812,1,0.033,0.946,0.00000865,0.121,0.256,111.555,4
4mumFsUDQXpQts1Y7Zjw5H,"The Love I Lost (feat. Teddy Pendergrass)","Black & Blue (Expanded Edition) (feat. Teddy Pendergrass)","Harold Melvin & The Blue Notes,Teddy Pendergrass",1973-02-01,384613,55,,2021-10-19T21:36:21Z,"philly soul,motown,soul,quiet storm,smooth soul","Epic/Legacy",0.665,0.859,2,-4.532,1,0.0671,0.119,0,0.0769,0.639,123.387,4
2BydLQAh7CUIFvSEqAMc4x,"If You Want Me to Stay","Fresh","Sly & The Family Stone",1973-06-30,180493,63,,2021-10-19T21:36:21Z,"funk,motown,funk rock,soul","Epic/Legacy",0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,4
5lc9L9FeLBwlJPgEbq9uEw,"Can You Get To That","Maggot Brain","Funkadelic",1971-07-12,169856,58,,2021-10-19T21:36:21Z,"funk rock,funk","Westbound Records",0.681,0.897,8,-5.44,1,0.0874,0.672,0,0.1,0.852,140.803,4
0lEWIegMNMQ7W1ooB1zWT2,"Sure Don't Miss You","The Dip Delivers","The Dip",2019-02-08,174520,62,,2021-10-19T21:36:21Z,"retro soul","The Dip",0.667,0.586,4,-7.985,0,0.0283,0.334,0.00000296,0.16,0.727,102.988,4
302hBUpoWoYQyBgujHfuTy,"Save Me","Hello, I'm Britti.","Britti",2024-02-02,201120,30,,2024-02-29T20:11:01Z,"retro soul,indie jazz","Easy Eye Sound",0.608,0.728,9,-6.5,0,0.0291,0.0314,0,0.143,0.588,91.197,4
