Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0eBAg5wJBu2Acv6o72iY4c,"Back On 74 - Full Crate Remix","Back on 74 (Full Crate Remix)","Jungle,Full Crate",2024-02-23,174233,63,,2025-03-14T04:00:06Z,"","Caiola Records",0.662,0.582,3,-7.365,0,0.123,0.471,0.293,0.0974,0.347,146.094,4
3pfVXNWMeGmD7tQRXirbB0,"Pressure Points (feat. Lila Iké) - Live Acoustic","Pressure Points (feat. Lila Iké) [Live Acoustic]","Mahalia,Lila Iké",2025-02-19,198934,39,,2025-03-14T04:00:06Z,"alternative r&b,reggae,lovers rock,dancehall","Atlantic Records UK",0.686,0.453,1,-4.131,0,0.0642,0.81,0,0.0922,0.927,129.127,4
41c8iFH2Q8n87lkrlaRZ1X,"Pon Pón","A LA SALA","Khruangbin",2024-04-05,178436,62,,2025-03-14T04:00:06Z,"","Dead Oceans",0.613,0.554,9,-13.774,0,0.0486,0.213,0.875,0.117,0.488,112.658,4
4jLsSrvC5c9pbyk7vUz56c,"Better (unplugged)","Better","Kelela",2025-01-28,399264,46,,2025-03-14T04:00:06Z,"alternative r&b","Warp Records",0.341,0.225,10,-17.03,0,0.0429,0.79,0.00143,0.633,0.36,95.178,4
552PNf9jYe7EoUq6Yia4iH,"Saint (feat. Elijah Fox)","Saint","Joseph Lawrence,Elijah Fox",2024-05-10,223885,16,,2025-03-14T04:00:06Z,"retro soul","Those Who Dream",0.473,0.258,9,-10.246,0,0.0631,0.945,0,0.166,0.36,109.291,5
7gHhebSuMPZrHaFU830ly5,"Nothing Sweeter","Nothing Sweeter","Naomi Sharon",2024-01-18,265386,47,,2025-03-14T04:00:06Z,"afro house","OVO Sound",0.584,0.201,7,-9.416,0,0.0304,0.902,0,0.106,0.405,88.008,4
6xIMr6tWnD0B68hLDZ8wA4,"Le Départ - Feat. Durand Bernarr","Lotus Glow (Deluxe)","Adi Oasis,Durand Bernarr",2024-05-10,189813,41,,2025-03-14T04:00:06Z,"retro soul,neo soul","Unity Records",0.606,0.552,3,-5.564,0,0.048,0.665,0.000143,0.0994,0.637,74.037,4
5xB6db6Pcso3MzWv7p1g0L,"Lovely","Lovely","Kubla,Jack Page",2025-03-14,219761,30,,2025-03-14T04:00:06Z,"retro soul","Independent",0.643,0.374,4,-9.685,1,0.0325,0.713,0.000137,0.124,0.32,80.958,4
0T3aN5baN9c90j11pzoDPW,"something will happen","something will happen","berlioz",2024-05-10,179864,50,,2025-03-14T04:00:06Z,"jazz","berlioz",0.407,0.424,0,-14.546,1,0.0709,0.721,0.899,0.122,0.154,67.035,5
48EjSdYh8wz2gBxxqzrsLe,"Cranes in the Sky","A Seat at the Table","Solange",2016-09-30,250973,63,,2025-03-14T04:00:06Z,"alternative r&b,neo soul","Saint Records/Columbia",0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,4
0P11qKeHWhUy0rDPeY8dyB,"Out Loud (feat. Kehlani)","Broken Hearts Club","Syd,Kehlani",2022-04-08,203036,47,,2025-03-14T04:00:06Z,"alternative r&b","Columbia",0.565,0.364,6,-9.512,1,0.2,0.328,0,0.108,0.527,155.705,3
7LZ3gGKfJIjf1jNWkzU637,"all over u","don't text me back","Rowena Fysx",2024-09-25,201000,47,,2025-03-14T04:00:06Z,"alternative r&b","Rowena Fysx",0.442,0.183,11,-11.593,1,0.0334,0.92,0.0418,0.113,0.094,79.65,3
0juMDnoo3u3uDJ32wjK2BF,"Hold Me Up (Thank You)","A LA SALA","Khruangbin",2024-04-05,229437,60,,2025-03-14T04:00:06Z,"","Dead Oceans",0.638,0.569,2,-11.601,1,0.0365,0.0952,0.805,0.125,0.671,105.079,4
