Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2MT7lIjzM7HL5rUZ9UvcSS,"Tudiskava","Tudiskava","Clockvice,Pensive,Vorso",2016-11-14,245333,6,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"drumstep,dubstep,bass music,glitch,drum and bass","Upscale",0.591,0.782,6,-5.77,0,0.543,0.026,0.0296,0.342,0.496,180.053,4
0tJ7ntTHSd2YGLRFzxw2UR,"Exile","Exile","ATLiens",2018-07-10,171428,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"riddim,dubstep,deathstep,bass music,edm","Space Cult",0.648,0.782,8,-4.333,1,0.301,0.0246,0.468,0.0565,0.494,139.984,4
4wuCg442wmR7o7hi6Beo4U,"Stunt","Stunt","sumthin sumthin,Lemay",2017-05-11,235333,14,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"future bass,bass music,edm trap","DIEHIGH",0.703,0.872,10,-6.435,0,0.15,0.00668,0.165,0.118,0.385,90.041,4
7dB1GkN5UT9nwCAuA9OD7O,"Comic Boy","Comic Boy","Buku",2017-05-12,233600,6,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep,edm trap","Buku",0.582,0.842,1,-5.823,1,0.123,0.00223,0.827,0.117,0.224,75.127,4
7JrIO9ThpFMvA7iXcb9i7M,"Yeahboi!","Yeahboi!","Buku",2018-06-22,240000,12,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep,edm trap","Buku",0.62,0.807,1,-7.149,1,0.0547,0.0031,0.278,0.143,0.518,170.067,4
2VIvHyBZd3Koru0T9cUBhV,"Life & Death","Certain Kind of Magic","Rezz,Deathpact",2018-08-03,189142,40,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"edm,dubstep,bass music","mau5trap Venture Limited",0.753,0.527,10,-5.411,0,0.219,0.0403,0.0145,0.102,0.301,104.998,4
2J5lHLXZFqUEcow1buleO8,"Deal With It - KOAN Sound Remix","Kill Kill Kill EP","Kill The Noise,KOAN Sound",2011-11-22,267586,14,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep,melodic bass,edm,glitch,drumstep,chillstep,bass music","OWSLA",0.624,0.888,11,-3.622,1,0.0845,0.0185,0.0811,0.116,0.316,174.056,4
7FDld9rn03vgATfVbhjv9V,"Strike","Forgotten Myths","KOAN Sound",2015-05-04,324467,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"glitch,dubstep,drumstep,chillstep,bass music","Shoshin",0.692,0.801,7,-6.016,1,0.113,0.00486,0.806,0.116,0.447,171.981,4
7FU2aiINJANgI3lpNr6CYK,"Eastern Thug - Neosignal Remix","The Adventures of Mr. Fox","KOAN Sound",2012,292363,10,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"glitch,dubstep,drumstep,chillstep,bass music","OWSLA",0.699,0.857,1,-4.671,1,0.0426,0.000957,0.84,0.0724,0.35,110.045,4
383poPDRUC2oex56WwfAoT,"Eastern Thug","The Adventures of Mr. Fox","KOAN Sound",2012,323986,14,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"glitch,dubstep,drumstep,chillstep,bass music","OWSLA",0.736,0.641,1,-6.108,1,0.183,0.0393,0.872,0.107,0.439,101.041,4
12UEoBxpppT1ARULJvrnW4,"Dynasty","Dynasty EP","KOAN Sound",2015-03-04,260022,17,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"glitch,dubstep,drumstep,chillstep,bass music","OWSLA",0.625,0.636,6,-9.017,0,0.36,0.0722,0.675,0.0918,0.314,199.941,4
0disPodMuk1QKWXC7iZsL7,"The Edge","Funk Blaster EP","KOAN Sound",2011,237892,13,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"glitch,dubstep,drumstep,chillstep,bass music","OWSLA",0.855,0.783,7,-5.59,1,0.238,0.00412,0.422,0.157,0.813,139.97,4
438G7RYrJERRx5uXWSDu1m,"Witchdoctor","Mosaik","Camo & Krooked",2017-06-23,270871,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"drum and bass,liquid funk,drumstep,dubstep","RAM Records",0.649,0.632,8,-2.557,1,0.0625,0.0108,0.906,0.0772,0.312,175.047,4
7CWuV0Yqv9SybcfYRfczzB,"Ember - Noisia Remix","Mosaik (REMIXED)","Camo & Krooked,Noisia",2018-03-23,308181,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"drum and bass,liquid funk,drumstep,dubstep,breakbeat,bass music,jungle","RAM Records",0.543,0.942,5,-0.947,0,0.0713,0.0113,0.906,0.1,0.0393,174.84,4
4DeyMRhqH6ypwi2Ak2ZRuy,"Longstone Park","It's Provocative","AENAK",2018-11-19,245106,1,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"drumstep,bass music,glitch","aenak music",0.723,0.761,2,-8.429,1,0.11,0.049,0.656,0.111,0.246,141.023,4
1ltehpXIrDY99obn04IxFz,"Split","Split","STUCA",2018-06-27,187163,31,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep,deathstep,riddim,bass music","Jadu Dala",0.617,0.825,1,-5.71,1,0.655,0.0353,0.0273,0.0945,0.345,153.914,4
3BcEpBfEx2mOyCSJWIHSvu,"Spoiler - Original Mix","Lies","Hyper",2014-01-03,272000,53,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"synthwave","Ayra Recordings",0.424,0.797,5,-2.321,1,0.0577,0.000969,0.841,0.234,0.223,179.893,4
46DRBgPZrFJKDHHQYIY6OG,"Alchemy","Alchemy","ATLiens",2017-05-03,150000,43,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"riddim,dubstep,deathstep,bass music,edm","Independent",0.738,0.867,8,-5.249,0,0.227,0.0109,0.0825,0.213,0.366,160.066,5
5NwCCfsNP419117ytaxK2P,"Do It feat. Black Prez","Do It","Apashe,Black Prez",2018-09-21,219200,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"","Kannibalen Records",0.702,0.807,11,-2.688,1,0.206,0.00988,0.00971,0.111,0.363,75.063,4
5IUUmOgT7FkzCBS375I0wU,"Gaucho","Unity Project, Pt. 2","Culprate,Joe Ford",2017-09-22,279272,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"drumstep,glitch,idm,dubstep,drum and bass,bass music","Open Outlets",0.687,0.84,1,-0.726,1,0.0793,0.0026,0.259,0.153,0.439,171.996,4
5nlYEWinCJZiOcH5lkPZNz,"Damnation","Damnation","SNEEK",2018-10-02,175304,2,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep","SNEEK",0.806,0.953,4,-3.63,0,0.0586,0.126,0.873,0.111,0.0251,115.028,4
6hLxgEL3b6ROSWRxUrx47F,"Bloom","Bloom","sumthin sumthin",2017-02-13,204931,8,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"future bass,bass music","Rauthentic",0.628,0.9,5,-4.353,0,0.427,0.211,0.0118,0.114,0.223,145.08,4
5u1mRqeDEiNkLee97q458S,"Cyberspace","Cyberspace","1788-L",2018-06-15,290642,19,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep","D Y S T O P I A",0.575,0.701,0,-4.145,1,0.0932,0.0099,0.185,0.156,0.0379,109.005,4
39Nx2DzenT2Jol1p34XemH,"Nyctophilia","Lethal","AGLORY",2015-09-08,297142,29,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"moombahton","Azureon Select",0.738,0.75,1,-3.59,0,0.0495,0.0014,0.878,0.339,0.0499,104.974,4
3v7baDgB3T1GEPKy1fIS6X,"Religion - Muzzy Remix","Religion Remixes","Black Tiger Sex Machine,MUZZ,Lektrique",2015-12-21,209153,12,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep,riddim,deathstep,edm,drum and bass,drumstep,bass house,electro house","Kannibalen Records",0.49,0.991,2,-2.033,1,0.195,0.00195,0.783,0.208,0.1,174.977,4
1WSCpzGcW3D85bEumyn9uP,"Armada","Welcome To Our Church","Black Tiger Sex Machine,Lektrique",2016-01-29,221618,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep,riddim,deathstep,edm,bass house,electro house","Kannibalen Records",0.689,0.867,11,-3.09,1,0.211,0.00243,0.0999,0.0841,0.0749,75.151,4
1yshznei7Bm0DcHiCA9OUr,"Lions","Lions","Black Tiger Sex Machine,YOOKiE",2017-09-27,252800,13,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"dubstep,riddim,deathstep,edm,bass music","Kannibalen Records",0.56,0.95,7,-4.351,0,0.0952,0.0148,0.598,0.341,0.149,74.994,4
55dItECwTnjsF3K2GmYWMa,"The Machine","Singularity","BlackGummy",2016-02-26,180000,27,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"","mau5trap",0.818,0.435,7,-8.22,1,0.214,0.0463,0.129,0.101,0.566,128.086,4
3Ui9jL2IyUyu2EzffYmqPp,"Dem Fraid","Cartel","Boombox Cartel,Taranchyla",2017-04-21,210461,33,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"future bass,edm trap,edm,dubstep,gqom,dancehall,riddim","Mad Decent",0.773,0.969,2,-3.161,1,0.0692,0.00457,0.00813,0.0929,0.432,130.02,4
7ad4Tg4kni86My0RxP98U7,"Follow","Collisions","Bro Safari",2017-06-09,216947,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"moombahton,edm trap,dubstep","Bro Safari Music / mTheory",0.524,0.823,11,-3.882,0,0.0765,0.0582,0.211,0.0939,0.213,173.959,4
2jA0QjuuPq1JBDZGjkxto1,"Embargo","Infinity / Embargo","DC Breaks,Prolix",2016-12-09,296131,12,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"drum and bass,liquid funk,drumstep,jungle","RAM Records",0.483,0.987,1,-0.842,1,0.0795,0.00188,0.82,0.294,0.467,174.083,4
2aqPw7nvsC6b7JgXkUxvcf,"Immunity","Immunity","Drezo",2014-08-20,251250,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:24:31Z,"bass house,g-house,electro house","Drezo",0.616,0.98,5,-6.245,1,0.131,0.000245,0.911,0.59,0.0389,128.018,4
