Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Qrg8KqiBpW07V7PNxwwwL,"Kill Bill","SOS","SZA",2022-12-08,153946,85,grandinfish,2024-06-12T00:34:57Z,"r&b","Top Dawg Entertainment/RCA Records",0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
5CCr8msaN3MhgqBoa9yWhH,"Boy's a liar Pt. 2","Heaven knows","PinkPantheress,Ice Spice",2023-11-10,131013,70,grandinfish,2024-06-12T00:35:04Z,"bedroom pop","Warner Records",0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
4SG3t0x3Qk5YXEqAJ89xqT,"Drip Sweat (feat. Channel Tres)","Drip Sweat (feat. Channel Tres)","KAYTRANADA,Channel Tres",2024-06-04,147707,17,grandinfish,2024-06-12T00:35:19Z,"hip house","KAYTRANADA/RCA Records",0.786,0.838,1,-9.549,1,0.159,0.00145,0.00387,0.0608,0.364,117.014,4
561pBFcFL2Pwb9HPO9tU8J,"places to be","places to be","Fred again..,Anderson .Paak,CHIKA",2024-05-31,226677,68,grandinfish,2024-06-12T00:35:56Z,"stutter house,house,alternative r&b","Atlantic Records UK",0.548,0.878,10,-5.154,1,0.0598,0.0253,0.000934,0.0909,0.826,174.043,4
0rolt9kLR9GFlElTSSds2z,"Witchy (feat. Childish Gambino)","TIMELESS","KAYTRANADA,Childish Gambino",2024-06-07,227000,48,grandinfish,2024-06-12T00:36:36Z,"","KAYTRANADA/RCA Records",0.592,0.619,5,-8.183,1,0.137,0.00125,0.000918,0.119,0.319,109.924,4
4kXxEhuatrvwrTQycA7s9B,"BIZCOCHITO","MOTOMAMI","ROSALÍA",2022-03-18,109120,63,grandinfish,2024-06-12T00:36:54Z,"latin","Columbia",0.93,0.774,1,-4.203,1,0.0744,0.605,0.0238,0.12,0.781,116.972,4
57wp7VFnV8X0pSVnYArGeJ,"Whatever She Wants","Whatever She Wants","Bryson Tiller",2024-02-13,161342,77,grandinfish,2024-06-12T00:37:41Z,"r&b","TrapSoul/RCA Records",0.803,0.512,9,-6.871,0,0.066,0.128,0,0.0928,0.435,96.02,4
19Bk7ulfjk4Vg4PMS38UGc,"IDGAF (feat. Chris Brown and Mariah the Scientist)","IDGAF (feat. Chris Brown and Mariah the Scientist)","Tee Grizzley,Chris Brown,Mariah the Scientist",2023-09-08,195000,56,grandinfish,2024-06-12T00:37:58Z,"r&b,alternative r&b","300 Entertainment",0.688,0.733,10,-4.573,0,0.0504,0.0166,0,0.129,0.287,127.951,4
1zgHn1EqUyA0HqNYMdJ5ia,"Best Time","Larger Than Life","Brent Faiyaz",2023-10-27,82508,78,grandinfish,2024-06-12T00:38:05Z,"r&b","ISO Supremacy under exclusive license to UnitedMasters LLC",0.81,0.307,9,-7.215,1,0.12,0.16,0.00298,0.0779,0.697,92.995,4
3fhvnn5xALwA2htzljsU1v,"Red Ruby Da Sleeze","Pink Friday 2","Nicki Minaj",2023-12-08,214445,58,grandinfish,2024-06-12T00:38:20Z,"","Republic Records",0.622,0.738,1,-6.235,1,0.261,0.108,0,0.11,0.313,100.655,4
1peSFUNahpj7paMnJGg9aX,"Wanna Come Thru","Wanna Come Thru","Coi Leray,Mike WiLL Made-It",2024-01-25,131900,37,grandinfish,2024-06-12T00:38:29Z,"","Coi Leray PS/ Island",0.904,0.632,6,-3.731,0,0.073,0.1,0.00000627,0.13,0.201,121.012,4
1cFKKdG6gmpptMBFxasJOE,"WY@","WY@","Brent Faiyaz",2023-09-19,208038,59,grandinfish,2024-06-12T00:38:39Z,"r&b","ISO Supremacy under exclusive license to UnitedMasters LLC",0.826,0.316,8,-8.186,1,0.158,0.429,0.000116,0.121,0.287,119.983,4
1iBWjQ9af9NnUd5xnQDB3k,"Charm","Rave & Roses Ultra","Rema",2023-04-27,204750,67,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:51:56Z,"afrobeats,afrobeat,afropop,afropiano","Mavin Records / Jonzing World",0.762,0.663,4,-6.958,0,0.037,0.569,0,0.0959,0.542,96.046,4
1DA2ADZs6O28y2rmdmpekw,"2 Sugar (feat. Ayra Starr)","More Love, Less Ego","Wizkid,Ayra Starr",2022-11-11,187906,59,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:52:04Z,"afrobeats,afrobeat,afropop,azonto,afroswing,afropiano,dancehall,afro soul","Starboy/RCA Records",0.915,0.651,6,-3.929,0,0.149,0.0583,0,0.0622,0.772,105.03,4
1r16zpUZ2nH44uOXlBGrbm,"The Weekend","The Weekend","Stormzy,RAYE",2023-07-19,206035,61,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:52:14Z,"grime,uk drill","0207 Def Jam",0.815,0.735,8,-3.906,0,0.168,0.22,0.00000272,0.0875,0.759,94.498,4
1B5I5yqLpVI5EosZS6bJFs,"Call Me Every Day (feat. Wizkid)","Breezy","Chris Brown,Wizkid",2022-06-23,146840,65,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:52:24Z,"r&b,afrobeats,afrobeat,afropop,azonto,afroswing,afropiano,dancehall","Chris Brown Entertainment/RCA Records",0.73,0.634,4,-7.191,0,0.181,0.107,0.0000144,0.0976,0.798,171.874,4
4M6yrN4rJUrwNgHzGKfrN1,"Masculine (feat. Burna Boy)","Beautiful And Brutal Yard","J Hus,Burna Boy",2023-07-14,204880,54,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:52:53Z,"grime,afroswing,afrobeats,afrobeat,afropop,dancehall,afropiano","Black Butter",0.675,0.66,7,-5.977,1,0.291,0.179,0.0000201,0.127,0.713,66.98,5
4jTs7ny5eSRnKTzxdrFv5I,"Smoking on my Ex Pack","SOS","SZA",2022-12-09,83826,61,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:53:14Z,"r&b","Top Dawg Entertainment/RCA Records",0.466,0.676,8,-8.097,1,0.38,0.241,0.00318,0.224,0.333,81.227,4
47hsUYxvbTlBAN3sP9dEOd,"Love Me JeJe","Love Me JeJe","Tems",2024-04-25,178041,67,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:54:06Z,"afrobeats,alté,afrobeat","RCA Records/Since 93'",0.838,0.537,11,-10.28,1,0.119,0.156,0.446,0.107,0.56,103.95,4
6tHt7Ln9RV8FTlT4kTxr2b,"Not Nice","PARTYNEXTDOOR 3 (P3)","PARTYNEXTDOOR",2016-08-12,202661,61,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:55:16Z,"r&b","OVO Sound",0.554,0.497,0,-9.309,1,0.0868,0.0253,0.00123,0.12,0.721,96.556,3
1TwVcKR6JojvPwBGbWZT36,"Dance Tonight","Lucy Pearl","Lucy Pearl",2000-05-23,221280,62,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:55:29Z,"neo soul","UNIDISC MUSIC INC.",0.787,0.425,10,-5.692,0,0.0641,0.00637,0.00169,0.196,0.711,99.225,4
73pICiosjURf6HJ6XEoexu,"Spit It Out (feat. Rochelle Jordan)","TIMELESS","KAYTRANADA,Rochelle Jordan",2024-06-07,218800,36,li0o10jtbx58p6gs9nre10zw1,2024-06-12T18:55:57Z,"alternative r&b","KAYTRANADA/RCA Records",0.563,0.658,0,-10.216,0,0.264,0.045,0,0.122,0.243,103.019,4
