Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4rS4K30qVDExdjeU4feF4c,"Keep the Fire Burning","On My Way","Gwen McCrae",1982,344546,55,,2024-07-12T16:10:47Z,"post-disco,disco","Rhino Atlantic",0.892,0.433,0,-13.806,0,0.0699,0.0277,0.000892,0.0308,0.924,128.029,4
2Rr4ZOnKXUrzjhMPkmkRjK,"Soup for One","Dance, Dance, Dance: The Best of Chic","CHIC",1991,335066,51,,2024-07-12T16:10:47Z,"disco","Atlantic Records",0.824,0.509,0,-11.235,1,0.0352,0.212,0.798,0.11,0.797,114.818,4
6bJGULOowvaqs5t1VSuDCw,"Fate - WSM Compilation Edit","What Cha' Gonna Do for Me","Chaka Khan",1981,194493,49,,2024-07-12T16:10:47Z,"","Rhino/Warner Records",0.671,0.69,8,-9.089,0,0.0335,0.175,0.00217,0.187,0.875,116.133,4
6OKDxL7flqg9Rv7CbHaxmz,"Brothers On The Slide","Promised Heights","Cymande",1974-01-01,251400,55,,2024-07-12T16:10:47Z,"afrobeat","Partisan Records",0.815,0.602,7,-10.192,0,0.196,0.3,0.00548,0.0737,0.805,109.704,4
2ffGZTdlRN0lNxA4LOYyTs,"How Long Do I Have to Wait for You?","Naturally","Sharon Jones & The Dap-Kings",2005-01-25,243760,68,,2024-07-12T16:10:47Z,"retro soul,soul,funk","Daptone Records",0.673,0.909,10,-3.369,0,0.0464,0.471,0.013,0.105,0.969,103.941,4
3MtP9T0WF4xbIo8vqHYeXM,"Spooky","Dusty... Definitely (Expanded Edtion)","Dusty Springfield",1968-11-22,164173,71,,2024-07-12T16:10:47Z,"","UMC (Universal Music Catalogue)",0.752,0.445,4,-12.725,0,0.0338,0.5,0,0.0912,0.964,106.283,4
0M4ja2F2kPwD6kZFw0humO,"I Believe In Miracles - Extended Version","Jackson Sisters (Expanded Edition)","Jackson Sisters",1976,291026,40,,2024-07-12T16:10:47Z,"","Polydor",0.671,0.819,5,-11.681,1,0.0489,0.067,0,0.625,0.849,107.768,4
2c4zwlPMc5dHS3Kg6oeUjk,"Take Yo' Praise","The Iron Pot Cooker","Camille Yarbrough",1975-01-01,253574,58,,2024-07-12T16:10:47Z,"","Craft Recordings",0.797,0.529,1,-14.489,1,0.187,0.724,0.00601,0.136,0.527,101.424,4
0OwvrdjaJOypNsNQHyBWE5,"California Soul","The Spice Of Life","Marlena Shaw",1969-01-01,177226,63,,2024-07-12T16:10:47Z,"northern soul,soul","GRP",0.513,0.826,8,-8.407,0,0.0574,0.555,0.0000348,0.366,0.539,94.582,4
6Xj6WksWmPX147s4FwNOXq,"I Want Your Love - 2018 Remaster","The Chic Organization 1977-1979 (2018 Remaster)","CHIC",2018-11-23,413586,46,,2024-07-12T16:10:47Z,"disco","Rhino Atlantic",0.699,0.604,9,-13.404,0,0.0359,0.0185,0.073,0.0868,0.96,114.226,4
