Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
520fkoz7YAPnqZNvZ21UfP,"I Don't Believe You Want To Get Up And Dance (Oops Up Side Your Head)","The Gap Band II","The Gap Band",1979-01-01,522666,39,,2020-05-08T09:11:07Z,"quiet storm,funk","Island Mercury",0.707,0.589,4,-12.636,0,0.0879,0.271,0.0000279,0.386,0.776,103.548,4
2dCmGcEOQrMQhMMS8Vj7Ca,"Super Freak","Street Songs (Deluxe Edition)","Rick James",1981-04-07,205466,71,,2020-05-08T09:11:07Z,"funk,motown,disco","Motown",0.838,0.794,9,-8.245,0,0.0531,0.22,0,0.0575,0.962,132.446,4
2je56j0xuoTi1gYkLLMlJU,"Get Down On It - Single Version","Collected","Kool & The Gang",2018-05-25,211680,68,,2020-05-08T09:11:07Z,"disco,funk","Mercury Records",0.877,0.56,7,-8.529,1,0.0621,0.156,0.000139,0.0535,0.969,110.86,4
34rWoWiycg2hPA9nqGt7Ig,"We Got To Change","James Brown: Say It Loud - A&E Documentary Playlist","James Brown",2024-02-20,226148,37,,2024-02-21T16:25:37Z,"soul,motown,funk","UME - Global Clearing House",0.749,0.631,0,-7.113,1,0.201,0.172,0.00000941,0.0544,0.816,104.687,4
3h5IJ0EzVpkiaoL174GC3M,"Let It Whip","20th Century Masters: The Millennium Collection: Best Of The Dazz Band","Dazz Band",2001-01-01,287000,52,,2020-04-15T02:39:51Z,"funk,post-disco","Motown",0.826,0.9,9,-4.383,0,0.0411,0.112,0.00136,0.0875,0.954,132.099,4
6lFQTBeL6VQcQ1ztAYPekp,"Fantastic Voyage","Fantastic Voyage (Deluxe Edition)","Lakeside",1980-01-01,370893,54,,2020-05-08T09:11:07Z,"post-disco","UNIDISC MUSIC INC.",0.816,0.602,7,-11.924,1,0.0755,0.134,0.0000423,0.152,0.963,114.768,4
7ohR0qPH6f2Vuj2pUNanJG,"Got To Give It Up - Pt. 1","Every Great Motown Hit Of Marvin Gaye","Marvin Gaye",1983-08-22,255133,66,,2020-05-08T09:11:07Z,"motown,soul,northern soul,quiet storm","UNI/MOTOWN",0.854,0.847,2,-9.019,1,0.042,0.232,0.000569,0.345,0.89,122.644,4
55xXj4qc4ByMxcVRb5Slc4,"Funkin' for Jamaica","Love Approach (Bonus Track)","Tom Browne",1980-02-01,282080,49,,2020-05-08T09:11:07Z,"jazz funk,post-disco","Arista/Legacy",0.822,0.854,8,-6.7,1,0.237,0.178,0.00574,0.0343,0.691,111.301,4
0ryUadrXsahO3mASlKUJlT,"Blame It on the Boogie","The Essential Michael Jackson","The Jacksons",2005-07-19,210533,48,,2020-05-08T09:11:07Z,"disco,motown,philly soul","Epic/Legacy",0.754,0.759,8,-6.781,1,0.091,0.0699,0,0.105,0.87,113.419,4
7rvGZDlfqCjY9EWEUg3Xs6,"Rock Steady","Young, Gifted and Black","Aretha Franklin",1972-01-24,193573,52,,2025-01-28T14:59:23Z,"soul,motown,jazz blues","Rhino Atlantic",0.749,0.752,7,-10.3,1,0.126,0.0108,0.0954,0.235,0.887,104.7,4
