Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5xHgo5JN0wfsV41HnRaos5,"The Giver","The Giver","Chappell Roan",2025-03-13,202768,83,,2025-03-18T04:00:30Z,"","Chappell Roan PS/ Island",0.558,0.901,4,-3.208,1,0.0583,0.0731,0,0.348,0.678,93.024,4
398rCeBrqZr360MpS6EXE9,"HOTBOX","HOTBOX","Lil Nas X",2025-03-14,182925,67,,2025-03-18T04:00:30Z,"","Columbia",0.8,0.622,11,-5.758,0,0.058,0.00464,0.00000131,0.0528,0.53,103.01,4
3BpU2XEMvN0XicImzJxLD7,"Scrambled Eggs","Full Moon","Moonchild Sanelly",2025-01-10,226440,35,,2025-03-18T04:00:30Z,"gqom","Transgressive Records",0.732,0.877,3,-3.708,0,0.0285,0.00273,0.00101,0.144,0.516,141.997,4
7jhYoHM7KXmVSVKTgSuuPH,"Felicity","Felicity","Miya Folick",2025-02-26,220000,39,,2025-03-18T04:00:30Z,"","Nettwerk Music Group",0.626,0.748,1,-6.463,0,0.0821,0.589,0.00569,0.0932,0.606,80.776,4
0VySCkMP67vSTy9IrzbvHE,"Chemistry","Chemistry","Gigi Perez",2025-02-28,284137,71,,2025-03-18T04:00:30Z,"","Gigi Perez PS/ Island",0.368,0.65,5,-7.557,0,0.0478,0.166,0,0.11,0.195,173.875,4
2CzPV6BQsDX3UXoi4w7hyj,"Pretty Words","Pretty Words","LUKAS OSCAR",2025-02-21,182400,39,,2025-03-18T04:00:30Z,"","LUKAS OSCAR",0.528,0.637,4,-8.727,0,0.0279,0.398,0.38,0.534,0.16,99.73,4
1jwXn7H1UDANmEvw6bfDr6,"wiggy","att.","Young Miko",2024-04-05,144516,56,,2025-03-18T04:00:30Z,"trap latino","Wave Music Group",0.853,0.791,4,-5.137,1,0.266,0.0442,0,0.0759,0.718,93.048,4
4ChomJf8z16E6Zw4EoioYY,"After Hours","CRASH","Kehlani",2024-06-20,202414,72,,2025-03-18T04:00:30Z,"","TSNMI / Atlantic",0.729,0.777,1,-3.991,1,0.0431,0.069,0.00162,0.112,0.744,121.016,4
5oOZGQnZZToIHI55lw2E97,"JOYRIDE","JOYRIDE","Kesha",2024-07-04,150000,73,,2025-03-18T04:00:30Z,"","Kesha Records",0.789,0.899,10,-4.652,0,0.0523,0.0179,0.000139,0.114,0.509,115.955,4
6lKSOnC9iLGDonypMgvGrm,"Too Much","Too Much","Dove Cameron",2025-02-21,171335,80,,2025-03-18T04:00:30Z,"","Disruptor Records/Columbia",0.722,0.819,1,-4.76,1,0.0489,0.0243,0.000135,0.0814,0.614,134.992,4
