Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0LN5gIsS5tQSmRzQrHSaTR,"Eminence Front","It's Hard","The Who",1982-09-04,339106,67,playstation_music,2021-11-03T22:51:01Z,"classic rock,rock","Geffen*",0.697,0.787,5,-9.695,0,0.0305,0.232,0.587,0.0404,0.572,98.066,4
0G21yYKMZoHa30cYVi1iA8,"Welcome To The Jungle","Appetite For Destruction","Guns N' Roses",1987-07-21,273480,82,playstation_music,2021-11-03T23:24:08Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.454,0.987,8,-4.485,1,0.0881,0.0195,0.279,0.268,0.316,123.61,4
4YtoipFgf4k0AfD17ZfD5X,"Nuthin' But A G Thang","The Chronic","Dr. Dre,Snoop Dogg",1992-12-15,238466,5,playstation_music,2024-08-20T17:15:30Z,"g-funk,gangster rap,west coast hip hop,hip hop,rap","Death Row Records",0.801,0.699,11,-8.18,0,0.279,0.00575,0,0.146,0.655,94.605,4
26WPI2aksB9XdqmeLfca5z,"Funky Kingston","Funky Kingston","Toots & The Maytals",1973-01-01,295666,55,playstation_music,2024-08-20T17:21:21Z,"reggae,rocksteady,ska,roots reggae,dub","Island Records",0.777,0.458,11,-12.358,1,0.0841,0.265,0.00295,0.0423,0.961,99.05,4
5D2lp16FQ0VIfLGRDn5jcG,"I Know You Got Soul","Paid In Full","Eric B. & Rakim",1987-07-07,284466,48,playstation_music,2021-11-03T22:43:40Z,"east coast hip hop,hip hop","Island Records",0.89,0.86,6,-8.755,0,0.231,0.0659,0.000175,0.319,0.763,104.054,4
7Bz8yww6UMbTgTVLG6zbI4,"Low Rider","Why Can't We Be Friends?","War",1975-01-01,190826,69,playstation_music,2024-08-20T17:14:06Z,"","Avenue Records",0.812,0.644,0,-10.761,1,0.0493,0.0877,0.785,0.0563,0.989,140.075,4
71A6V5dh5Y8ikhm6NGwZ7p,"Children's Story","The Great Adventures Of Slick Rick","Slick Rick",1988-11-03,242133,43,playstation_music,2021-11-03T22:43:13Z,"east coast hip hop","Def Jam Recordings",0.917,0.384,1,-14.559,1,0.129,0.11,0,0.152,0.752,102.644,4
3h5IJ0EzVpkiaoL174GC3M,"Let It Whip","20th Century Masters: The Millennium Collection: Best Of The Dazz Band","Dazz Band",2001-01-01,287000,52,playstation_music,2021-11-03T22:52:00Z,"funk,post-disco","Motown",0.826,0.9,9,-4.383,0,0.0411,0.112,0.00136,0.0875,0.954,132.099,4
1gzIbdFnGJ226LTl0Cn2SX,"White Wedding - Pt. 1","Billy Idol","Billy Idol",1982-01-01,252200,72,playstation_music,2021-11-03T22:51:50Z,"","CAPITOL CATALOG MKT (C92)",0.673,0.814,9,-5.411,1,0.0367,0.0134,0.00293,0.343,0.728,147.193,4
0rc9Uwm4vmnQEfx5omLWWF,"Fantastic Voyage","Fantastic Voyage","Lakeside",1980-01-01,370893,0,playstation_music,2024-08-20T17:14:45Z,"post-disco","UNIDISC MUSIC INC.",0.816,0.603,7,-11.924,1,0.0749,0.134,0.0000427,0.152,0.963,114.767,4
3B6WDceNe6lUQnczntRIuf,"The Ghetto","Short Dog's In The House","Too $hort",1990-09-11,302133,52,playstation_music,2024-08-20T17:17:20Z,"hyphy,west coast hip hop,g-funk,gangster rap","Jive",0.947,0.354,6,-12.844,0,0.27,0.0455,0.0000571,0.212,0.36,100.087,4
7dhM0KUBxuZV9z5iNodLyn,"Personal Jesus - 2006 Remaster","Violator (2006 Remaster)","Depeche Mode",1990-03-19,294773,1,playstation_music,2024-08-20T17:18:36Z,"new wave,synthpop,darkwave","Rhino/Warner Records",0.679,0.741,11,-7.596,1,0.0494,0.134,0.207,0.0985,0.363,130.033,4
04fX3oTJm5Zucg3Uf9aix0,"Fuck Wit Dre Day (And Everybody's Celebratin')","The Chronic","Dr. Dre",1992-12-15,292186,0,playstation_music,2024-08-20T17:17:54Z,"g-funk,gangster rap,west coast hip hop,hip hop,rap","Death Row Records",0.75,0.706,7,-7.461,1,0.156,0.088,0,0.535,0.59,93.603,4
7upgDi9C0pQn9HZzGfksJq,"Keep On Movin'","Keep On Movin'","Soul II Soul,Caron Wheeler",1989-01-01,361626,54,playstation_music,2024-08-20T17:20:01Z,"new jack swing","Virgin",0.676,0.386,6,-16.148,0,0.0633,0.0264,0.00054,0.0414,0.671,93.139,4
5Vx3e9PipiEceifVyBzCdj,"Movin' on Up","Screamadelica","Primal Scream",1991-09-23,230533,45,playstation_music,2024-08-20T17:19:05Z,"madchester,britpop,alternative dance","Sire/Warner Records",0.508,0.808,0,-12.496,0,0.0404,0.0846,0.000697,0.0719,0.21,94.255,4
1zONdCQrEJ4t3mlzKQADEN,"Rebel Without A Pause","It Takes A Nation Of Millions To Hold Us Back","Public Enemy",1988-06-28,302800,0,playstation_music,2021-11-03T22:43:26Z,"east coast hip hop,hip hop,hardcore hip hop","Def Jam Recordings",0.755,0.692,7,-13.906,1,0.346,0.0127,0,0.69,0.651,99.771,4
2TRPiN6o3jMRX6u2acRvp0,"Pressure Drop","Funky Kingston","Toots & The Maytals",1973-01-01,229560,39,playstation_music,2024-08-20T17:20:43Z,"reggae,rocksteady,ska,roots reggae,dub","Island Records",0.66,0.392,8,-17.606,1,0.0365,0.601,0,0.0376,0.979,147.395,4
4fQMGlCawbTkH9yPPZ49kP,"Green Onions","Green Onions","Booker T. & the M.G.'s",1962,176333,71,playstation_music,2024-08-20T17:22:16Z,"","Rhino Atlantic",0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,4
6l1tmVO6bRmV7kSMsYaHZm,"Warm It Up, Kane","It's A Big Daddy Thing","Big Daddy Kane",1989,254026,44,playstation_music,2021-11-03T22:42:21Z,"east coast hip hop,hardcore hip hop","Rhino/Warner Records",0.878,0.311,1,-17.401,1,0.324,0.0953,0,0.0808,0.486,117.759,4
5e3YOg6fIkP0wD5TyxcHOH,"Cult of Personality","Vivid (Expanded Edition)","Living Colour",1988,294826,6,playstation_music,2024-08-20T17:23:13Z,"funk rock,hard rock","Epic/Legacy",0.504,0.918,0,-3.463,1,0.0517,0.00164,0.0000212,0.78,0.539,92.031,4
4VS5b8o9gnEMCyVNRVrn9Z,"The Godfather - Remix","The Godfather of Rap","Spoonie Gee",1987,312142,0,playstation_music,2021-11-03T22:42:49Z,"","Tuff City Records",0.883,0.583,11,-15.962,0,0.0992,0.654,0.00000318,0.0956,0.963,100.491,4
