Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1YGZyfvdgZxzipWoWYVKxi,"Kids In America","Kim Wilde","Kim Wilde",1981,205533,9,playstation_music,2024-05-31T19:04:19Z,"","Cherry Red Records",0.557,0.782,4,-3.899,1,0.0475,0.0953,0.00000675,0.118,0.305,159.621,4
5NN5MQyE3Lo91zAEHpGa7S,"Two Tribes","Welcome To The Pleasuredome","Frankie Goes To Hollywood",1984-10-20,208133,54,playstation_music,2024-05-31T19:04:19Z,"synthpop,hi-nrg","ZTT Records",0.54,0.621,7,-13.164,1,0.0368,0.00293,0.00282,0.367,0.193,130.202,4
3bq6GVy7ol5FdMU0OtKVkz,"Pale Shelter","The Hurting (Deluxe Edition)","Tears For Fears",1983-03-07,243600,53,playstation_music,2024-05-31T19:04:19Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.524,0.886,9,-7.151,0,0.0399,0.00757,0.000461,0.582,0.758,118.927,4
2374M0fQpWi3dLnB54qaLX,"Africa","Toto IV","TOTO",1982-04-08,295893,86,playstation_music,2024-05-31T19:04:19Z,"soft rock","Columbia",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
4OdhffpvG3HxDJMxYOKh97,"I Ran (So Far Away)","A Flock Of Seagulls","A Flock Of Seagulls",1982-04-30,308933,64,playstation_music,2024-05-31T19:04:19Z,"new wave,synthpop","Jive",0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,4
4dk40nfaQav6b4ZsJ9OYUo,"Love My Way","Forever Now","The Psychedelic Furs",1982,213973,66,playstation_music,2024-05-31T19:04:19Z,"new wave,post-punk","Columbia",0.637,0.85,0,-5.054,1,0.0351,0.00487,0.00018,0.152,0.52,126.106,4
5QIbR39hAEDIOkr4ggh4xc,"Atomic","Eat To The Beat","Blondie",1979-09-28,280324,59,playstation_music,2024-05-31T19:04:19Z,"","Chrysalis\EMI Records (USA)",0.596,0.824,4,-4.893,0,0.0361,0.051,0.131,0.0586,0.786,135.171,4
0ZfZaT7NByalxa6bct5G67,"(Keep Feeling) Fascination - Remastered","The Very Best Of The Human League","The Human League",2005-01-01,224733,41,playstation_music,2024-05-31T19:04:19Z,"new wave,synthpop","EMI Marketing",0.711,0.609,0,-9.042,1,0.0764,0.381,0.00000124,0.204,0.674,118.132,4
7o67roCVsFiCt7Cf0ZLOJq,"Out of Touch","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,249573,65,playstation_music,2024-05-31T19:04:19Z,"soft rock","RCA Records Label",0.806,0.649,9,-9.004,0,0.0347,0.0391,0.0000555,0.0557,0.897,114.834,4
4ZhPLoMzZwewHLLjV1J15c,"99 Luftballons","Nena","Nena",1983-09-23,232466,5,playstation_music,2024-05-31T19:04:19Z,"neue deutsche welle,schlager,german pop","BMG Rights Management GmbH",0.575,0.555,4,-7.495,1,0.0453,0.103,0.0000013,0.111,0.504,95.361,4
