Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3l2mFuNhS7FbTzF3PI39RS,"Blame It on the Boogie","DISCO - 100 Hit's - Dance floor fillers from the 70s and 80s inc. The Jacksons, Boney M & Earth Wind & Fire","The Jacksons",2013-06-21,213013,27,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"disco,motown,philly soul","Sony Music Entertainment",0.748,0.766,8,-7.175,1,0.11,0.0507,0,0.0934,0.901,113.25,4
5gaUkg5JNk8c4mr2jnpX8H,"Give Me the Night","Give Me the Night","George Benson",1980-07-16,301026,62,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"smooth jazz,jazz funk,soul jazz","Rhino/Warner Records",0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282,4
0ukyc3KJiRiuyWZh7W4Efl,"Can't Hold Back (Your Loving)","New York Cake","Kano",1981-01-01,375294,30,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"italo disco,italo dance,hi-nrg,post-disco,disco","Mirage Records / Unidisc Music Inc.",0.825,0.761,9,-5.9,0,0.102,0.159,0.0165,0.157,0.667,107.405,4
7e5dkg8HO67RNb38wMYcan,"September","Feel Good Friday","Earth, Wind & Fire",2018-11-23,217093,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"disco","Sony Music CG",0.677,0.877,9,-5.107,1,0.0309,0.193,0.0000896,0.277,0.98,126.026,4
3mbXR77q1sq2MdeqdPHwJs,"Let's Groove","September","Earth, Wind & Fire",2018-04-17,339306,45,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"disco","Columbia/Legacy",0.868,0.637,11,-9.061,0,0.0641,0.138,0.000011,0.0446,0.921,125.041,4
1l6aDxFntPLHcaD4OKwcwf,"Good Times - 12 Mix","Ultimate Party Classics","CHIC",2018-06-29,490040,0,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"disco","Warner Music Group - X5 Music Group",0.865,0.653,2,-7.278,1,0.0525,0.101,0.00671,0.0484,0.867,111.565,4
5CWmLyQGFGBnIAKxJ9n12f,"Super Freak","Motown: The Complete No. 1's","Rick James",2008-01-01,206520,4,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"funk,motown,disco","UNI/MOTOWN",0.831,0.856,9,-6.205,0,0.0566,0.177,0,0.239,0.948,132.482,4
2ExPAMvcC4ZvkvECGpYCI7,"For the Sweetness of Your Love","Busy Body","Luther Vandross",1983-11-25,444813,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"quiet storm,soul","Epic",0.78,0.659,10,-8.402,0,0.0884,0.0385,0.0000142,0.0538,0.935,123.593,4
6DgYSGEVTRZKM0CUwdhuBm,"Papa's Got A Brand New Bag - Pt. 1","Songs For Dad","James Brown",2018-06-08,126266,1,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"soul,motown,funk","Universal Music Enterprises",0.769,0.803,4,-5.166,1,0.0994,0.575,0.0676,0.191,0.907,130.198,4
7h9K1E9fyDELjz6ShlbxHr,"Let's Do It Again","Let's Do It Again","Nightlife Unlimited",1980-01-01,307293,34,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:25:23Z,"disco,post-disco,hi-nrg,italo disco","UNIDISC MUSIC INC.",0.87,0.328,11,-13.237,0,0.124,0.00141,0.0342,0.0266,0.653,114.337,4
