Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6CFPFnS9EcLs2I0nWqtWci,"Because Of You","Because Of You","Ne-Yo",2007-01-01,266840,76,12179851097,2022-02-05T17:23:47Z,"","Def Soul",0.81,0.538,0,-5.783,0,0.0357,0.53,0,0.0951,0.832,109.97,4
0DBIL8arX0Zo6eAuxNIpik,"Bump n' Grind","12 Play","R. Kelly",1993-11-07,256133,57,12179851097,2022-02-05T17:23:11Z,"r&b","Jive",0.621,0.481,11,-8.016,1,0.0371,0.0984,0,0.241,0.679,65.004,4
0yyRUuWV28gUB4FFblyZS8,"C.O.D. (I'll Deliver)","You, Me And He","Mtume",1984,242733,38,12179851097,2022-02-05T17:15:15Z,"post-disco,funk,quiet storm","Epic",0.907,0.221,6,-12.349,1,0.104,0.129,0.0156,0.0487,0.723,93.855,4
18ZRmY7kNZQQHpopsSVxwJ,"Criticize","Hearsay","Alexander O'Neal",1987-07-29,247400,52,12179851097,2022-02-05T17:16:36Z,"quiet storm,soul,new jack swing","Clarence Avant Catalog",0.659,0.759,11,-12.455,0,0.0436,0.0792,0.00000109,0.0564,0.74,116.943,4
2B2MpyO86cVAVjNyBDhXYc,"Daylight","Come Into Knowledge","RAMP",1977,252320,46,12179851097,2022-02-05T17:14:44Z,"jazz funk","Verve",0.506,0.527,0,-11.758,1,0.0526,0.565,0.0159,0.131,0.592,171.755,3
1tL5a9jowsWMtn3wkFYsG9,"Footsteps in the Dark, Pts. 1 & 2","Go for Your Guns","The Isley Brothers",1977-08-21,306800,61,12179851097,2022-02-05T17:21:37Z,"motown,soul,quiet storm,northern soul","Epic/Legacy",0.679,0.374,11,-10.565,0,0.0482,0.402,0.0000249,0.0541,0.871,80.86,4
43sNw9nvGYGLYnNiwI8oMZ,"Freek'n You","The Show, The After Party, The Hotel","Jodeci",1995-01-01,379240,59,12179851097,2022-02-05T17:15:58Z,"new jack swing,quiet storm,r&b,smooth r&b","Uptown",0.709,0.52,5,-9.365,0,0.03,0.0677,0,0.0629,0.455,134.175,4
2a03afRiyAbNAleOByVju4,"Get It Shawty","Street Love","Lloyd",2007-01-01,209533,66,12179851097,2022-02-05T17:34:45Z,"r&b","I.G. Records, Inc./Universal Records",0.822,0.906,5,-4.031,0,0.24,0.123,0,0.0496,0.656,128.014,4
28EL5veTZtx38TqxIZwFyQ,"Golden","Beautifully Human: Words and Sounds Vol. 2","Jill Scott",2004-08-31,231560,56,12179851097,2022-02-05T17:22:59Z,"neo soul,smooth r&b,quiet storm","Hidden Beach Records, LLC",0.774,0.571,10,-6.162,0,0.114,0.257,0,0.0719,0.593,99.994,4
4p6oBRvpqyngp4qstr5GBe,"Hangin' On A String (Contemplating)","So Where Are You","Loose Ends",1985-01-01,361893,41,12179851097,2022-02-05T17:25:31Z,"post-disco,new jack swing","Virgin Records",0.773,0.583,8,-12.162,0,0.0561,0.236,0.00232,0.0568,0.961,103.108,4
4uSpCtFtrK65GoqJpQj6V6,"Have You Ever Loved Somebody","Just Like The First Time","Freddie Jackson",1986-01-01,277306,50,12179851097,2022-02-05T17:12:49Z,"quiet storm,smooth soul","Capitol Records",0.689,0.423,4,-12.85,0,0.0376,0.43,0.00000316,0.213,0.715,89.746,4
6WiY61b2uLuz51kuCn2Pxb,"In My Bed - So So Def Remix - Album Version","Def Jam 25: Vol. 4 - It Takes Two Pt. 2 (Explicit Version)","Dru Hill,Jermaine Dupri",2009-01-01,242666,12,12179851097,2022-02-05T17:22:38Z,"quiet storm,r&b,smooth r&b,southern hip hop","Def Jam Recordings",0.856,0.797,10,-5.001,0,0.148,0.0288,0,0.0599,0.808,95.069,4
5hReWjUHqPqkHi31G7izL4,"Inner City Blues (Make Me Wanna Holler)","What's Going On","Marvin Gaye",1971-05-21,327706,61,12179851097,2022-02-05T17:25:42Z,"motown,soul,northern soul,quiet storm","UNI/MOTOWN",0.63,0.455,1,-13.667,1,0.0322,0.792,0.132,0.133,0.645,94.08,4
1HdNTlZrGTlgxDn31GB6Sv,"Inside My Love - Remastered 1993","Capitol Gold: The Best Of Minnie Riperton","Minnie Riperton",1993-01-01,238693,45,12179851097,2022-02-05T17:33:25Z,"","Capitol Records",0.527,0.279,10,-12.679,0,0.0297,0.519,0.0211,0.116,0.256,90.728,4
7huxHHCXiJDDizWoVw2o8h,"It's Only Love Doing Its Thing","The Man","Barry White",1978-09-22,237426,51,12179851097,2022-02-05T17:33:59Z,"disco,soul,quiet storm,philly soul","Island Def Jam",0.647,0.621,9,-13.332,0,0.0479,0.0542,0.115,0.0717,0.905,89.803,4
6IVZzwTkBuc2rXI4lqCCq9,"I Want You","The Music of Grand Theft Auto IV","C.J.",2008-01-01,206680,0,12179851097,2022-03-04T13:21:30Z,"","Rockstar Games",0.589,0.695,9,-5.693,0,0.14,0.00189,0,0.138,0.33,158.186,4
1482bMc9Tn0uQxsJqV7eSP,"Just Be Good To Me","On The Rise","The S.O.S Band",1983-01-01,549000,50,12179851097,2022-02-05T17:15:38Z,"post-disco,quiet storm","Clarence Avant Catalog",0.608,0.909,2,-11.065,1,0.0315,0.021,0.125,0.0795,0.856,100.872,4
6mz1fBdKATx6qP4oP1I65G,"Pony","R&B: From Doo-Wop To Hip-Hop","Ginuwine",1999-10-08,251733,70,12179851097,2022-02-05T17:33:05Z,"r&b","Sony Music Entertainment",0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,4
4RMIDsxooqjhLIkxhlWzLa,"You","The Love Experience","Raheem DeVaughn",2005,302186,45,12179851097,2022-02-05T17:34:20Z,"neo soul,smooth r&b,quiet storm","Jive",0.777,0.654,2,-7.333,1,0.0336,0.429,0,0.105,0.515,124.009,4
