Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2oMOqX9k4k16odibNkYyrD,"r - Cali","The Music of Grand Theft Auto V, Vol. 1: Original Music","A$AP Rocky",2013-09-24,139706,1,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"rap","Rockstar Games",0.714,0.765,4,-6.215,0,0.354,0.0105,0,0.566,0.52,74.986,4
5ZZuiMFxl85qakgTZQapsc,"Welcome To Los Santos","The Music of Grand Theft Auto V, Vol. 1: Original Music","Oh No",2013-09-24,154280,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"","Rockstar Games",0.686,0.433,4,-8.9,0,0.0339,0.239,0.18,0.0898,0.389,88.981,4
620tbRI5ZFvrWF31JkQ2dS,"Don't Come Close","The Music of Grand Theft Auto V, Vol. 1: Original Music","Yeasayer",2013-09-24,208746,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"","Rockstar Games",0.559,0.64,11,-7.022,0,0.124,0.16,0.00000848,0.108,0.387,82.488,4
6sChW7Z0IwSvvBR6m4dMws,"Nine Is God","The Music of Grand Theft Auto V, Vol. 1: Original Music","Wavves",2013-09-24,297293,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"garage rock,surf rock,noise rock,indie punk","Rockstar Games",0.349,0.97,9,-4.691,1,0.0941,0.0000013,0.692,0.133,0.0974,121.907,4
6e1rpOJQIXivYKXOBLoAn2,"Old Love / New Love","The Music of Grand Theft Auto V, Vol. 1: Original Music","Twin Shadow",2013-09-24,233066,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"","Rockstar Games",0.612,0.695,1,-6.016,1,0.143,0.253,0.00000128,0.102,0.404,116.073,4
1zdsOgv1hdGGGe9CK1QPY7,"Sleepwalking","The Music of Grand Theft Auto V, Vol. 1: Original Music","The Chain Gang Of 1974",2013-09-24,218693,1,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"","Rockstar Games",0.488,0.83,7,-5.331,1,0.0436,0.00127,0.000833,0.181,0.326,105.935,4
0nzNL2ZFDC95tkMDEkiyxd,"Nowhere To Go","The Music of Grand Theft Auto V, Vol. 1: Original Music","Nite Jewel",2013-09-24,239253,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"chillwave,art pop","Rockstar Games",0.646,0.446,4,-7.297,0,0.0516,0.00223,0.00102,0.147,0.528,130.165,4
4Zehi1XQ5vKkIxMoqZ1L38,"Change Of Coast","The Music of Grand Theft Auto V, Vol. 1: Original Music","Neon Indian",2013-09-24,192733,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"chillwave,indie electronic","Rockstar Games",0.468,0.935,2,-3.901,0,0.0456,0.00126,0.00712,0.0761,0.619,182.002,4
240mp2P9Iv7iqG30Y8eu3L,"Hold Up (feat. Nipsey Hustle)","The Music of Grand Theft Auto V, Vol. 1: Original Music","Marion Band$,Nipsey Hustle",2013-09-24,232133,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"","Rockstar Games",0.714,0.654,5,-6.868,0,0.316,0.385,0,0.0895,0.723,150.991,4
5P4KMR8aiKtz2WFxNVYChF,"Smokin' And Ridin' (feat. Freddie Gibbs & Problem)","The Music of Grand Theft Auto V, Vol. 1: Original Music","BJ The Chicago Kid,Freddie Gibbs,JasonMartin",2013-09-24,212533,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"neo soul,hyphy,west coast hip hop","Rockstar Games",0.45,0.718,0,-4.035,0,0.256,0.161,0.0000214,0.323,0.715,131.978,4
72RPn7RFZQmZD5FEgfHxp3,"High Pressure Dave","The Music of Grand Theft Auto V, Vol. 1: Original Music","HEALTH",2013-09-24,195466,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"noise rock,witch house,industrial","Rockstar Games",0.536,0.941,2,-6.985,1,0.0569,0.000462,0.00102,0.139,0.276,110.048,4
3fdJ9nl07hgawCiJUwTnCP,"Life Of A Mack","The Music of Grand Theft Auto V, Vol. 1: Original Music","100s",2013-09-24,204173,0,o5qknxr8fgdwl28uwg1u5pf21,2020-11-19T14:51:11Z,"","Rockstar Games",0.826,0.553,5,-9.303,1,0.316,0.432,0,0.0771,0.542,82.001,4
