Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303373,77,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"symphonic rock,art rock","Epic/Legacy",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,83,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"classic rock,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
6Ac4NVYYl2U73QiTt11ZKd,"Hooked On A Feeling","Hooked On A Feeling","Blue Swede,Björn Skifs",1973-04-01,172866,74,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"","Parlophone Sweden",0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,4
2T43UrvAg60ubJVo5KQ3t7,"Come and Get Your Love (Rerecorded)","The Best of Redbone","Redbone",2010-03-05,208306,61,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"","K-Tel",0.793,0.481,2,-14.246,1,0.0279,0.227,0.00127,0.06,0.97,107.744,4
1A6Kwtsg3JWKU2KWM2udpM,"I'm Not In Love","20th Century Masters: The Millennium Collection: Best Of 10CC","10cc",2002-01-01,368226,60,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"art rock,glam rock","Island Records",0.394,0.663,4,-11.117,1,0.0601,0.678,0.00156,0.212,0.21,133.464,4
75GQIYnRaBg7ndHxhfYuQy,"Go All The Way","Raspberries","Raspberries",1972,205346,61,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"power pop,jangle pop","Capitol Records",0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,4
1CnTAkLCWL8Uvsr1BDiX8F,"Spirit in the Sky","The Original Hit Recording - Spirit in the Sky","Norman Greenbaum",2012-08-13,240906,1,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"classic rock","Transtone Productions",0.606,0.584,2,-8.042,1,0.0319,0.0384,0.00592,0.0637,0.563,128.542,4
3ziCNz5vq8pEeRZjPElfYR,"Moonage Daydream - 2012 Remastered Version","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version)","David Bowie",1972-06-06,280530,0,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"glam rock,art rock","Parlophone UK",0.556,0.61,11,-11.227,0,0.035,0.0408,0.000266,0.0474,0.736,144.092,4
2hE5Lm5XOHR4t3xlhIFauP,"Fooled Around And Fell In Love","Struttin' My Stuff","Elvin Bishop",1975-01-01,276000,62,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"southern rock","Island Records",0.633,0.621,10,-11.494,1,0.0313,0.042,0.0172,0.186,0.593,113.325,3
2OSfEYKhlSsLx6vn4O75RK,"I Want You Back","Greatest Hits","The Jackson 5",1971-01-01,178493,59,3qyt844e0uzk3o1usm9p21jkc,2025-03-19T14:19:27Z,"motown,christmas","Motown",0.667,0.669,8,-6.264,1,0.0326,0.441,0.00229,0.215,0.947,98.266,4
