Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Cdvbe2G4hZsnhNMKyGrie,"I Love Rock 'N Roll","I Love Rock 'N' Roll (Expanded Edition)","Joan Jett & the Blackhearts",1981-11-18,175173,77,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:15:36Z,"rock","Legacy Recordings",0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,4
5NoQvINZLBV1wMYPdNmReL,"I Wanna Be Sedated","Road to Ruin (40th Anniversary Deluxe Edition)","Ramones",1978,149786,67,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:15:41Z,"punk,proto-punk","Rhino/Warner Records",0.56,0.965,11,-2.341,1,0.0409,0.121,0.00000623,0.169,0.964,162.825,4
4tvBoSWeIW0bjhKNre5mod,"Thunder Kiss '65","La Sexorcisto: Devil Music Volume 1","White Zombie",1992-01-01,234080,65,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:15:47Z,"industrial metal,groove metal,nu metal,hard rock,industrial rock,industrial,rap metal","Geffen",0.684,0.851,9,-9.792,1,0.0407,0.000613,0.0029,0.535,0.512,112.662,4
5MMnwYs0hIxkENRsbkWJ2G,"Smoke On The Water - Remastered 2012","Machine Head (Remastered)","Deep Purple",1972-03-25,340742,71,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:15:53Z,"hard rock,classic rock,rock","EMI Records Limited",0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,4
16E7LWSzLLMPWYGNCwu7Sc,"Infected","Stranger Than Fiction","Bad Religion",1994-08-30,247600,53,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:15:57Z,"punk,skate punk,hardcore punk,ska punk,melodic hardcore","Epitaph",0.49,0.845,9,-8.746,0,0.0344,0.00714,0.0000103,0.0937,0.655,121.575,4
0TI8TP4FitVPoEHPTySx48,"Iron Man","Paranoid (2009 Remastered Version)","Black Sabbath",1970-09-18,354773,4,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:16:01Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Sanctuary Records",0.332,0.769,9,-11.503,1,0.0765,0.00367,0.00413,0.0372,0.525,157.378,4
1QEEqeFIZktqIpPI4jSVSF,"More Than a Feeling","Boston","Boston",1976,285133,78,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:16:05Z,"classic rock,album rock","Epic/Legacy",0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4
4f3RDq9nYPBeR1yMSgnmBm,"You've Got Another Thing Coming","Screaming For Vengeance (Expanded Edition)","Judas Priest",1982,310080,65,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:16:10Z,"heavy metal,metal,hard rock,glam metal","Sony Music UK",0.519,0.833,6,-6.947,0,0.0496,0.00572,0.00000433,0.104,0.532,138.225,4
20I8RduZC2PWMWTDCZuuAN,"Take Me Out","Franz Ferdinand","Franz Ferdinand",2004-02-16,237026,81,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:16:14Z,"indie rock","Domino Recording Co",0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4
5Wqhh9QKqZZmLjLdFLoW04,"Sharp Dressed Man - 2019 Remaster","Goin' 50","ZZ Top",2019-06-14,252746,47,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:16:19Z,"southern rock,classic rock,blues rock,rock","Rhino/Warner Records",0.647,0.787,5,-7.476,1,0.0255,0.00043,0.00247,0.105,0.393,125.111,4
4cIPLtg1avt2Jm3ne9S1zy,"Killer Queen - Remastered 2011","Sheer Heart Attack (Deluxe Edition 2011 Remaster)","Queen",1974-11-08,179600,73,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:16:25Z,"classic rock,rock,glam rock","EMI",0.535,0.651,10,-6.326,1,0.0544,0.391,0,0.133,0.612,117.218,4
2Pe7SuBE6b8jOtQDH66Gm4,"Hey You","Head For The Door","The Exies",2004-01-01,238600,41,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:16:28Z,"post-grunge","Virgin Records",0.481,0.966,8,-3.149,1,0.0497,0.0000657,0.00255,0.0458,0.504,100.824,4
6ISuXA3UCPMtsyEUGUTAyn,"Stellar","Make Yourself","Incubus",1999-10-26,200493,63,cdoqs4ebh100fdb96ae5yom3j,2022-12-15T00:16:32Z,"nu metal,funk rock,alternative metal,alternative rock","Epic/Immortal",0.582,0.765,9,-6.544,1,0.0376,0.00106,0.0506,0.344,0.528,128.164,4
