Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6VZivrPxu9MJ5rIPIERg56,"Shout At The Devil","Shout At The Devil","Mötley Crüe",1983-09-26,194986,1,lucasruffamendes,2023-07-18T00:11:08Z,"glam metal,glam rock,hard rock","BMG Rights Management (US) LLC",0.5,0.946,5,-5.428,1,0.072,0.0221,0.0000421,0.068,0.45,94.544,4
7txxAtOMwLLnQTpKeBL6bp,"Mother","Danzig","Danzig",1988-01-01,204866,71,lucasruffamendes,2023-07-18T00:11:48Z,"","American Recordings Catalog P&D",0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,4
2ccUQnjjNWT0rsNnsBpsCA,"Surrender","Heaven Tonight","Cheap Trick",1978-04,253733,66,lucasruffamendes,2023-07-18T00:11:56Z,"power pop,album rock,classic rock,glam rock","Epic/Legacy",0.524,0.955,0,-7.081,1,0.0411,0.00717,0.00000877,0.659,0.869,133.849,4
2pcwmk8c1pTYwX0COSVX52,"Woman","Wolfmother","Wolfmother",2005-01-01,175666,55,lucasruffamendes,2023-07-18T00:12:11Z,"stoner rock","Modular",0.191,0.948,9,-3.496,0,0.217,0.0000278,0.0864,0.0945,0.215,150.753,4
1oIRVLLjoRhmxX0PtfSrXz,"Tonight I'm Gonna Rock You Tonight","This Is Spinal Tap","Spinal Tap",1984-01-01,156266,34,lucasruffamendes,2023-07-18T00:12:30Z,"comedy","Polydor",0.398,0.859,9,-10.572,1,0.0499,0.00264,0.0000646,0.0305,0.72,92.132,4
0UCg6lnG2MXpuEpf8Pk1MV,"Strutter","Kiss","KISS",1974-02-18,190866,61,lucasruffamendes,2023-07-18T00:12:41Z,"glam metal,glam rock,hard rock,rock,classic rock","Casablanca Records",0.511,0.913,1,-5.618,1,0.059,0.0247,0.0548,0.0943,0.828,131.34,4
11LmqTE2naFULdEP94AUBa,"Heart-Shaped Box","In Utero (Deluxe Edition)","Nirvana",1993-09-21,281160,81,lucasruffamendes,2023-07-18T00:12:49Z,"grunge,rock","Geffen",0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,4
1oYYd2gnWZYrt89EBXdFiO,"Message In A Bottle","Reggatta De Blanc (Remastered 2003)","The Police",1979-10-02,290280,77,lucasruffamendes,2023-07-18T00:13:05Z,"","Polydor Records",0.577,0.808,1,-7.04,0,0.039,0.0338,0.0000133,0.221,0.869,151.008,4
0upLyFR8Rr52ZpMp5esQoq,"You Really Got Me - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,156146,67,lucasruffamendes,2023-07-18T00:13:27Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.454,0.946,1,-5.978,0,0.13,0.0223,0,0.173,0.647,138.18,4
4DMKwE2E2iYDKY01C335Uw,"Carry on Wayward Son","Leftoverture (Expanded Edition)","Kansas",1976,323000,76,lucasruffamendes,2023-07-18T00:13:53Z,"classic rock,progressive rock,album rock","Epic/Legacy",0.482,0.786,7,-5.735,1,0.032,0.00321,0.0000888,0.446,0.793,126.755,4
44wXefe8WB9Fd6xwtmAwbR,"Monkey Wrench","The Colour And The Shape","Foo Fighters",1997-05-20,231480,68,lucasruffamendes,2023-07-18T00:14:04Z,"rock,post-grunge,alternative rock,grunge,modern rock","RCA Records Label",0.401,0.953,4,-4.276,1,0.0752,0.0000183,0.0000256,0.149,0.555,174.217,4
64ZqHmBufTSmDRd0it0oEf,"Them Bones","Greatest Hits","Alice In Chains",2001,150533,47,lucasruffamendes,2023-07-18T00:14:12Z,"grunge,post-grunge","Columbia",0.153,0.955,9,-4.62,1,0.0618,0.0249,0.0000463,0.264,0.294,165.017,1
3X9fXH0FzBloyaUkz5qr0C,"Search & Destroy","Nude & Rude: The Best Of Iggy","Iggy Pop,The Stooges",1996-01-01,206133,0,lucasruffamendes,2023-07-18T00:18:54Z,"proto-punk,glam rock,punk,garage rock","Virgin Records",0.202,0.859,1,-8.691,0,0.0795,0.00658,0.419,0.278,0.333,152.224,4
1NwwfcnEWyy7TeyiqvgUCj,"Tattooed Love Boys - 2006 Remaster","Pretenders (Expanded & Remastered)","Pretenders",1980-01-11,179093,0,lucasruffamendes,2023-07-18T00:35:48Z,"","WM UK",0.631,0.887,7,-7.111,1,0.0429,0.000905,0.000112,0.132,0.781,121.355,4
0W35nxtHtFlseSojmygEsf,"War Pigs","Paranoid (2009 Remastered Version)","Black Sabbath",1970-09-18,474400,3,lucasruffamendes,2023-07-18T00:35:56Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Sanctuary Records",0.464,0.612,9,-12.019,1,0.0591,0.116,0.00559,0.171,0.496,91.499,4
7LygtNjQ65PSdzVjUnHXQb,"Cherry Pie","Cherry Pie","Warrant",1990-10-14,201026,61,lucasruffamendes,2023-07-18T00:36:09Z,"glam metal,glam rock","Columbia/Legacy",0.472,0.946,2,-4.591,1,0.145,0.0372,0,0.352,0.486,177.489,4
6DVNQXL9LRzKq8zjyFEuTC,"Who Was In My Room Last Night?","Independent Worm Saloon","Butthole Surfers",1993-01-01,249000,52,lucasruffamendes,2023-07-18T00:43:57Z,"noise rock","Capitol Records",0.306,0.889,6,-8.691,0,0.117,0.000824,0.0121,0.271,0.255,182.054,4
338gPBomyqx33wfeF1AGOd,"Girlfriend","Girlfriend (Legacy Edition)","Matthew Sweet",1991,220000,46,lucasruffamendes,2023-07-18T00:46:09Z,"power pop,jangle pop","Volcano/Legacy",0.529,0.714,6,-6.315,1,0.031,0.00901,0.00000626,0.0772,0.814,120.598,4
