Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4MYb7NWLwXNDB7bYs3HeX8,"Slow Ride - Edit","Slow Ride / Save Your Loving (For Me)","Foghat",1975,232533,62,b858992,2025-03-18T22:33:20Z,"classic rock,southern rock","Rhino",0.494,0.586,2,-13.909,1,0.0461,0.0201,0.00104,0.102,0.651,113.618,4
4vO9dmzNRqDhFY3jD1a3P7,"Mississippi Queen","Climbing!","Mountain",1970,151293,67,b858992,2025-03-18T22:33:20Z,"classic rock,southern rock,blues rock","Columbia/Legacy",0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,4
579VGLYm9Le6DEWTi98Nt9,"Hit Me With Your Best Shot - Remastered 1999","Synchronistic Wanderings","Pat Benatar",1999-10-05,171293,42,b858992,2025-03-18T22:33:20Z,"album rock","CAPITOL CATALOG MKT (C92)",0.711,0.702,4,-6.058,1,0.03,0.108,0.00000617,0.259,0.949,127.418,4
5Z8EDau8uNcP1E8JvmfkZe,"School's Out","School's Out","Alice Cooper",1972,210106,66,b858992,2025-03-18T22:33:20Z,"glam rock,hard rock,glam metal,proto-punk,classic rock","Rhino/Warner Records",0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,4
1jzDzZWeSDBg5fhNc3tczV,"Paranoid","Paranoid (2009 Remastered Version)","Black Sabbath",1970-09-18,168440,12,b858992,2025-03-18T22:33:20Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Sanctuary Records",0.429,0.631,4,-11.514,0,0.0769,0.0000785,0.00411,0.175,0.376,162.734,4
01R0Xdwje645C6xFCnMRvm,"Talk Dirty To Me","Look What The Cat Dragged In","Poison",1986-01-01,223960,52,b858992,2025-03-18T22:33:20Z,"glam metal,glam rock","EMI Gold",0.507,0.804,11,-13.267,1,0.044,0.0211,0.00248,0.381,0.708,157.996,4
6FRwDxXsvSasw0y2eDArsz,"Sunshine Of Your Love","Disraeli Gears","Cream",1967-11-02,250000,61,b858992,2025-03-18T22:33:20Z,"classic rock,psychedelic rock,acid rock,blues rock","Universal International Music B.V.",0.684,0.481,2,-12.59,1,0.0384,0.475,0.0000657,0.118,0.784,115.078,4
4Q4w8aRdfhIIEhBututktL,"Story of My Life","Social Distortion","Social Distortion",1990-03-27,346333,57,b858992,2025-03-18T22:33:20Z,"punk,skate punk,ska punk,psychobilly","Epic",0.328,0.884,6,-7.982,1,0.0338,0.0676,0.0166,0.327,0.686,201.868,4
57Xjny5yNzAcsxnusKmAfA,"Reptilia","Room On Fire","The Strokes",2003-10-28,219826,75,b858992,2025-03-18T22:33:20Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
38bHLl4pznhxzRJLuw1OA7,"Barracuda","Shaun White Snowboarding: Official Soundtrack","Heart",2008-11-18,262160,51,b858992,2025-03-18T22:33:20Z,"classic rock,album rock,rock","SONY BMG MUSIC (CANADA) INC.",0.545,0.73,4,-12.046,0,0.0362,0.0147,0.0995,0.146,0.68,137.134,4
