Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
28clONjZmul6FjfO6tZQDE,"Metal Health (Bang Your Head)","Metal Health","Quiet Riot",1983,316866,60,rundevilrun007,2019-12-05T18:38:07Z,"glam metal,hard rock,glam rock","Epic/Legacy",0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,4
5kz9GDBTX846OXwqWoyKzF,"We Got The Beat","Beauty And The Beat","The Go-Go's",1981-01-01,153133,58,rundevilrun007,2019-12-05T18:38:40Z,"new wave","A&M",0.587,0.994,2,-5.61,1,0.0451,0.157,0.0767,0.0319,0.482,151.938,4
2Rwux3fRY1xxl167muIo93,"I Ran (So Far Away) - Single Edit","Grand Theft Auto Vice City OST (Greatest Hits)","A Flock Of Seagulls",2002-11-26,219906,0,rundevilrun007,2019-12-05T18:39:14Z,"new wave,synthpop","Epic",0.537,0.815,2,-6.208,1,0.0348,0.000418,0.807,0.194,0.691,145.424,4
2dbOYFfS7r7NAzquRvji9A,"Balls to the Wall","Balls To The Wall","Accept",1983,342600,57,rundevilrun007,2019-12-05T18:39:32Z,"heavy metal,speed metal,metal,hard rock,thrash metal","Portrait/Epic/Legacy",0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,4
0qgrrDnUUhyxpxbBznUnzg,"18 and Life","Skid Row","Skid Row",1989-01-24,229960,8,rundevilrun007,2019-12-05T18:39:50Z,"glam metal,glam rock,hard rock","Rhino Atlantic",0.466,0.648,1,-11.101,0,0.028,0.0023,0.0000149,0.112,0.305,90.435,4
26fZwf1ImE4aUJ4XaqOkUg,"No One Like You","Blackout","Scorpions",1982-04-10,237466,69,rundevilrun007,2019-12-05T18:40:09Z,"hard rock,glam metal,rock","Polydor",0.505,0.631,9,-10.433,0,0.038,0.0203,0.0000221,0.141,0.835,118.178,4
1PUwqWUz1Zz345y1s9YRv1,"Shakin'","No Control","Eddie Money",1983,187800,53,rundevilrun007,2019-12-05T18:40:26Z,"classic rock","Columbia",0.614,0.789,9,-10.241,1,0.0342,0.0342,0.00132,0.114,0.899,113.701,4
1nmZ8yqKkfooOuYvtFctDp,"Heat Of The Moment","Asia","Asia",1982-03-08,227893,69,rundevilrun007,2019-12-05T18:40:39Z,"album rock,progressive rock,arena rock","Geffen",0.306,0.86,1,-7.371,1,0.0534,0.204,0.000146,0.369,0.541,136.265,4
0MOi5oWv5Y0Ea9p7BdXepF,"Radar Love","Big Game","White Lion",1989,359960,46,rundevilrun007,2019-12-05T18:40:58Z,"glam metal,glam rock","Atlantic Records",0.232,0.775,4,-10.923,1,0.0565,0.00028,0.0225,0.0775,0.59,206.07,4
2yHSmTWuVC6Fm1phsLLv55,"Because, It's Midnite","Strong Bad Sings","Strong Bad",2003-11-17,133613,22,rundevilrun007,2019-12-05T18:41:31Z,"","Cheap As Free Music",0.532,0.867,0,-6.197,1,0.0343,0.019,0,0.0536,0.807,148.023,4
57fqmDaokbxZ3TaB0jp39q,"Holy Diver","Holy Diver","Dio",1983,353786,61,rundevilrun007,2019-12-05T18:41:48Z,"heavy metal,metal,hard rock,glam metal","Rhino/Warner Records",0.476,0.901,8,-6.751,1,0.0975,0.0642,0.158,0.0557,0.109,91.955,4
30cHDhxUqgnHq78hv5UjMx,"Turning Japanese","Turning Japanese - Best Of The Vapors","The Vapors",1996-11-11,225186,50,rundevilrun007,2019-12-05T18:42:01Z,"new wave,power pop","RT Industries",0.503,0.803,0,-9.701,1,0.0485,0.01,0.0648,0.292,0.941,179.007,4
6hQszXJIYhtjmSTmDqZpeU,"Hold On Loosely","20th Century Masters The Millennium Collection: Best of 38 Special","38 Special",2000-01-01,279893,53,rundevilrun007,2019-12-05T18:42:18Z,"southern rock,classic rock,album rock","A&M",0.55,0.706,9,-5.552,1,0.0304,0.00692,0.0000636,0.0853,0.822,127.24,4
2hQnLzly0jRPpLPp23sA4i,"The Warrior (feat. Patty Smyth)","Warrior (feat. Patty Smyth)","Scandal,Patty Smyth",1984-08-21,240826,54,rundevilrun007,2019-12-05T18:42:37Z,"","Columbia",0.606,0.777,2,-11.034,1,0.0347,0.089,0,0.321,0.858,123.079,4
70Z9t1qhytWtG4cCmmi7mU,"I Wanna Rock","Stay Hungry","Twisted Sister",1984-05-10,179760,47,rundevilrun007,2019-12-05T18:42:52Z,"glam metal,glam rock","Rhino Atlantic",0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,4
6NdcSEhpGGAYXNnnhGS2s6,"What I Like About You","What I Like About You (And Other Romantic Hits)","The Romantics",1990,175400,59,rundevilrun007,2019-12-05T18:43:08Z,"power pop","Epic",0.542,0.915,9,-9.637,1,0.0549,0.319,0.0000534,0.171,0.92,159.81,4
5ynO8cYFjDwELIZfFHHeYe,"Synchronicity II","Synchronicity (Remastered 2003)","The Police",1983-06-17,300466,59,rundevilrun007,2019-12-05T18:43:31Z,"","Polydor Records",0.414,0.851,2,-8.714,1,0.0413,0.0675,0.0047,0.333,0.567,158.907,4
5k0cYQMQ8YKxJVp34DN49L,"Ballroom Blitz - Remastered","Stayed Awake All Night","Krokus",1989-08-28,239266,30,rundevilrun007,2019-12-05T18:43:48Z,"glam metal,hard rock,heavy metal","Arista",0.199,0.908,9,-9.707,1,0.0683,0.0007,0,0.619,0.372,207.05,4
75BdorOxqofBDoLW9mkjIE,"Only A Lad","Only A Lad","Oingo Boingo",1981-06-19,237400,46,rundevilrun007,2019-12-05T18:44:04Z,"new wave","A&M",0.655,0.783,1,-11.294,1,0.069,0.0399,0.00511,0.0677,0.776,179.466,4
5B6Z7NwVqA7W3UFiqBdEJC,"Round and Round","Out of the Cellar","Ratt",1984-02-14,265893,7,rundevilrun007,2019-12-05T18:44:20Z,"glam metal,glam rock,hard rock","Atlantic Records",0.628,0.934,11,-6.026,1,0.0527,0.00682,0.0000111,0.0852,0.491,126.538,4
