Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3v2XiE8ztYHOsrjIBN4Xh2,"Again","Memento Mori (Expanded)","Flyleaf",2009-01-01,184920,59,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:13:43Z,"christian rock,christian alternative rock,emo","Interscope Records*",0.42,0.974,5,-3.737,1,0.1,0.00018,0,0.355,0.459,156.046,3
5UuikgHTxSRFRnC0zXx10i,"Aqualung","Aqualung (Special Edition)","Jethro Tull",1971-03-19,396186,61,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:13:57Z,"progressive rock,symphonic rock,art rock,classic rock","Parlophone UK",0.477,0.479,7,-11.887,0,0.0483,0.0649,0.029,0.0906,0.662,122.531,4
3sHH7lklbfpcraDDvYnjo7,"Bat Country","City of Evil","Avenged Sevenfold",2005-06-06,311813,70,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:14:06Z,"metal,alternative metal,heavy metal","Warner Records",0.541,0.968,0,-4.129,1,0.0396,0.000248,0.00000828,0.423,0.505,125.04,4
4Qievb8Mqy0qxdLNVl02zt,"Been Caught Stealing","Ritual De Lo Habitual","Jane's Addiction",1990-08-21,214706,53,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:15:00Z,"funk rock,grunge","Rhino/Warner Records",0.639,0.929,0,-4.762,1,0.212,0.00326,0.0501,0.242,0.688,103.758,4
0JETYuePsiRyCZoQdgxZG2,"Black Rain","Telephantasm","Soundgarden",2010-09-28,325813,47,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:15:11Z,"grunge,post-grunge,hard rock","Geffen",0.2,0.882,7,-7.177,1,0.072,0.00129,0.607,0.204,0.275,171.02,4
5qzba849erpnQeyp8zg135,"Black Widow of La Porte","The Devil Knows My Name","John 5",2007-01-01,445570,38,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:15:25Z,"","60 cycle hum records",0.316,0.977,9,-4.816,0,0.219,0.0000858,0.761,0.238,0.239,179.984,4
0UFDKFqW2oGspYeYqo9wjA,"Bleed It Out","Minutes to Midnight","Linkin Park",2007-05-14,164426,78,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:15:34Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.541,0.969,11,-3.439,1,0.0458,0.113,0,0.638,0.599,140.119,4
31BQPqg0PGatf52fIeu3Hh,"Bloodlines","Dethalbum II","Metalocalypse: Dethklok",2009-09-28,210560,46,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:15:55Z,"metal,melodic death metal,death metal","Williams Street Records",0.591,0.877,1,-6.816,1,0.0573,0.0000195,0.911,0.104,0.163,109.944,4
7CpbhqKUedOIrcvc94p60Y,"Bodies","Sinner","Drowning Pool",2001-01-01,201960,76,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:16:01Z,"nu metal,alternative metal,rap metal,metal","The Bicycle Music Company",0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,4
5s8IEEjgCTrujK3aUalvfF,"Burn - 2002 Remaster","Burn (Expanded 2005 Remaster)","Deep Purple",1974-02-15,364746,44,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:16:18Z,"hard rock,classic rock,rock","Rhino/Warner Records",0.38,0.938,7,-6.183,1,0.0384,0.0109,0.0257,0.366,0.604,96.653,4
3fkPMWQ6cBNBLuFcPyMS8s,"Burnin' for You","Fire of Unknown Origin","Blue Öyster Cult",1981-10-23,271000,67,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:16:56Z,"classic rock,hard rock","Columbia",0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,4
3OrQBo7hZPFMXfEmaQ1E1L,"Call Me The Breeze - Live At Fox Theatre, Atlanta, 1976","One More From The Road (Live / Deluxe Edition)","Lynyrd Skynyrd",1976,350973,28,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:17:13Z,"southern rock,classic rock,rock","Geffen*",0.255,0.862,2,-8.269,1,0.0795,0.0785,0.0374,0.991,0.602,202.51,4
1enShRbj1MtYWuhxp1TSi2,"Calling","Blackhawks over Los Angeles","Strung Out",2007-06-12,259853,38,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:17:29Z,"skate punk,punk,melodic hardcore,ska punk,hardcore punk","Fat Wreck Chords",0.395,0.978,2,-3.742,0,0.13,0.000139,0.129,0.0715,0.164,95.83,4
3u63uszxopzY7zQD2zou1r,"Chemical Warfare","Live Undead / Haunting the Chapel","Slayer",1984,361960,41,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:17:41Z,"thrash metal,metal,speed metal,heavy metal,groove metal,death metal","Metal Blade Records",0.291,0.991,5,-7.272,0,0.132,0.00181,0.000123,0.161,0.0379,100.597,4
7cdnq45E9aP2XDStHg5vd7,"Cherry Bomb","The Runaways","The Runaways",1976,138706,67,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:17:52Z,"proto-punk","Island Def Jam",0.501,0.813,11,-8.192,1,0.0639,0.0455,0.0000475,0.131,0.495,136.59,4
5clz8BOBulxx7q2yHxqOCk,"Children of the Grave - 2014 Remaster","Master of Reality (2014 Remaster)","Black Sabbath",1971-07-21,317206,57,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:17:58Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Rhino/Warner Records",0.318,0.65,6,-13.928,1,0.0375,0.0802,0.132,0.0962,0.368,149.994,4
0NJC0FDCODpPUntRTTQq97,"Cryin'","Get A Grip","Aerosmith",1993-01-01,308333,3,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:18:15Z,"classic rock,rock","Aerosmith P&D - Geffen",0.445,0.856,9,-3.674,1,0.0327,0.000202,0.0101,0.367,0.486,105.872,3
0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance","From Under The Cork Tree","Fall Out Boy",2005-05-03,180266,77,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:18:25Z,"emo,pop punk,emo pop","Island Records",0.621,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.451,4
4O5GKVbnQ8U9BxYWu0hIug,"Dancing Through Sunday","Sing The Sorrow","AFI",2003,146666,48,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:18:36Z,"punk,emo,skate punk,emo pop","Interscope",0.554,0.98,3,-2.849,0,0.0947,0.00291,0,0.279,0.643,114.078,4
7au6rc1TndcVsdJN75rTiO,"Deadfall","Get Some","Snot",1997-01-01,139360,45,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:18:46Z,"nu metal,rap metal,alternative metal,funk rock","Geffen",0.353,0.977,6,-4.464,1,0.151,0.00351,0.000269,0.314,0.579,150.679,4
5sTVykpRs4eiZKn96bZogj,"The Feel Good Drag","Never Take Friendship Personal","Anberlin",2005-01-01,207360,57,b036ydhrkjvcg38s7eyaw4tme,2022-07-15T17:19:13Z,"christian rock,christian alternative rock","Tooth & Nail (TNN)",0.342,0.677,5,-11.906,0,0.0568,0.0013,0.00671,0.201,0.501,188.6,4
3DHWxeWr4uh19MklWjLpR0,"Feels like the First Time","Foreigner (Expanded)","Foreigner",1977-03-08,192520,48,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:47:33Z,"album rock,classic rock","Rhino Atlantic",0.544,0.812,5,-6.716,0,0.0811,0.0599,0,0.456,0.471,109.593,4
4DhbiXEuV7JxSR0wuqetTa,"Free Ride","They Only Come Out At Night","The Edgar Winter Group",1972-11-30,187173,55,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:47:59Z,"classic rock","Epic",0.674,0.686,2,-11.927,1,0.0597,0.29,0.00322,0.189,0.814,124.204,4
4jMU8MNUIgjNvPK66DPuCZ,"Fury Of The Storm","Sonic Firestorm","DragonForce",2004,406826,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:48:51Z,"power metal,speed metal,metal,melodic metal,symphonic metal","Fontana International/Spinefarm Records",0.234,0.911,4,-5.114,0,0.08,0.0000334,0.258,0.344,0.197,199.846,4
1JcGNoiwifg0MdJMVgJQYx,"Get Free","Highly Evolved","The Vines",2002-01-01,126573,57,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:49:01Z,"garage rock","Capitol Records",0.5,0.978,7,-3.278,1,0.065,0.000163,0.00000127,0.287,0.602,138.802,4
5mDCelXK6n9MxMIOSHgg8y,"Ghost","Slash","Slash,Ian Astbury",2010,215866,31,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:51:16Z,"acoustic rock,hard rock","Unknown",0.533,0.926,4,-4.318,1,0.0309,0.00214,0.000299,0.158,0.614,99.985,4
6pLko0BJo4OmvbmPbLURsl,"Graduate","Third Eye Blind","Third Eye Blind",1997-04-08,187666,55,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:51:25Z,"","Rhino/Elektra",0.498,0.913,0,-4.805,0,0.0446,0.000904,0,0.0902,0.45,89.359,4
6X13xZ3XOF2ThTvvLAODHc,"Hard To See","War Is the Answer","Five Finger Death Punch",2009-09-22,209493,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:51:35Z,"metal,groove metal,heavy metal,hard rock,rock","Prospect Park",0.515,0.976,11,-3.117,1,0.167,0.00000462,0.000315,0.117,0.134,111.985,4
5LyRtsQLhcXmy50VXhQXXS,"Holy Wars...The Punishment Due - 2004 Remix","Rust In Peace (2004 Remix / Expanded Edition)","Megadeth",1990-10-04,392600,68,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:51:47Z,"thrash metal,metal,heavy metal,speed metal","Capitol Records",0.325,0.985,11,-3.941,1,0.151,0.00177,0.107,0.351,0.221,125.307,4
0gmbgwZ8iqyMPmXefof8Yf,"How You Remind Me","Silver Side Up","Nickelback",2001-09-11,223840,85,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:51:56Z,"post-grunge,rock","Roadrunner Records",0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,4
5rMNQfYhBMlyitrMAiwQfc,"I Know What I Am","Baby Darling Doll Face Honey","Band Of Skulls",2009,198000,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:52:08Z,"","Shangri-La",0.64,0.904,9,-4.28,1,0.0874,0.175,0.0000121,0.105,0.559,99.41,4
2M5WTwqnkyz7bW6P1CiD6q,"I'm Broken","Far Beyond Driven","Pantera",1994,264800,68,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:52:15Z,"groove metal,metal,thrash metal,heavy metal","Rhino/Elektra",0.419,0.878,7,-6.352,1,0.0553,0.000594,0.559,0.139,0.666,147.385,4
7lRlq939cDG4SzWOF4VAnd,"I'm Not Okay (I Promise)","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,186480,77,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:52:20Z,"emo,pop punk,emo pop","Reprise",0.21,0.94,9,-3.427,1,0.123,0.00602,0,0.269,0.255,179.722,4
1yo3kUDbRC60FCroxINeJQ,"If You Want Peace... Prepare For War","Are You Dead Yet?","Children Of Bodom",2005-01-01,237640,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:52:33Z,"melodic death metal,metal,death metal,melodic metal","Spinefarm",0.387,0.983,10,-2.769,0,0.068,0.000016,0.66,0.267,0.443,170.075,4
1fcyfC1KLSWVCIvALR5AxS,"Indians","Among The Living","Anthrax",1987-03,341333,52,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:52:55Z,"thrash metal,metal,speed metal,heavy metal,groove metal,rap metal","Island Records",0.379,0.941,11,-10.443,0,0.038,0.000869,0.000637,0.0393,0.527,105.155,4
6qLEOZvf5gI7kWE63JE7p3,"Interstate Love Song - 2019 Remaster","Purple (2019 Remaster)","Stone Temple Pilots",1994-06-07,194853,75,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:53:11Z,"grunge,alternative rock,post-grunge,rock","Rhino Atlantic",0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814,4
3vDIrWdvNlCRNUjKtcj0V0,"It's Only Another Parsec…","Mandala","Rx Bandits",2009-07-21,284413,31,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:54:07Z,"ska punk,ska","Sargent House",0.31,0.893,1,-7.174,0,0.0913,0.00333,0.000455,0.242,0.255,96.871,4
4sOlbksuGHyUkSafNnho2f,"Jet City Woman - Remastered 2003","Empire - 20th Anniversary Edition","Queensrÿche",1990,321573,56,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:54:58Z,"progressive metal,glam metal,heavy metal,metal,progressive rock,hard rock","Capitol Records",0.499,0.934,8,-3.661,0,0.095,0.0468,0.00000307,0.703,0.356,110.053,4
1DqTNIgasdUuTVBfHuEZds,"Lasso","Wolfgang Amadeus Phoenix","Phoenix",2009-05-25,167840,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:55:04Z,"indie","Glassnote Entertainment Group LLC",0.642,0.628,11,-7.272,1,0.0349,0.0208,0.00029,0.125,0.944,150.948,4
2iW5uc25ziGLlNMqdhFJad,"Listen to Her Heart","You're Gonna Get It!","Tom Petty and the Heartbreakers",1978-05-02,183000,1,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:55:44Z,"classic rock","Rhino/Warner Records",0.481,0.906,9,-3.705,1,0.0349,0.334,0.603,0.043,0.364,127.955,4
6bCPryuQjsts5cEybA3Nb5,"Losing My Religion","Out Of Time","R.E.M.",1991-03-12,268426,42,b036ydhrkjvcg38s7eyaw4tme,2022-12-10T18:56:15Z,"jangle pop,alternative rock,rock","Concord Records",0.666,0.855,9,-5.051,0,0.0295,0.179,0.0000012,0.0987,0.803,125.639,4
0SPBrxOUEMIKugXR4bFhxs,"Love Gun","Love Gun","KISS",1977-06-30,198706,61,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T01:59:06Z,"glam metal,glam rock,hard rock,rock,classic rock","Casablanca Records",0.409,0.868,3,-6.236,0,0.0368,0.0266,0.0357,0.276,0.704,147.211,4
4rAnSE0E0f33unxXsQa5Fr,"Lunatic Fringe","As Far As Siam","Red Rider",1981-01-01,263066,59,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:02:58Z,"","Capitol Records",0.487,0.464,4,-13.494,1,0.0353,0.105,0.000183,0.0767,0.214,97.53,4
5ZIU2kT1wNjQNclQeVCz5O,"Modern Day Cowboy","Mechanical Resonance","Tesla",1986-01-01,318226,56,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:03:23Z,"glam metal,glam rock,hard rock","Geffen",0.445,0.768,4,-8.836,1,0.0347,0.0127,0.00000258,0.0925,0.32,112.796,4
4yqtwO7MQIIXqoiRBPHAgR,"Money for Nothing","Brothers in Arms","Dire Straits",1985-05-13,506400,66,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:03:52Z,"classic rock","Warner Records",0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,4
6joQ1zE0lhx0UazVTK05Xc,"Motivation","All Killer, No Filler","Sum 41",2001-01-01,169960,58,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:04:03Z,"pop punk,punk,skate punk","Island Records",0.503,0.891,4,-6.365,1,0.0982,0.000887,0,0.0651,0.87,168.336,4
6kK0cYfwAlVHIdLau8NS0K,"Move It On Over - Live","Live At Montreux 2013 (Live At Auditorium Stravinski, Montreux, Switzerland/2013)","George Thorogood & The Destroyers",2013-01-01,377626,8,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:04:22Z,"classic rock,blues rock,southern rock","Eagle Rock/Eagle Records",0.341,0.954,7,-6.419,1,0.132,0.000812,0.0222,0.927,0.262,157.305,4
27sTzAelgljD6Uxp88BqA3,"Nemesis","Doomsday Machine","Arch Enemy",2005-07-13,252280,55,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:04:29Z,"melodic death metal,metal,death metal,melodic metal,heavy metal","Sony Music/Savage Messiah Music",0.246,0.954,8,-3.811,1,0.0975,0.0000579,0.291,0.126,0.164,97.553,4
5D2eCwqbHcqOnfHOCM6TnV,"No More Mr. Nice Guy","Billion Dollar Babies (Deluxe Reissue)","Alice Cooper",1973,187893,60,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:04:35Z,"glam rock,hard rock,glam metal,proto-punk,classic rock","Rhino/Warner Records",0.498,0.515,11,-11.985,0,0.0395,0.0936,0,0.1,0.616,127.765,4
2MKEQhvPb2VaJXjx5X8Yg6,"No Way Back","In Your Honor","Foo Fighters",2005-06-14,196573,53,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:04:48Z,"rock,post-grunge,alternative rock,grunge,modern rock","RCA Records Label",0.254,0.959,9,-3.447,1,0.0672,0.0000126,0.00000731,0.483,0.525,186.438,4
6CqYhhUPJORx1vvdTNc8jv,"The Outsider","Thirteenth Step","A Perfect Circle",2003-01-01,246000,64,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:07:55Z,"alternative metal","Virgin Records",0.328,0.843,6,-6.644,1,0.0887,0.000111,0.801,0.0496,0.422,113.329,4
3SVG2pqaWk6NJeeiyv8npq,"Paranoid (with Ozzy Osbourne) - Live","The 25th Anniversary Rock & Roll Hall Of Fame Concerts","Metallica,Ozzy Osbourne",2010-11-02,169120,16,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:08:04Z,"metal,thrash metal,rock,heavy metal,hard rock,glam metal","StarVista Music",0.437,0.798,7,-6.696,1,0.039,0.00129,0.000325,0.97,0.405,90.679,4
3YdhuJjqZaJKC4xWKUUyYl,"Pour Some Sugar On Me (Live)","Mirror Ball - Live & More","Def Leppard",2011-06-07,305826,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:08:18Z,"glam metal,glam rock,classic rock","Bludgeon Riffola/Mailboat Records",0.376,0.936,8,-5.32,1,0.108,0.000392,0.0000119,0.95,0.334,88.509,4
2MvIMgtWyK88OiPi0J8Dg3,"Psychosocial","All Hope Is Gone","Slipknot",2008-08-22,283400,63,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:08:24Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,4
4yg1wyBL0jAAypcZkqu2IJ,"Ravenous","Congregation of the Damned (Explicit)","Atreyu",2009-01-01,187773,31,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:08:45Z,"metalcore,screamo,metal,post-hardcore","Hollywood Records",0.37,0.988,7,-3.303,0,0.21,0.000385,0,0.286,0.0733,154.952,4
033NVMw6uWlFM2H7Vyzx0R,"Re-Ignition - Live","The Youth Are Getting Restless (Live at the Paradiso, Amsterdam 1987)","Bad Brains",1990,270733,17,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:09:00Z,"hardcore punk,punk,hardcore,proto-punk,skate punk","Bad Brains Records",0.256,0.971,0,-9.676,1,0.135,0.000211,0.263,0.794,0.294,180.716,4
1CQqupcyMg7176PPmIVmSj,"Renegade","Pieces Of Eight","Styx",1978-01-01,257226,69,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:09:27Z,"classic rock,album rock,progressive rock","A&M",0.492,0.552,7,-12.32,0,0.0341,0.0151,0.0000374,0.0723,0.656,105.623,4
1anccAjNKZNKlTbHGheeCA,"(You Can Still) Rock In America","Midnight Madness","Night Ranger",1983-01-01,255160,47,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:12:35Z,"glam metal,album rock,arena rock,hard rock","Geffen*",0.384,0.778,11,-12.719,0,0.0567,0.000372,0.000114,0.191,0.594,164.768,4
64v0mvlrmgUOFWqRSXv21K,"Rockin’ in the Free World - Acoustic Cover","Relaxing Classical Playlist: Background Music","Neil Young,Danny Darling",2019-02-22,292067,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:13:44Z,"classic rock,folk rock,singer-songwriter,roots rock","RMG Classical Records",0.663,0.24,4,-11.481,0,0.0445,0.986,0.884,0.17,0.0378,95.045,4
3asFGFY3uLjMDmML1p0tYm,"Savior","Appeal To Reason","Rise Against",2008-01-01,242280,62,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:14:14Z,"punk,hardcore punk","Geffen",0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.545,4
557jg1bhE6fYKPtfEGZXGG,"Scumbag Blues","Them Crooked Vultures","Them Crooked Vultures",2009-11-17,265823,49,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:16:24Z,"stoner rock","Them Crooked Vultures",0.54,0.823,7,-5.122,1,0.0385,0.0000244,0.00948,0.0911,0.475,112.282,4
1FkoVC85Ds3mFoK0fVqEqP,"Self Esteem","Smash","The Offspring",1994-04-08,257826,77,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:16:32Z,"punk,skate punk","Epitaph",0.488,0.862,0,-7.595,1,0.0476,0.0204,0,0.359,0.706,104.56,4
2ZyNYdziwt0ZS9mxRiwnXM,"Setting Fire to Sleeping Giants","Miss Machine","The Dillinger Escape Plan",2004-07-20,207773,39,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:16:49Z,"metalcore,progressive metal,djent","Relapse Records",0.413,0.992,9,-3.923,0,0.375,0.0093,0.000562,0.232,0.29,166.906,4
3dPQuX8Gs42Y7b454ybpMR,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,232106,83,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:16:55Z,"garage rock,blues rock,rock,alternative rock","Legacy Recordings",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
0nqdBdVinfmIFAYpKGyH8G,"Sharp Dressed Man - Live","Live From Texas","ZZ Top",2008-01-01,279373,24,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:17:07Z,"southern rock,classic rock,blues rock,rock","Mercury Studios",0.54,0.948,5,-6.862,1,0.0429,0.0118,0.0959,0.932,0.411,125.189,4
1VcIbyyDX8j0GNxSlsRFeJ,"Slow Hands","Antics","Interpol",2004-09-27,184133,55,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:17:44Z,"indie rock,post-punk,modern rock","Matador",0.245,0.974,11,-2.523,0,0.0496,0.00045,0.438,0.363,0.644,141.885,4
1YKtTVzXlOK0KeXbTH1Ahd,"Speed (VaiTunes #3)","Speed (VaiTunes #3)","Steve Vai",2010-06-05,243493,20,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:18:08Z,"","Light Without Heat",0.483,0.937,2,-9.171,1,0.042,0.0000452,0.871,0.147,0.546,123.96,4
0mynYmSfl8q2KhjSp96G3w,"Stray Cat Blues - 50th Anniversary Edition","Beggars Banquet (50th Anniversary Edition)","The Rolling Stones",1968-12-06,278013,41,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:18:48Z,"classic rock,rock","ABKCO Music & Records",0.349,0.831,2,-6.425,1,0.0513,0.0031,0.00955,0.0882,0.432,104.748,4
2DbEz7cLYTUu48o5D6iCP4,"Sudden Death","Th1rt3en","Megadeth",2011-10-26,309306,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:18:57Z,"thrash metal,metal,heavy metal,speed metal","Echo",0.426,0.947,0,-4.076,1,0.225,0.0000114,0.0144,0.093,0.336,160.023,4
4Pvd1N0cbpWjg9It1dk4Lj,"Suffocated","Believe","Orianthi",2009-01-01,183560,32,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:21:18Z,"","Geffen",0.427,0.962,7,-2.425,1,0.121,0.0184,0.00000499,0.332,0.307,150.027,4
3dJD8vdcwe9Drbpqmy2JAo,"Spiderman","Weird Tales of The Ramones (1976 - 1996)","Ramones",2005-08-16,116880,31,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:22:06Z,"punk,proto-punk","Rhino/Warner Records",0.293,0.956,6,-7.132,1,0.06,0.00000343,0.63,0.284,0.85,204.843,4
7AbFT4A4QfazZN7VIPLB4h,"There's No Secrets This Year","Swoon","Silversun Pickups",2009-04-14,333293,36,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:22:21Z,"","Dangerbird Records",0.379,0.851,7,-6.65,1,0.0438,0.0000847,0.0177,0.12,0.2,118.632,4
4NVzKq9K1Ryq9PSE9YyFuS,"This Day We Fight!","ENDGAME","Megadeth",2009-09-09,207440,0,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:22:29Z,"thrash metal,metal,heavy metal,speed metal","Echo",0.369,0.996,0,-2.561,1,0.105,0.00000528,0.398,0.31,0.083,164.974,4
6tedQ1ZmbygqhbdcfJL7Xb,"Tick Tick Boom","The Black And White Album","The Hives",2007-01-01,205413,54,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:22:37Z,"garage rock","Polydor Records",0.565,0.831,9,-3.102,0,0.113,0.000384,0.0000121,0.245,0.498,135.111,4
7JZ1zMaeb0U2uGM9PI7Ez8,"Ties That Bind","Blackbird","Alter Bridge",2007-01-01,199480,44,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:22:49Z,"post-grunge,alternative metal,hard rock","AB2/Universal Records",0.157,0.976,7,-4.569,0,0.387,0.000322,0.000132,0.319,0.125,78.601,4
5Cr8DxrjyP2fS93XjGXlFl,"Tones Of Home","Blind Melon","Blind Melon",1992-01-01,266826,50,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:22:58Z,"grunge","Capitol Records",0.556,0.808,0,-6.965,1,0.0335,0.166,0.000167,0.164,0.844,115.287,4
2DMDV9kUEO2WjUHg5acHBY,"2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley","2112","Rush",1976-04-01,1233666,41,b036ydhrkjvcg38s7eyaw4tme,2022-07-16T02:23:12Z,"progressive rock,classic rock,rock,hard rock,album rock","Mercury Records",0.342,0.781,2,-7.899,1,0.101,0.0834,0.00191,0.204,0.197,135.198,4
