Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
37ZJ0p5Jm13JPevGcx4SkF,"Livin' On A Prayer","Slippery When Wet","Bon Jovi",1986-08-16,249293,83,plexwinger,2022-01-16T23:53:15Z,"glam metal,rock","Island Records",0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,4
6PEQCw5UdjZDpsOxVV8AuG,"About A Girl - Live","MTV Unplugged In New York (25th Anniversary)","Nirvana",1994-11-01,217533,40,plexwinger,2022-01-16T23:53:48Z,"grunge,rock","Geffen",0.61,0.763,3,-9.209,0,0.0723,0.14,0.0000198,0.728,0.633,121.036,4
5fKZJHzJ9d3MADArbm9muW,"Mountain Song","Nothing's Shocking","Jane's Addiction",1988-08-23,242720,55,plexwinger,2022-01-16T23:53:57Z,"funk rock,grunge","Rhino/Warner Records",0.324,0.931,9,-6.803,1,0.0837,0.0155,0.0252,0.277,0.313,82.748,4
0LtsuNRz3IMRrHCYO9fKRk,"Beautiful Disaster","Transistor","311",1997-08-05,238400,62,plexwinger,2022-01-16T23:54:04Z,"reggae rock,funk rock,rap rock","Volcano",0.576,0.738,11,-8.122,1,0.0353,0.000387,0.00131,0.13,0.675,168.132,4
1ZBqJilDGBVYktvlCEo9jC,"Obstacle 1","Turn On The Bright Lights","Interpol",2002-08-20,251293,62,plexwinger,2022-01-16T23:54:11Z,"indie rock,post-punk,modern rock","Matador",0.377,0.938,5,-4.9,1,0.0618,0.0000518,0.58,0.0705,0.385,120.514,4
7707eDBpR4qtNFoQ6nQyeR,"The One I Love","Document (R.E.M. No. 5)","R.E.M.",1987-09-01,198000,52,plexwinger,2022-01-16T23:54:15Z,"jangle pop,alternative rock,rock","IRS",0.515,0.656,2,-12.202,1,0.0296,0.000904,0.00000435,0.135,0.769,127.707,4
6CpEUxOlhcynZpIvPY08iv,"Some Might Say","(What's The Story) Morning Glory?","Oasis",1995-10-02,327920,54,plexwinger,2022-01-16T23:54:23Z,"britpop,madchester,rock","Big Brother Recordings Ltd",0.263,0.935,0,-2.289,0,0.0933,0.181,0.013,0.331,0.0688,110.138,4
3cahGAUUQ0n55EjLBs2Wjo,"Today - 2011 Remaster","Siamese Dream (2011 - Remaster)","The Smashing Pumpkins",1993-07-27,201173,52,plexwinger,2022-01-16T23:54:28Z,"alternative rock,rock","Virgin Records",0.457,0.825,8,-7.611,1,0.0268,0.0000329,0.578,0.0548,0.414,82.539,4
18lR4BzEs7e3qzc0KVkTpU,"What I've Done","Minutes to Midnight","Linkin Park",2007-05-14,205226,81,plexwinger,2022-01-16T23:54:33Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.627,0.935,5,-4.882,1,0.0324,0.0092,0,0.147,0.287,120.092,4
1H4idkmruFoJBg1DvUv2tY,"Band On The Run - 2010 Remaster","Band On The Run (Standard)","Paul McCartney,Wings",1973-12-05,313026,70,plexwinger,2022-01-16T23:55:22Z,"","Paul McCartney Catalog",0.479,0.601,7,-8.806,1,0.0319,0.0823,0.00141,0.111,0.669,124.966,4
3rWNmpZM3vPiRwbFToDLoO,"You're Gonna Say Yeah","The Trap","Hushpuppies",2005-01-01,191213,39,plexwinger,2022-01-16T23:55:28Z,"","Chut Le Caniche",0.401,0.93,2,-2.645,1,0.12,0.00392,0,0.0676,0.603,166.306,4
36gPq8WG7tDxrblyGVUCiT,"Up Around The Bend","Cosmo's Factory (Expanded Edition)","Creedence Clearwater Revival",1970-07-25,161466,62,plexwinger,2022-01-16T23:55:37Z,"classic rock,southern rock,country rock","Craft Recordings",0.589,0.85,2,-6.143,1,0.0343,0.0606,0.779,0.274,0.813,130.318,4
5qxChyzKLEyoPJ5qGrdurN,"No Sleep Till Brooklyn","Licensed To Ill","Beastie Boys",1986-11-15,246933,70,plexwinger,2022-01-16T23:55:43Z,"rap rock,east coast hip hop,hip hop","Def Jam Recordings",0.712,0.691,8,-8.157,1,0.128,0.122,0,0.0538,0.742,97.022,4
1bp2IO61zbQrbWNmKKxg3f,"The Joker","The Joker","Steve Miller Band",1973-01-01,264503,74,plexwinger,2022-01-16T23:55:49Z,"classic rock","CAPITOL CATALOG MKT (C92)",0.596,0.448,5,-9.616,1,0.0396,0.365,0.0000053,0.206,0.796,83.293,4
