Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1h5W1YXc2x5gBLtpxiisOg,"Tits On A Tricycle","Solé","SNBRN",2019-05-31,223817,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"","Ultra Records, LLC",0.805,0.737,7,-8.02,1,0.0514,0.00406,0.597,0.109,0.545,124.988,4
5D1zGVDJTOqwaGSzYw5TtP,"Red Light Green Light - For Club Play Only, Pt. 6","Red Light Green Light (For Club Play Only, Pt. 6)","Duke Dumont,Shaun Ross",2019-02-22,211208,58,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"house","EMI",0.811,0.825,2,-5.48,1,0.0654,0.000646,0.517,0.0689,0.95,124.005,4
6ho0GyrWZN3mhi9zVRW7xi,"Losing It","Losing It","FISHER",2018-07-13,248035,71,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"tech house,house,techno","Fisher - Follow the FISH, LLC",0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,4
1sIjHFM7vlC4GLERZMRAxh,"HOODLUM","HOODLUM","JOYRYDE",2016-11-01,255359,21,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"bass house,g-house","UNWANTED",0.686,0.958,1,-2.613,1,0.103,0.000538,0.233,0.0741,0.183,124.955,4
7jDbOaJpCaG2LdWqMzZ8Lf,"Good Idea","Bad Idea","SLATIN,Moksi,LondonBridge",2019-02-22,198720,1,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"bass house,g-house,future house","Barong Family",0.86,0.831,8,-4.528,1,0.156,0.00299,0.0526,0.0525,0.814,122.02,4
71NOmiKvk7s5R7dUurNjuy,"You Little Beauty","You Little Beauty","FISHER",2019-05-10,206587,0,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"tech house,house,techno","Catch & Release",0.926,0.953,6,-5.531,0,0.0911,0.00235,0.442,0.313,0.927,123.983,4
27gtNUVLNAHhNSjQoc92ue,"You Don’t","Hands Together EP","Marten Hørger,Neon Steve",2018-02-09,265365,6,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"bass house,g-house,tech house","Confession",0.911,0.79,11,-4.59,1,0.282,0.0685,0.331,0.0492,0.159,122.99,4
0gcPFlSLjkVqz84RcDhyJk,"HOT DRUM","HOT DRUM","JOYRYDE",2016-11-16,266879,39,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"bass house,g-house","OWSLA",0.625,0.981,7,-3.799,1,0.0597,0.0009,0.329,0.357,0.156,125.008,4
4B66dqeGbZW3iLg3vgPLDP,"Movie","Movie","Habstrakt,josh pan",2018-03-30,227362,27,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"bass house,g-house,dubstep,bassline","Mad Decent",0.841,0.836,2,-3.209,1,0.0974,0.00347,0.191,0.727,0.373,126.029,4
3THbCOOsUboMu83Ubd3sSR,"I WARE HOUSE","I WARE HOUSE","JOYRYDE",2017-03-17,266880,40,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:02Z,"bass house,g-house","OWSLA",0.658,0.891,6,-3.512,1,0.199,0.0259,0.0332,0.34,0.3,125.033,4
