Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6nqBOGRwYdwOOHTie3fx1K,"Lately","Lately","RÜFÜS DU SOL",2024-08-02,249573,55,rüfüs,2024-08-02T17:28:10Z,"","Rose Avenue/Reprise",0.562,0.898,1,-5.442,0,0.0277,0.0291,0.282,0.4,0.397,125.998,4
6eHQ2jZEzEyyBeO7K7KPyy,"Heartless","Heartless","WhoMadeWho,Kölsch",2024-08-09,259039,42,rüfüs,2024-08-09T22:46:31Z,"melodic techno,melodic house,afro house,techno","The Moment",0.67,0.631,5,-9.657,0,0.0346,0.0185,0.0298,0.0716,0.339,123.019,4
0fJm8fquozJRImFiiLsBZU,"NOW JAZZ - MIDNIGHT MIX","ONE MINUTE SILENCE / NOW JAZZ","GOLFOS",2020-03-26,704000,37,rüfüs,2024-11-21T23:50:37Z,"tech house","GOLFO TRAXX",0.866,0.407,11,-12.174,0,0.0771,0.0127,0.895,0.059,0.783,127.996,4
4VEzfo8GKXvW1f5oviqM1c,"Human Rights","Human Rights","Jimi Jules",2024-07-26,294036,34,rüfüs,2024-07-26T19:17:09Z,"melodic techno","Innervisions",0.66,0.891,8,-8.808,1,0.0377,0.00007,0.644,0.118,0.195,121.996,4
0kE1xahTX5tGkOeSWqpQWi,"COMBAT","COMBAT","Ela Minus",2024-06-04,256579,40,rüfüs,2024-08-26T20:25:42Z,"electropop","Domino Recording Co",0.192,0.214,3,-13.019,0,0.0355,0.957,0.844,0.0953,0.0366,128.349,4
49UnvR3vrn1LtK8bs9484p,"Maybe","Maybe","Moeaike",2024-07-19,386195,42,rüfüs,2024-07-26T00:03:46Z,"afro house,melodic house,melodic techno","Rose Avenue Records",0.736,0.678,11,-11.487,1,0.0639,0.0991,0.808,0.112,0.141,120.002,4
0FF1nvLGNz8ueb5YEbUuS4,"LAST","LAST","Mooglie,Betical,Emma Hoet",2024-07-12,406451,34,rüfüs,2024-07-26T00:03:31Z,"melodic techno,melodic house,afro house,french pop","Rose Avenue Records",0.674,0.661,0,-8.22,1,0.0328,0.0573,0.807,0.0981,0.0391,123.995,4
480j122Gpi252OIfy4SNzm,"Yamore","Yamore","MoBlack,Salif Keita,Benja (NL),Franc Fala,Cesária Evora",2024-06-07,248000,76,rüfüs,2024-07-26T00:05:12Z,"afro house,afropop,fado","Universal Music Division Decca Records France",0.795,0.577,1,-9.638,0,0.0648,0.00263,0.147,0.051,0.206,119.986,4
7wHBKBh6FHpwuCCdCdjEq9,"Alemagou","Alemagou","Kimonos,Sounds Of Rituals,Kuuda",2024-07-05,338709,32,rüfüs,2024-07-26T00:02:41Z,"afro house,latin house,tribal house,organic house,melodic house","Rose Avenue Records",0.786,0.94,11,-8.058,1,0.0556,0.0000965,0.766,0.0668,0.14,123.994,4
2xCBVtjXAuOJ1vzwwFAokb,"Mwah!","volume one","not without friends,Jordan Brando,Luke Alessi,William Kiss",2024-06-27,326343,26,rüfüs,2024-07-26T00:03:01Z,"tech house,indie dance,melodic house,techno","Rose Avenue Records",0.762,0.801,10,-7.905,0,0.0732,0.00401,0.901,0.0711,0.481,126.997,4
5XEcBlR65egd1ePcKTHu2K,"Open Doors","Open Doors","Sean Doron,Tim Engelhardt,Radoo (RU)",2024-06-28,238479,21,rüfüs,2024-07-26T00:04:25Z,"melodic house,melodic techno,afro house,organic house,progressive house,indie dance","Rose Avenue Records",0.655,0.787,4,-10.716,0,0.0364,0.000118,0.759,0.124,0.0399,123.001,4
1TFWk4ntRU5I24EffakFNS,"YUMA - Francis Mercier Remix","YUMA (Francis Mercier Remix)","Miishu,Emmanuel Jal,Francis Mercier,Nyadollar",2024-04-26,196000,39,rüfüs,2024-07-26T00:06:00Z,"afro house,tribal house,melodic house,latin house,house","WIRED",0.724,0.807,8,-4.409,1,0.0667,0.0545,0.0000327,0.395,0.216,119.899,4
